Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  31.07  31.38  31.05  31.26  5196900  31.26
2014-02-27  30.81  31.1  30.67  31.08  6072500  31.08
2014-02-26  31.18  31.2  30.75  30.8  5624600  30.8
2014-02-25  31.22  31.37  31.02  31.14  5218200  31.14
2014-02-24  31.27  31.48  31.12  31.19  4717200  31.19
2014-02-21  31.11  31.28  30.94  31.09  6094500  31.09
2014-02-20  30.93  31.19  30.83  31.12  3587900  31.12
2014-02-19  30.9  31.22  30.83  30.9  4886500  30.9
2014-02-18  30.77  30.98  30.57  30.95  5995000  30.95
2014-02-14  30.82  30.93  30.63  30.65  6892700  30.65
2014-02-13  30.05  31.25  30.02  30.77  12193100  30.77
2014-02-12  29.71  30.24  29.64  30.19  8305100  30.19
2014-02-11  29.22  29.89  29.1  29.73  8400200  29.73
2014-02-10  28.81  29.0  28.7  28.93  4284300  28.93
2014-02-07  28.39  28.8  28.35  28.79  4051500  28.79
2014-02-06  28.34  28.46  28.07  28.3  8104700  28.3
2014-02-05  28.05  28.36  28.03  28.27  4115600  28.27
2014-02-04  28.18  28.25  27.93  28.09  5374900  28.09
2014-02-03  28.9  28.9  28.1  28.13  6612900  28.13
2014-01-31  28.9  29.07  28.8  28.86  6519100  28.86
2014-01-30  28.68  29.2  28.53  29.16  7070500  29.16
2014-01-29  28.89  28.91  28.31  28.59  7558700  28.59
2014-01-28  29.16  29.21  28.87  28.95  6374800  28.95
2014-01-27  29.2  29.32  29.04  29.08  7468100  29.08
2014-01-24  29.43  29.55  29.14  29.15  6053400  29.15
2014-01-23  29.42  29.47  29.29  29.45  6163600  29.45
2014-01-22  29.98  29.98  29.49  29.5  4476000  29.5
2014-01-21  30.13  30.18  29.56  29.85  6060400  29.85
2014-01-17  30.36  30.37  29.98  30.0  6205300  30.0
2014-01-16  30.48  30.57  30.19  30.33  4404400  30.33
2014-01-15  30.73  30.77  30.23  30.53  11728100  30.53
2014-01-14  30.95  31.0  30.53  30.69  5584900  30.69
2014-01-13  30.99  31.25  30.86  30.87  4951800  30.87
2014-01-10  31.05  31.21  30.83  31.02  3666200  31.02
2014-01-09  31.25  31.28  30.7  30.79  4052200  30.79
2014-01-08  31.35  31.41  31.14  31.24  4356800  31.24
2014-01-07  31.76  31.8  31.37  31.41  5032100  31.41
2014-01-06  31.73  31.79  31.53  31.67  2925100  31.67
2014-01-03  31.78  31.81  31.5  31.6  2137300  31.6
2014-01-02  31.74  31.82  31.51  31.65  4443900  31.65
2013-12-31  31.94  32.07  31.73  31.85  5122800  31.85
2013-12-30  31.84  32.1  31.79  31.96  4185700  31.96
2013-12-27  31.83  32.04  31.63  32.01  3690800  32.01
2013-12-26  31.81  31.92  31.64  31.85  3547200  31.85
2013-12-24  31.27  31.84  31.27  31.69  2965900  31.69
2013-12-23  31.06  31.4  31.06  31.36  5691000  31.36
2013-12-20  31.43  31.43  30.92  31.04  9155800  31.04
2013-12-19  31.62  31.69  30.4  31.36  13237300  31.36
2013-12-18  31.54  31.93  31.26  31.84  7107300  31.84
2013-12-17  31.0  31.61  30.96  31.44  6360800  31.44
2013-12-16  30.8  31.07  30.8  30.95  5267500  30.95
2013-12-13  30.75  30.93  30.38  30.73  6050400  30.73
2013-12-12  30.65  30.8  30.32  30.76  5381300  30.76
2013-12-11  31.5  31.55  30.65  30.71  7108700  30.71
2013-12-10  31.54  31.82  31.49  31.51  6332600  31.51
2013-12-09  31.07  31.67  31.01  31.52  5799500  31.52
2013-12-06  30.99  31.27  30.95  31.07  5759000  31.07
2013-12-05  30.47  30.87  30.39  30.65  5890700  30.65
2013-12-04  30.2  30.98  30.05  30.84  6771700  30.84
2013-12-03  30.16  30.43  29.93  30.37  5753200  30.37
2013-12-02  30.63  30.7  30.24  30.3  5119300  30.3
2013-11-29  30.71  31.03  30.66  30.7  2340600  30.7
2013-11-27  30.7  30.92  30.55  30.72  4176500  30.72
2013-11-26  30.68  30.86  30.54  30.68  6665000  30.68
2013-11-25  30.78  31.22  30.6  30.7  5267700  30.7
2013-11-22  30.97  30.99  30.6  30.67  4876500  30.67
2013-11-21  31.3  31.33  30.91  31.08  5369800  31.08
2013-11-20  31.54  31.82  31.21  31.26  5437600  31.26
2013-11-19  31.76  31.76  31.31  31.47  4567600  31.47
2013-11-18  31.64  31.76  31.43  31.64  4606900  31.64
2013-11-15  31.32  31.65  31.31  31.55  3779800  31.55
2013-11-14  31.01  31.37  31.01  31.3  4252100  31.3
2013-11-13  30.88  30.97  30.76  30.95  4161600  30.95
2013-11-12  31.05  31.21  30.82  30.9  5193600  30.9
2013-11-11  30.91  31.09  30.72  30.97  3243700  30.97
2013-11-08  31.29  31.37  30.34  30.8  10076600  30.8
2013-11-07  32.44  32.49  31.07  31.27  13537300  31.27
2013-11-06  33.02  33.35  33.0  33.31  4627800  33.31
2013-11-05  33.1  33.2  32.73  32.81  5697200  32.81
2013-11-04  33.21  33.26  33.01  33.19  3476100  33.19
2013-11-01  33.27  33.48  32.93  33.01  3978400  33.01
2013-10-31  33.0  33.3  32.75  33.29  4128200  33.29
2013-10-30  33.29  33.3  32.93  32.96  2943800  32.96
2013-10-29  33.04  33.6  33.04  33.24  4926100  33.24
2013-10-28  32.67  33.03  32.62  32.95  3841400  32.95
2013-10-25  32.62  32.87  32.47  32.71  3589200  32.71
2013-10-24  32.83  32.85  32.52  32.66  3284500  32.66
2013-10-23  32.67  32.97  32.52  32.82  3397100  32.82
2013-10-22  32.37  32.93  32.18  32.85  3623400  32.85
2013-10-21  32.54  32.63  32.21  32.43  3656100  32.43
2013-10-18  32.74  32.77  32.41  32.45  3695000  32.45
2013-10-17  32.33  32.73  32.22  32.69  3572600  32.69
2013-10-16  32.07  32.37  32.04  32.36  3557300  32.36
