Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  17.36  17.84  17.3  17.6  3949200  17.6
2014-02-27  17.18  17.48  16.87  17.41  3600600  17.41
2014-02-26  17.09  17.95  17.09  17.26  7985200  17.26
2014-02-25  16.48  16.82  16.45  16.62  6122900  16.62
2014-02-24  16.13  16.47  16.1  16.41  3685300  16.41
2014-02-21  16.44  16.45  16.02  16.1  2951500  16.1
2014-02-20  16.17  16.51  16.17  16.41  2364800  16.41
2014-02-19  16.39  16.41  16.07  16.12  4112500  16.12
2014-02-18  16.56  16.63  16.31  16.46  2970100  16.46
2014-02-14  16.35  16.89  15.99  16.6  4884000  16.6
2014-02-13  17.41  17.52  16.22  16.41  12528500  16.41
2014-02-12  16.69  16.98  16.62  16.88  2810100  16.88
2014-02-11  16.36  16.74  16.36  16.71  4591000  16.71
2014-02-10  16.24  16.5  16.18  16.4  2012700  16.4
2014-02-07  16.41  16.48  16.22  16.24  3320600  16.24
2014-02-06  16.11  16.31  16.11  16.31  2465200  16.31
2014-02-05  16.32  16.37  15.91  16.1  2187200  16.1
2014-02-04  15.92  16.44  15.83  16.39  3258400  16.39
2014-02-03  16.16  16.18  15.78  15.85  4601500  15.85
2014-01-31  16.02  16.17  16.0  16.04  2917600  16.04
2014-01-30  16.37  16.45  16.2  16.28  1758700  16.28
2014-01-29  16.24  16.36  16.09  16.27  2858500  16.27
2014-01-28  16.57  16.71  16.27  16.35  3269200  16.35
2014-01-27  15.9  16.75  15.72  16.51  7104600  16.51
2014-01-24  16.08  16.14  15.69  15.87  3031600  15.87
2014-01-23  16.33  16.33  16.03  16.23  2336800  16.23
2014-01-22  16.2  16.37  16.12  16.37  2278800  16.37
2014-01-21  16.48  16.62  15.97  16.19  3653600  16.19
2014-01-17  16.51  16.59  16.27  16.36  2655300  16.36
2014-01-16  16.76  16.76  16.38  16.52  4940200  16.52
2014-01-15  16.95  17.08  16.78  16.79  2234300  16.79
2014-01-14  16.82  17.1  16.66  16.94  4922900  16.94
2014-01-13  16.87  16.97  16.64  16.71  2476300  16.71
2014-01-10  17.0  17.02  16.83  16.88  2934600  16.88
2014-01-09  16.99  17.09  16.65  17.04  3516200  17.04
2014-01-08  16.83  16.93  16.66  16.85  3179200  16.85
2014-01-07  16.98  17.11  16.63  16.75  6327900  16.75
2014-01-06  17.24  17.34  16.79  16.94  5563300  16.94
2014-01-03  17.26  17.38  16.97  17.2  2095500  17.2
2014-01-02  17.84  17.86  16.94  17.22  4208400  17.22
2013-12-31  17.8  18.05  17.7  17.93  2307500  17.93
2013-12-30  17.77  17.78  17.46  17.76  1625700  17.76
2013-12-27  17.69  17.91  17.56  17.78  1567000  17.78
2013-12-26  17.62  17.75  17.45  17.72  1649100  17.72
2013-12-24  17.52  17.82  17.48  17.71  1269700  17.71
2013-12-23  17.35  17.63  17.33  17.56  2834800  17.56
2013-12-20  17.19  17.33  17.11  17.21  5112500  17.21
2013-12-19  16.6  17.18  16.58  17.16  4805900  17.16
2013-12-18  16.41  16.54  16.09  16.48  2226300  16.48
2013-12-17  16.42  16.52  16.18  16.41  1879800  16.41
2013-12-16  16.44  16.5  16.06  16.38  2972800  16.38
2013-12-13  16.04  16.56  16.03  16.3  3676900  16.3
2013-12-12  16.26  16.37  15.91  16.02  2322600  16.02
2013-12-11  16.6  16.61  16.09  16.22  2196300  16.22
2013-12-10  16.38  16.74  16.38  16.51  2476800  16.51
2013-12-09  16.04  16.4  15.96  16.36  2941200  16.36
2013-12-06  16.34  16.43  15.86  16.0  4945200  16.0
2013-12-05  16.26  16.31  16.07  16.21  2941900  16.21
2013-12-04  16.09  16.35  16.05  16.29  3277000  16.29
2013-12-03  16.74  16.76  16.03  16.16  5612500  16.16
2013-12-02  16.91  16.99  16.5  16.8  5013500  16.8
2013-11-29  16.57  16.91  16.5  16.77  2724200  16.77
2013-11-27  15.97  16.63  15.83  16.56  6934800  16.56
2013-11-26  15.35  16.03  15.35  15.76  4552300  15.76
2013-11-25  15.79  15.82  15.26  15.3  5738500  15.3
2013-11-22  15.12  15.93  15.09  15.8  12111100  15.8
2013-11-21  14.85  14.99  14.73  14.92  2197900  14.92
2013-11-20  14.85  14.99  14.66  14.83  3113000  14.83
2013-11-19  14.78  14.95  14.63  14.79  3431500  14.79
2013-11-18  14.76  14.89  14.62  14.75  3011400  14.75
2013-11-15  15.02  15.15  14.68  14.78  3684000  14.78
2013-11-14  15.22  15.3  14.91  15.01  2488500  15.01
2013-11-13  14.82  15.21  14.76  15.16  4634200  15.16
2013-11-12  15.17  15.19  14.81  14.89  2697300  14.89
2013-11-11  14.98  15.51  14.96  15.2  4626200  15.2
2013-11-08  16.14  16.32  14.5  14.93  9520000  14.93
2013-11-07  15.84  15.88  15.45  15.47  2625100  15.47
2013-11-06  16.12  16.16  15.56  15.8  3606200  15.8
2013-11-05  16.03  16.11  15.74  16.04  3192500  16.04
2013-11-04  15.99  16.14  15.77  16.04  4401800  16.04
2013-11-01  15.4  15.98  15.4  15.92  6819000  15.92
2013-10-31  15.47  15.84  15.39  15.39  3065400  15.39
2013-10-30  15.78  15.79  15.45  15.49  1998400  15.49
2013-10-29  15.8  15.86  15.49  15.75  3601300  15.75
2013-10-28  15.61  15.91  15.59  15.81  3052700  15.81
2013-10-25  15.66  15.7  15.47  15.65  2165900  15.65
2013-10-24  15.42  15.74  15.27  15.66  2675200  15.66
2013-10-23  15.47  15.57  15.37  15.41  2219700  15.41
2013-10-22  15.43  15.59  15.2  15.48  4110100  15.48
2013-10-21  15.52  15.58  15.28  15.38  4320200  15.38
2013-10-18  15.64  15.78  15.41  15.5  4707600  15.5
2013-10-17  15.8  15.91  15.45  15.57  4892300  15.57
2013-10-16  16.23  16.27  15.68  15.83  4078400  15.83
2013-10-15  16.19  16.32  15.95  16.08  3378400  16.08
2013-10-14  16.0  16.36  15.86  16.25  4031900  16.25
2013-10-11  16.29  16.37  15.98  16.11  2437500  16.11
2013-10-10  16.25  16.56  15.88  16.27  5788100  16.27
2013-10-09  16.11  16.34  16.04  16.06  3580200  16.06
2013-10-08  16.51  16.62  15.98  16.04  4814600  16.04
2013-10-07  16.56  16.76  16.47  16.47  2460700  16.47
2013-10-04  16.6  16.9  16.58  16.77  4993000  16.77
2013-10-03  16.86  16.94  16.54  16.58  5094900  16.58
2013-10-02  16.67  16.91  16.6  16.87  2665400  16.87
2013-10-01  16.65  16.94  16.65  16.74  2512400  16.74
2013-09-30  16.54  16.83  16.53  16.67  2486100  16.67
2013-09-27  16.83  16.91  16.57  16.66  2766200  16.66
2013-09-26  16.83  17.0  16.77  16.95  1262400  16.95
2013-09-25  17.06  17.07  16.75  16.77  2230900  16.77
2013-09-24  17.16  17.21  16.98  17.01  2482200  17.01
2013-09-23  17.35  17.42  17.08  17.12  1957000  17.12
