Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  72.25  73.62  72.14  73.14  7556300  73.14
2014-02-27  72.13  72.3  71.69  72.16  4999500  72.16
2014-02-26  72.18  72.63  72.0  72.2  5260200  72.2
2014-02-25  71.48  72.2  71.37  72.16  4868100  72.16
2014-02-24  71.47  72.12  71.35  71.37  4915900  71.37
2014-02-21  71.18  71.66  71.13  71.2  4908400  71.2
2014-02-20  70.21  71.38  70.07  71.31  5607900  71.31
2014-02-19  70.16  70.72  69.92  70.1  5624400  70.1
2014-02-18  70.48  70.55  70.04  70.32  6868500  70.32
2014-02-14  69.35  70.19  69.12  69.9  5127000  69.9
2014-02-13  68.2  69.57  68.09  69.48  6027800  69.48
2014-02-12  68.65  69.1  68.39  68.54  5947700  68.54
2014-02-11  69.71  69.71  68.21  68.77  13618000  68.77
2014-02-10  66.42  67.0  66.36  66.94  8584200  66.94
2014-02-07  66.01  66.98  65.96  66.44  6206000  66.44
2014-02-06  65.47  66.14  65.31  66.11  5927800  66.11
2014-02-05  65.06  66.0  64.95  65.44  10092700  65.44
2014-02-04  66.45  66.77  65.71  66.11  6137800  66.11
2014-02-03  67.52  67.67  65.68  65.79  7016400  65.79
2014-01-31  66.79  68.07  66.07  67.72  7388500  67.72
2014-01-30  67.79  68.24  67.33  67.65  5060500  67.65
2014-01-29  68.0  68.06  67.16  67.35  8339300  67.35
2014-01-28  67.66  68.78  67.66  68.52  5159100  68.52
2014-01-27  67.66  67.95  67.07  67.53  7289100  67.53
2014-01-24  68.37  68.43  67.63  67.63  5717100  67.63
2014-01-23  68.71  68.78  68.1  68.47  5633800  68.47
2014-01-22  68.65  69.66  68.6  69.17  6294500  69.17
2014-01-21  68.61  68.62  68.06  68.32  6548600  68.32
2014-01-17  67.94  67.99  67.55  67.7  4551300  67.7
2014-01-16  67.91  68.0  67.48  67.85  5865400  67.85
2014-01-15  68.35  68.72  67.6  68.01  5842200  68.01
2014-01-14  68.34  68.56  67.86  68.21  5835700  68.21
