Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  69.47  69.81  69.09  69.4  4112500  69.4
2014-02-27  69.76  70.13  69.25  69.58  1652600  69.58
2014-02-26  70.95  71.02  69.6  69.76  2633900  69.76
2014-02-25  70.79  71.35  70.51  70.66  1893800  70.66
2014-02-24  70.8  71.61  70.67  70.69  1514400  70.69
2014-02-21  71.0  71.46  70.72  70.79  1549200  70.79
2014-02-20  70.14  71.13  70.02  70.9  2032000  70.9
2014-02-19  70.23  71.13  69.88  70.05  2125000  70.05
2014-02-18  70.55  70.71  70.08  70.26  2094900  70.26
2014-02-14  69.9  70.57  69.51  70.51  2225000  70.51
2014-02-13  68.47  70.15  68.41  70.09  2736000  70.09
2014-02-12  68.42  68.94  68.19  68.78  1846600  68.78
2014-02-11  68.11  69.01  67.79  68.56  3114000  68.56
2014-02-10  66.7  67.99  66.36  67.91  3972400  67.91
2014-02-07  65.53  66.42  65.4  66.37  2138000  66.37
2014-02-06  65.09  65.54  64.56  65.37  1735000  65.37
2014-02-05  65.05  65.3  64.52  65.15  2684100  65.15
2014-02-04  66.57  66.79  65.21  65.3  3507300  65.3
2014-02-03  67.26  68.28  66.35  66.55  3096300  66.55
2014-01-31  65.07  67.88  64.53  67.34  4436900  67.34
2014-01-30  65.9  66.61  65.78  66.49  2184200  66.49
2014-01-29  65.52  65.9  65.31  65.72  2646200  65.72
2014-01-28  65.86  66.08  65.5  65.7  2380500  65.7
2014-01-27  65.4  66.19  65.29  65.86  2171700  65.86
2014-01-24  65.53  66.25  65.3  65.37  2383200  65.37
2014-01-23  66.16  66.43  65.51  65.84  2643500  65.84
2014-01-22  66.31  66.67  66.22  66.55  2148200  66.55
2014-01-21  65.93  66.38  65.82  66.32  2775200  66.32
2014-01-17  65.76  65.99  65.49  65.73  1947600  65.73
2014-01-16  65.68  65.99  65.3  65.92  1779500  65.92
2014-01-15  66.54  66.6  66.0  66.07  1613700  66.07
2014-01-14  66.63  66.86  66.25  66.54  1750500  66.54
2014-01-13  67.19  67.89  66.44  66.6  2852000  66.6
2014-01-10  66.21  67.25  66.08  67.21  3385000  67.21
2014-01-09  64.95  65.88  64.61  65.76  2961600  65.76
2014-01-08  63.98  64.58  63.73  64.21  2935500  64.21
2014-01-07  63.28  64.2  63.17  64.15  2196600  64.15
2014-01-06  63.11  63.28  62.72  62.99  1889000  62.99
2014-01-03  63.05  63.34  62.61  62.98  1739100  62.98
2014-01-02  64.06  64.09  62.9  63.04  2282100  63.04
2013-12-31  63.86  64.32  63.8  64.15  1386300  64.15
2013-12-30  63.85  64.29  63.59  63.85  1229800  63.85
2013-12-27  64.05  64.16  63.59  63.87  957700  63.87
2013-12-26  64.11  64.34  63.56  63.89  1077100  63.89
2013-12-24  63.77  64.38  63.4  64.11  916800  64.11
2013-12-23  64.06  64.52  63.51  63.58  2215800  63.58
2013-12-20  64.28  64.41  63.72  64.01  3804600  64.01
2013-12-19  64.13  64.13  63.17  63.96  1766200  63.96
2013-12-18  63.45  64.3  62.59  64.23  2489000  64.23
2013-12-17  63.26  63.61  62.97  63.34  1759000  63.34
2013-12-16  63.11  63.88  63.04  63.32  1654400  63.32
2013-12-13  62.93  63.37  62.84  63.04  1918400  63.04
2013-12-12  62.65  63.34  62.56  62.97  2525300  62.97
2013-12-11  62.97  63.15  62.53  62.72  1889200  62.72
2013-12-10  63.2  63.31  62.47  62.97  2476500  62.97
2013-12-09  63.87  63.87  62.98  63.2  1638000  63.2
2013-12-06  63.32  64.19  63.22  63.88  1765000  63.88
2013-12-05  63.37  63.37  62.73  62.92  2452700  62.92
2013-12-04  63.31  63.82  62.91  63.59  2141900  63.59
2013-12-03  63.2  63.76  62.91  63.69  3696700  63.69
2013-12-02  63.69  63.77  62.68  63.21  2912100  63.21
