Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  66.02  66.72  65.98  66.62  4689300  66.62
2014-02-27  65.28  66.06  65.19  66.0  5119900  66.0
2014-02-26  64.82  65.72  64.75  65.51  4002700  65.51
2014-02-25  64.56  65.25  64.4  64.92  3684800  64.92
2014-02-24  64.81  65.25  64.58  64.58  5521100  64.58
2014-02-21  65.4  65.68  64.87  64.87  4887100  64.87
2014-02-20  64.4  65.46  64.11  65.35  5277400  65.35
2014-02-19  64.75  65.26  64.21  64.26  3778000  64.26
2014-02-18  64.48  65.14  64.08  64.71  4897000  64.71
2014-02-14  63.93  64.58  63.66  64.5  3564300  64.5
2014-02-13  63.2  64.15  63.05  63.98  2964400  63.98
2014-02-12  63.55  63.96  63.26  63.51  3886100  63.51
2014-02-11  62.94  64.11  62.91  63.84  4536500  63.84
2014-02-10  62.73  63.42  62.35  63.01  4315900  63.01
2014-02-07  62.62  63.1  62.22  63.01  4627200  63.01
2014-02-06  61.71  62.76  61.5  62.52  4938300  62.52
2014-02-05  60.73  61.79  60.22  61.47  6049100  61.47
2014-02-04  60.71  61.98  59.94  61.18  15052700  61.18
2014-02-03  60.62  61.09  59.53  59.57  5928600  59.57
2014-01-31  60.21  61.16  60.1  60.58  5779300  60.58
2014-01-30  60.59  61.56  60.3  61.11  4883600  61.11
2014-01-29  59.32  60.95  59.28  60.29  8335100  60.29
2014-01-28  60.43  60.72  58.93  59.15  6388000  59.15
2014-01-27  59.58  60.48  59.27  59.82  5402700  59.82
2014-01-24  60.81  60.98  59.53  59.55  5971000  59.55
2014-01-23  61.96  62.06  60.83  61.32  6622700  61.32
2014-01-22  63.55  63.55  62.45  62.58  3514700  62.58
2014-01-21  64.06  64.54  63.12  63.28  4856200  63.28
2014-01-17  63.68  63.92  63.2  63.57  3698100  63.57
2014-01-16  63.2  63.75  62.86  63.54  2847300  63.54
2014-01-15  63.09  63.38  62.97  63.28  3328500  63.28
2014-01-14  62.33  63.23  62.24  63.11  3096600  63.11
2014-01-13  62.6  63.01  62.06  62.22  3568500  62.22
2014-01-10  63.38  63.63  62.66  63.1  3750600  63.1
2014-01-09  63.54  63.79  62.8  63.49  6626800  63.49
2014-01-08  62.02  62.78  61.65  62.69  5204400  62.69
2014-01-07  62.63  62.75  61.66  61.89  6102800  61.89
2014-01-06  63.49  63.49  62.43  62.52  3689300  62.52
2014-01-03  63.33  63.74  63.1  63.33  2804400  63.33
2014-01-02  63.79  64.08  63.22  63.26  3994900  63.26
2013-12-31  64.26  64.55  63.94  64.52  2837400  64.52
2013-12-30  63.81  64.25  63.67  64.2  2190900  64.2
2013-12-27  63.99  64.01  63.47  63.8  2039900  63.8
2013-12-26  63.55  63.83  63.33  63.8  2276500  63.8
2013-12-24  62.28  63.4  62.27  63.38  1760200  63.38
2013-12-23  62.45  62.53  62.12  62.3  3031600  62.3
2013-12-20  62.32  62.54  61.88  62.11  5857000  62.11
2013-12-19  61.42  62.3  61.35  62.27  4279600  62.27
2013-12-18  60.97  61.75  60.19  61.75  4157100  61.75
2013-12-17  60.24  60.98  59.99  60.75  3591800  60.75
2013-12-16  60.09  60.74  60.09  60.41  4326900  60.41
2013-12-13  59.74  59.98  59.54  59.82  2728600  59.82
2013-12-12  59.8  59.99  59.43  59.53  2699000  59.53
2013-12-11  61.27  61.27  59.78  59.87  3920500  59.87
2013-12-10  60.82  61.2  60.68  61.01  3350500  61.01
2013-12-09  61.05  61.17  60.66  60.96  2412300  60.96
