Date  Open  High  Low  Close  Volume  Adj Close
2013-10-29  13.85  13.87  13.83  13.86  65719400  13.86
2013-10-28  13.84  13.85  13.82  13.83  130524200  13.83
2013-10-25  13.84  13.85  13.84  13.84  10250500  13.84
2013-10-24  13.85  13.85  13.84  13.85  9096300  13.85
2013-10-23  13.85  13.85  13.84  13.84  6634700  13.84
2013-10-22  13.85  13.85  13.84  13.85  6644900  13.85
2013-10-21  13.85  13.86  13.84  13.85  4865800  13.85
2013-10-18  13.85  13.9  13.83  13.83  10853100  13.83
2013-10-17  13.85  13.85  13.84  13.85  3411000  13.85
2013-10-16  13.84  13.85  13.84  13.85  5819900  13.85
2013-10-15  13.85  13.85  13.83  13.83  6982700  13.83
2013-10-14  13.85  13.85  13.84  13.85  4832900  13.85
2013-10-11  13.84  13.85  13.83  13.85  6676400  13.85
2013-10-10  13.84  13.84  13.83  13.84  7839900  13.84
2013-10-09  13.84  13.84  13.83  13.83  10966500  13.83
2013-10-08  13.84  13.85  13.83  13.83  15024600  13.83
2013-10-07  13.84  13.85  13.83  13.84  12557800  13.84
2013-10-04  13.84  13.84  13.83  13.84  9115200  13.84
2013-10-03  13.83  13.85  13.83  13.83  12388500  13.83
2013-10-02  13.83  13.84  13.83  13.83  6573000  13.83
2013-10-01  13.82  13.84  13.81  13.84  29168900  13.84
2013-09-30  13.77  13.78  13.75  13.75  16209700  13.75
2013-09-27  13.79  13.8  13.77  13.78  15827100  13.78
2013-09-26  13.78  13.79  13.77  13.78  16460300  13.78
2013-09-25  13.8  13.8  13.78  13.78  11829800  13.78
2013-09-24  13.79  13.8  13.79  13.8  10570300  13.8
2013-09-23  13.79  13.8  13.79  13.8  5585100  13.8
2013-09-20  13.79  13.82  13.78  13.8  15341600  13.8
2013-09-19  13.79  13.79  13.78  13.79  6201100  13.79
2013-09-18  13.78  13.79  13.77  13.79  10748300  13.79
2013-09-17  13.78  13.79  13.77  13.77  15104000  13.77
2013-09-16  13.78  13.78  13.77  13.77  16160700  13.77
2013-09-13  13.76  13.78  13.76  13.77  10376000  13.77
2013-09-12  13.77  13.8  13.75  13.77  88642800  13.77
2013-09-11  13.78  13.79  13.72  13.77  19667100  13.77
2013-09-10  13.77  13.78  13.76  13.77  21983300  13.77
2013-09-09  13.74  13.78  13.74  13.76  19173100  13.76
2013-09-06  13.75  13.76  13.73  13.76  9003100  13.76
2013-09-05  13.73  13.76  13.72  13.74  10285500  13.74
2013-09-04  13.7  13.74  13.68  13.73  14715600  13.73
2013-09-03  13.71  13.72  13.68  13.69  10382700  13.69
2013-08-30  13.68  13.71  13.67  13.69  6181800  13.69
2013-08-29  13.72  13.72  13.67  13.67  31770800  13.67
2013-08-28  13.7  13.72  13.7  13.7  24135400  13.7
2013-08-27  13.71  13.73  13.69  13.7  15716600  13.7
2013-08-26  13.72  13.74  13.71  13.72  5686000  13.72
2013-08-23  13.71  13.73  13.7  13.73  7421700  13.73
2013-08-22  13.7  13.72  13.7  13.71  4458800  13.71
2013-08-21  13.69  13.72  13.69  13.71  5308300  13.71
2013-08-20  13.7  13.72  13.68  13.68  10171600  13.68
2013-08-19  13.72  13.75  13.7  13.71  13416700  13.71
2013-08-16  13.62  13.77  13.61  13.74  29129100  13.74
2013-08-15  13.65  13.65  13.44  13.63  13850200  13.63
2013-08-14  13.64  13.66  13.63  13.64  8288800  13.64
2013-08-13  13.64  13.67  13.63  13.64  7849300  13.64
2013-08-12  13.64  13.67  13.63  13.65  8076500  13.65
2013-08-09  13.65  13.67  13.63  13.66  14068000  13.66
2013-08-08  13.63  13.67  13.63  13.67  13251800  13.67
2013-08-07  13.63  13.66  13.61  13.63  15209400  13.63
2013-08-06  13.59  13.66  13.58  13.65  23458900  13.65
2013-08-05  13.58  13.6  13.57  13.6  12136700  13.6
2013-08-02  13.53  13.6  13.46  13.6  108752400  13.6
2013-08-01  12.78  12.97  12.67  12.89  40696500  12.89
2013-07-31  12.59  12.91  12.21  12.59  60233000  12.59
2013-07-30  12.82  12.85  12.75  12.79  10911500  12.79
2013-07-29  12.83  12.88  12.64  12.8  21070900  12.8
2013-07-26  12.88  12.9  12.83  12.87  11370800  12.87
2013-07-25  12.78  12.92  12.77  12.91  15418800  12.91
2013-07-24  12.76  13.18  12.59  12.85  94670700  12.85
