Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  14.62  14.91  14.6  14.79  1085800  14.79
2014-02-27  14.62  14.74  14.45  14.65  1443800  14.65
2014-02-26  14.6  14.79  14.51  14.62  1548300  14.62
2014-02-25  14.52  14.72  14.5  14.56  1128900  14.56
2014-02-24  14.56  14.67  14.49  14.5  1785700  14.5
2014-02-21  14.59  14.66  14.37  14.43  1599200  14.43
2014-02-20  14.31  14.7  14.31  14.56  1804700  14.56
2014-02-19  14.28  14.38  14.2  14.28  1941100  14.28
2014-02-18  14.81  14.82  14.28  14.29  2139100  14.29
2014-02-14  14.22  14.76  14.15  14.68  2681000  14.68
2014-02-13  14.04  14.31  14.01  14.15  3075300  14.15
2014-02-12  13.99  14.24  13.82  14.19  5867900  14.19
2014-02-11  13.82  14.24  13.59  14.08  18108600  14.08
2014-02-10  15.06  15.25  14.94  15.2  2404000  15.2
2014-02-07  15.3  15.43  15.07  15.08  1255900  15.08
2014-02-06  14.9  15.36  14.87  15.3  2056000  15.3
2014-02-05  15.02  15.11  14.71  14.84  1763600  14.84
2014-02-04  15.03  15.13  14.95  15.02  2000900  15.02
2014-02-03  15.8  15.86  14.88  14.9  3556200  14.9
2014-01-31  15.9  16.11  15.77  15.8  1564200  15.8
2014-01-30  16.19  16.25  15.94  16.05  2478400  16.05
2014-01-29  16.65  16.65  15.97  15.98  2786000  15.98
2014-01-28  16.77  16.92  16.65  16.78  1692300  16.78
2014-01-27  16.74  16.84  16.47  16.7  2777200  16.7
2014-01-24  17.22  17.27  16.5  16.51  3134800  16.51
2014-01-23  17.49  17.49  17.1  17.31  1710500  17.31
2014-01-22  17.5  17.72  17.43  17.52  1046400  17.52
2014-01-21  17.51  17.7  17.3  17.47  1963600  17.47
2014-01-17  17.33  17.38  17.01  17.01  769700  17.01
2014-01-16  17.37  17.47  17.25  17.37  950600  17.37
2014-01-15  17.55  17.63  17.35  17.38  972800  17.38
2014-01-14  17.12  17.48  17.12  17.45  1074000  17.45
2014-01-13  17.2  17.39  17.02  17.09  1895700  17.09
2014-01-10  17.27  17.4  17.1  17.2  1587600  17.2
2014-01-09  17.28  17.36  17.04  17.21  1275200  17.21
2014-01-08  17.41  17.5  17.11  17.25  2933900  17.25
2014-01-07  17.64  18.06  17.64  17.95  2731600  17.95
2014-01-06  17.62  17.73  17.26  17.61  8089200  17.61
2014-01-03  17.21  17.83  17.19  17.58  3474400  17.58
2014-01-02  17.17  17.19  16.96  17.06  1416100  17.06
2013-12-31  17.31  17.31  17.11  17.19  1094800  17.19
2013-12-30  17.17  17.35  17.02  17.26  1869000  17.26
2013-12-27  16.94  17.25  16.92  17.15  1361000  17.15
2013-12-26  17.02  17.07  16.76  16.9  1135000  16.9
2013-12-24  16.93  17.08  16.93  17.03  413500  17.03
2013-12-23  17.0  17.1  16.83  16.97  916400  16.97
2013-12-20  16.85  17.0  16.76  16.97  2785200  16.97
2013-12-19  16.7  16.9  16.6  16.87  1714100  16.87
2013-12-18  16.64  16.91  16.49  16.77  2615400  16.77
2013-12-17  16.76  16.77  16.36  16.64  3282100  16.64
2013-12-16  17.1  17.17  16.6  16.72  3046000  16.72
2013-12-13  17.08  17.12  16.94  17.0  1496500  17.0
2013-12-12  17.44  17.48  16.98  17.02  2069700  17.02
2013-12-11  17.87  18.01  17.44  17.44  1788100  17.44
2013-12-10  17.97  18.01  17.57  17.83  1921400  17.83
2013-12-09  17.99  18.14  17.9  18.08  2102200  18.08
2013-12-06  18.41  18.63  18.36  18.43  1789200  18.43
2013-12-05  18.25  18.41  18.12  18.29  1650000  18.29
2013-12-04  18.05  18.7  18.01  18.31  3305200  18.31
2013-12-03  18.0  18.31  17.96  18.09  2232800  18.09
2013-12-02  17.99  18.24  17.91  18.06  1487800  18.06
2013-11-29  18.03  18.2  17.95  17.98  697900  17.98
2013-11-27  18.0  18.07  17.88  18.05  1122600  18.05
2013-11-26  18.11  18.27  17.98  18.0  1618900  18.0
2013-11-25  18.22  18.27  18.06  18.09  2271300  18.09
2013-11-22  18.1  18.23  18.0  18.14  1243200  18.14
2013-11-21  17.98  18.28  17.91  18.11  1265500  18.11
2013-11-20  18.06  18.16  17.87  17.94  1939000  17.94
2013-11-19  18.08  18.27  17.87  18.06  2706500  18.06
2013-11-18  18.25  18.37  17.99  18.08  1596500  18.08
2013-11-15  18.15  18.3  18.06  18.26  1806000  18.26
2013-11-14  18.0  18.32  17.99  18.16  2683900  18.16
2013-11-13  17.74  18.16  17.71  18.03  3986600  18.03
2013-11-12  18.63  18.67  17.71  18.2  5052500  18.2
2013-11-11  19.38  19.71  19.38  19.71  1279800  19.71
2013-11-08  19.27  19.52  19.19  19.39  934000  19.39
2013-11-07  19.68  19.7  19.26  19.31  1494600  19.31
2013-11-06  19.55  19.67  19.39  19.56  738100  19.56
2013-11-05  19.41  19.63  19.36  19.49  1007600  19.49
2013-11-04  19.58  19.67  19.45  19.53  1009200  19.53
2013-11-01  19.56  19.63  19.36  19.55  1592900  19.55
2013-10-31  19.5  19.61  19.31  19.5  1167600  19.5
2013-10-30  19.84  19.87  19.48  19.53  834900  19.53
2013-10-29  19.72  19.88  19.66  19.85  731300  19.85
2013-10-28  19.67  19.88  19.6  19.72  1314300  19.72
2013-10-25  19.28  19.6  19.22  19.6  1406500  19.6
2013-10-24  19.1  19.29  18.96  19.27  1072200  19.27
2013-10-23  19.06  19.22  18.95  19.01  1006000  19.01
2013-10-22  18.58  19.22  18.57  19.15  1580800  19.15
2013-10-21  18.9  19.21  18.42  18.42  2313400  18.42
2013-10-18  18.48  18.48  18.05  18.28  1184200  18.28
2013-10-17  17.92  18.39  17.82  18.32  2201600  18.32
2013-10-16  17.94  18.13  17.88  17.94  903600  17.94
2013-10-15  17.86  18.14  17.75  17.89  1104400  17.89
2013-10-14  17.76  18.0  17.71  17.95  1061900  17.95
2013-10-11  18.1  18.1  17.87  17.95  1256700  17.95
2013-10-10  17.9  18.12  17.85  18.1  1197200  18.1
2013-10-09  17.62  17.86  17.4  17.79  1625600  17.79
2013-10-08  17.92  18.08  17.5  17.55  2095800  17.55
2013-10-07  18.03  18.31  17.86  17.97  1379800  17.97
2013-10-04  18.33  18.37  18.14  18.26  1669900  18.26
2013-10-03  18.61  18.77  18.29  18.31  2472500  18.31
2013-10-02  19.01  19.1  18.6  18.74  2563100  18.74
2013-10-01  19.23  19.63  19.14  19.2  2494500  19.2
2013-09-30  18.99  19.3  18.91  19.3  1841800  19.3
2013-09-27  19.1  19.22  19.03  19.13  1027600  19.13
2013-09-26  19.13  19.33  19.09  19.24  1154600  19.24
2013-09-25  19.16  19.29  18.95  19.11  1180300  19.11
2013-09-24  19.03  19.24  18.89  19.12  1138200  19.12
2013-09-23  19.12  19.24  18.87  18.99  824400  18.99
2013-09-20  19.5  19.56  19.07  19.1  2022400  19.1
2013-09-19  19.63  19.76  19.44  19.47  1188900  19.47
2013-09-18  19.65  19.86  19.38  19.64  1400000  19.64
2013-09-17  19.41  19.77  19.41  19.6  785100  19.6
2013-09-16  19.62  19.71  19.25  19.47  1264000  19.47
2013-09-13  19.27  19.48  19.05  19.43  1076400  19.43
2013-09-12  19.32  19.37  18.99  19.2  878700  19.2
2013-09-11  19.23  19.39  18.97  19.37  1399400  19.37
2013-09-10  19.04  19.34  18.99  19.22  1450000  19.22
2013-09-09  18.63  19.07  18.63  19.04  1097700  19.04
2013-09-06  18.95  18.95  18.55  18.62  1967200  18.62
2013-09-05  18.83  18.9  18.6  18.87  1493000  18.87
2013-09-04  18.84  18.84  18.61  18.75  1640100  18.75
2013-09-03  18.96  19.26  18.69  18.84  3249100  18.84
2013-08-30  19.19  19.52  19.1  19.16  1469600  19.16
2013-08-29  19.01  19.35  18.82  19.23  1519200  19.23
2013-08-28  18.76  19.05  18.59  18.96  1440500  18.96
2013-08-27  19.26  19.29  18.8  18.8  1724000  18.8
2013-08-26  19.46  19.52  19.26  19.34  517200  19.34
2013-08-23  19.28  19.5  19.22  19.38  1595200  19.38
2013-08-22  19.58  19.62  19.28  19.4  1196600  19.4
2013-08-21  19.52  19.8  19.4  19.54  951400  19.54
2013-08-20  19.44  19.7  19.36  19.6  2359700  19.6
2013-08-19  19.62  19.72  19.24  19.34  1260200  19.34
2013-08-16  19.96  19.96  19.6  19.66  1207600  19.66
