Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  56.6  57.93  56.5  57.38  3874000  57.38
2014-02-27  56.8  57.13  56.32  56.48  3536500  56.48
2014-02-26  57.29  57.57  56.45  56.78  3654700  56.78
2014-02-25  57.3  57.47  56.62  56.96  3476200  56.96
2014-02-24  57.91  57.91  56.95  57.44  2786300  57.44
2014-02-21  57.14  57.47  56.63  56.71  2624100  56.71
2014-02-20  56.82  57.54  56.49  57.07  2620600  57.07
2014-02-19  57.25  57.82  56.79  56.85  2576600  56.85
2014-02-18  57.0  57.63  56.74  57.56  2728100  57.56
2014-02-14  57.13  57.21  56.54  56.92  3170500  56.92
2014-02-13  55.4  56.2  55.13  56.17  2282600  56.17
2014-02-12  55.7  55.92  55.55  55.78  2612400  55.78
2014-02-11  55.54  55.94  55.39  55.68  3451900  55.68
2014-02-10  55.2  55.8  54.89  55.63  2410300  55.63
2014-02-07  54.19  55.33  54.13  55.25  4011700  55.25
2014-02-06  53.06  53.99  52.77  53.97  3245500  53.97
2014-02-05  52.06  52.86  51.63  52.73  2997600  52.73
2014-02-04  52.25  52.53  51.88  52.24  3466700  52.24
2014-02-03  53.45  53.52  51.96  52.01  4658600  52.01
2014-01-31  53.56  54.23  53.39  53.44  3233400  53.44
2014-01-30  54.23  54.59  53.67  54.57  3250800  54.57
2014-01-29  54.54  54.87  53.57  53.77  3837200  53.77
2014-01-28  53.99  55.13  53.68  55.08  5231500  55.08
2014-01-27  53.85  54.3  53.09  53.11  5278600  53.11
2014-01-24  54.54  55.28  53.54  53.67  8977700  53.67
2014-01-23  53.02  53.22  51.58  52.2  5046000  52.2
2014-01-22  53.27  53.64  53.08  53.45  3007800  53.45
2014-01-21  53.69  53.85  52.98  53.09  4044400  53.09
2014-01-17  54.2  54.2  52.84  53.21  4672500  53.21
2014-01-16  54.54  54.75  53.9  54.06  1814900  54.06
2014-01-15  54.87  54.92  54.34  54.64  2553900  54.64
2014-01-14  53.73  54.6  53.26  54.57  2600600  54.57
2014-01-13  55.13  55.3  53.32  53.45  3339800  53.45
2014-01-10  54.97  55.34  54.92  55.2  2393500  55.2
2014-01-09  54.82  54.96  54.51  54.91  2280800  54.91
2014-01-08  54.74  55.02  54.46  54.55  2459700  54.55
2014-01-07  54.47  54.83  54.2  54.52  3311800  54.52
2014-01-06  54.91  55.27  54.14  54.15  2169200  54.15
2014-01-03  55.13  55.35  54.76  54.86  1972000  54.86
2014-01-02  55.58  55.79  54.93  55.15  2756600  55.15
2013-12-31  54.94  55.99  54.94  55.74  2405000  55.74
2013-12-30  54.39  54.91  54.39  54.86  1683700  54.86
2013-12-27  54.37  54.51  54.06  54.29  1072100  54.29
2013-12-26  54.42  54.7  54.16  54.39  2038300  54.39
2013-12-24  53.83  54.25  53.8  54.15  1152900  54.15
2013-12-23  54.12  54.12  53.57  53.81  1648300  53.81
2013-12-20  53.73  53.9  53.47  53.79  4133100  53.79
2013-12-19  54.07  54.24  53.49  53.69  2045500  53.69
2013-12-18  53.34  54.32  52.41  54.24  3576500  54.24
2013-12-17  53.67  53.7  52.87  53.15  2562100  53.15
2013-12-16  54.01  54.01  52.92  53.51  2557500  53.51
2013-12-13  52.73  53.17  52.42  52.82  2671800  52.82
2013-12-12  52.59  52.85  52.05  52.39  2729900  52.39
2013-12-11  52.35  53.26  52.35  52.48  4144200  52.48
2013-12-10  53.15  53.26  52.73  53.01  2412800  53.01
2013-12-09  52.71  53.38  52.68  53.27  2783300  53.27
2013-12-06  52.27  52.8  52.22  52.57  2229200  52.57
2013-12-05  51.85  52.09  51.58  51.72  2709500  51.72
2013-12-04  51.31  52.12  51.05  51.91  2793600  51.91
2013-12-03  51.77  52.43  51.42  51.61  3360600  51.61
2013-12-02  53.29  53.56  52.55  52.69  2530300  52.69
2013-11-29  53.18  53.5  52.97  53.1  1127700  53.1
2013-11-27  53.06  53.2  52.6  53.07  1856900  53.07
2013-11-26  53.13  53.24  52.65  52.84  2815100  52.84
2013-11-25  52.44  53.18  52.3  53.02  2646700  53.02
2013-11-22  52.19  52.3  51.82  52.2  1913900  52.2
2013-11-21  51.5  52.03  51.13  52.01  2479500  52.01
2013-11-20  51.7  51.89  51.22  51.3  1519700  51.3
2013-11-19  51.64  52.03  51.36  51.49  2335100  51.49
2013-11-18  52.29  52.48  51.55  51.73  2456900  51.73
2013-11-15  51.65  52.2  51.55  52.19  3030800  52.19
2013-11-14  50.8  51.55  50.76  51.52  2611000  51.52
2013-11-13  50.43  50.78  50.02  50.72  6352700  50.72
2013-11-12  51.64  51.78  50.54  50.72  6580400  50.72
2013-11-11  52.15  52.27  51.71  51.92  2726200  51.92
2013-11-08  51.96  52.12  51.48  52.06  3556900  52.06
2013-11-07  52.56  52.72  51.84  51.84  3673200  51.84
2013-11-06  52.07  52.54  51.85  52.44  3167300  52.44
2013-11-05  51.77  52.12  51.26  51.72  2420900  51.72
2013-11-04  52.43  52.54  51.87  52.02  2173600  52.02
2013-11-01  51.47  51.81  51.44  51.6  2260800  51.6
2013-10-31  52.03  52.09  51.36  51.48  2715200  51.48
2013-10-30  52.34  52.72  51.91  52.06  2973300  52.06
2013-10-29  51.46  52.51  51.4  52.14  4463800  52.14
2013-10-28  50.63  51.56  50.28  51.31  3181500  51.31
2013-10-25  51.14  51.26  50.54  50.61  4253000  50.61
2013-10-24  51.15  51.5  50.99  51.05  3500000  51.05
2013-10-23  51.38  51.56  50.66  50.9  3438500  50.9
2013-10-22  52.09  53.5  51.06  51.4  8052900  51.4
2013-10-21  53.87  54.03  53.06  53.33  3333200  53.33
2013-10-18  53.68  53.98  52.93  53.54  3548700  53.54
2013-10-17  52.19  53.36  52.19  53.31  2414100  53.31
2013-10-16  51.85  52.47  51.49  52.41  2876700  52.41
2013-10-15  52.35  52.4  51.24  51.45  2988600  51.45
2013-10-14  51.19  52.53  51.13  52.43  3257400  52.43
2013-10-11  50.8  51.57  50.71  51.38  2681100  51.38
2013-10-10  49.64  50.83  49.6  50.8  3726300  50.8
2013-10-09  48.57  48.83  48.03  48.56  3766700  48.56
2013-10-08  49.49  49.49  48.31  48.37  2986800  48.37
2013-10-07  49.64  49.74  49.3  49.3  1762100  49.3
2013-10-04  49.83  50.25  49.37  50.18  2030600  50.18
2013-10-03  50.12  50.23  49.22  49.88  3108800  49.88
2013-10-02  50.58  50.63  50.05  50.31  2675600  50.31
2013-10-01  50.17  50.85  50.04  50.84  2098500  50.84
2013-09-30  50.12  50.24  49.75  50.15  3263800  50.15
2013-09-27  50.79  51.11  50.53  50.9  1536700  50.9
