Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  52.94  53.53  52.76  53.0  1956800  53.0
2014-02-27  53.05  53.19  52.64  52.76  1238400  52.76
2014-02-26  53.09  53.42  52.86  53.04  1441300  53.04
2014-02-25  53.59  53.67  53.01  53.16  2338000  53.16
2014-02-24  53.05  54.01  53.01  53.81  2032000  53.81
2014-02-21  52.97  53.09  52.8  53.05  2007200  53.05
2014-02-20  52.84  53.07  52.61  52.97  1161900  52.97
2014-02-19  52.71  52.95  52.12  52.77  2324600  52.77
2014-02-18  52.49  53.25  52.45  52.91  1635800  52.91
2014-02-14  52.2  52.97  52.14  52.6  1917700  52.6
2014-02-13  51.77  52.56  51.77  52.2  3066600  52.2
2014-02-12  52.44  52.45  51.85  52.06  2649900  52.06
2014-02-11  51.94  52.61  51.86  52.34  2751500  52.34
2014-02-10  51.0  51.83  50.98  51.74  4051300  51.74
2014-02-07  50.98  51.31  50.46  50.8  1967400  50.8
2014-02-06  51.29  51.3  50.59  51.06  2008800  51.06
2014-02-05  50.95  51.39  50.84  51.1  3168900  51.1
2014-02-04  51.04  51.55  50.51  51.22  3906200  51.22
2014-02-03  52.2  53.36  51.06  51.08  3070000  51.08
2014-01-31  51.99  52.86  51.92  52.5  3884900  52.5
2014-01-30  54.69  55.68  51.8  52.38  6957600  52.38
2014-01-29  53.0  53.87  52.77  53.82  3368800  53.82
2014-01-28  53.61  53.72  53.01  53.36  3703200  53.36
2014-01-27  53.85  54.1  53.66  53.76  2163800  53.76
2014-01-24  54.45  54.59  53.64  53.71  1972600  53.71
2014-01-23  54.81  54.92  54.12  54.45  1476200  54.45
2014-01-22  54.71  55.24  54.33  55.09  1802400  55.09
2014-01-21  55.0  55.06  54.49  54.53  1576800  54.53
2014-01-17  54.63  54.96  54.33  54.68  1059600  54.68
2014-01-16  54.33  54.78  54.12  54.63  1219100  54.63
2014-01-15  54.04  54.72  53.9  54.49  1904900  54.49
2014-01-14  53.89  54.13  53.67  53.93  1971800  53.93
2014-01-13  53.74  54.24  53.4  53.75  3013000  53.75
2014-01-10  53.56  54.04  53.41  53.87  1953300  53.87
2014-01-09  53.08  53.81  53.08  53.73  1929000  53.73
2014-01-08  53.36  53.75  53.0  53.19  1995100  53.19
2014-01-07  52.36  53.72  52.32  53.47  2918900  53.47
2014-01-06  53.06  53.21  51.9  52.19  4481300  52.19
2014-01-03  52.22  53.16  52.11  52.72  6175400  52.72
2014-01-02  53.15  53.2  52.45  52.55  2856300  52.55
2013-12-31  53.92  53.98  53.05  53.24  2400200  53.24
2013-12-30  53.59  53.9  53.49  53.74  1356500  53.74
2013-12-27  53.69  54.12  53.56  53.79  1351800  53.79
2013-12-26  54.08  54.13  53.46  53.56  1170100  53.56
2013-12-24  53.54  54.39  53.53  54.19  1157100  54.19
2013-12-23  53.24  53.99  53.24  53.74  1825700  53.74
2013-12-20  52.5  53.27  52.47  53.22  4133300  53.22
2013-12-19  52.74  53.23  52.2  52.49  3048800  52.49
2013-12-18  53.26  53.59  52.7  53.17  3016700  53.17
2013-12-17  53.79  53.79  53.18  53.25  2205200  53.25
2013-12-16  54.18  54.49  53.99  54.01  2691100  54.01
2013-12-13  54.36  54.53  53.14  53.89  4524500  53.89
2013-12-12  54.72  54.84  53.44  53.5  4554200  53.5
2013-12-11  57.28  57.33  54.79  54.89  5817300  54.89
2013-12-10  59.08  59.16  57.79  58.27  4038300  58.27
2013-12-09  59.82  60.18  59.39  59.99  2006700  59.99
2013-12-06  60.22  60.28  59.53  59.65  2069200  59.65
2013-12-05  60.51  60.75  59.83  59.87  1708500  59.87
2013-12-04  60.8  61.07  59.95  60.51  2494000  60.51
2013-12-03  60.77  61.68  60.65  61.08  3156900  61.08
2013-12-02  60.71  60.85  60.22  60.41  1248300  60.41
2013-11-29  61.0  61.3  60.55  60.59  826200  60.59
2013-11-27  61.51  61.78  60.36  61.07  1897400  61.07
2013-11-26  61.99  62.13  61.64  61.73  1858300  61.73
2013-11-25  61.51  62.13  61.49  62.01  1256700  62.01
2013-11-22  61.0  61.61  60.98  61.45  988700  61.45
2013-11-21  61.06  61.37  60.85  61.13  1111200  61.13
2013-11-20  61.11  61.69  60.83  61.0  1596700  61.0
2013-11-19  61.37  61.7  60.6  61.17  1952600  61.17
2013-11-18  62.15  62.21  61.3  61.51  2060100  61.51
2013-11-15  62.32  62.61  61.83  61.85  3510800  61.85
2013-11-14  62.43  62.73  62.24  62.29  2762200  62.29
2013-11-13  62.95  63.25  62.25  62.52  2500000  62.52
2013-11-12  63.37  63.48  62.8  62.96  2143500  62.96
2013-11-11  62.88  63.74  62.78  63.24  1521100  63.24
2013-11-08  63.14  63.24  62.34  62.96  1949300  62.96
2013-11-07  62.87  63.64  62.87  63.34  2283900  63.34
2013-11-06  62.47  63.12  62.26  62.75  1959300  62.75
2013-11-05  61.78  62.82  61.3  62.29  3599000  62.29
2013-11-04  62.15  62.35  61.07  61.69  7380200  61.69
2013-11-01  59.67  60.68  59.42  60.58  2737800  60.58
2013-10-31  59.31  59.7  59.24  59.57  1525500  59.57
2013-10-30  59.2  59.51  58.99  59.31  1469400  59.31
2013-10-29  58.66  59.26  58.63  59.0  1190400  59.0
2013-10-28  58.24  58.95  58.13  58.62  1440500  58.62
2013-10-25  57.89  58.29  57.64  58.26  1212500  58.26
2013-10-24  58.46  58.5  57.88  57.94  1141100  57.94
2013-10-23  57.94  58.24  57.58  58.23  1680300  58.23
2013-10-22  57.8  58.4  57.69  58.07  1798600  58.07
2013-10-21  57.42  58.28  57.42  57.85  1519700  57.85
2013-10-18  58.19  58.25  57.48  57.59  2262900  57.59
2013-10-17  57.09  59.66  57.04  58.57  3766600  58.57
2013-10-16  57.72  58.47  57.72  58.42  1472700  58.42
2013-10-15  58.29  58.37  57.55  57.57  1592100  57.57
2013-10-14  57.64  58.38  57.41  58.3  2150400  58.3
2013-10-11  58.36  58.49  57.79  57.79  2634600  57.79
2013-10-10  58.32  59.55  57.13  58.33  6793400  58.33
2013-10-09  61.52  61.75  61.11  61.35  1736900  61.35
2013-10-08  61.96  62.02  61.09  61.52  1293200  61.52
2013-10-07  61.24  62.1  61.12  61.9  1789800  61.9
2013-10-04  62.04  62.11  61.43  61.45  1897000  61.45
2013-10-03  62.07  62.3  61.82  62.15  1436700  62.15
2013-10-02  61.77  62.45  61.59  62.21  1542500  62.21
2013-10-01  61.49  62.02  61.3  61.8  844600  61.8
2013-09-30  61.08  61.61  60.96  61.44  967900  61.44
2013-09-27  61.63  61.7  61.12  61.37  1343300  61.37
2013-09-26  61.61  62.09  61.56  61.74  1420000  61.74
2013-09-25  61.69  61.89  61.45  61.53  1416400  61.53
2013-09-24  61.78  62.16  61.51  61.58  1643400  61.58
2013-09-23  61.06  61.83  61.0  61.83  1975300  61.83
2013-09-20  61.14  61.57  61.01  61.35  2735000  61.35
2013-09-19  61.56  62.04  61.08  61.16  1954000  61.16
