Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  24.85  24.95  24.31  24.56  7815500  24.56
2014-02-27  24.82  25.02  24.64  24.87  6737200  24.87
2014-02-26  24.12  25.06  23.82  24.85  14335800  24.85
2014-02-25  23.73  24.24  23.5  24.14  5593100  24.14
2014-02-24  23.72  23.92  23.54  23.71  5066600  23.71
2014-02-21  23.42  23.95  23.35  23.65  5139000  23.65
2014-02-20  23.15  23.46  22.95  23.33  5310800  23.33
2014-02-19  23.09  23.58  22.96  23.16  4885000  23.16
2014-02-18  23.64  23.73  22.78  23.31  6194600  23.31
2014-02-14  23.24  23.66  23.09  23.62  4936800  23.62
2014-02-13  23.13  23.34  22.85  23.24  5622100  23.24
2014-02-12  23.44  23.6  23.14  23.23  7585500  23.23
2014-02-11  23.48  23.59  23.11  23.33  6587900  23.33
2014-02-10  23.89  24.17  23.29  23.55  8163400  23.55
2014-02-07  23.75  23.95  23.49  23.89  7465400  23.89
2014-02-06  22.94  23.88  22.93  23.57  12389200  23.57
2014-02-05  22.91  23.13  22.6  22.69  6892800  22.69
2014-02-04  22.96  23.25  22.75  23.03  6721200  23.03
2014-02-03  23.45  23.58  22.5  22.84  8989100  22.84
2014-01-31  22.56  23.96  22.44  23.44  11306600  23.44
2014-01-30  23.27  23.55  22.6  22.84  7737200  22.84
2014-01-29  22.55  23.24  22.3  23.07  11727500  23.07
2014-01-28  22.22  23.16  21.91  22.96  19823800  22.96
2014-01-27  20.98  21.45  20.17  20.91  10671600  20.91
2014-01-24  21.51  21.76  20.77  20.85  9587100  20.85
2014-01-23  21.75  22.0  21.66  21.92  5503500  21.92
2014-01-22  21.4  22.04  21.28  21.93  5227000  21.93
2014-01-21  21.62  21.76  21.28  21.44  3649600  21.44
2014-01-17  21.79  21.82  21.53  21.55  5221200  21.55
2014-01-16  21.49  21.93  21.19  21.88  5325100  21.88
2014-01-15  21.54  21.67  21.28  21.55  5063900  21.55
2014-01-14  21.52  21.69  21.28  21.55  4574600  21.55
2014-01-13  21.93  22.1  21.38  21.51  6764200  21.51
2014-01-10  21.83  22.52  21.71  22.11  7838900  22.11
2014-01-09  21.82  21.96  21.54  21.71  4988400  21.71
2014-01-08  21.22  21.71  21.11  21.54  5760100  21.54
2014-01-07  21.44  21.49  21.16  21.3  4804900  21.3
2014-01-06  21.88  21.89  21.13  21.23  6655500  21.23
2014-01-03  21.91  22.14  21.69  21.71  3724900  21.71
2014-01-02  21.77  22.0  21.6  21.79  6127200  21.79
2013-12-31  21.98  22.31  21.9  22.28  6111300  22.28
2013-12-30  21.63  21.96  21.32  21.89  5684000  21.89
2013-12-27  21.51  21.69  21.34  21.63  4570400  21.63
2013-12-26  21.29  21.69  21.28  21.33  5170100  21.33
2013-12-24  21.01  21.54  20.73  21.25  3768200  21.25
2013-12-23  20.7  21.27  20.7  21.1  8671300  21.1
2013-12-20  20.08  20.6  20.08  20.55  8179100  20.55
2013-12-19  19.9  20.22  19.9  20.13  7487800  20.13
2013-12-18  19.32  20.27  19.04  20.08  15790400  20.08
2013-12-17  18.93  19.08  18.65  18.88  6291600  18.88
2013-12-16  19.02  19.44  18.97  19.12  3902900  19.12
2013-12-13  19.03  19.17  18.86  18.93  3759900  18.93
2013-12-12  18.9  19.15  18.8  18.96  5193500  18.96
2013-12-11  19.46  19.48  18.87  18.98  7462000  18.98
2013-12-10  19.59  20.11  19.44  19.5  6771200  19.5
2013-12-09  19.07  19.82  19.06  19.42  7182900  19.42
2013-12-06  19.09  19.31  18.91  19.05  4490200  19.05
2013-12-05  18.91  19.07  18.69  18.76  6756800  18.76
2013-12-04  18.89  19.3  18.71  19.05  7900600  19.05
2013-12-03  19.21  19.5  18.98  19.1  5580700  19.1
2013-12-02  19.79  19.79  19.26  19.3  5209700  19.3
2013-11-29  20.02  20.07  19.6  19.85  3141900  19.85
2013-11-27  19.95  20.4  19.92  20.03  8665500  20.03
2013-11-26  19.12  19.92  19.11  19.9  10872000  19.9
2013-11-25  19.02  19.13  18.63  19.02  6835700  19.02
2013-11-22  19.45  19.65  18.92  19.02  8926900  19.02
2013-11-21  19.1  19.48  18.67  19.41  8783100  19.41
2013-11-20  19.62  19.69  18.94  19.03  8087000  19.03
2013-11-19  19.2  19.37  19.01  19.26  4737800  19.26
2013-11-18  19.57  19.74  19.13  19.27  7776300  19.27
2013-11-15  19.59  19.94  19.5  19.56  7204800  19.56
2013-11-14  19.05  19.87  18.88  19.56  10835900  19.56
2013-11-13  18.71  19.15  18.54  19.02  9686600  19.02
2013-11-12  18.39  19.24  18.09  18.88  19239200  18.88
2013-11-11  18.13  18.18  17.64  18.03  10780700  18.03
2013-11-08  18.3  18.32  17.83  18.11  20501200  18.11
2013-11-07  18.89  19.21  18.41  18.52  8049100  18.52
2013-11-06  18.43  18.74  18.23  18.7  10499500  18.7
2013-11-05  18.69  18.9  18.11  18.38  8004900  18.38
2013-11-04  18.6  19.25  18.56  18.79  6850300  18.79
2013-11-01  18.96  19.02  18.15  18.48  8982800  18.48
2013-10-31  19.5  19.5  18.91  18.92  6530100  18.92
2013-10-30  19.93  19.94  19.33  19.49  4760200  19.49
2013-10-29  19.7  19.96  19.48  19.94  4777500  19.94
2013-10-28  19.76  19.97  19.46  19.63  4904100  19.63
2013-10-25  19.9  19.95  19.57  19.74  5116000  19.74
2013-10-24  19.54  20.2  19.54  19.84  6940100  19.84
2013-10-23  19.14  19.94  19.11  19.44  7991400  19.44
2013-10-22  18.8  19.31  18.74  19.2  6641200  19.2
2013-10-21  19.13  19.22  18.28  18.64  5181900  18.64
2013-10-18  19.2  19.25  18.87  18.99  5978300  18.99
2013-10-17  17.96  19.22  17.94  19.11  12642700  19.11
2013-10-16  17.86  18.28  17.57  18.02  11696600  18.02
2013-10-15  18.18  18.21  17.62  17.66  10394300  17.66
2013-10-14  18.27  18.46  17.94  18.22  6561400  18.22
2013-10-11  18.27  18.78  18.26  18.62  4495700  18.62
2013-10-10  18.22  18.58  18.06  18.26  6603500  18.26
