Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  77.0  77.54  76.24  76.49  3804000  76.49
2014-02-27  76.36  77.13  76.33  77.03  2558100  77.03
2014-02-26  76.85  77.2  76.55  76.82  2674800  76.82
2014-02-25  76.44  77.07  76.21  76.82  2655800  76.82
2014-02-24  76.38  77.09  76.3  76.56  2665200  76.56
2014-02-21  75.99  76.32  75.67  76.15  2675800  76.15
2014-02-20  75.49  76.33  75.04  76.11  2379400  76.11
2014-02-19  75.75  76.49  75.2  75.28  2599800  75.28
2014-02-18  76.15  76.58  75.84  75.94  2353400  75.94
2014-02-14  76.16  76.6  75.83  76.43  2254400  76.43
2014-02-13  74.92  76.32  74.78  76.22  2407100  76.22
2014-02-12  75.7  75.98  75.36  75.55  2094200  75.55
2014-02-11  75.37  75.88  75.13  75.39  2520900  75.39
2014-02-10  75.26  75.26  74.57  75.07  3140100  75.07
2014-02-07  74.29  75.29  73.85  75.12  3152700  75.12
2014-02-06  72.3  73.73  72.14  73.71  2980400  73.71
2014-02-05  72.6  72.91  71.89  72.49  2724400  72.49
2014-02-04  72.82  73.37  72.32  72.93  3430900  72.93
2014-02-03  74.53  75.13  72.5  72.56  4224200  72.56
2014-01-31  74.27  75.01  73.93  74.39  3219900  74.39
2014-01-30  75.44  75.68  74.85  75.3  3309400  75.3
2014-01-29  74.52  75.77  74.51  75.13  3833000  75.13
2014-01-28  74.97  76.57  74.14  75.21  4370400  75.21
2014-01-27  74.39  74.79  73.65  74.1  3594100  74.1
2014-01-24  76.34  76.59  74.12  74.13  4018500  74.13
2014-01-23  77.2  77.36  76.7  77.11  1823700  77.11
2014-01-22  78.05  78.21  77.1  77.94  2602800  77.94
2014-01-21  78.6  78.8  77.67  78.0  4901200  78.0
2014-01-17  78.63  78.63  77.66  77.87  2638300  77.87
2014-01-16  78.21  78.64  78.04  78.53  2517600  78.53
2014-01-15  78.33  78.37  77.69  78.21  2831200  78.21
2014-01-14  77.61  78.3  76.9  78.26  4642100  78.26
2014-01-13  77.32  77.55  76.09  76.15  2572000  76.15
2014-01-10  77.6  77.73  76.87  77.68  2067200  77.68
2014-01-09  77.12  77.57  76.58  77.48  3084600  77.48
2014-01-08  76.39  76.92  76.28  76.56  2276500  76.56
2014-01-07  76.15  76.57  75.94  76.52  2006400  76.52
2014-01-06  76.95  77.21  75.85  75.89  1955800  75.89
2014-01-03  76.45  76.96  76.33  76.56  1190800  76.56
2014-01-02  76.66  77.01  76.1  76.45  2010400  76.45
2013-12-31  77.11  77.33  76.85  77.2  1054100  77.2
2013-12-30  76.99  77.13  76.62  76.82  971400  76.82
2013-12-27  77.17  77.39  76.79  77.05  835600  77.05
2013-12-26  77.0  77.06  76.76  76.92  1912800  76.92
2013-12-24  76.58  77.14  76.58  76.77  1071900  76.77
