Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  80.84  81.59  80.17  80.81  7030700  80.81
2014-02-27  80.0  80.59  79.86  80.48  4919800  80.48
2014-02-26  80.63  80.95  79.59  80.08  5775600  80.08
2014-02-25  80.72  81.35  80.04  80.21  6064300  80.21
2014-02-24  80.5  81.59  80.46  80.73  6635200  80.73
2014-02-21  79.07  80.45  78.8  80.13  8252300  80.13
2014-02-20  79.21  79.65  78.84  79.19  5748700  79.19
2014-02-19  79.5  79.78  78.8  78.87  7024000  78.87
2014-02-18  79.5  80.0  79.43  79.58  6136500  79.58
2014-02-14  77.88  79.47  77.77  79.23  7001100  79.23
2014-02-13  77.52  78.24  77.2  77.9  5955400  77.9
2014-02-12  77.66  78.01  77.64  77.91  6329500  77.91
2014-02-11  77.15  77.92  77.11  77.79  8186200  77.79
2014-02-10  75.67  77.31  75.57  77.06  8781600  77.06
2014-02-07  75.08  75.7  74.61  75.67  11480100  75.67
2014-02-06  75.61  76.73  74.78  75.56  19821900  75.56
2014-02-05  72.05  72.05  70.37  71.76  11573300  71.76
2014-02-04  70.94  71.25  69.88  71.05  11278800  71.05
2014-02-03  72.66  72.73  69.85  69.99  11964800  69.99
2014-01-31  72.2  73.32  71.8  72.61  7748500  72.61
2014-01-30  72.09  73.63  72.0  73.22  7550500  73.22
2014-01-29  71.97  72.24  71.12  71.33  8604800  71.33
2014-01-28  72.26  73.0  72.24  72.88  5508400  72.88
2014-01-27  72.47  72.91  71.72  72.25  7415100  72.25
2014-01-24  74.1  74.23  72.72  72.72  7334900  72.72
2014-01-23  74.53  74.95  74.15  74.79  6280900  74.79
2014-01-22  74.08  75.43  74.05  75.31  6795100  75.31
2014-01-21  73.99  74.88  73.3  74.2  7507100  74.2
2014-01-17  74.43  74.63  73.68  73.98  6624800  73.98
2014-01-16  74.39  74.4  73.72  74.21  5597400  74.21
2014-01-15  74.3  75.1  74.25  74.28  7283900  74.28
2014-01-14  73.71  74.58  73.29  74.45  5996500  74.45
2014-01-13  74.9  75.13  73.05  73.27  8232800  73.27
2014-01-10  75.08  75.51  74.56  75.39  6219000  75.39
2014-01-09  75.46  75.46  74.32  74.9  8052900  74.9
2014-01-08  76.13  76.28  74.81  75.22  10900300  75.22
2014-01-07  76.12  76.7  75.9  76.34  4494900  76.34
2014-01-06  76.53  76.84  75.49  75.82  6816200  75.82
2014-01-03  76.3  76.7  76.01  76.11  4060700  76.11
2014-01-02  76.04  76.5  75.9  76.27  5200900  76.27
2013-12-31  76.28  76.5  75.81  76.4  4692300  76.4
2013-12-30  74.99  76.54  74.89  76.23  8578900  76.23
2013-12-27  74.65  74.78  73.93  74.35  3844800  74.35
2013-12-26  73.95  74.69  73.91  74.62  4620100  74.62
2013-12-24  73.25  73.86  73.25  73.85  2883600  73.85
2013-12-23  72.89  73.33  72.66  73.28  5621900  73.28
2013-12-20  73.1  73.56  72.34  72.4  12989700  72.4
2013-12-19  72.14  73.08  72.1  72.97  6768100  72.97
2013-12-18  70.96  72.2  70.14  72.2  7971400  72.2
2013-12-17  70.69  70.91  69.83  70.66  6829100  70.66
2013-12-16  69.91  70.85  69.91  70.51  6246600  70.51
2013-12-13  69.9  70.13  69.28  69.62  5784300  69.62
2013-12-12  69.28  70.02  68.8  69.63  8756300  69.63
2013-12-11  70.86  71.25  69.57  69.66  9519200  69.66
2013-12-10  70.05  70.78  70.04  70.7  7112200  70.7
2013-12-09  70.49  70.61  70.05  70.24  6477100  70.24
2013-12-06  70.11  70.62  69.91  70.59  5542000  70.59
2013-12-05  69.43  69.81  69.22  69.37  5587000  69.37
2013-12-04  68.58  69.62  68.48  69.12  4883800  69.12
2013-12-03  69.37  69.55  68.54  69.05  8304700  69.05
2013-12-02  69.93  70.45  69.9  70.05  6774600  70.05
2013-11-29  70.17  70.4  69.53  69.68  4801000  69.68
2013-11-27  70.34  70.38  69.6  69.91  5446100  69.91
2013-11-26  69.07  70.81  69.05  70.31  8850000  70.31
2013-11-25  69.68  69.72  68.75  68.89  5830600  68.89
2013-11-22  69.09  69.47  68.94  69.34  4667500  69.34
2013-11-21  68.62  69.16  68.43  69.09  4498300  69.09
2013-11-20  68.28  69.07  68.24  68.39  4726800  68.39
2013-11-19  68.65  68.87  68.2  68.28  4801700  68.28
2013-11-18  69.2  69.23  68.48  68.65  4904400  68.65
2013-11-15  68.92  69.32  68.71  69.15  6184400  69.15
2013-11-14  68.3  69.3  68.16  69.17  7246600  69.17
2013-11-13  66.61  68.15  66.48  68.13  5681000  68.13
2013-11-12  67.49  67.61  66.59  66.94  6586700  66.94
2013-11-11  67.65  67.91  67.36  67.51  4954000  67.51
2013-11-08  66.05  68.56  65.9  67.74  16182800  67.74
2013-11-07  68.49  68.49  66.27  66.33  10496300  66.33
2013-11-06  68.34  68.77  67.78  68.16  6503200  68.16
2013-11-05  67.93  68.22  67.23  68.01  5140600  68.01
2013-11-04  68.56  68.7  67.57  67.97  4790200  67.97
2013-11-01  67.87  68.34  67.67  68.17  5008600  68.17
2013-10-31  67.63  68.45  67.51  67.75  5706100  67.75
2013-10-30  68.38  68.46  67.11  67.64  5816100  67.64
2013-10-29  68.28  68.54  67.94  68.08  4450200  68.08
2013-10-28  68.51  68.63  68.08  68.16  4469200  68.16
2013-10-25  68.48  69.02  68.13  68.42  6613300  68.42
2013-10-24  67.35  68.35  67.19  68.21  6045400  68.21
2013-10-23  67.97  68.36  67.19  67.29  5864500  67.29
2013-10-22  67.11  68.29  66.93  68.16  7860700  68.16
2013-10-21  66.45  66.81  66.35  66.79  4845800  66.79
2013-10-18  65.69  66.45  65.18  66.33  7587000  66.33
2013-10-17  65.38  65.78  65.18  65.61  6952100  65.61
2013-10-16  65.83  66.04  65.32  65.54  7724800  65.54
2013-10-15  65.92  66.12  65.13  65.63  5943100  65.63
2013-10-14  65.08  66.17  64.98  66.02  6461500  66.02
2013-10-11  64.86  65.78  64.7  65.4  6735000  65.4
2013-10-10  63.69  64.87  63.51  64.78  7676600  64.78
2013-10-09  63.23  63.39  62.33  62.81  8746900  62.81
2013-10-08  63.73  63.98  63.19  63.22  8636300  63.22
2013-10-07  64.02  64.51  63.78  63.8  5840900  63.8
2013-10-04  63.24  64.63  63.19  64.5  6546000  64.5
2013-10-03  63.93  64.14  63.05  63.24  7264100  63.24
2013-10-02  63.67  64.54  63.62  64.09  7218800  64.09
2013-10-01  63.59  64.45  63.58  64.04  4881200  64.04
2013-09-30  63.94  64.15  63.6  63.7  7463200  63.7
2013-09-27  64.18  64.65  63.91  64.4  5586000  64.4
2013-09-26  63.57  64.49  63.46  64.44  6971200  64.44
