Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  66.68  67.08  66.08  66.57  2079800  66.57
2014-02-27  66.72  66.75  66.04  66.61  2191000  66.61
2014-02-26  66.66  67.16  66.35  66.82  1438300  66.82
2014-02-25  66.36  66.98  66.15  66.44  4130300  66.44
2014-02-24  65.98  66.78  65.89  66.51  1937700  66.51
2014-02-21  66.02  66.17  65.71  65.91  2002800  65.91
2014-02-20  65.14  65.93  65.01  65.71  2514800  65.71
2014-02-19  64.88  65.62  64.77  65.15  2454100  65.15
2014-02-18  64.43  65.25  63.92  64.98  1958700  64.98
2014-02-14  63.99  64.32  63.75  64.12  1482100  64.12
2014-02-13  63.54  64.39  63.31  64.17  2074000  64.17
2014-02-12  63.21  64.05  63.08  63.84  2231500  63.84
2014-02-11  62.46  62.92  62.23  62.72  1917800  62.72
2014-02-10  62.02  62.44  61.78  62.34  972400  62.34
2014-02-07  61.54  62.19  61.35  62.17  1339900  62.17
2014-02-06  60.95  61.58  60.6  61.31  2394900  61.31
2014-02-05  59.33  60.79  59.31  60.73  3628100  60.73
2014-02-04  59.02  60.06  58.0  59.78  2310300  59.78
2014-02-03  60.83  60.89  58.73  58.9  3055300  58.9
2014-01-31  59.67  60.94  59.54  60.65  1788400  60.65
2014-01-30  60.12  61.1  59.9  60.74  2709800  60.74
2014-01-29  59.46  59.94  59.34  59.6  2195700  59.6
2014-01-28  59.71  60.04  59.26  59.81  1909000  59.81
2014-01-27  59.96  60.12  58.92  59.36  1558800  59.36
2014-01-24  61.83  62.07  59.57  59.69  1765000  59.69
2014-01-23  62.51  62.69  61.62  62.06  1831900  62.06
2014-01-22  62.88  63.17  62.4  63.0  2152400  63.0
2014-01-21  62.83  63.09  62.4  62.75  3250100  62.75
2014-01-17  62.06  62.59  61.95  62.46  2714400  62.46
2014-01-16  61.98  62.3  61.53  61.98  1130600  61.98
2014-01-15  61.97  62.74  61.24  62.17  3033800  62.17
2014-01-14  60.64  61.8  59.71  61.74  2336800  61.74
2014-01-13  60.91  61.56  59.75  59.97  1335100  59.97
2014-01-10  60.74  61.35  60.67  61.23  1848900  61.23
2014-01-09  60.58  60.94  59.8  60.38  1812500  60.38
2014-01-08  60.21  60.85  59.97  60.52  2916000  60.52
2014-01-07  59.5  60.32  59.18  60.1  3080200  60.1
2014-01-06  59.58  59.63  58.62  59.05  1311500  59.05
2014-01-03  59.31  59.65  58.84  59.04  891800  59.04
2014-01-02  59.41  59.77  58.72  59.19  747000  59.19
2013-12-31  59.69  59.98  59.43  59.9  702000  59.9
2013-12-30  59.47  59.93  59.35  59.61  667200  59.61
2013-12-27  59.98  60.09  59.39  59.6  527800  59.6
2013-12-26  59.98  60.19  59.69  59.82  946300  59.82
2013-12-24  59.44  59.96  59.38  59.76  623500  59.76
2013-12-23  58.71  59.37  58.49  59.21  1373400  59.21
2013-12-20  58.88  58.97  58.07  58.12  2980400  58.12
2013-12-19  59.87  59.98  58.65  58.74  1348900  58.74
2013-12-18  59.57  59.98  58.51  59.9  2433100  59.9
2013-12-17  59.31  60.04  59.11  59.58  1897000  59.58
2013-12-16  58.63  59.48  58.63  59.4  1266700  59.4
2013-12-13  57.96  58.7  57.82  58.37  1475900  58.37
2013-12-12  57.27  57.91  57.26  57.64  700200  57.64
2013-12-11  58.51  58.8  57.21  57.43  1511300  57.43
2013-12-10  57.75  58.95  57.41  58.89  2132300  58.89
2013-12-09  58.43  59.1  57.89  58.01  1579700  58.01
2013-12-06  58.14  58.52  57.63  58.21  1794900  58.21
2013-12-05  57.04  58.05  57.04  57.26  1813900  57.26
2013-12-04  56.63  57.53  56.47  57.25  1846600  57.25
2013-12-03  57.11  57.46  56.53  57.0  1677200  57.0
2013-12-02  58.16  58.63  57.38  57.56  950700  57.56
2013-11-29  58.22  58.73  57.81  58.32  691300  58.32
2013-11-27  57.83  58.1  57.58  57.8  695900  57.8
2013-11-26  57.67  57.83  57.14  57.47  1658700  57.47
2013-11-25  58.03  58.2  57.33  57.44  1168600  57.44
2013-11-22  57.73  57.81  57.19  57.65  1083800  57.65
2013-11-21  56.83  57.97  56.77  57.63  1246000  57.63
2013-11-20  56.44  57.08  56.07  56.68  2874900  56.68
2013-11-19  57.56  58.26  55.79  55.97  3574200  55.97
2013-11-18  57.91  58.11  57.18  57.45  1639900  57.45
2013-11-15  57.11  57.87  56.83  57.85  2391600  57.85
2013-11-14  55.61  56.86  55.59  56.73  1487100  56.73
2013-11-13  54.48  55.65  54.45  55.65  1454900  55.65
2013-11-12  54.36  54.85  54.19  54.79  2116000  54.79
2013-11-11  54.74  54.96  54.04  54.42  1457200  54.42
2013-11-08  53.64  55.09  53.64  55.03  1864400  55.03
2013-11-07  55.53  55.68  53.45  53.64  3031000  53.64
2013-11-06  55.59  56.27  54.62  55.47  2578100  55.47
2013-11-05  54.05  55.36  53.03  54.63  4038700  54.63
2013-11-04  57.17  57.64  56.86  57.6  1873900  57.6
2013-11-01  56.8  57.18  56.22  57.11  1426700  57.11
2013-10-31  56.02  57.17  55.96  56.8  1162800  56.8
2013-10-30  56.45  57.03  55.71  56.18  2873800  56.18
2013-10-29  56.6  56.61  55.96  56.2  3470700  56.2
2013-10-28  57.5  57.67  56.52  56.62  1725900  56.62
2013-10-25  58.41  58.53  57.27  57.63  1987100  57.63
2013-10-24  57.69  58.05  57.26  57.83  1082300  57.83
2013-10-23  58.9  58.96  57.13  57.5  2026900  57.5
2013-10-22  59.41  59.64  58.47  59.0  1402200  59.0
2013-10-21  59.81  59.88  58.74  59.08  1048900  59.08
2013-10-18  59.88  59.88  59.2  59.58  3907100  59.58
2013-10-17  58.53  59.63  58.43  59.62  1905000  59.62
2013-10-16  57.23  58.65  57.06  58.65  2105300  58.65
2013-10-15  56.72  57.18  56.23  56.5  989100  56.5
2013-10-14  56.41  57.38  55.98  56.98  2292400  56.98
2013-10-11  57.23  57.45  56.56  56.91  2197300  56.91
2013-10-10  55.84  57.48  55.52  57.32  2036100  57.32
2013-10-09  55.57  55.93  54.25  55.52  2713600  55.52
2013-10-08  57.35  57.6  55.47  55.49  2301600  55.49
2013-10-07  57.07  57.79  56.72  57.37  1139400  57.37
2013-10-04  57.18  58.06  57.18  57.61  3688300  57.61
2013-10-03  57.45  57.85  56.51  57.14  2087000  57.14
2013-10-02  58.13  58.13  57.19  57.8  1535300  57.8
2013-10-01  58.29  59.13  57.58  58.42  5519200  58.42
2013-09-30  57.54  58.09  56.91  58.01  2093000  58.01
2013-09-27  57.7  58.09  57.56  58.03  1335600  58.03
2013-09-26  57.45  58.09  57.32  57.96  809800  57.96
2013-09-25  57.74  57.79  57.02  57.27  1147200  57.27
2013-09-24  56.81  58.07  56.72  57.58  1429900  57.58
2013-09-23  57.31  57.57  56.22  56.91  1021400  56.91
2013-09-20  57.96  58.2  57.48  57.6  2802800  57.6
2013-09-19  57.31  57.97  57.22  57.7  1557200  57.7
2013-09-18  56.66  57.47  55.96  56.96  2037700  56.96
2013-09-17  56.7  56.97  56.07  56.68  1576400  56.68
2013-09-16  57.39  57.39  56.57  56.62  897500  56.62
2013-09-13  56.19  56.51  55.62  56.5  1285800  56.5
2013-09-12  57.16  57.19  55.57  56.17  1674200  56.17
2013-09-11  56.99  57.45  56.74  57.25  1800600  57.25
2013-09-10  56.6  57.32  56.6  57.0  1305900  57.0
