Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  99.09  99.84  98.35  99.21  979900  99.21
2014-02-27  98.78  99.6  98.12  98.91  551400  98.91
2014-02-26  98.7  99.92  98.31  98.83  999300  98.83
2014-02-25  99.73  100.02  97.82  98.71  914400  98.71
2014-02-24  96.07  100.45  95.96  99.72  1768200  99.72
2014-02-21  94.73  95.76  94.44  95.54  955100  95.54
2014-02-20  95.31  95.55  94.27  94.43  813300  94.43
2014-02-19  96.2  96.79  95.04  95.15  538100  95.15
2014-02-18  97.02  97.55  95.84  96.24  394400  96.24
2014-02-14  97.25  97.56  96.32  96.81  443900  96.81
2014-02-13  99.04  99.04  96.31  97.21  547600  97.21
2014-02-12  96.48  97.31  96.38  97.1  446100  97.1
2014-02-11  97.09  97.36  95.85  96.06  550400  96.06
2014-02-10  97.02  97.31  96.26  96.97  593800  96.97
2014-02-07  97.26  98.05  96.87  97.31  401800  97.31
2014-02-06  97.28  97.78  96.07  96.77  545000  96.77
2014-02-05  94.23  97.43  93.85  96.8  1193800  96.8
2014-02-04  114.77  114.77  94.56  95.14  2803000  95.14
2014-02-03  109.18  109.53  105.75  105.97  1022000  105.97
2014-01-31  108.67  110.55  108.57  109.49  649800  109.49
2014-01-30  110.46  110.93  109.81  110.51  491700  110.51
2014-01-29  109.52  111.47  109.04  109.26  627100  109.26
2014-01-28  111.48  111.48  109.87  110.58  463600  110.58
2014-01-27  112.94  112.94  110.22  111.12  490500  111.12
2014-01-24  114.65  115.36  112.69  112.77  496000  112.77
2014-01-23  116.69  116.79  114.84  115.07  469100  115.07
2014-01-22  118.6  118.61  117.52  117.65  308900  117.65
2014-01-21  119.35  119.77  117.96  118.19  407200  118.19
2014-01-17  118.97  119.64  118.32  118.42  560100  118.42
2014-01-16  118.96  119.6  117.72  118.98  406000  118.98
2014-01-15  119.7  120.73  118.8  118.94  401400  118.94
2014-01-14  119.44  119.71  118.82  119.39  488400  119.39
2014-01-13  121.93  122.64  118.69  118.83  399900  118.83
2014-01-10  123.41  124.01  121.93  122.41  397400  122.41
2014-01-09  122.39  123.51  122.09  123.28  407100  123.28
2014-01-08  120.84  122.68  120.3  122.35  475800  122.35
2014-01-07  120.93  121.91  120.24  120.84  367100  120.84
2014-01-06  121.87  122.57  119.91  119.92  443400  119.92
2014-01-03  120.6  121.45  120.22  121.38  513900  121.38
2014-01-02  121.98  122.34  119.81  120.18  429600  120.18
2013-12-31  122.4  122.4  121.77  122.18  262100  122.18
2013-12-30  122.59  122.67  121.58  122.11  195200  122.11
2013-12-27  123.6  123.6  122.1  122.85  320500  122.85
2013-12-26  122.34  122.92  121.27  122.75  259200  122.75
2013-12-24  121.91  122.64  121.91  122.33  119200  122.33
2013-12-23  120.55  122.57  120.13  122.29  429000  122.29
2013-12-20  117.75  120.38  117.31  120.05  471000  120.05
2013-12-19  115.72  117.48  115.72  117.42  418000  117.42
2013-12-18  114.76  116.26  113.23  116.03  558300  116.03
2013-12-17  115.22  115.46  114.47  114.63  437400  114.63
2013-12-16  115.05  115.69  114.84  115.29  446500  115.29
2013-12-13  115.9  116.39  114.66  114.66  399600  114.66
2013-12-12  115.04  116.04  114.87  115.78  462700  115.78
2013-12-11  115.84  115.97  114.84  115.05  761000  115.05
2013-12-10  117.5  117.68  115.74  115.89  409200  115.89
2013-12-09  119.14  120.36  117.54  117.74  345500  117.74
