Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  16.24  16.43  16.15  16.36  4093700  16.36
2014-02-27  16.28  16.32  16.11  16.22  4531600  16.22
2014-02-26  16.28  16.33  16.14  16.29  4678300  16.29
2014-02-25  16.2  16.36  16.0  16.32  7810300  16.32
2014-02-24  16.04  16.42  16.03  16.25  6597100  16.25
2014-02-21  15.91  16.11  15.82  15.94  8900500  15.94
2014-02-20  15.82  15.98  15.5  15.89  13788200  15.89
2014-02-19  16.11  16.29  16.09  16.13  7347900  16.13
2014-02-18  16.3  16.36  16.07  16.13  6437600  16.13
2014-02-14  16.18  16.22  16.06  16.18  3925200  16.18
2014-02-13  16.17  16.31  16.11  16.18  7471500  16.18
2014-02-12  16.35  16.52  15.94  16.29  11489500  16.29
2014-02-11  15.97  16.27  15.97  16.23  4021900  16.23
2014-02-10  16.06  16.08  15.85  16.01  3128000  16.01
2014-02-07  16.07  16.1  15.83  16.08  4670900  16.08
2014-02-06  15.75  16.01  15.64  15.95  3134800  15.95
2014-02-05  15.88  15.97  15.62  15.64  4456200  15.64
2014-02-04  15.62  16.01  15.6  15.91  4879600  15.91
2014-02-03  16.01  16.04  15.54  15.55  6279700  15.55
2014-01-31  15.79  16.15  15.74  16.01  5670600  16.01
2014-01-30  15.82  16.09  15.74  15.96  7587100  15.96
2014-01-29  15.91  16.17  15.82  15.98  7608600  15.98
2014-01-28  15.98  16.16  15.95  16.1  4497900  16.1
2014-01-27  16.15  16.19  15.78  15.92  4498900  15.92
2014-01-24  16.34  16.38  16.09  16.15  6034700  16.15
2014-01-23  16.45  16.47  16.27  16.4  5539700  16.4
2014-01-22  16.51  16.58  16.23  16.5  7550300  16.5
2014-01-21  16.44  16.64  16.33  16.48  7414000  16.48
2014-01-17  16.51  16.53  16.19  16.2  5308100  16.2
2014-01-16  16.39  16.5  16.36  16.39  3436900  16.39
2014-01-15  16.39  16.48  16.29  16.42  3582300  16.42
2014-01-14  16.2  16.48  16.2  16.39  4678800  16.39
2014-01-13  16.37  16.52  15.98  16.01  4081400  16.01
2014-01-10  16.47  16.57  16.33  16.46  3763300  16.46
2014-01-09  16.41  16.63  16.1  16.41  9331800  16.41
2014-01-08  16.49  16.6  16.4  16.59  7154300  16.59
2014-01-07  16.48  16.75  16.42  16.47  5476600  16.47
2014-01-06  16.55  16.56  16.33  16.44  5768500  16.44
2014-01-03  16.64  16.7  16.41  16.48  8788800  16.48
2014-01-02  16.25  16.34  16.08  16.26  5148300  16.26
2013-12-31  16.24  16.49  16.13  16.37  3339900  16.37
2013-12-30  16.49  16.63  16.21  16.22  3579700  16.22
2013-12-27  16.33  16.61  16.3  16.48  2673800  16.48
2013-12-26  16.31  16.46  16.19  16.31  2984700  16.31
2013-12-24  16.26  16.36  16.19  16.33  1145800  16.33
2013-12-23  16.25  16.47  16.16  16.22  3885000  16.22
2013-12-20  16.31  16.39  16.11  16.12  7849200  16.12
2013-12-19  15.97  16.5  15.91  16.36  6211500  16.36
2013-12-18  15.96  16.18  15.75  16.09  6231600  16.09
2013-12-17  16.05  16.09  15.87  15.93  4157500  15.93
2013-12-16  15.95  16.1  15.81  16.07  4778600  16.07
2013-12-13  15.93  15.97  15.56  15.92  5857200  15.92
2013-12-12  16.04  16.08  15.77  15.94  5731300  15.94
2013-12-11  16.17  16.24  15.92  15.98  6404300  15.98
2013-12-10  16.15  16.6  16.12  16.13  5134300  16.13
2013-12-09  16.2  16.27  15.96  16.11  5119600  16.11
2013-12-06  16.62  16.62  16.11  16.21  4923200  16.21
2013-12-05  16.49  16.52  16.33  16.42  3885300  16.42
2013-12-04  16.68  16.7  16.36  16.53  5251800  16.53
2013-12-03  16.59  16.82  16.54  16.69  4758900  16.69
2013-12-02  16.65  16.75  16.49  16.68  3907900  16.68
2013-11-29  16.63  16.9  16.52  16.61  1906500  16.61
2013-11-27  16.84  16.87  16.5  16.61  4447100  16.61
2013-11-26  16.86  17.1  16.75  16.89  3436000  16.89
2013-11-25  17.08  17.08  16.4  16.9  6291300  16.9
2013-11-22  17.4  17.41  16.98  17.24  3820500  17.24
2013-11-21  16.96  17.34  16.91  17.25  5392600  17.25
2013-11-20  17.16  17.43  16.87  16.94  5186800  16.94
2013-11-19  17.18  17.32  16.96  17.16  5105200  17.16
2013-11-18  17.64  17.67  17.18  17.29  6001000  17.29
2013-11-15  17.48  17.6  17.29  17.57  6271900  17.57
2013-11-14  17.48  17.58  17.28  17.37  6284500  17.37
2013-11-13  17.31  17.57  17.2  17.55  10726700  17.55
2013-11-12  18.13  18.23  17.57  17.59  10076300  17.59
2013-11-11  18.73  18.85  18.05  18.13  17053400  18.13
2013-11-08  18.62  19.33  18.62  19.27  10796500  19.27
2013-11-07  19.37  19.42  18.44  18.53  9869000  18.53
2013-11-06  19.24  19.44  18.8  19.36  6763400  19.36
2013-11-05  19.36  19.53  18.96  19.05  5061900  19.05
2013-11-04  18.89  19.36  18.88  19.33  4983900  19.33
2013-11-01  18.93  19.05  18.42  18.78  4191300  18.78
2013-10-31  18.99  19.04  18.59  18.91  4127300  18.91
2013-10-30  19.27  19.42  18.69  18.96  3517800  18.96
2013-10-29  19.1  19.32  19.07  19.27  3245200  19.27
2013-10-28  19.14  19.25  18.89  19.13  4231300  19.13
