Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  71.44  72.0  71.35  71.76  837200  71.76
2014-02-27  71.47  71.98  71.0  71.24  750500  71.24
2014-02-26  72.05  72.21  71.42  71.51  748900  71.51
2014-02-25  71.94  72.46  71.59  71.83  873100  71.83
2014-02-24  72.54  72.65  71.83  71.86  1109500  71.86
2014-02-21  72.39  72.95  72.29  72.29  1482700  72.29
2014-02-20  71.57  72.54  71.57  72.33  1822300  72.33
2014-02-19  72.13  72.45  71.34  71.47  1765700  71.47
2014-02-18  71.98  72.27  71.78  72.12  1479000  72.12
2014-02-14  69.57  71.86  69.19  71.73  2449700  71.73
2014-02-13  68.64  69.64  68.45  69.57  1516500  69.57
2014-02-12  69.09  69.34  68.77  68.9  963000  68.9
2014-02-11  68.11  69.11  68.06  69.1  1188200  69.1
2014-02-10  67.69  68.26  67.26  68.23  925500  68.23
2014-02-07  67.69  67.99  67.48  67.89  1063300  67.89
2014-02-06  67.2  67.65  66.87  67.58  917400  67.58
2014-02-05  67.25  67.29  66.83  67.05  1113300  67.05
2014-02-04  68.25  68.34  66.78  67.46  1723500  67.46
2014-02-03  68.23  69.06  67.82  67.97  2089800  67.97
2014-01-31  66.73  68.34  66.66  68.22  1404600  68.22
2014-01-30  66.65  67.45  66.61  67.28  686600  67.28
2014-01-29  66.24  66.65  66.02  66.33  1118400  66.33
2014-01-28  66.06  66.38  65.91  66.37  1118000  66.37
2014-01-27  65.59  66.42  65.49  65.96  1681200  65.96
2014-01-24  66.29  66.76  65.47  65.47  1583000  65.47
2014-01-23  66.61  66.78  66.18  66.46  1035900  66.46
2014-01-22  66.58  66.94  66.48  66.87  841400  66.87
2014-01-21  66.3  66.66  66.13  66.61  649900  66.61
2014-01-17  65.97  66.27  65.63  65.85  842800  65.85
2014-01-16  65.69  65.91  65.32  65.91  847200  65.91
2014-01-15  66.39  66.39  65.47  65.67  960100  65.67
2014-01-14  66.16  66.45  65.83  66.17  579900  66.17
2014-01-13  66.48  66.67  65.92  66.05  733500  66.05
2014-01-10  66.18  67.34  66.06  66.67  1132100  66.67
2014-01-09  65.39  65.82  65.18  65.68  1135300  65.68
2014-01-08  65.75  65.75  64.92  65.1  1297200  65.1
2014-01-07  65.2  65.86  65.12  65.76  1100000  65.76
2014-01-06  65.15  65.52  64.96  65.19  1067600  65.19
2014-01-03  66.03  66.05  64.84  65.13  1281400  65.13
2014-01-02  66.4  66.44  65.22  65.26  1415300  65.26
2013-12-31  66.32  66.5  65.88  66.39  1902700  66.39
2013-12-30  66.28  66.65  65.98  66.32  866600  66.32
2013-12-27  66.12  66.52  65.89  66.36  740800  66.36
2013-12-26  66.6  66.67  65.92  66.16  619300  66.16
