Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  64.34  64.75  64.08  64.42  2456900  64.42
2014-02-27  63.47  64.42  63.4  64.31  3066400  64.31
2014-02-26  63.81  64.04  63.32  63.73  3244500  63.73
2014-02-25  64.07  64.15  63.19  63.91  3764300  63.91
2014-02-24  63.9  64.91  63.9  64.37  3368500  64.37
2014-02-21  64.67  64.82  63.61  63.67  4596600  63.67
2014-02-20  64.21  64.93  64.05  64.56  3788200  64.56
2014-02-19  63.97  65.64  63.31  64.25  9710000  64.25
2014-02-18  62.35  63.37  62.13  62.91  5131700  62.91
2014-02-14  62.27  62.43  61.57  62.05  2317200  62.05
2014-02-13  60.89  62.46  60.72  62.27  3315400  62.27
2014-02-12  61.87  61.87  60.99  61.18  2341900  61.18
2014-02-11  60.78  61.8  60.56  61.54  2033000  61.54
2014-02-10  60.86  60.94  60.3  60.8  2284600  60.8
2014-02-07  60.49  61.11  60.2  61.02  2993200  61.02
2014-02-06  59.48  60.67  59.04  60.45  3738300  60.45
2014-02-05  59.42  59.64  58.61  59.08  3927600  59.08
2014-02-04  58.73  59.79  58.63  59.32  4608800  59.32
2014-02-03  59.19  59.63  57.67  57.85  4388100  57.85
2014-01-31  58.91  59.75  58.8  59.22  3442100  59.22
2014-01-30  59.11  60.5  58.73  59.67  4712000  59.67
2014-01-29  58.71  59.57  58.21  59.01  3097500  59.01
2014-01-28  58.91  59.52  58.75  59.29  2483400  59.29
2014-01-27  59.47  59.5  58.46  58.67  3576200  58.67
2014-01-24  59.61  59.89  59.15  59.52  3788100  59.52
2014-01-23  60.32  60.59  59.84  60.12  2484400  60.12
2014-01-22  60.09  60.72  59.59  60.41  3092700  60.41
2014-01-21  59.62  60.14  59.0  59.68  2750700  59.68
2014-01-17  59.45  59.58  58.7  59.01  3312000  59.01
2014-01-16  59.11  59.58  58.95  59.37  3042200  59.37
2014-01-15  59.91  60.3  59.12  59.21  3030900  59.21
2014-01-14  59.15  60.1  59.12  59.78  2414400  59.78
2014-01-13  60.49  60.79  59.02  59.18  3198800  59.18
2014-01-10  60.96  61.06  60.26  60.53  2283400  60.53
2014-01-09  61.28  61.52  59.99  60.78  2826200  60.78
2014-01-08  61.48  61.79  60.94  61.31  3503800  61.31
2014-01-07  60.92  61.99  60.78  61.48  3499200  61.48
2014-01-06  60.5  60.65  60.07  60.25  2565900  60.25
2014-01-03  61.3  61.68  60.8  61.03  1735600  61.03
2014-01-02  61.69  61.84  60.92  61.16  2056900  61.16
2013-12-31  61.84  62.19  61.38  61.87  2336400  61.87
2013-12-30  61.75  62.4  61.56  61.8  2724100  61.8
2013-12-27  61.42  61.88  61.13  61.69  1472900  61.69
2013-12-26  61.16  61.46  60.6  61.12  2125300  61.12
2013-12-24  60.74  61.45  60.59  61.26  847800  61.26
2013-12-23  61.31  61.85  60.71  60.81  1940000  60.81
2013-12-20  60.94  61.11  60.13  60.94  3954400  60.94
2013-12-19  59.35  61.12  59.15  60.75  3620000  60.75
2013-12-18  59.7  59.88  58.03  59.34  4353500  59.34
2013-12-17  60.26  60.28  59.6  59.65  3026400  59.65
2013-12-16  59.62  60.56  59.54  60.4  2800500  60.4
2013-12-13  59.43  59.87  59.0  59.22  3039700  59.22
2013-12-12  59.8  60.3  59.39  59.42  2967000  59.42
2013-12-11  60.4  60.55  59.3  59.57  3354600  59.57
2013-12-10  60.26  61.29  60.23  60.6  3200800  60.6
2013-12-09  60.46  60.77  59.91  60.48  2434800  60.48
2013-12-06  61.62  61.67  59.96  60.26  3129000  60.26
2013-12-05  60.39  61.68  60.21  61.14  3845900  61.14
2013-12-04  61.04  61.58  60.55  60.59  3597300  60.59
2013-12-03  60.52  61.71  60.24  61.23  3588500  61.23
2013-12-02  60.67  60.69  60.08  60.32  3362700  60.32
2013-11-29  60.39  61.01  59.98  60.4  2250200  60.4
2013-11-27  61.05  61.29  60.22  60.35  2278600  60.35
2013-11-26  61.23  62.17  61.01  61.05  3299400  61.05
2013-11-25  62.14  62.28  60.57  61.38  3523600  61.38
2013-11-22  62.81  62.87  62.04  62.34  4494500  62.34
2013-11-21  62.99  63.29  62.24  62.37  5586800  62.37
2013-11-20  64.82  65.36  61.83  62.52  14575600  62.52
2013-11-19  59.56  62.97  59.2  62.54  11442600  62.54
2013-11-18  60.4  60.58  59.38  59.57  2724300  59.57
2013-11-15  60.71  60.89  60.01  60.26  2666600  60.26
2013-11-14  60.36  60.81  59.95  60.6  2350800  60.6
2013-11-13  59.5  60.38  59.28  60.38  2674800  60.38
2013-11-12  60.43  60.48  59.24  59.61  3234600  59.61
2013-11-11  61.29  61.29  60.22  60.49  4171600  60.49
2013-11-08  59.55  60.34  59.51  59.89  3538900  59.89
2013-11-07  61.09  61.26  59.31  59.54  6374000  59.54
2013-11-06  64.25  64.25  59.19  61.18  9580600  61.18
2013-11-05  64.04  64.21  63.22  63.56  2663200  63.56
2013-11-04  63.58  64.44  63.53  64.23  2408200  64.23
2013-11-01  62.96  63.72  62.48  63.43  2345900  63.43
2013-10-31  63.12  63.59  62.56  62.99  2407400  62.99
2013-10-30  64.4  64.74  62.62  63.18  2391000  63.18
2013-10-29  64.05  64.5  63.84  64.3  2278400  64.3
2013-10-28  64.51  64.55  63.54  63.8  2508300  63.8
2013-10-25  64.48  64.77  63.66  64.31  1924100  64.31
2013-10-24  63.9  64.57  63.74  64.27  2348900  64.27
2013-10-23  64.8  64.8  63.46  63.87  3223500  63.87
2013-10-22  65.83  66.67  64.97  65.28  5280900  65.28
2013-10-21  64.68  66.57  64.27  65.08  8475700  65.08
2013-10-18  63.21  63.35  62.35  62.98  3229200  62.98
2013-10-17  62.19  62.9  61.78  62.74  2647500  62.74
2013-10-16  61.25  62.86  61.08  62.26  4179700  62.26
2013-10-15  60.52  61.27  60.28  60.75  2868100  60.75
2013-10-14  60.08  60.98  59.92  60.72  2246700  60.72
2013-10-11  59.77  61.15  59.56  60.58  3305800  60.58
2013-10-10  58.59  60.19  58.58  60.06  4366200  60.06
2013-10-09  58.02  58.52  57.74  58.09  3133100  58.09
2013-10-08  58.4  58.78  57.93  57.99  2877200  57.99
2013-10-07  58.28  58.97  58.1  58.15  1732300  58.15
2013-10-04  57.89  58.93  57.78  58.71  2074800  58.71
2013-10-03  57.92  58.24  57.6  57.76  2166100  57.76
2013-10-02  58.19  58.45  57.37  58.08  1930300  58.08
2013-10-01  57.65  58.73  57.6  58.39  2260700  58.39
2013-09-30  57.76  57.77  56.99  57.55  3530700  57.55
2013-09-27  59.03  59.31  58.07  58.5  3262200  58.5
2013-09-26  59.31  59.52  58.83  59.25  2038900  59.25
2013-09-25  59.54  59.87  59.22  59.28  2289300  59.28
2013-09-24  59.33  59.87  59.03  59.51  2627700  59.51
2013-09-23  59.26  59.43  58.88  59.36  2918300  59.36
2013-09-20  59.5  60.02  59.16  59.32  3796500  59.32
2013-09-19  59.81  59.98  59.08  59.46  2458700  59.46
2013-09-18  58.47  60.16  58.43  59.6  4457800  59.6
2013-09-17  57.92  58.86  57.84  58.65  2027400  58.65
2013-09-16  58.74  58.79  57.79  57.9  2059700  57.9
2013-09-13  58.9  58.98  58.04  58.18  1780800  58.18
2013-09-12  58.95  59.46  58.51  58.69  1869400  58.69
2013-09-11  58.21  58.92  58.16  58.92  2996200  58.92
2013-09-10  58.75  58.75  57.93  58.27  2388300  58.27
2013-09-09  58.21  58.67  58.07  58.59  2112300  58.59
2013-09-06  58.39  58.79  57.9  57.95  2422200  57.95
2013-09-05  57.08  58.36  57.07  58.3  3291500  58.3
2013-09-04  56.78  57.43  56.74  57.08  2160600  57.08
2013-09-03  57.36  57.46  56.57  56.81  2229600  56.81
2013-08-30  56.46  57.11  56.43  56.67  2037600  56.67
2013-08-29  56.98  57.22  56.23  56.35  1937000  56.35
2013-08-28  56.6  57.95  56.56  57.08  2818000  57.08
2013-08-27  57.14  57.57  56.41  56.54  3145800  56.54
2013-08-26  57.75  58.15  57.6  57.64  2349800  57.64
2013-08-23  56.95  57.89  56.84  57.7  2219100  57.7
2013-08-22  55.83  57.29  55.74  56.91  1776000  56.91
2013-08-21  55.99  56.54  55.62  55.67  3354900  55.67
2013-08-20  56.53  57.16  56.1  56.11  2752000  56.11
2013-08-19  57.03  57.08  55.97  56.03  2860700  56.03
2013-08-16  57.39  57.47  56.46  56.96  2501500  56.96
2013-08-15  57.16  57.69  56.98  57.59  2038000  57.59
2013-08-14  57.25  58.01  57.15  57.52  3254100  57.52
2013-08-13  57.63  57.63  56.77  57.13  1881600  57.13
2013-08-12  57.85  58.21  57.43  57.46  2278500  57.46
2013-08-09  58.25  58.52  57.9  58.07  2604100  58.07
2013-08-08  56.28  58.96  56.28  58.24  5247500  58.24
2013-08-07  57.07  57.17  54.74  56.26  7142800  56.26
2013-08-06  55.56  55.63  55.02  55.39  2664800  55.39
2013-08-05  55.42  55.86  55.3  55.59  2787800  55.59
2013-08-02  55.75  55.79  55.23  55.55  2232500  55.55
2013-08-01  55.11  56.13  55.11  55.92  2344900  55.92
2013-07-31  54.75  55.03  54.5  54.61  3380000  54.61
2013-07-30  54.5  54.66  53.69  54.49  3562800  54.49
2013-07-29  54.98  55.38  54.09  54.34  3070700  54.34
2013-07-26  55.86  56.02  55.01  55.43  2728200  55.43
2013-07-25  55.86  56.38  55.65  56.08  2892800  56.08
2013-07-24  56.98  56.98  55.68  55.93  2856400  55.93
2013-07-23  57.09  57.42  56.62  56.98  2056100  56.98
2013-07-22  57.33  57.43  56.69  56.87  1843700  56.87
2013-07-19  56.4  57.56  56.33  57.46  3073600  57.46
2013-07-18  55.93  56.69  55.78  56.36  2257000  56.36
2013-07-17  55.83  56.25  55.63  55.76  1378600  55.76
2013-07-16  55.7  56.01  55.27  55.78  2035500  55.78
2013-07-15  55.18  55.95  54.97  55.69  2055500  55.69
2013-07-12  55.65  56.1  55.05  55.24  2371100  55.24
2013-07-11  55.39  56.48  55.11  55.56  3077100  55.56
2013-07-10  55.32  55.48  54.83  54.86  2696700  54.86
2013-07-09  54.63  55.3  54.5  55.2  2736600  55.2
2013-07-08  54.53  55.02  54.27  54.42  2888600  54.42
2013-07-05  53.34  54.26  53.07  54.16  2797800  54.16
2013-07-03  52.58  53.18  52.16  53.11  1802000  53.11
2013-07-02  51.95  52.71  51.91  52.66  3261400  52.66
2013-07-01  51.74  52.37  51.62  51.9  2865300  51.9
2013-06-28  51.94  52.07  51.29  51.5  3936700  51.5
2013-06-27  52.91  53.26  51.87  51.98  3876300  51.98
2013-06-26  53.1  53.11  52.21  52.6  2154100  52.6
2013-06-25  52.05  52.87  51.57  52.68  3499200  52.68
2013-06-24  52.44  52.46  51.28  51.65  4363100  51.65
2013-06-21  52.81  53.16  52.39  53.04  5514300  53.04
2013-06-20  53.31  53.39  52.14  52.32  4162300  52.32
2013-06-19  54.85  55.06  53.72  53.73  2951100  53.73
2013-06-18  54.53  55.17  54.46  54.89  2458600  54.89
2013-06-17  54.43  54.92  54.23  54.6  2571100  54.6
2013-06-14  54.6  54.82  53.77  53.92  2460600  53.92
2013-06-13  54.12  54.75  53.83  54.64  2298000  54.64
2013-06-12  55.34  55.34  53.95  54.14  2686900  54.14
2013-06-11  54.99  55.09  54.39  54.64  2663400  54.64
2013-06-10  56.14  56.2  55.25  55.58  1960300  55.58
2013-06-07  55.55  56.26  55.17  56.21  3352700  56.21
2013-06-06  57.29  57.35  54.21  55.2  7772100  55.2
2013-06-05  56.5  56.58  55.94  56.0  3001900  56.0
2013-06-04  56.75  57.07  56.26  56.6  1986400  56.6
2013-06-03  56.26  57.1  56.08  56.9  2464800  56.9
2013-05-31  57.51  57.52  56.19  56.21  3303200  56.21
2013-05-30  57.88  58.13  57.12  57.73  2155200  57.73
2013-05-29  57.37  58.19  57.16  58.0  2678800  58.0
2013-05-28  57.84  58.36  57.39  57.57  2538000  57.57
2013-05-24  57.01  57.36  56.62  57.19  2846800  57.19
2013-05-23  57.3  58.02  56.64  57.63  5021500  57.63
2013-05-22  59.68  60.41  58.09  58.48  3598800  58.48
2013-05-21  59.14  60.17  58.91  59.49  3482600  59.49
2013-05-20  58.15  59.27  58.1  59.18  2390300  59.18
2013-05-17  58.0  58.63  57.84  58.13  3107300  58.13
2013-05-16  57.99  58.2  57.25  57.57  2251100  57.57
2013-05-15  58.42  58.7  57.71  58.1  2476500  58.1
2013-05-14  58.5  59.06  58.41  58.78  1883200  58.78
2013-05-13  58.41  58.99  57.91  58.5  2579400  58.5
2013-05-10  57.39  58.54  57.25  58.51  3318800  58.51
2013-05-09  57.74  58.02  57.27  57.73  2288800  57.73
2013-05-08  57.48  58.24  57.37  57.77  2642900  57.77
2013-05-07  57.7  58.18  56.78  57.46  5309400  57.46
2013-05-06  57.49  58.82  57.33  57.74  3829600  57.74
2013-05-03  56.44  57.65  56.32  57.49  4007800  57.49
2013-05-02  55.11  56.24  54.4  56.0  4593400  56.0
2013-05-01  54.64  56.52  53.98  54.62  8214600  54.62
2013-04-30  54.13  54.53  53.85  54.44  3234900  54.44
2013-04-29  53.25  54.43  53.04  54.15  2963600  54.15
2013-04-26  52.99  53.14  52.15  53.0  2691600  53.0
2013-04-25  52.92  53.89  52.71  52.87  2708500  52.87
2013-04-24  52.54  53.12  52.38  52.83  2889900  52.83
2013-04-23  51.24  52.36  50.53  52.33  5267600  52.33
2013-04-22  50.92  51.27  50.24  51.12  4636500  51.12
2013-04-19  52.74  52.84  50.46  50.86  5515000  50.86
2013-04-18  52.32  52.9  51.5  52.5  3129400  52.5
2013-04-17  52.87  52.88  51.49  52.2  3520700  52.2
2013-04-16  53.07  53.55  52.68  53.42  3392500  53.42
2013-04-15  53.72  53.87  52.48  52.5  5542900  52.5
2013-04-12  55.62  55.87  54.3  54.43  5752900  54.43
2013-04-11  55.32  56.05  54.83  55.9  2921700  55.9
2013-04-10  54.89  55.45  54.54  55.17  2566600  55.17
2013-04-09  53.88  54.97  53.59  54.61  2264400  54.61
2013-04-08  53.44  54.1  53.18  53.82  2486400  53.82
2013-04-05  52.37  53.88  52.19  53.39  3446800  53.39
2013-04-04  53.21  53.55  52.51  52.79  3221400  52.79
2013-04-03  54.33  54.43  53.01  53.24  2912600  53.24
2013-04-02  55.06  55.07  54.08  54.33  3133700  54.33
2013-04-01  55.55  55.63  54.41  54.89  3464600  54.89
2013-03-28  56.49  56.65  55.7  55.78  3737300  55.78
2013-03-27  56.29  56.69  56.1  56.49  1787700  56.49
2013-03-26  56.58  56.8  56.16  56.56  2273600  56.56
2013-03-25  57.0  57.5  56.2  56.38  2427100  56.38
2013-03-22  56.56  56.95  56.3  56.66  2472900  56.66
2013-03-21  56.15  57.05  56.01  56.27  2928700  56.27
2013-03-20  57.04  57.34  56.05  56.46  2894200  56.46
2013-03-19  57.27  57.46  56.17  56.61  3818700  56.61
2013-03-18  56.96  57.81  56.7  57.31  3180000  57.31
2013-03-15  56.85  57.86  56.71  57.4  4884200  57.4
2013-03-14  55.13  57.14  55.07  57.03  4114900  57.03
2013-03-13  54.68  55.84  54.68  55.06  3625400  55.06
2013-03-12  55.25  55.66  54.85  55.03  3096900  55.03
2013-03-11  55.19  55.34  54.43  55.13  2598400  55.13
2013-03-08  55.17  55.48  54.96  55.41  2688600  55.41
2013-03-07  53.5  55.04  53.49  54.96  3987100  54.96
2013-03-06  53.44  53.85  53.06  53.51  2834400  53.51
2013-03-05  53.11  53.65  52.86  53.28  3159300  53.28
2013-03-04  52.9  53.0  52.4  52.74  3394500  52.74
2013-03-01  53.07  53.26  52.77  53.08  2720100  53.08
2013-02-28  53.28  53.75  53.06  53.45  4214600  53.45
2013-02-27  52.78  53.65  52.76  53.34  3139400  53.34
2013-02-26  53.53  53.61  51.91  52.93  5166500  52.93
2013-02-25  54.65  54.9  53.18  53.2  4826300  53.2
2013-02-22  54.48  54.66  53.54  54.16  4545400  54.16
2013-02-21  55.52  55.59  54.07  54.07  6534600  54.07
2013-02-20  59.72  59.72  54.93  55.73  9360300  55.73
2013-02-19  58.59  59.71  58.37  59.67  5945000  59.67
2013-02-15  60.0  60.0  57.86  58.37  5356300  58.37
2013-02-14  60.21  60.88  59.5  59.76  5414800  59.76
2013-02-13  59.44  60.84  59.36  60.57  8367000  60.57
2013-02-12  58.92  59.1  58.19  58.65  2573000  58.65
2013-02-11  59.37  59.52  58.43  58.81  2674800  58.81
2013-02-08  58.61  59.6  58.31  59.52  3504000  59.52
2013-02-07  57.44  59.49  57.37  58.62  6514300  58.62
2013-02-06  56.91  57.59  56.79  57.24  2823500  57.24
2013-02-05  56.65  57.5  56.59  57.23  2547300  57.23
2013-02-04  56.86  57.16  56.23  56.33  2501700  56.33
2013-02-01  57.36  57.36  56.3  57.16  3354100  57.16
2013-01-31  56.67  56.81  55.88  56.34  4223800  56.34
2013-01-30  56.12  57.53  56.11  56.89  7736900  56.89
2013-01-29  53.93  56.18  53.76  56.11  7194600  56.11
2013-01-28  54.12  54.25  53.26  53.75  2309900  53.75
2013-01-25  53.67  54.36  53.55  54.16  2526000  54.16
2013-01-24  53.55  53.89  53.25  53.48  2996300  53.48
2013-01-23  54.05  54.13  53.34  53.48  2138100  53.48
2013-01-22  53.41  54.17  53.01  54.17  2905900  54.17
2013-01-18  53.51  53.84  53.18  53.47  2828600  53.47
2013-01-17  53.36  53.65  53.2  53.34  2325700  53.34
2013-01-16  52.74  53.16  52.56  53.06  2176700  53.06
2013-01-15  52.58  53.0  52.39  52.87  2443300  52.87
2013-01-14  53.49  53.62  52.88  53.02  2173100  53.02
2013-01-11  53.11  53.46  52.65  53.45  2983400  53.45
2013-01-10  52.88  53.16  52.56  53.08  3681200  53.08
2013-01-09  53.45  54.01  52.36  52.56  3702300  52.56
2013-01-08  53.6  53.66  53.12  53.41  2410700  53.41
2013-01-07  54.15  54.2  53.66  53.79  3238700  53.79
2013-01-04  52.89  53.89  52.52  53.77  3349500  53.77
2013-01-03  51.57  52.89  51.29  52.6  3714900  52.6
2013-01-02  52.27  52.41  50.86  51.68  4541200  51.68
2012-12-31  50.18  51.34  50.14  51.27  3970100  51.27
2012-12-28  51.09  51.16  50.34  50.39  3184400  50.39
2012-12-27  51.54  51.63  50.78  51.48  2544700  51.48
2012-12-26  52.36  52.56  51.51  51.58  1902500  51.58
2012-12-24  52.52  52.65  51.83  52.09  965600  52.09
2012-12-21  52.42  52.95  52.22  52.67  4521000  52.67
2012-12-20  53.11  53.42  52.61  53.39  3569300  53.39
2012-12-19  53.18  53.32  52.33  52.97  3494200  52.97
2012-12-18  51.37  53.58  51.32  53.34  5161300  53.34
2012-12-17  51.23  51.74  51.04  51.36  3265500  51.36
2012-12-14  51.32  51.43  51.02  51.15  6201600  51.15
2012-12-13  52.09  52.09  51.44  51.55  4396200  51.55
2012-12-12  51.8  52.58  51.68  52.12  4226500  52.12
2012-12-11  51.46  51.75  51.12  51.48  3081100  51.48
2012-12-10  51.87  51.88  51.09  51.35  2576200  51.35
2012-12-07  52.18  52.26  51.44  51.94  2918900  51.94
2012-12-06  51.53  52.34  51.37  52.1  2871000  52.1
2012-12-05  51.05  52.25  50.96  51.64  3330000  51.64
2012-12-04  50.94  51.13  50.66  50.92  4011300  50.92
2012-12-03  51.03  51.4  50.73  50.93  3864300  50.93
2012-11-30  51.6  51.72  50.53  50.71  5763500  50.71
2012-11-29  52.11  52.53  51.54  51.62  3672100  51.62
2012-11-28  51.66  52.22  51.31  52.13  4484500  52.13
2012-11-27  51.91  52.3  51.66  52.13  3631300  52.13
2012-11-26  51.62  51.95  51.45  51.89  2793800  51.89
2012-11-23  52.01  52.25  51.53  52.24  1085600  52.24
2012-11-21  51.77  52.22  51.67  51.91  1788100  51.91
2012-11-20  52.3  52.55  51.5  51.76  3415200  51.76
2012-11-19  52.34  52.7  51.89  52.5  2863900  52.5
2012-11-16  51.65  51.88  50.86  51.43  4110000  51.43
2012-11-15  52.37  52.48  51.01  51.5  4037000  51.5
2012-11-14  52.79  52.99  51.94  52.07  4035100  52.07
2012-11-13  52.52  53.44  52.36  52.7  3578900  52.7
2012-11-12  52.94  53.17  52.78  52.94  2830300  52.94
2012-11-09  52.91  54.0  52.7  52.83  4523100  52.83
2012-11-08  54.02  54.29  52.84  53.02  6761600  53.02
2012-11-07  57.63  57.63  53.06  54.38  9785100  54.38
