Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  28.32  28.71  28.29  28.59  4761800  28.59
2014-02-27  28.15  28.63  27.82  28.54  2909500  28.54
2014-02-26  28.19  28.73  28.0  28.27  4889500  28.27
2014-02-25  28.04  28.16  27.67  28.1  3410200  28.1
2014-02-24  28.03  28.33  27.95  27.96  2294100  27.96
2014-02-21  27.8  28.21  27.8  28.0  3743800  28.0
2014-02-20  28.0  28.14  27.67  27.79  4224800  27.79
2014-02-19  28.18  28.44  27.89  27.91  3398400  27.91
2014-02-18  27.61  28.5  27.57  28.4  3535600  28.4
2014-02-14  27.62  27.8  27.45  27.58  3606300  27.58
2014-02-13  27.52  27.74  27.2  27.56  2957800  27.56
2014-02-12  27.37  27.88  27.34  27.86  3272900  27.86
2014-02-11  26.93  27.55  26.45  27.41  4909700  27.41
2014-02-10  26.76  27.4  26.62  26.88  4858000  26.88
2014-02-07  26.62  27.7  26.46  27.2  9164600  27.2
2014-02-06  25.7  26.65  25.56  26.46  6423300  26.46
2014-02-05  26.05  26.48  25.81  26.16  6565200  26.16
2014-02-04  26.49  26.79  26.16  26.18  9151300  26.18
2014-02-03  26.36  26.65  25.57  26.08  7050400  26.08
2014-01-31  25.93  26.86  25.62  26.4  8244600  26.4
2014-01-30  25.34  26.22  25.3  26.03  6994800  26.03
2014-01-29  25.03  26.06  24.66  25.22  14164800  25.22
2014-01-28  24.55  25.01  24.44  24.87  14116500  24.87
2014-01-27  23.98  24.59  23.73  24.47  8220300  24.47
2014-01-24  23.64  23.96  23.39  23.84  5559800  23.84
2014-01-23  23.95  24.27  23.63  23.87  2630800  23.87
2014-01-22  24.27  24.39  24.02  24.17  4097900  24.17
2014-01-21  24.24  24.59  24.01  24.32  7515100  24.32
2014-01-17  23.03  24.29  22.97  24.1  13893900  24.1
2014-01-16  21.86  22.04  21.25  21.54  9347800  21.54
2014-01-15  22.6  22.85  21.89  21.93  5948900  21.93
2014-01-14  22.6  22.6  21.58  22.46  9022600  22.46
2014-01-13  23.01  23.02  22.33  22.38  4041200  22.38
2014-01-10  22.79  23.03  22.71  23.01  2026700  23.01
2014-01-09  23.42  23.69  22.62  22.75  2788700  22.75
2014-01-08  23.14  23.45  23.11  23.31  3022200  23.31
2014-01-07  22.68  23.38  22.53  23.1  3963000  23.1
2014-01-06  22.81  23.03  22.09  22.53  4300900  22.53
2014-01-03  22.88  23.1  22.5  22.68  3112600  22.68
2014-01-02  22.9  22.96  22.43  22.83  3550700  22.83
2013-12-31  23.0  23.16  22.63  22.94  3337400  22.94
2013-12-30  23.14  23.27  22.74  22.89  4375300  22.89
2013-12-27  23.71  23.77  23.06  23.17  3003900  23.17
2013-12-26  23.89  23.97  23.54  23.67  1778200  23.67
2013-12-24  23.93  23.97  23.72  23.83  1076300  23.83
2013-12-23  23.65  24.0  23.58  23.86  3941900  23.86
2013-12-20  23.47  23.62  23.03  23.54  9411800  23.54
2013-12-19  22.85  23.66  22.66  23.42  6452000  23.42
2013-12-18  22.83  23.38  22.64  22.86  8074200  22.86
2013-12-17  22.1  22.84  22.08  22.75  4517800  22.75
2013-12-16  22.2  22.38  21.85  22.06  6999400  22.06
2013-12-13  21.79  23.22  21.69  22.22  8719800  22.22
2013-12-12  21.05  21.25  20.78  20.97  5213700  20.97
2013-12-11  22.08  22.23  21.04  21.08  8159300  21.08
2013-12-10  22.07  22.35  21.89  22.06  3405900  22.06
2013-12-09  22.02  22.45  21.89  22.19  4538500  22.19
2013-12-06  21.43  22.57  21.05  22.24  8260600  22.24
2013-12-05  21.53  21.55  20.47  21.01  12841600  21.01
2013-12-04  21.72  22.4  21.36  22.34  6561900  22.34
2013-12-03  21.78  22.19  21.47  21.54  5720100  21.54
2013-12-02  22.28  22.38  21.84  21.9  5386300  21.9
2013-11-29  22.09  22.48  21.99  22.17  2471100  22.17
2013-11-27  22.52  22.64  22.04  22.11  5061100  22.11
2013-11-26  22.69  23.18  22.44  22.52  5231200  22.52
2013-11-25  23.16  23.32  22.6  22.78  4066400  22.78
2013-11-22  23.44  23.56  22.72  23.14  4697600  23.14
2013-11-21  23.03  23.59  22.68  23.39  4615200  23.39
2013-11-20  23.37  23.5  22.84  23.0  5860100  23.0
2013-11-19  23.96  24.25  23.09  23.32  7940700  23.32
2013-11-18  24.15  24.58  23.97  24.12  7690600  24.12
2013-11-15  25.74  25.94  23.87  24.06  11144400  24.06
2013-11-14  26.39  26.45  25.77  25.96  2817700  25.96
2013-11-13  26.33  26.49  26.12  26.42  2754100  26.42
2013-11-12  25.95  26.63  25.8  26.44  4179500  26.44
2013-11-11  25.67  25.99  25.37  25.99  2643800  25.99
2013-11-08  25.36  25.95  25.15  25.7  3349500  25.7
2013-11-07  25.74  25.85  25.3  25.33  4929000  25.33
2013-11-06  25.71  25.88  25.57  25.74  3679900  25.74
2013-11-05  25.63  25.69  25.28  25.56  4449100  25.56
2013-11-04  25.67  25.85  25.36  25.73  4329400  25.73
2013-11-01  26.24  26.39  25.13  25.63  10724900  25.63
2013-10-31  25.85  26.98  25.7  26.25  9963800  26.25
2013-10-30  26.13  27.24  25.69  26.0  12936900  26.0
2013-10-29  24.97  25.08  23.95  24.13  6510900  24.13
2013-10-28  24.66  24.95  24.54  24.83  4083900  24.83
2013-10-25  24.87  25.15  24.57  24.75  2343900  24.75
2013-10-24  24.7  24.91  24.5  24.74  2648200  24.74
2013-10-23  25.22  25.25  24.41  24.61  3167700  24.61
2013-10-22  24.49  25.65  24.0  25.23  7725100  25.23
2013-10-21  25.1  25.24  24.47  24.5  4032800  24.5
2013-10-18  24.71  25.07  24.52  25.03  4125700  25.03
2013-10-17  23.95  24.57  23.94  24.53  4001300  24.53
2013-10-16  24.09  24.77  24.03  24.21  5751000  24.21
2013-10-15  24.35  24.65  23.94  23.97  6468800  23.97
2013-10-14  24.58  24.67  24.28  24.59  5349800  24.59
2013-10-11  25.21  25.29  24.62  24.72  4891400  24.72
2013-10-10  24.53  25.24  24.47  25.22  3843000  25.22
2013-10-09  24.18  24.28  23.68  24.15  4026900  24.15
2013-10-08  25.26  25.39  24.06  24.07  5554700  24.07
2013-10-07  25.24  25.6  25.12  25.25  3633100  25.25
2013-10-04  25.12  25.9  25.06  25.76  2814500  25.76
2013-10-03  25.65  25.76  25.05  25.08  3791300  25.08
2013-10-02  25.82  25.99  25.06  25.62  6100300  25.62
2013-10-01  25.69  26.54  25.55  26.42  5933900  26.42
2013-09-30  25.59  25.76  25.16  25.55  5138800  25.55
2013-09-27  26.07  26.24  25.55  25.95  4746800  25.95
2013-09-26  26.7  26.88  26.13  26.15  2884500  26.15
2013-09-25  26.54  26.89  26.27  26.6  1695600  26.6
2013-09-24  26.27  26.68  26.21  26.55  3328400  26.55
2013-09-23  26.43  26.7  26.18  26.19  3160000  26.19
2013-09-20  27.02  27.07  26.43  26.54  4571000  26.54
2013-09-19  27.06  27.24  26.73  26.98  2569600  26.98
2013-09-18  27.5  27.58  26.57  26.86  5299600  26.86
2013-09-17  26.87  27.75  26.64  27.6  4402700  27.6
2013-09-16  27.04  27.32  26.85  26.96  3631300  26.96
2013-09-13  26.54  27.18  26.52  26.67  3537300  26.67
2013-09-12  26.71  26.76  26.23  26.39  3597500  26.39
2013-09-11  26.91  27.05  26.26  26.71  4093100  26.71
2013-09-10  27.36  27.44  26.83  26.95  3072500  26.95
2013-09-09  26.93  27.37  26.64  27.11  3585400  27.11
2013-09-06  27.37  27.41  26.46  26.76  5234900  26.76
2013-09-05  27.77  28.0  27.64  27.68  1690500  27.68
2013-09-04  27.49  28.0  27.1  27.99  3311600  27.99
2013-09-03  27.03  27.64  27.03  27.36  3014100  27.36
2013-08-30  26.98  27.2  26.56  26.64  2997300  26.64
2013-08-29  27.13  27.7  27.04  27.57  2784900  27.57
2013-08-28  26.86  27.25  26.66  27.13  2145900  27.13
2013-08-27  27.49  27.77  26.96  26.99  4285700  26.99
2013-08-26  28.07  28.11  27.62  27.86  2931100  27.86
2013-08-23  27.97  28.13  27.83  27.97  3759300  27.97
2013-08-22  27.0  27.94  26.95  27.78  2959100  27.78
2013-08-21  26.58  26.88  26.32  26.66  3303700  26.66
2013-08-20  26.52  27.92  26.5  26.75  6260600  26.75
2013-08-19  26.74  27.07  26.52  26.57  3308700  26.57
2013-08-16  26.36  26.96  26.33  26.89  4219400  26.89
2013-08-15  26.75  26.75  26.44  26.48  3814700  26.48
2013-08-14  26.13  26.8  26.12  26.66  3318300  26.66
2013-08-13  26.7  26.77  26.42  26.55  1733100  26.55
2013-08-12  26.4  26.85  26.38  26.68  1554400  26.68
2013-08-09  26.49  26.85  26.49  26.65  1502100  26.65
2013-08-08  26.4  26.86  26.4  26.64  2817000  26.64
2013-08-07  26.24  26.52  26.04  26.34  2015800  26.34
2013-08-06  26.5  26.76  26.22  26.44  2271200  26.44
2013-08-05  26.41  26.89  26.16  26.53  2610100  26.53
2013-08-02  26.65  26.65  26.14  26.57  3633900  26.57
