Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  106.61  108.2  106.47  107.75  1331400  107.75
2014-02-27  105.0  106.78  104.87  106.65  953600  106.65
2014-02-26  104.81  106.19  104.58  105.43  1201600  105.43
2014-02-25  102.14  105.04  102.14  104.58  1576100  104.58
2014-02-24  101.89  102.72  101.35  102.39  1339600  102.39
2014-02-21  102.3  105.0  101.35  102.19  1998400  102.19
2014-02-20  102.06  102.18  101.01  101.87  1523700  101.87
2014-02-19  103.03  104.15  101.94  101.97  927100  101.97
2014-02-18  103.39  103.69  103.01  103.08  762100  103.08
2014-02-14  102.3  103.28  102.13  103.15  582700  103.15
2014-02-13  100.68  102.77  100.55  102.3  743700  102.3
2014-02-12  101.35  101.76  101.03  101.14  788700  101.14
2014-02-11  100.62  101.68  100.3  101.41  942000  101.41
2014-02-10  99.95  100.85  99.13  100.62  1040700  100.62
2014-02-07  100.39  100.66  99.81  100.13  1368600  100.13
2014-02-06  99.09  99.94  98.51  99.89  1117200  99.89
2014-02-05  98.38  99.36  97.65  99.16  943800  99.16
2014-02-04  98.95  99.09  97.89  98.7  1280100  98.7
2014-02-03  100.29  101.27  97.87  98.03  1580100  98.03
2014-01-31  99.46  101.02  99.23  100.54  1154000  100.54
2014-01-30  100.71  101.6  100.1  100.83  1238700  100.83
2014-01-29  99.36  100.84  99.25  100.23  2023300  100.23
2014-01-28  99.0  100.07  99.0  99.85  936700  99.85
2014-01-27  99.31  99.44  97.94  98.76  1255800  98.76
2014-01-24  101.13  101.4  99.28  99.35  1971400  99.35
2014-01-23  102.78  103.0  101.46  101.94  1180600  101.94
2014-01-22  104.25  104.25  103.4  103.69  814200  103.69
2014-01-21  104.55  104.68  102.85  103.9  875300  103.9
2014-01-17  104.65  104.69  103.93  104.15  884100  104.15
2014-01-16  103.65  104.65  103.62  104.45  793900  104.45
2014-01-15  104.27  104.47  103.11  103.62  1080000  103.62
2014-01-14  103.31  104.37  102.62  104.33  1146600  104.33
2014-01-13  104.91  105.28  102.9  103.1  979400  103.1
2014-01-10  105.75  106.0  104.94  105.39  859100  105.39
2014-01-09  105.0  105.08  103.89  105.0  1092600  105.0
2014-01-08  103.15  104.51  102.81  104.14  1208200  104.14
2014-01-07  102.48  103.84  102.35  103.33  1001700  103.33
2014-01-06  101.41  102.68  101.22  102.28  1657500  102.28
2014-01-03  104.1  104.28  103.78  103.92  554500  103.92
2014-01-02  103.58  104.42  103.41  103.79  814900  103.79
2013-12-31  104.29  104.44  103.87  104.27  898800  104.27
2013-12-30  104.37  104.54  103.95  104.11  792600  104.11
2013-12-27  105.09  105.3  104.33  104.47  502300  104.47
2013-12-26  105.03  105.07  104.35  104.7  687000  104.7
2013-12-24  104.13  104.97  103.84  104.93  369700  104.93
2013-12-23  105.05  105.05  103.86  104.28  871000  104.28
2013-12-20  102.65  104.56  102.55  104.24  1598300  104.24
2013-12-19  103.68  104.0  102.81  102.95  922900  102.95
2013-12-18  102.39  104.11  101.7  104.08  1090100  104.08
2013-12-17  102.68  102.69  101.38  102.06  1565000  102.06
2013-12-16  102.84  102.97  101.99  102.1  1235500  102.1
2013-12-13  102.89  103.3  102.44  102.58  822400  102.58
2013-12-12  102.94  103.28  102.47  102.56  1143900  102.56
2013-12-11  104.74  104.96  102.95  102.96  1115900  102.96
2013-12-10  104.95  105.77  104.62  104.77  1078500  104.77
2013-12-09  106.05  106.06  104.87  105.48  1247500  105.48
2013-12-06  104.02  105.45  103.64  105.41  1500300  105.41
2013-12-05  102.95  103.4  102.35  102.77  1213400  102.77
2013-12-04  103.06  103.7  102.27  103.13  1217800  103.13
2013-12-03  104.98  105.5  102.93  103.37  1589500  103.37
2013-12-02  106.62  106.7  105.37  105.47  956500  105.47
2013-11-29  106.87  107.48  106.57  106.88  417900  106.88
2013-11-27  107.65  107.65  106.52  106.67  772200  106.67
2013-11-26  106.43  107.85  106.01  107.7  1711100  107.7
2013-11-25  107.21  107.61  105.69  106.2  806900  106.2
2013-11-22  107.18  107.26  106.46  107.17  576200  107.17
2013-11-21  106.83  107.47  106.27  107.13  673700  107.13
2013-11-20  106.44  106.87  105.91  106.3  494700  106.3
2013-11-19  106.42  106.92  105.93  106.3  719900  106.3
2013-11-18  107.53  107.6  106.42  106.78  713100  106.78
2013-11-15  107.04  107.57  106.68  107.32  1195100  107.32
2013-11-14  106.43  106.95  105.86  106.74  707800  106.74
2013-11-13  105.72  106.05  104.41  106.01  754200  106.01
2013-11-12  105.53  106.21  104.78  106.15  689200  106.15
2013-11-11  106.21  106.29  105.5  105.71  491400  105.71
2013-11-08  104.53  106.31  104.26  106.28  723100  106.28
2013-11-07  106.11  106.44  104.25  104.34  642600  104.34
2013-11-06  105.64  106.7  105.3  106.11  550300  106.11
2013-11-05  105.18  105.7  104.56  105.04  758000  105.04
2013-11-04  105.94  106.32  105.37  105.68  602200  105.68
2013-11-01  105.92  106.85  104.87  105.41  1060300  105.41
2013-10-31  106.09  106.93  105.54  105.72  1100000  105.72
2013-10-30  107.2  108.05  105.83  106.08  1302100  106.08
2013-10-29  102.92  107.22  102.92  107.19  1765900  107.19
2013-10-28  104.89  105.33  102.62  102.98  1861700  102.98
2013-10-25  104.72  105.03  104.0  104.9  804400  104.9
2013-10-24  103.08  104.72  103.08  104.64  801700  104.64
2013-10-23  103.89  103.89  102.72  103.0  760900  103.0
2013-10-22  102.32  104.09  102.32  103.98  735900  103.98
2013-10-21  102.8  103.36  102.1  102.35  671800  102.35
2013-10-18  102.14  103.47  101.99  103.23  774600  103.23
2013-10-17  101.23  102.17  100.46  102.03  945600  102.03
2013-10-16  100.09  101.67  99.96  101.57  767500  101.57
2013-10-15  100.13  100.55  99.02  99.35  703100  99.35
2013-10-14  99.21  100.62  98.86  100.44  645900  100.44
2013-10-11  98.58  100.06  98.49  99.75  958500  99.75
2013-10-10  98.43  99.13  98.01  98.57  974600  98.57
2013-10-09  96.75  97.69  96.18  97.37  1232400  97.37
2013-10-08  96.97  97.27  96.32  96.65  1083700  96.65
2013-10-07  98.25  98.25  96.96  97.01  951400  97.01
2013-10-04  97.47  99.14  97.24  99.07  731200  99.07
2013-10-03  98.88  98.96  96.79  97.5  1111900  97.5
2013-10-02  99.01  99.24  98.39  99.24  767500  99.24
2013-10-01  98.6  99.3  98.45  99.21  711000  99.21
2013-09-30  97.49  98.77  96.99  98.5  951400  98.5
2013-09-27  98.51  98.79  97.76  97.85  630700  97.85
2013-09-26  98.64  99.04  97.95  98.85  543700  98.85
2013-09-25  98.32  98.7  98.03  98.37  613100  98.37
2013-09-24  98.26  98.57  97.85  98.1  687700  98.1
2013-09-23  98.04  98.75  97.5  98.11  780000  98.11
2013-09-20  98.65  99.04  97.87  97.87  1803000  97.87
2013-09-19  98.78  99.19  98.07  98.54  749600  98.54
2013-09-18  96.13  99.07  95.75  98.74  1172100  98.74
2013-09-17  96.69  96.73  95.71  96.01  910300  96.01
2013-09-16  96.63  97.07  95.74  96.59  681200  96.59
2013-09-13  95.57  95.62  94.76  95.43  686300  95.43
2013-09-12  95.58  95.68  94.61  95.51  794900  95.51
2013-09-11  94.76  95.88  94.39  95.61  877400  95.61
2013-09-10  93.53  94.94  93.53  94.91  952200  94.91
2013-09-09  92.3  93.34  92.3  93.32  630900  93.32
2013-09-06  92.77  93.03  91.65  92.26  925700  92.26
2013-09-05  92.95  93.4  92.53  92.65  750300  92.65
2013-09-04  92.05  93.45  92.02  93.26  1263100  93.26
2013-09-03  92.07  92.53  91.48  92.11  1137700  92.11
2013-08-30  91.43  91.77  90.66  90.89  970000  90.89
2013-08-29  90.36  91.67  90.04  91.18  814500  91.18
2013-08-28  90.33  90.76  90.01  90.37  665300  90.37
2013-08-27  91.2  91.41  90.1  90.14  710600  90.14
2013-08-26  91.36  92.65  91.31  91.97  911600  91.97
2013-08-23  91.2  91.4  90.38  91.25  531800  91.25
2013-08-22  90.17  91.25  89.73  91.08  553700  91.08
2013-08-21  90.11  91.1  89.79  90.23  713400  90.23
2013-08-20  90.7  90.84  90.05  90.14  991400  90.14
2013-08-19  90.75  91.68  90.68  90.77  712100  90.77
2013-08-16  91.48  91.72  90.86  91.25  939600  91.25
2013-08-15  91.89  92.09  90.78  91.73  1252600  91.73
2013-08-14  92.8  93.15  92.3  92.56  651100  92.56
2013-08-13  92.34  92.96  91.87  92.68  459200  92.68
2013-08-12  92.43  92.92  91.86  92.32  722500  92.32
2013-08-09  92.63  93.53  92.13  92.57  918400  92.57
2013-08-08  93.13  93.45  92.55  92.58  642700  92.58
2013-08-07  92.86  93.12  91.98  92.83  846100  92.83
2013-08-06  92.03  93.19  91.95  93.03  783300  93.03
2013-08-05  93.04  93.04  91.53  91.99  711400  91.99
2013-08-02  93.42  93.42  92.31  93.15  756300  93.15
2013-08-01  92.4  93.68  92.36  93.56  1257600  93.56
2013-07-31  93.51  94.49  91.6  91.67  1494900  91.67
2013-07-30  91.98  94.4  91.97  93.28  1190600  93.28
2013-07-29  92.41  92.63  91.02  91.63  1263400  91.63
2013-07-26  92.63  92.82  91.66  92.52  901900  92.52
2013-07-25  93.03  93.32  92.63  93.07  1274700  93.07
2013-07-24  94.52  94.52  93.08  93.21  1178700  93.21
2013-07-23  94.19  94.71  93.69  94.29  1439400  94.29
2013-07-22  92.56  93.87  92.56  93.8  1269600  93.8
2013-07-19  92.16  93.0  91.81  92.93  1718300  92.93
2013-07-18  91.28  92.04  91.11  92.01  794300  92.01
2013-07-17  91.05  91.35  90.68  91.18  1073000  91.18
2013-07-16  90.37  90.95  90.29  90.86  1294400  90.86
2013-07-15  89.74  90.36  89.49  90.31  757400  90.31
2013-07-12  89.37  89.83  88.98  89.83  826000  89.83
2013-07-11  88.85  89.48  88.85  89.44  1120000  89.44
2013-07-10  87.78  88.48  87.48  88.21  815800  88.21
2013-07-09  86.97  88.02  86.89  88.01  871100  88.01
2013-07-08  86.41  86.96  86.22  86.42  605400  86.42
2013-07-05  85.99  86.2  85.14  86.06  584700  86.06
2013-07-03  85.62  85.88  85.25  85.4  873100  85.4
2013-07-02  85.39  86.25  85.26  85.69  1358400  85.69
2013-07-01  85.1  86.49  85.04  85.9  1314900  85.9
2013-06-28  85.21  85.87  84.75  84.76  1450600  84.76
2013-06-27  86.06  86.19  84.73  85.27  1074400  85.27
2013-06-26  84.56  85.56  84.44  85.49  787700  85.49
2013-06-25  84.27  84.44  83.54  83.98  1416200  83.98
2013-06-24  82.58  84.34  82.17  83.51  1288900  83.51
2013-06-21  83.87  83.93  82.51  83.35  2312100  83.35
2013-06-20  84.77  84.87  83.4  83.56  1205200  83.56
2013-06-19  86.28  86.38  85.17  85.25  851500  85.25
2013-06-18  85.93  86.41  85.65  86.29  1000800  86.29
2013-06-17  84.2  85.9  84.19  85.88  1481200  85.88
2013-06-14  83.94  84.27  83.53  83.6  898600  83.6
2013-06-13  83.39  84.22  82.75  84.1  1292800  84.1
2013-06-12  83.69  84.23  83.2  83.6  1682800  83.6
2013-06-11  83.26  84.2  82.87  83.05  842000  83.05
2013-06-10  84.34  84.78  83.81  83.95  1316200  83.95
2013-06-07  83.65  84.16  83.33  84.09  1388400  84.09
