Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  55.75  56.27  55.72  56.05  1551200  56.05
2014-02-27  55.7  55.99  55.4  55.57  2101900  55.57
2014-02-26  56.07  56.28  55.6  55.7  1850900  55.7
2014-02-25  56.46  56.46  56.02  56.11  2549600  56.11
2014-02-24  55.86  56.59  55.68  55.75  3135800  55.75
2014-02-21  55.35  56.68  55.29  55.29  5280500  55.29
2014-02-20  54.79  55.38  54.68  55.3  1859200  55.3
2014-02-19  55.11  55.49  54.69  54.74  1254700  54.74
2014-02-18  55.4  55.6  55.19  55.27  1755300  55.27
2014-02-14  54.5  55.16  54.35  55.16  1621800  55.16
2014-02-13  54.01  54.52  53.98  54.52  1352100  54.52
2014-02-12  54.23  54.3  53.81  54.01  2183200  54.01
2014-02-11  53.7  54.58  53.65  54.43  1954600  54.43
2014-02-10  53.27  53.73  53.0  53.7  1935600  53.7
2014-02-07  53.38  53.57  53.06  53.39  2206200  53.39
2014-02-06  52.84  53.27  52.77  53.17  1390900  53.17
2014-02-05  52.8  52.97  52.63  52.77  2475300  52.77
2014-02-04  53.18  53.33  52.63  52.97  2278100  52.97
2014-02-03  53.81  54.57  52.99  53.11  3375400  53.11
2014-01-31  52.86  53.87  52.77  53.78  3256400  53.78
2014-01-30  52.94  53.36  52.72  53.27  1504900  53.27
2014-01-29  52.46  52.89  52.39  52.63  2292600  52.63
2014-01-28  52.88  52.97  52.48  52.51  2444400  52.51
2014-01-27  53.34  53.34  52.73  52.79  2905400  52.79
2014-01-24  53.21  53.81  52.97  53.02  2614400  53.02
2014-01-23  53.34  53.52  53.06  53.31  2407500  53.31
2014-01-22  53.8  53.98  53.46  53.53  1733900  53.53
2014-01-21  53.37  53.77  53.37  53.76  2159900  53.76
2014-01-17  53.58  53.59  53.25  53.33  2127800  53.33
2014-01-16  53.19  53.31  52.91  53.31  1828900  53.31
2014-01-15  53.25  53.47  53.1  53.2  1477300  53.2
2014-01-14  53.25  53.48  53.08  53.15  1352500  53.15
2014-01-13  53.57  53.7  53.14  53.29  1595900  53.29
2014-01-10  53.27  54.13  53.2  53.7  1908600  53.7
2014-01-09  52.79  53.16  52.52  52.96  2035900  52.96
2014-01-08  53.37  53.39  52.68  52.79  2233800  52.79
2014-01-07  52.73  53.41  52.57  53.32  3040800  53.32
2014-01-06  52.78  52.92  52.49  52.75  2207800  52.75
2014-01-03  52.96  53.17  52.24  52.83  3774100  52.83
2014-01-02  54.51  54.51  53.27  53.33  3332700  53.33
2013-12-31  54.52  54.96  54.36  54.64  2072100  54.64
2013-12-30  54.46  54.7  54.38  54.59  1163100  54.59
2013-12-27  54.36  54.73  54.21  54.41  1048800  54.41
2013-12-26  54.55  54.7  54.14  54.35  1446400  54.35
2013-12-24  54.2  54.92  54.05  54.59  1298800  54.59
2013-12-23  54.34  54.51  53.97  54.13  2313900  54.13
2013-12-20  54.28  54.8  54.06  54.13  3893300  54.13
2013-12-19  54.58  54.58  53.87  54.21  1439100  54.21
2013-12-18  54.09  54.85  53.64  54.76  2207200  54.76
2013-12-17  53.95  54.49  53.9  54.12  2769300  54.12
2013-12-16  54.18  54.34  53.65  53.95  2076200  53.95
2013-12-13  53.84  54.07  53.54  53.7  1293300  53.7
2013-12-12  53.9  54.26  53.7  53.77  2058900  53.77
2013-12-11  54.18  54.32  53.79  53.82  1770900  53.82
2013-12-10  54.76  54.9  54.17  54.2  1855400  54.2
2013-12-09  55.1  55.2  54.35  54.91  2055700  54.91
2013-12-06  54.55  55.22  54.48  55.2  1549600  55.2
2013-12-05  54.72  54.93  54.19  54.32  1782400  54.32
2013-12-04  54.37  54.95  54.12  54.9  1706900  54.9
2013-12-03  54.44  54.72  54.18  54.66  1421100  54.66
2013-12-02  54.57  54.78  54.06  54.44  1687900  54.44
2013-11-29  54.56  54.98  54.5  54.57  827400  54.57
2013-11-27  54.51  54.66  54.36  54.55  1296700  54.55
2013-11-26  55.15  55.15  54.47  54.54  2606300  54.54
2013-11-25  55.36  55.62  55.15  55.21  1792400  55.21
2013-11-22  55.46  55.74  55.24  55.27  2018900  55.27
2013-11-21  56.02  56.07  55.39  55.58  3242500  55.58
2013-11-20  56.77  57.05  56.17  56.28  2447100  56.28
2013-11-19  57.41  57.57  56.85  57.17  1328600  57.17
2013-11-18  57.32  57.6  57.15  57.54  1616400  57.54
2013-11-15  56.89  57.52  56.74  57.39  2188200  57.39
2013-11-14  56.6  57.18  56.47  56.88  1282300  56.88
2013-11-13  55.9  56.49  55.65  56.46  1736000  56.46
2013-11-12  56.29  56.44  55.71  56.17  1673200  56.17
2013-11-11  56.58  56.71  56.18  56.48  1605000  56.48
