Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  67.82  69.5  67.73  68.84  3054400  68.84
2014-02-27  67.53  68.01  67.35  67.6  1989600  67.6
2014-02-26  68.26  68.72  67.86  67.98  2464300  67.98
2014-02-25  67.87  67.94  66.95  67.28  3757700  67.28
2014-02-24  67.41  68.28  67.29  67.7  1373300  67.7
2014-02-21  67.65  68.3  67.39  67.45  1397400  67.45
2014-02-20  67.42  67.9  67.2  67.66  1867100  67.66
2014-02-19  67.5  68.03  67.16  67.19  1843300  67.19
2014-02-18  67.8  68.18  67.37  67.88  1722300  67.88
2014-02-14  67.24  68.08  67.22  67.78  2629000  67.78
2014-02-13  66.5  67.44  66.28  67.34  2955000  67.34
2014-02-12  67.06  67.27  66.27  66.68  3256600  66.68
2014-02-11  66.08  66.94  65.9  66.58  3681600  66.58
2014-02-10  66.3  66.7  65.93  66.19  6060800  66.19
2014-02-07  66.31  66.72  65.59  66.3  3536100  66.3
2014-02-06  66.87  67.0  66.03  66.6  5119800  66.6
2014-02-05  69.35  69.35  63.45  65.17  8099600  65.17
2014-02-04  68.66  69.56  68.49  68.98  2464300  68.98
2014-02-03  68.67  68.87  67.67  68.08  3010600  68.08
2014-01-31  67.67  69.06  67.39  68.54  1897900  68.54
2014-01-30  68.86  69.18  68.01  68.75  2451100  68.75
2014-01-29  69.43  69.46  67.97  68.34  2070200  68.34
2014-01-28  68.7  70.21  68.49  69.64  2551900  69.64
2014-01-27  68.54  68.92  67.38  68.36  3299300  68.36
2014-01-24  70.11  70.27  68.56  68.59  2493500  68.59
2014-01-23  71.32  71.38  70.1  70.26  2240000  70.26
2014-01-22  72.18  72.49  71.59  71.92  1140600  71.92
2014-01-21  72.98  73.77  71.76  71.97  1945200  71.97
2014-01-17  71.48  72.49  71.39  72.35  1516700  72.35
2014-01-16  72.4  72.66  71.87  71.98  2134300  71.98
2014-01-15  73.67  73.72  71.78  72.65  2029200  72.65
2014-01-14  73.77  73.83  72.83  73.52  1546700  73.52
2014-01-13  74.76  74.91  73.55  73.62  2531200  73.62
2014-01-10  73.53  73.96  73.36  73.83  1511000  73.83
2014-01-09  73.3  73.74  72.89  73.22  1138600  73.22
2014-01-08  73.67  73.68  72.71  72.86  1434900  72.86
2014-01-07  74.09  74.53  73.23  73.67  1111700  73.67
2014-01-06  74.52  74.65  73.65  73.86  1265000  73.86
2014-01-03  73.5  74.14  73.38  73.43  802500  73.43
2014-01-02  74.77  74.88  73.34  73.49  1070100  73.49
2013-12-31  75.17  75.33  74.74  75.1  704300  75.1
2013-12-30  74.23  74.96  74.14  74.82  683900  74.82
2013-12-27  74.43  74.82  73.91  74.23  698600  74.23
2013-12-26  74.38  74.71  73.97  74.42  564700  74.42
2013-12-24  74.57  74.66  74.01  74.4  295400  74.4
2013-12-23  74.6  74.92  73.98  74.54  1055100  74.54
2013-12-20  73.06  74.84  73.06  74.13  1200200  74.13
2013-12-19  73.58  74.06  73.43  73.69  687800  73.69
2013-12-18  72.49  73.84  72.09  73.78  1459100  73.78
