Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  65.37  65.91  64.94  65.26  3393000  65.26
2014-02-27  65.22  65.74  64.96  65.25  3091900  65.25
2014-02-26  64.75  65.8  64.58  65.23  4014800  65.23
2014-02-25  64.34  64.91  64.06  64.55  3017700  64.55
2014-02-24  63.62  64.89  63.62  64.32  3556100  64.32
2014-02-21  63.7  64.15  63.42  63.42  2969900  63.42
2014-02-20  63.39  64.1  63.04  63.56  3369300  63.56
2014-02-19  63.61  64.26  63.18  63.27  3890900  63.27
2014-02-18  64.44  64.56  63.76  63.8  4955500  63.8
2014-02-14  64.39  64.97  64.0  64.51  4420300  64.51
2014-02-13  64.56  64.71  63.95  64.54  4202700  64.54
2014-02-12  64.78  65.39  64.65  65.11  3475500  65.11
2014-02-11  64.64  64.86  64.11  64.52  3244800  64.52
2014-02-10  64.5  64.57  64.05  64.56  2613100  64.56
2014-02-07  63.96  64.83  63.82  64.76  2604000  64.76
2014-02-06  63.36  63.99  63.31  63.52  3110500  63.52
2014-02-05  63.36  63.7  62.87  63.34  3943600  63.34
2014-02-04  63.1  64.57  61.84  63.64  5501300  63.64
2014-02-03  65.42  65.86  63.75  63.82  4708100  63.82
2014-01-31  64.96  66.0  64.88  65.5  2577200  65.5
2014-01-30  65.68  66.29  65.3  66.14  2806100  66.14
2014-01-29  65.28  65.86  65.09  65.24  3673800  65.24
2014-01-28  65.27  65.98  65.19  65.9  3777400  65.9
2014-01-27  64.78  65.62  64.23  65.09  4461400  65.09
2014-01-24  66.1  66.39  64.83  64.83  5518400  64.83
2014-01-23  67.98  68.03  66.66  66.9  4368700  66.9
2014-01-22  69.13  69.17  68.05  68.5  2954000  68.5
2014-01-21  68.91  69.44  68.69  69.09  2359800  69.09
2014-01-17  69.27  69.55  68.5  68.66  3596500  68.66
2014-01-16  69.24  69.83  69.08  69.49  2068700  69.49
2014-01-15  68.78  69.53  68.74  69.32  2088200  69.32
2014-01-14  67.91  68.77  67.66  68.75  2780800  68.75
2014-01-13  67.97  68.83  67.48  67.6  3519500  67.6
2014-01-10  68.08  68.46  67.47  68.1  3569700  68.1
2014-01-09  68.44  69.28  67.57  67.82  3431600  67.82
2014-01-08  68.41  68.54  67.8  68.1  2755900  68.1
2014-01-07  68.55  68.67  67.99  68.44  3025900  68.44
2014-01-06  69.31  69.41  68.19  68.39  2492000  68.39
2014-01-03  69.16  69.44  68.78  68.91  1634200  68.91
2014-01-02  69.37  69.57  68.64  68.84  1803100  68.84
2013-12-31  69.84  69.99  69.49  69.72  1665800  69.72
2013-12-30  69.73  70.19  69.61  69.79  1142500  69.79
2013-12-27  69.76  70.01  69.55  69.75  974400  69.75
2013-12-26  69.46  69.81  69.26  69.64  1276300  69.64
2013-12-24  69.02  69.38  68.82  69.3  841100  69.3
2013-12-23  69.1  69.24  68.71  68.91  1721400  68.91
2013-12-20  68.23  69.09  68.23  68.88  5507600  68.88
2013-12-19  67.52  68.35  67.22  68.21  3430800  68.21
2013-12-18  66.29  67.52  65.55  67.5  2749300  67.5
2013-12-17  66.45  66.77  65.98  66.02  2784600  66.02
2013-12-16  66.09  66.92  65.79  66.45  3894400  66.45
2013-12-13  66.23  66.38  65.61  65.76  2687400  65.76
2013-12-12  65.85  66.42  65.73  66.17  2445200  66.17
2013-12-11  66.97  67.08  65.78  65.96  2956600  65.96
2013-12-10  67.06  67.45  66.85  67.09  2310100  67.09
2013-12-09  66.84  67.28  66.77  67.19  2005200  67.19
2013-12-06  66.23  66.87  66.07  66.74  3023500  66.74
2013-12-05  65.89  66.22  65.57  66.01  2167400  66.01
2013-12-04  65.9  66.61  65.53  66.02  2060100  66.02
2013-12-03  66.21  66.59  65.84  66.26  3490100  66.26
2013-12-02  66.55  66.9  66.25  66.32  2406000  66.32
2013-11-29  67.26  67.32  66.51  66.55  1077400  66.55
2013-11-27  66.91  67.17  66.81  67.07  1318000  67.07
2013-11-26  66.56  67.21  66.56  66.79  2012800  66.79
2013-11-25  67.79  67.79  66.39  66.56  3607800  66.56
2013-11-22  67.4  67.6  67.02  67.55  1905400  67.55
2013-11-21  66.81  67.33  66.74  67.27  2121100  67.27
2013-11-20  67.35  67.47  66.45  66.65  2184400  66.65
2013-11-19  67.14  67.4  66.77  66.91  2080100  66.91
2013-11-18  67.66  67.82  66.99  67.14  2432500  67.14
2013-11-15  67.8  67.99  67.0  67.52  3750800  67.52
2013-11-14  66.45  67.05  66.39  66.77  3323200  66.77
2013-11-13  65.04  66.42  65.04  66.41  2468900  66.41
2013-11-12  65.82  66.08  65.33  65.43  3072400  65.43
2013-11-11  66.02  66.23  65.85  66.08  2012700  66.08
2013-11-08  65.15  66.17  65.13  66.1  2727500  66.1
2013-11-07  66.33  66.57  64.98  65.19  5119600  65.19
2013-11-06  66.36  66.62  65.77  66.53  2758200  66.53
2013-11-05  65.56  66.46  65.2  65.98  3188300  65.98
2013-11-04  66.58  66.69  66.3  66.49  2319600  66.49
2013-11-01  66.39  66.49  65.68  66.15  3177700  66.15
2013-10-31  66.03  66.61  65.74  66.1  2450500  66.1
2013-10-30  66.51  66.57  65.91  66.03  2410900  66.03
2013-10-29  66.38  66.51  65.84  66.51  2186200  66.51
2013-10-28  66.32  66.37  65.91  66.24  1914000  66.24
2013-10-25  65.87  66.34  65.52  66.34  2465100  66.34
2013-10-24  65.57  65.93  65.51  65.66  2036500  65.66
2013-10-23  65.44  65.68  65.08  65.6  2740500  65.6
2013-10-22  65.35  66.12  65.26  65.53  2304900  65.53
2013-10-21  64.79  65.33  64.65  65.08  2355700  65.08
2013-10-18  64.48  64.9  64.21  64.78  4670700  64.78
2013-10-17  63.69  64.45  63.69  64.36  3031700  64.36
2013-10-16  64.34  64.55  63.83  63.89  2944400  63.89
2013-10-15  64.35  64.51  63.89  63.92  3422600  63.92
2013-10-14  64.11  64.79  64.06  64.74  1762300  64.74
2013-10-11  64.01  64.58  63.92  64.5  2068900  64.5
2013-10-10  62.97  64.18  62.9  64.13  3553100  64.13
2013-10-09  62.15  62.7  61.91  62.35  3478000  62.35
2013-10-08  62.87  63.11  62.11  62.16  3246800  62.16
2013-10-07  62.5  63.42  62.41  62.89  1968900  62.89
2013-10-04  62.95  63.3  62.69  63.13  2725600  63.13
2013-10-03  63.43  63.62  62.33  62.9  3682300  62.9
2013-10-02  63.83  64.12  63.32  63.59  4071600  63.59
2013-10-01  63.87  64.57  63.66  64.22  3002700  64.22
2013-09-30  63.43  64.14  63.31  63.85  3321300  63.85
2013-09-27  64.28  64.33  63.89  64.05  3463600  64.05
2013-09-26  64.1  64.61  64.08  64.57  2511800  64.57
2013-09-25  64.37  64.5  64.01  64.01  3056700  64.01
2013-09-24  64.15  64.74  64.05  64.11  3940400  64.11
2013-09-23  63.93  64.7  63.93  64.11  3209500  64.11
2013-09-20  65.59  65.63  64.07  64.07  5801600  64.07
2013-09-19  65.02  65.92  65.02  65.63  3184400  65.63
2013-09-18  63.85  65.07  63.74  64.83  2904100  64.83
2013-09-17  63.7  64.12  63.46  64.04  2315600  64.04
2013-09-16  63.96  64.15  63.57  63.69  2815400  63.69
2013-09-13  62.84  63.41  62.74  63.2  3039000  63.2
2013-09-12  62.66  63.29  62.57  62.78  2354200  62.78
2013-09-11  62.81  63.07  62.35  62.76  2479400  62.76
2013-09-10  62.28  63.0  62.2  62.83  3719900  62.83
2013-09-09  60.85  61.95  60.84  61.68  2910500  61.68
2013-09-06  61.14  61.44  60.29  60.67  3973400  60.67
2013-09-05  60.48  61.24  60.27  60.86  2775800  60.86
2013-09-04  59.87  60.8  59.77  60.53  3794500  60.53
2013-09-03  60.27  60.83  59.69  59.91  3282700  59.91
2013-08-30  60.12  60.12  59.35  59.58  2442800  59.58
2013-08-29  59.54  60.28  59.39  59.82  1636400  59.82
2013-08-28  59.77  60.3  59.66  59.7  2638300  59.7
2013-08-27  60.25  60.39  59.71  59.79  2875600  59.79
2013-08-26  61.25  61.57  60.82  60.94  1729700  60.94
2013-08-23  61.33  61.39  60.85  61.15  1814900  61.15
2013-08-22  60.38  61.51  60.24  61.22  2729800  61.22
2013-08-21  60.31  60.88  60.01  60.08  3309800  60.08
