Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  187.72  191.08  187.11  189.42  2538200  189.42
2014-02-27  186.41  187.65  184.49  187.47  1889800  187.47
2014-02-26  183.61  188.41  182.88  186.44  3607200  186.44
2014-02-25  182.85  185.13  179.25  184.0  3730600  184.0
2014-02-24  178.43  181.62  177.03  180.4  3526600  180.4
2014-02-21  180.47  180.97  177.94  178.0  2705400  178.0
2014-02-20  179.04  182.06  178.15  180.03  2256000  180.03
2014-02-19  179.05  181.61  178.4  178.86  1917500  178.86
2014-02-18  178.12  180.26  178.01  179.92  1827300  179.92
2014-02-14  175.71  177.25  174.89  176.96  1168800  176.96
2014-02-13  173.58  176.75  172.6  175.47  1716300  175.47
2014-02-12  175.75  176.9  174.49  175.11  1292500  175.11
2014-02-11  174.3  176.21  173.56  174.73  1649400  174.73
2014-02-10  176.76  176.76  173.07  174.2  1769100  174.2
2014-02-07  174.77  176.88  173.14  176.5  2085300  176.5
2014-02-06  167.69  173.79  167.69  173.25  2571100  173.25
2014-02-05  168.1  169.7  166.77  167.49  2146500  167.49
2014-02-04  162.67  168.99  162.5  168.58  3288400  168.58
2014-02-03  164.61  166.86  161.5  161.74  2264400  161.74
2014-01-31  164.67  167.6  163.18  165.24  1319800  165.24
2014-01-30  165.1  167.5  164.65  166.13  1131500  166.13
2014-01-29  165.92  166.16  163.54  164.65  1640200  164.65
2014-01-28  163.38  167.5  162.29  167.22  1646300  167.22
2014-01-27  165.17  165.49  161.26  162.1  1903000  162.1
2014-01-24  168.05  169.04  165.12  165.53  2822700  165.53
2014-01-23  169.78  171.74  168.23  169.17  2241400  169.17
2014-01-22  170.2  172.3  169.25  171.72  1794300  171.72
2014-01-21  169.16  170.55  168.14  169.23  1597500  169.23
2014-01-17  170.96  171.88  168.92  168.96  1662900  168.96
2014-01-16  170.1  171.17  168.7  170.1  1671200  170.1
2014-01-15  169.46  173.28  169.4  170.36  2044400  170.36
2014-01-14  163.88  168.54  163.45  168.41  1610900  168.41
2014-01-13  167.23  168.08  162.79  163.28  1336300  163.28
2014-01-10  167.27  167.91  165.8  166.62  1474900  166.62
2014-01-09  167.22  168.7  165.29  166.81  1769700  166.81
2014-01-08  165.83  167.64  164.86  166.59  1428900  166.59
2014-01-07  164.88  166.72  163.52  166.66  1643400  166.66
2014-01-06  164.59  165.15  162.16  163.84  1824600  163.84
2014-01-03  165.57  166.47  163.63  164.38  1346900  164.38
2014-01-02  166.39  167.78  163.88  164.84  1471700  164.84
2013-12-31  167.15  168.66  166.28  167.65  1054900  167.65
2013-12-30  168.76  170.31  166.01  167.16  1405700  167.16
2013-12-27  167.95  169.29  167.49  168.97  842600  168.97
2013-12-26  168.27  169.35  167.48  167.83  886100  167.83
2013-12-24  167.63  168.08  166.04  168.07  489100  168.07
