Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  58.37  58.71  58.14  58.47  2544900  58.47
2014-02-27  58.55  58.81  58.0  58.36  1184200  58.36
2014-02-26  59.06  59.06  58.43  58.57  1551100  58.57
2014-02-25  58.69  59.09  58.42  58.79  1594800  58.79
2014-02-24  58.81  59.15  58.55  58.55  2066800  58.55
2014-02-21  58.69  59.01  58.34  58.71  1424300  58.71
2014-02-20  58.52  58.83  58.0  58.73  2025000  58.73
2014-02-19  58.85  59.34  58.36  58.49  2621600  58.49
2014-02-18  58.5  59.02  58.47  59.0  2255500  59.0
2014-02-14  58.32  58.74  58.2  58.58  1835700  58.58
2014-02-13  57.96  58.86  57.86  58.3  3557200  58.3
2014-02-12  58.04  58.21  57.82  58.21  2510700  58.21
2014-02-11  57.46  58.29  57.38  58.03  1986000  58.03
2014-02-10  56.9  57.68  56.77  57.6  2247100  57.6
2014-02-07  56.8  57.14  56.56  56.87  2175700  56.87
2014-02-06  55.67  56.52  55.65  56.48  3199000  56.48
2014-02-05  54.99  55.95  54.56  55.78  3253900  55.78
2014-02-04  55.02  55.5  54.75  55.38  3303500  55.38
2014-02-03  55.23  55.25  54.61  54.8  3092100  54.8
2014-01-31  54.68  55.61  54.52  55.38  3483600  55.38
2014-01-30  54.2  55.25  54.0  55.14  2690400  55.14
2014-01-29  53.61  54.15  53.46  53.95  3138300  53.95
2014-01-28  53.32  53.95  53.3  53.86  2243300  53.86
2014-01-27  53.57  54.07  53.2  53.36  4027300  53.36
2014-01-24  54.74  54.74  53.49  53.7  2667000  53.7
2014-01-23  53.71  53.83  53.48  53.77  2306300  53.77
2014-01-22  54.44  54.86  53.95  53.98  2342800  53.98
2014-01-21  54.13  54.56  53.94  54.42  2155800  54.42
2014-01-17  53.94  54.07  53.62  53.84  1794100  53.84
2014-01-16  53.88  54.09  53.69  53.89  1680100  53.89
2014-01-15  53.76  53.94  53.6  53.78  1926000  53.78
2014-01-14  53.33  53.81  53.25  53.49  1816200  53.49
2014-01-13  53.32  53.63  53.11  53.22  1917400  53.22
2014-01-10  53.71  53.89  53.31  53.57  2115300  53.57
2014-01-09  53.61  53.69  53.02  53.44  2154100  53.44
2014-01-08  52.8  53.41  52.71  53.41  2038800  53.41
2014-01-07  52.96  53.17  52.77  52.93  1180200  52.93
2014-01-06  52.54  53.19  52.43  52.84  1562000  52.84
2014-01-03  52.07  52.61  51.91  52.43  1300200  52.43
2014-01-02  51.74  52.31  51.55  51.99  1520600  51.99
2013-12-31  52.02  52.31  51.72  51.87  1676400  51.87
2013-12-30  51.82  52.24  51.76  52.06  1265600  52.06
2013-12-27  51.78  51.97  51.47  51.84  1290300  51.84
2013-12-26  51.79  52.02  51.57  51.76  1750700  51.76
2013-12-24  51.25  51.66  51.2  51.51  869200  51.51
2013-12-23  51.4  51.65  50.98  51.2  1706100  51.2
2013-12-20  51.14  51.47  50.99  51.31  2570600  51.31
2013-12-19  51.81  51.98  50.97  51.39  1641600  51.39
2013-12-18  51.05  51.85  50.25  51.84  2711500  51.84
2013-12-17  51.1  51.24  50.69  50.97  1949100  50.97
2013-12-16  51.63  51.73  51.24  51.26  1785000  51.26
2013-12-13  51.85  52.06  51.23  51.56  2020800  51.56
2013-12-12  52.32  52.83  51.78  51.79  2765200  51.79
2013-12-11  53.21  53.3  52.38  52.47  3287200  52.47
2013-12-10  52.8  53.37  52.6  53.32  3630700  53.32
2013-12-09  52.33  52.84  52.33  52.81  1856200  52.81
2013-12-06  52.29  52.65  51.91  52.49  1860800  52.49
2013-12-05  52.27  52.42  51.59  51.96  1904900  51.96
2013-12-04  50.93  53.16  50.8  52.27  6087300  52.27
2013-12-03  50.8  51.55  50.71  51.36  2433500  51.36
2013-12-02  50.65  51.19  50.58  51.01  3862500  51.01
2013-11-29  51.51  51.51  50.58  50.89  1665800  50.89
2013-11-27  50.34  51.45  50.27  51.36  3602800  51.36
2013-11-26  49.99  50.3  49.45  50.25  2490300  50.25
2013-11-25  50.56  50.56  49.67  49.97  1440600  49.97
2013-11-22  50.35  50.37  50.0  50.19  2070100  50.19
2013-11-21  50.02  50.35  49.83  50.19  1097000  50.19
2013-11-20  50.4  50.91  49.8  50.01  1005700  50.01
2013-11-19  50.45  50.57  50.11  50.41  1316000  50.41
2013-11-18  50.95  51.08  50.17  50.58  1691300  50.58
2013-11-15  51.32  51.52  50.53  50.74  1609600  50.74
2013-11-14  51.33  51.79  51.09  51.42  1442100  51.42
2013-11-13  50.54  50.91  50.29  50.9  1895700  50.9
2013-11-12  50.8  50.97  50.25  50.65  1265200  50.65
2013-11-11  51.04  51.36  50.9  51.0  1252800  51.0
2013-11-08  51.54  51.71  50.34  51.05  1694400  51.05
2013-11-07  52.06  52.15  51.66  51.79  1687500  51.79
2013-11-06  51.97  52.35  51.92  52.0  1190100  52.0
2013-11-05  52.56  52.72  51.81  51.9  1300700  51.9
2013-11-04  52.26  52.72  52.15  52.7  1733800  52.7
2013-11-01  51.8  52.3  51.68  52.24  2133700  52.24
2013-10-31  52.92  53.19  51.11  51.7  2930200  51.7
2013-10-30  53.17  53.43  52.27  52.48  2162000  52.48
2013-10-29  53.68  53.76  52.79  53.17  1538400  53.17
2013-10-28  54.31  54.38  53.08  53.69  1684000  53.69
2013-10-25  53.13  54.37  52.94  54.22  2405700  54.22
2013-10-24  54.72  54.72  52.94  53.15  3471400  53.15
2013-10-23  54.71  54.97  54.26  54.85  1517900  54.85
2013-10-22  54.53  55.22  54.39  54.77  2067800  54.77
2013-10-21  54.43  54.59  54.02  54.36  1442300  54.36
2013-10-18  55.32  55.36  54.35  54.52  1483900  54.52
2013-10-17  54.25  55.01  53.82  54.9  1473600  54.9
2013-10-16  53.24  54.13  53.06  54.08  1554500  54.08
2013-10-15  52.67  53.32  52.55  52.95  1256700  52.95
2013-10-14  52.72  53.11  52.56  52.96  1259000  52.96
2013-10-11  52.87  53.07  52.35  53.05  1265500  53.05
2013-10-10  51.89  52.89  51.69  52.87  1802400  52.87
2013-10-09  51.54  52.12  51.49  51.57  1095700  51.57
2013-10-08  52.25  52.31  51.48  51.53  1333200  51.53
2013-10-07  51.57  52.52  51.54  52.34  1346200  52.34
2013-10-04  52.14  52.45  51.53  51.97  1448800  51.97
2013-10-03  53.3  53.5  51.97  52.2  2069200  52.2
2013-10-02  53.42  53.91  52.76  53.4  1810200  53.4
2013-10-01  52.94  53.94  52.73  53.63  2152600  53.63
2013-09-30  53.55  54.27  52.68  52.9  1728400  52.9
2013-09-27  53.61  54.15  53.37  53.87  1003100  53.87
2013-09-26  53.84  54.2  53.63  53.98  1218000  53.98
2013-09-25  53.64  54.28  53.33  53.88  1290700  53.88
2013-09-24  54.56  54.71  53.54  53.61  1786200  53.61
2013-09-23  55.07  55.69  54.42  54.49  1155600  54.49
2013-09-20  55.8  55.92  55.06  55.4  5784600  55.4
