Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  101.34  102.67  101.27  102.29  1228200  102.29
2014-02-27  99.84  101.27  99.77  101.16  1266700  101.16
2014-02-26  100.63  101.37  98.72  100.08  1530100  100.08
2014-02-25  101.6  102.17  100.55  101.25  1546600  101.25
2014-02-24  101.28  102.3  100.73  101.79  1723900  101.79
2014-02-21  100.1  101.21  99.58  100.81  1428300  100.81
2014-02-20  100.0  100.44  98.87  100.03  2596900  100.03
2014-02-19  99.83  101.95  99.66  100.01  1795400  100.01
2014-02-18  97.75  100.26  97.75  100.23  2066400  100.23
2014-02-14  96.2  97.74  95.73  97.67  1711100  97.67
2014-02-13  93.71  97.32  93.0  95.64  3318000  95.64
2014-02-12  96.07  97.51  95.08  95.27  2068100  95.27
2014-02-11  94.86  95.81  94.47  95.7  1414800  95.7
2014-02-10  93.76  94.58  92.34  94.4  2472100  94.4
2014-02-07  94.22  95.12  92.29  94.22  1669300  94.22
2014-02-06  94.55  94.99  93.32  94.18  1734700  94.18
2014-02-05  95.62  95.84  92.56  94.08  3267400  94.08
2014-02-04  92.77  96.46  92.61  95.6  2511800  95.6
2014-02-03  92.77  93.48  91.59  92.1  1799800  92.1
2014-01-31  89.67  92.92  89.38  92.78  2415300  92.78
2014-01-30  90.15  90.75  89.29  89.97  1044100  89.97
2014-01-29  90.72  91.58  89.35  90.23  1511500  90.23
2014-01-28  89.51  91.37  89.5  91.06  909500  91.06
2014-01-27  90.32  90.56  88.14  89.34  901600  89.34
2014-01-24  91.65  91.76  90.13  90.67  1010700  90.67
2014-01-23  92.11  93.08  91.06  91.84  1267800  91.84
2014-01-22  91.99  93.58  91.38  92.21  1486700  92.21
2014-01-21  87.8  90.6  87.8  90.54  1012900  90.54
2014-01-17  90.34  90.34  87.36  87.59  1244400  87.59
2014-01-16  87.29  89.21  86.9  89.04  1926200  89.04
2014-01-15  86.74  87.31  86.12  87.05  1050000  87.05
2014-01-14  84.79  86.43  84.79  86.42  1139600  86.42
2014-01-13  86.01  86.72  84.22  84.32  1222400  84.32
2014-01-10  86.23  86.37  85.27  85.99  930000  85.99
2014-01-09  88.48  88.96  85.67  85.97  1400700  85.97
2014-01-08  87.4  88.46  87.18  88.39  1499200  88.39
2014-01-07  87.99  90.15  87.69  87.82  1334000  87.82
2014-01-06  87.78  88.46  86.82  87.76  1085300  87.76
2014-01-03  88.5  88.81  86.94  87.55  724200  87.55
2014-01-02  89.85  90.16  88.09  88.7  807800  88.7
2013-12-31  89.62  90.33  89.34  89.75  743800  89.75
2013-12-30  90.69  91.16  89.61  89.75  581900  89.75
2013-12-27  90.11  90.62  89.72  90.19  418900  90.19
2013-12-26  90.1  90.99  90.1  90.26  740000  90.26
2013-12-24  90.42  90.42  89.23  90.29  265300  90.29
2013-12-23  89.08  90.44  88.84  89.51  1473800  89.51
2013-12-20  87.86  89.09  87.56  88.7  2202300  88.7
2013-12-19  84.52  87.36  84.32  87.24  2501300  87.24
2013-12-18  85.81  85.81  82.03  84.61  4292700  84.61
2013-12-17  86.99  87.15  85.09  85.81  1511700  85.81
2013-12-16  87.4  87.74  85.95  87.13  1563500  87.13
2013-12-13  87.28  87.73  86.25  87.57  1044400  87.57
2013-12-12  86.49  87.45  86.25  87.13  1281800  87.13
2013-12-11  87.91  88.19  85.84  86.41  2657200  86.41
2013-12-10  87.54  88.6  86.82  88.07  1704600  88.07
2013-12-09  86.47  87.66  85.56  87.64  1379200  87.64
2013-12-06  87.16  87.81  85.27  85.64  1631300  85.64
2013-12-05  83.46  86.19  83.01  85.99  1911300  85.99
2013-12-04  83.27  83.69  82.57  83.49  1035000  83.49
2013-12-03  83.97  84.42  83.21  83.36  1638300  83.36
2013-12-02  85.07  85.58  84.03  84.58  1118700  84.58
2013-11-29  85.67  86.25  84.76  85.08  546600  85.08
2013-11-27  86.47  86.73  85.4  85.72  624600  85.72
2013-11-26  87.46  87.91  86.62  86.78  830400  86.78
2013-11-25  87.68  88.02  86.64  87.5  1737500  87.5
2013-11-22  87.97  87.97  86.1  87.62  965500  87.62
2013-11-21  85.5  87.79  85.21  87.64  1379400  87.64
2013-11-20  85.24  85.68  84.44  84.95  1238400  84.95
2013-11-19  84.02  84.78  83.27  84.04  1572600  84.04
2013-11-18  85.58  85.79  83.86  84.02  1708000  84.02
2013-11-15  85.22  85.91  84.21  85.08  1938600  85.08
2013-11-14  85.0  85.75  83.64  85.19  1403200  85.19
2013-11-13  84.45  84.97  83.32  84.81  1448500  84.81
2013-11-12  83.92  84.97  83.56  84.46  2092700  84.46
2013-11-11  83.03  83.44  82.4  83.24  968300  83.24
2013-11-08  80.91  83.63  80.91  83.32  2249200  83.32
2013-11-07  83.17  83.38  80.67  80.99  2444700  80.99
2013-11-06  85.18  85.68  82.86  82.94  2217500  82.94
2013-11-05  85.92  85.92  84.42  84.42  1243400  84.42
2013-11-04  85.88  86.25  85.08  86.04  1136500  86.04
2013-11-01  85.66  86.49  84.21  85.43  1573100  85.43
2013-10-31  86.5  86.54  84.98  85.55  1089500  85.55
