Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  52.88  53.07  52.36  52.66  2421600  52.66
2014-02-27  52.83  52.99  52.0  52.61  1870900  52.61
2014-02-26  53.33  53.46  52.4  52.81  2076800  52.81
2014-02-25  53.34  53.46  52.38  53.35  2804300  53.35
2014-02-24  52.76  53.86  52.76  53.29  3379200  53.29
2014-02-21  52.16  52.69  52.06  52.42  2764700  52.42
2014-02-20  51.08  52.51  51.0  51.94  3748600  51.94
2014-02-19  51.2  52.11  51.2  51.68  3015400  51.68
2014-02-18  51.76  51.91  50.03  51.3  2425000  51.3
2014-02-14  51.46  51.64  50.72  51.24  2285600  51.24
2014-02-13  50.85  51.6  50.42  51.46  1882500  51.46
2014-02-12  52.22  52.25  50.95  51.09  2307100  51.09
2014-02-11  50.74  52.04  50.65  51.92  3243300  51.92
2014-02-10  50.41  51.0  50.2  50.52  2381500  50.52
2014-02-07  50.44  50.72  50.09  50.45  2958700  50.45
2014-02-06  48.69  50.3  48.68  50.09  3125600  50.09
2014-02-05  49.26  49.4  48.25  48.58  2709200  48.58
2014-02-04  49.36  49.94  49.08  49.4  2289000  49.4
2014-02-03  50.07  50.2  49.0  49.14  3061800  49.14
2014-01-31  50.34  50.51  49.65  50.37  2599600  50.37
2014-01-30  50.95  50.97  50.21  50.67  2116500  50.67
2014-01-29  50.96  50.98  50.15  50.52  2945300  50.52
2014-01-28  51.65  52.0  50.82  51.43  2891000  51.43
2014-01-27  51.45  52.05  50.83  51.65  2600200  51.65
2014-01-24  52.47  52.57  50.82  51.34  4890900  51.34
2014-01-23  54.45  54.55  52.25  52.61  5468400  52.61
2014-01-22  55.06  55.18  54.35  55.01  2315900  55.01
2014-01-21  55.04  55.58  54.51  54.97  2351100  54.97
2014-01-17  54.83  55.16  54.54  54.6  2061400  54.6
2014-01-16  55.39  55.39  54.09  54.84  3333100  54.84
2014-01-15  55.95  56.18  55.54  55.62  2196400  55.62
2014-01-14  55.71  55.94  55.3  55.9  2154100  55.9
2014-01-13  56.75  56.87  55.16  55.29  2600700  55.29
2014-01-10  56.81  57.04  56.5  56.94  1854000  56.94
2014-01-09  56.47  56.76  56.15  56.68  1718200  56.68
2014-01-08  57.29  57.29  56.34  56.5  1722900  56.5
2014-01-07  56.94  57.45  56.05  57.33  1990200  57.33
2014-01-06  56.72  56.97  56.2  56.75  1649700  56.75
2014-01-03  56.59  56.85  56.26  56.57  1664100  56.57
2014-01-02  57.13  57.44  56.5  56.57  1689300  56.57
2013-12-31  56.8  57.24  56.61  57.18  1283800  57.18
2013-12-30  56.6  56.9  56.4  56.61  1448800  56.61
2013-12-27  56.12  56.66  56.0  56.59  1257000  56.59
2013-12-26  56.37  56.48  55.85  55.94  1331600  55.94
2013-12-24  54.87  56.5  54.85  56.08  1428500  56.08
2013-12-23  55.25  55.45  54.66  54.83  2658700  54.83
2013-12-20  55.22  55.75  54.93  54.98  8397200  54.98
2013-12-19  55.85  56.03  55.1  55.51  3926900  55.51
2013-12-18  57.66  57.71  55.42  56.07  6695200  56.07
2013-12-17  58.5  58.64  57.5  58.02  1746500  58.02
2013-12-16  58.14  58.82  57.95  58.65  2273500  58.65
2013-12-13  58.07  58.24  57.47  57.65  1513800  57.65
2013-12-12  57.99  58.37  57.15  58.08  2303200  58.08
2013-12-11  59.1  59.41  57.76  57.91  1937000  57.91
