Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  68.2  70.83  68.16  69.76  1515400  69.76
2014-02-27  67.74  68.49  66.86  68.23  953100  68.23
2014-02-26  67.88  68.55  67.57  67.85  591300  67.85
2014-02-25  68.76  68.87  67.73  67.86  714300  67.86
2014-02-24  68.21  69.58  68.21  68.9  915000  68.9
2014-02-21  68.16  69.04  68.1  68.24  991900  68.24
2014-02-20  66.98  68.23  66.71  68.1  754600  68.1
2014-02-19  67.45  67.98  66.96  67.02  719300  67.02
2014-02-18  67.66  67.91  66.54  67.59  1101100  67.59
2014-02-14  67.38  69.14  66.8  67.53  2150600  67.53
2014-02-13  66.52  67.52  66.25  67.19  1072000  67.19
2014-02-12  67.0  67.03  66.44  66.71  1014200  66.71
2014-02-11  66.93  67.09  66.46  66.95  1016200  66.95
2014-02-10  67.0  67.24  66.82  67.01  1202800  67.01
2014-02-07  66.85  67.84  66.83  66.94  1103600  66.94
2014-02-06  66.7  67.45  66.03  66.6  1070000  66.6
2014-02-05  65.41  67.83  65.41  66.53  2007100  66.53
2014-02-04  64.03  66.2  63.25  65.74  3158400  65.74
2014-02-03  65.29  65.47  63.04  64.17  2322700  64.17
2014-01-31  64.71  65.29  64.08  65.12  1510600  65.12
2014-01-30  65.9  65.98  65.04  65.48  902500  65.48
2014-01-29  65.86  66.15  64.99  65.15  1362500  65.15
2014-01-28  66.52  66.93  65.89  66.28  967400  66.28
2014-01-27  68.43  68.71  65.12  66.38  1905700  66.38
2014-01-24  68.05  69.04  67.78  68.81  1686700  68.81
2014-01-23  68.02  68.86  68.02  68.29  898300  68.29
2014-01-22  69.98  70.1  68.14  68.23  2270100  68.23
2014-01-21  68.96  70.29  67.6  69.72  2653400  69.72
2014-01-17  72.89  72.95  68.24  68.54  3936900  68.54
2014-01-16  72.5  73.4  72.15  72.67  2090900  72.67
2014-01-15  70.42  73.48  69.88  71.89  2724500  71.89
2014-01-14  69.11  70.75  69.0  70.6  1310200  70.6
2014-01-13  68.24  69.56  68.24  68.74  1014300  68.74
2014-01-10  68.3  68.56  67.81  68.48  1137500  68.48
2014-01-09  66.89  68.47  66.42  68.41  899100  68.41
2014-01-08  67.26  67.45  66.58  66.74  1300700  66.74
2014-01-07  66.37  67.48  66.3  67.25  905300  67.25
2014-01-06  66.92  67.25  65.83  66.36  1890800  66.36
2014-01-03  66.03  67.6  66.02  67.26  1326900  67.26
2014-01-02  65.68  66.44  65.19  65.92  834000  65.92
2013-12-31  65.69  65.87  65.04  65.76  645700  65.76
2013-12-30  66.0  66.0  65.21  65.68  565000  65.68
2013-12-27  65.43  66.35  65.13  66.01  710200  66.01
2013-12-26  65.78  65.78  64.95  65.39  805700  65.39
2013-12-24  65.16  65.74  65.1  65.62  253900  65.62
2013-12-23  65.2  65.52  64.84  65.51  874100  65.51
2013-12-20  64.17  65.19  64.05  65.19  1650100  65.19
2013-12-19  63.42  64.14  62.91  63.97  1136200  63.97
2013-12-18  62.75  63.83  62.56  63.75  1051700  63.75
2013-12-17  62.79  63.03  61.76  62.73  1534700  62.73
2013-12-16  61.57  62.88  61.57  62.84  1981800  62.84
2013-12-13  61.7  61.99  60.62  61.44  1750400  61.44
2013-12-12  61.67  62.0  61.36  61.62  1417300  61.62
2013-12-11  62.34  62.47  61.56  61.9  1503700  61.9
2013-12-10  61.81  63.03  61.62  62.53  2254100  62.53
2013-12-09  62.57  64.33  61.91  62.73  5914700  62.73
2013-12-06  65.35  66.51  65.22  66.29  863800  66.29
2013-12-05  64.86  65.49  64.61  65.21  618400  65.21
2013-12-04  65.09  65.19  64.52  64.87  836000  64.87
2013-12-03  65.09  65.36  64.67  65.13  841000  65.13
2013-12-02  65.67  65.94  65.19  65.47  1053000  65.47
2013-11-29  65.47  65.93  65.4  65.53  623100  65.53
2013-11-27  64.92  65.38  64.61  65.3  564800  65.3
2013-11-26  64.75  65.02  64.38  64.7  807100  64.7
2013-11-25  64.85  65.24  64.12  64.75  2014500  64.75
2013-11-22  64.72  65.23  64.28  64.86  992300  64.86
2013-11-21  63.22  65.12  63.01  64.72  1323600  64.72
2013-11-20  63.59  63.7  62.55  62.96  1743400  62.96
2013-11-19  63.97  64.21  63.51  63.84  729900  63.84
2013-11-18  64.93  65.31  63.86  63.97  964700  63.97
2013-11-15  63.51  64.99  63.51  64.99  899000  64.99
2013-11-14  63.68  64.52  62.93  63.57  1301200  63.57
2013-11-13  63.31  63.95  63.3  63.68  814500  63.68
2013-11-12  63.82  64.1  63.29  63.64  957900  63.64
2013-11-11  64.35  64.68  63.96  64.06  537700  64.06
