Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  30.29  30.58  30.25  30.41  4556400  30.41
2014-02-27  30.36  30.48  29.96  30.17  6059700  30.17
2014-02-26  30.44  30.65  30.34  30.42  3632200  30.42
2014-02-25  30.36  30.74  30.19  30.36  5710400  30.36
2014-02-24  30.42  30.95  30.37  30.39  10331900  30.39
2014-02-21  30.26  30.71  30.1  30.42  8383400  30.42
2014-02-20  29.94  30.28  29.73  30.23  6189200  30.23
2014-02-19  29.96  30.33  29.75  29.96  7017500  29.96
2014-02-18  29.76  30.18  29.64  30.05  8591300  30.05
2014-02-14  29.34  29.8  29.26  29.74  7124200  29.74
2014-02-13  28.88  29.59  28.85  29.4  9758900  29.4
2014-02-12  29.16  29.17  28.79  28.94  5453900  28.94
2014-02-11  29.02  29.31  28.83  29.16  7608300  29.16
2014-02-10  29.04  29.24  28.92  29.09  7130200  29.09
2014-02-07  29.39  29.39  28.77  29.13  8783500  29.13
2014-02-06  28.51  29.57  28.51  29.18  13763200  29.18
2014-02-05  28.47  28.78  28.27  28.56  9930800  28.56
2014-02-04  28.91  28.95  28.52  28.61  9383600  28.61
2014-02-03  28.82  29.1  28.4  28.67  14382800  28.67
2014-01-31  28.49  29.0  28.47  28.69  10412300  28.69
2014-01-30  28.01  28.78  27.95  28.69  9974500  28.69
2014-01-29  27.76  27.96  27.65  27.89  6105400  27.89
2014-01-28  28.09  28.12  27.6  27.8  5937900  27.8
2014-01-27  28.15  28.15  27.78  27.9  8275000  27.9
2014-01-24  27.91  28.85  27.9  27.97  13769700  27.97
2014-01-23  27.68  28.1  27.62  28.02  8749000  28.02
2014-01-22  27.4  27.87  27.37  27.83  7702700  27.83
2014-01-21  26.99  27.49  26.96  27.48  7407300  27.48
2014-01-17  27.19  27.26  26.77  26.91  4560900  26.91
2014-01-16  26.59  27.15  26.53  27.12  5250000  27.12
2014-01-15  26.61  26.8  26.44  26.49  4730800  26.49
2014-01-14  26.71  26.96  26.57  26.61  5425400  26.61
2014-01-13  26.86  26.9  26.6  26.7  4403100  26.7
2014-01-10  26.87  27.3  26.81  26.88  5591900  26.88
2014-01-09  26.6  26.82  26.52  26.75  5646400  26.75
2014-01-08  26.71  26.81  26.48  26.59  5820200  26.59
2014-01-07  26.69  26.72  26.41  26.65  7045500  26.65
2014-01-06  26.33  26.58  26.27  26.51  7416700  26.51
2014-01-03  26.62  26.69  26.17  26.34  10155900  26.34
2014-01-02  27.17  27.29  26.87  26.88  4981900  26.88
2013-12-31  27.25  27.39  26.99  27.1  5990800  27.1
2013-12-30  26.87  27.26  26.87  27.19  6644300  27.19
2013-12-27  26.96  27.16  26.84  26.86  5190800  26.86
2013-12-26  27.07  27.16  26.87  26.9  4314000  26.9
2013-12-24  26.76  27.06  26.76  27.0  3008500  27.0
