Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  78.03  79.71  77.62  78.53  1763400  78.53
2014-02-27  78.36  79.15  77.98  78.62  1254800  78.62
2014-02-26  79.99  80.36  78.17  78.52  1826100  78.52
2014-02-25  79.63  80.43  78.98  79.44  1859900  79.44
2014-02-24  79.61  80.2  79.16  79.26  1571200  79.26
2014-02-21  80.66  81.78  79.82  79.99  2143000  79.99
2014-02-20  79.32  80.1  78.72  79.71  2322000  79.71
2014-02-19  78.0  80.68  77.55  79.62  3661800  79.62
2014-02-18  77.33  78.06  76.15  78.02  1814900  78.02
2014-02-14  76.47  77.63  76.11  77.13  1776600  77.13
2014-02-13  75.0  78.27  74.76  76.69  2521000  76.69
2014-02-12  75.39  76.27  74.85  75.86  1907900  75.86
2014-02-11  75.04  76.44  74.58  74.79  2406800  74.79
2014-02-10  74.21  75.25  73.5  74.32  2253600  74.32
2014-02-07  74.0  75.45  72.44  74.45  9089600  74.45
2014-02-06  63.82  65.67  63.61  65.14  5379800  65.14
2014-02-05  63.85  64.2  62.91  63.93  2319200  63.93
2014-02-04  63.99  64.5  63.06  63.97  2369700  63.97
2014-02-03  65.07  65.27  62.76  63.27  2424700  63.27
2014-01-31  64.5  65.54  64.32  64.98  2207800  64.98
2014-01-30  65.9  66.28  65.41  65.52  2014600  65.52
2014-01-29  66.27  66.66  64.9  65.47  1838800  65.47
2014-01-28  65.48  67.25  65.44  66.95  1355300  66.95
2014-01-27  66.35  66.87  64.19  65.46  1964200  65.46
2014-01-24  65.93  66.49  65.26  66.3  2167100  66.3
2014-01-23  66.2  67.81  66.04  66.5  2054100  66.5
2014-01-22  67.74  68.18  66.47  67.06  2703100  67.06
2014-01-21  68.17  68.3  65.14  67.67  7071000  67.67
2014-01-17  69.51  72.05  69.45  70.69  3305700  70.69
2014-01-16  69.05  69.55  67.78  68.48  1914100  68.48
2014-01-15  69.54  70.77  69.22  69.42  1986800  69.42
2014-01-14  68.18  69.65  68.05  69.33  1866400  69.33
2014-01-13  69.65  70.23  67.47  67.87  2339200  67.87
2014-01-10  69.82  70.4  68.91  69.6  1406500  69.6
2014-01-09  70.59  70.84  69.1  69.55  1471600  69.55
2014-01-08  71.45  72.19  70.1  70.31  2458800  70.31
2014-01-07  69.26  71.72  69.08  71.45  2951200  71.45
2014-01-06  69.13  69.2  67.71  68.96  1680900  68.96
2014-01-03  69.22  69.72  68.82  69.2  1315500  69.2
2014-01-02  69.08  69.69  68.56  69.21  1398900  69.21
2013-12-31  68.91  69.76  68.81  69.66  1183600  69.66
2013-12-30  69.0  69.33  68.34  68.84  932500  68.84
2013-12-27  68.97  69.45  68.51  68.76  831300  68.76
2013-12-26  68.56  69.34  68.48  69.03  602100  69.03
2013-12-24  68.62  68.79  68.0  68.5  462900  68.5
2013-12-23  67.99  68.76  67.62  68.68  1092900  68.68
2013-12-20  68.16  68.21  67.25  67.61  3162100  67.61
2013-12-19  67.71  67.79  66.51  66.8  1482400  66.8
2013-12-18  66.64  67.61  65.46  67.55  2010200  67.55
2013-12-17  65.96  66.55  65.29  66.39  1829000  66.39
2013-12-16  63.49  66.99  63.28  65.88  4400600  65.88
2013-12-13  62.94  63.67  62.29  62.73  1141600  62.73
2013-12-12  62.38  62.75  62.1  62.54  2368400  62.54
2013-12-11  63.04  63.39  62.16  62.31  2108200  62.31
2013-12-10  63.25  64.01  63.19  63.2  1245300  63.2
2013-12-09  63.62  64.13  63.27  63.5  1093400  63.5
2013-12-06  64.16  64.23  63.38  63.48  1523100  63.48
2013-12-05  62.67  63.87  62.39  63.58  1999500  63.58
2013-12-04  62.16  63.15  61.92  62.84  1398000  62.84
2013-12-03  62.04  62.88  62.03  62.56  1231600  62.56
2013-12-02  63.6  63.77  62.38  62.61  1457000  62.61
2013-11-29  63.21  64.2  63.2  63.69  1056500  63.69
2013-11-27  62.55  63.86  62.55  63.3  1537800  63.3
2013-11-26  61.18  62.8  61.16  62.33  1954800  62.33
2013-11-25  62.21  62.55  61.3  61.39  1559300  61.39
2013-11-22  62.71  62.71  61.85  62.05  1882900  62.05
2013-11-21  61.12  62.66  61.11  62.59  2023400  62.59
2013-11-20  61.48  62.3  60.71  61.11  2716100  61.11
2013-11-19  60.76  61.17  60.21  60.7  2005200  60.7
2013-11-18  61.09  61.85  60.74  60.9  2053400  60.9
2013-11-15  61.08  61.34  60.69  61.04  1783100  61.04
2013-11-14  61.5  61.6  60.47  60.89  1828400  60.89
2013-11-13  61.53  61.66  61.0  61.57  1980700  61.57
2013-11-12  61.16  61.91  60.42  61.87  2357600  61.87
2013-11-11  59.46  61.18  58.98  61.1  2417300  61.1
2013-11-08  59.01  60.54  58.95  59.73  2491700  59.73
2013-11-07  59.68  60.35  57.96  58.77  3106300  58.77
2013-11-06  59.42  59.8  59.0  59.66  2665600  59.66
2013-11-05  59.92  60.17  59.12  59.43  3593100  59.43
2013-11-04  59.93  60.73  59.14  60.09  3588500  60.09
2013-11-01  58.83  60.04  58.06  59.96  5497600  59.96
2013-10-31  58.47  59.75  57.49  58.83  16006300  58.83
2013-10-30  50.68  50.88  49.61  49.84  7170700  49.84
2013-10-29  50.04  50.76  49.93  50.56  3729200  50.56
2013-10-28  50.41  50.74  49.68  49.81  3029600  49.81
2013-10-25  50.71  51.09  50.0  50.33  1826900  50.33
2013-10-24  48.78  50.43  48.41  50.38  3085200  50.38
2013-10-23  49.3  50.08  48.87  49.08  4201300  49.08
2013-10-22  48.35  48.95  48.01  48.79  3625800  48.79
2013-10-21  48.33  48.54  47.83  48.07  2959700  48.07
2013-10-18  48.27  48.84  47.79  48.31  2981200  48.31
2013-10-17  47.58  48.21  47.3  48.09  2747700  48.09
2013-10-16  48.22  48.5  47.55  47.78  3651900  47.78
2013-10-15  48.29  48.38  47.37  47.77  6077200  47.77
2013-10-14  49.63  49.71  47.14  48.39  13257700  48.39
2013-10-11  51.19  51.82  50.9  51.6  2269500  51.6
2013-10-10  50.5  51.56  50.45  51.26  2664600  51.26
2013-10-09  50.5  50.57  48.73  49.87  4059700  49.87
2013-10-08  51.55  51.83  49.59  50.51  4302300  50.51
2013-10-07  51.26  52.18  51.0  51.64  2288900  51.64
2013-10-04  51.94  52.13  51.35  51.54  3586900  51.54
2013-10-03  53.27  53.67  51.93  52.02  2173300  52.02
2013-10-02  52.38  53.99  52.37  53.33  3287200  53.33
2013-10-01  51.56  52.76  51.56  52.73  2179200  52.73
2013-09-30  51.41  52.21  51.29  51.68  2621800  51.68
2013-09-27  51.71  52.17  51.12  52.08  2880600  52.08
2013-09-26  51.53  52.32  50.99  51.89  2012200  51.89
2013-09-25  52.35  52.4  51.37  51.46  1788200  51.46
2013-09-24  51.64  52.31  51.26  52.06  3012100  52.06
2013-09-23  52.51  53.04  51.68  51.73  2802100  51.73
2013-09-20  53.17  53.9  52.66  52.69  6033000  52.69
2013-09-19  53.52  53.69  52.54  52.99  3515200  52.99
2013-09-18  52.0  53.46  51.4  53.34  4296000  53.34
2013-09-17  52.62  53.53  52.11  52.13  3860100  52.13
2013-09-16  51.69  52.71  51.64  52.29  4292300  52.29
2013-09-13  51.08  51.32  50.58  51.06  2190500  51.06
2013-09-12  51.91  52.37  50.93  51.05  3606900  51.05
2013-09-11  51.42  52.37  51.37  51.96  3976400  51.96
2013-09-10  50.7  52.36  50.7  51.71  4634600  51.71
2013-09-09  50.64  51.43  50.41  50.52  5147900  50.52
2013-09-06  48.31  49.97  48.05  49.56  4194100  49.56
2013-09-05  48.79  49.01  47.89  48.06  2585700  48.06
2013-09-04  47.3  49.0  47.22  48.79  3431600  48.79
2013-09-03  47.28  47.71  46.89  47.15  2171900  47.15
2013-08-30  46.98  47.59  46.57  46.65  1775600  46.65
2013-08-29  46.61  47.63  46.6  46.97  1781300  46.97
2013-08-28  46.9  47.28  46.56  46.88  2330600  46.88
2013-08-27  46.52  47.58  46.51  46.84  3416900  46.84
2013-08-26  48.68  48.73  46.94  47.08  4206700  47.08
2013-08-23  49.57  51.03  48.5  48.57  10149100  48.57
2013-08-22  45.69  46.31  45.62  46.21  2093800  46.21
2013-08-21  47.24  47.26  45.44  45.45  5322300  45.45
2013-08-20  46.39  47.53  46.03  47.34  1940800  47.34
2013-08-19  46.94  47.08  46.52  46.58  1737200  46.58
2013-08-16  47.33  47.84  46.93  47.13  2785700  47.13
2013-08-15  48.12  48.42  47.0  47.51  4104600  47.51
2013-08-14  49.1  49.4  48.49  48.52  3839200  48.52
2013-08-13  49.66  49.71  48.89  49.11  2169100  49.11
2013-08-12  50.33  50.57  49.32  49.4  3352700  49.4
2013-08-09  51.02  51.4  49.8  50.4  3152800  50.4
2013-08-08  50.9  51.11  50.14  50.62  3231000  50.62
2013-08-07  50.48  50.68  49.18  50.52  5061800  50.52
2013-08-06  50.38  51.88  50.12  50.69  9019900  50.69
2013-08-05  48.09  49.68  47.75  49.42  6839200  49.42
2013-08-02  46.99  47.91  46.8  47.9  4207000  47.9
2013-08-01  47.34  47.59  46.86  46.94  3755700  46.94
2013-07-31  47.49  47.95  46.76  46.87  5098200  46.87
2013-07-30  46.0  47.43  45.55  47.23  8095900  47.23
2013-07-29  47.72  47.9  45.5  45.78  12644800  45.78
2013-07-26  49.72  50.62  46.83  46.94  28259700  46.94
2013-07-25  64.11  65.58  63.37  64.64  9929800  64.64
2013-07-24  63.78  64.29  63.1  63.43  2650800  63.43
2013-07-23  63.99  64.41  63.28  63.43  3565600  63.43
2013-07-22  64.57  64.57  63.27  63.6  1855400  63.6
2013-07-19  65.12  65.12  63.77  64.07  2876100  64.07
2013-07-18  64.49  65.78  64.49  65.16  1621300  65.16
2013-07-17  63.85  64.95  63.85  64.74  1438000  64.74
2013-07-16  64.15  64.98  63.59  64.14  2592600  64.14
2013-07-15  63.39  64.03  62.88  63.98  1097500  63.98
2013-07-12  62.89  63.59  62.62  63.4  1465300  63.4
2013-07-11  63.46  63.63  62.19  62.73  2272800  62.73
2013-07-10  62.37  62.87  61.94  62.87  1290700  62.87
2013-07-09  62.74  62.97  62.29  62.67  1951500  62.67
2013-07-08  62.68  63.12  61.66  62.06  1868400  62.06
2013-07-05  62.11  62.57  61.37  62.53  937600  62.53
2013-07-03  60.84  61.7  60.83  61.34  911300  61.34
2013-07-02  61.77  62.19  60.75  61.35  1552100  61.35
2013-07-01  59.99  62.2  59.75  61.77  2870000  61.77
2013-06-28  59.11  60.39  58.71  59.82  4310100  59.82
2013-06-27  57.9  59.76  57.9  59.59  2147600  59.59
2013-06-26  57.44  57.69  57.08  57.59  1679100  57.59
2013-06-25  57.27  57.72  56.41  56.8  1660800  56.8
2013-06-24  58.1  58.29  55.76  56.68  3027600  56.68
2013-06-21  59.66  59.91  58.21  58.51  3060400  58.51
2013-06-20  59.45  60.18  59.16  59.37  2097800  59.37
2013-06-19  60.67  60.75  59.48  60.16  2607600  60.16
2013-06-18  59.0  60.62  58.94  60.31  3047200  60.31
2013-06-17  58.01  58.86  57.76  58.8  1832200  58.8
2013-06-14  57.68  58.44  57.17  57.69  2718300  57.69
2013-06-13  55.96  57.98  55.8  57.83  2150000  57.83
2013-06-12  55.92  56.96  55.92  56.06  2479000  56.06
2013-06-11  55.73  56.52  55.41  55.53  1105100  55.53
2013-06-10  55.55  56.75  55.55  56.43  1343500  56.43
2013-06-07  55.55  55.89  55.06  55.53  1774600  55.53
2013-06-06  54.76  55.39  54.09  55.29  2059000  55.29
2013-06-05  55.7  55.87  54.48  54.66  2432700  54.66
2013-06-04  56.77  57.14  55.43  55.82  2595600  55.82
