Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  15.33  15.41  15.23  15.39  35687900  15.39
2014-02-27  15.22  15.43  15.16  15.39  25727700  15.39
2014-02-26  15.14  15.46  15.07  15.26  34682200  15.26
2014-02-25  15.21  15.29  15.11  15.15  26401400  15.15
2014-02-24  15.18  15.36  15.12  15.18  30412900  15.18
2014-02-21  15.27  15.31  15.11  15.16  29967600  15.16
2014-02-20  15.27  15.3  15.15  15.27  20647300  15.27
2014-02-19  15.31  15.49  15.21  15.25  26262500  15.25
2014-02-18  15.38  15.45  15.28  15.39  32167900  15.39
2014-02-14  15.12  15.36  15.03  15.24  34282200  15.24
2014-02-13  14.9  15.09  14.88  15.08  27008800  15.08
2014-02-12  15.09  15.12  14.99  15.0  30519400  15.0
2014-02-11  14.91  15.01  14.82  14.96  43482100  14.96
2014-02-10  15.05  15.06  14.78  14.84  36217700  14.84
2014-02-07  14.94  15.13  14.94  14.97  38410500  14.97
2014-02-06  14.57  14.85  14.53  14.85  47527100  14.85
2014-02-05  14.93  14.93  14.5  14.73  45466500  14.73
2014-02-04  14.57  14.93  14.45  14.87  55397500  14.87
2014-02-03  15.0  15.0  14.4  14.55  92427200  14.55
2014-01-31  15.09  15.1  14.9  14.96  64132600  14.96
2014-01-30  15.43  15.45  15.18  15.25  32654100  15.25
2014-01-29  15.48  15.53  15.2  15.26  52241500  15.26
2014-01-28  15.84  15.88  15.38  15.59  57677500  15.59
2014-01-27  15.78  15.79  15.4  15.59  51218700  15.59
2014-01-24  16.06  16.08  15.65  15.7  66023500  15.7
2014-01-23  16.36  16.4  16.18  16.3  37860800  16.3
2014-01-22  16.31  16.49  16.24  16.42  28741900  16.42
2014-01-21  16.51  16.55  16.23  16.28  35597200  16.28
2014-01-17  16.65  16.65  16.32  16.39  37152100  16.39
2014-01-16  16.54  16.63  16.43  16.6  38410800  16.6
2014-01-15  16.24  16.6  16.22  16.57  64118200  16.57
2014-01-14  16.18  16.3  16.04  16.27  44039200  16.27
2014-01-13  16.24  16.4  15.95  15.98  57566400  15.98
2014-01-10  15.88  15.98  15.81  15.94  44984000  15.94
2014-01-09  15.7  15.89  15.64  15.71  67836500  15.71
2014-01-08  15.48  15.59  15.39  15.42  48448300  15.42
2014-01-07  15.61  15.62  15.23  15.26  54476300  15.26
2014-01-06  15.6  15.64  15.4  15.46  42657600  15.46
2014-01-03  15.4  15.52  15.18  15.39  46122300  15.39
2014-01-02  15.3  15.33  15.16  15.32  31528500  15.32
2013-12-31  15.17  15.31  15.14  15.31  27829000  15.31
2013-12-30  15.24  15.3  15.13  15.16  32832800  15.16
2013-12-27  15.23  15.23  15.13  15.18  21842000  15.18
2013-12-26  15.11  15.22  15.1  15.21  24966000  15.21
2013-12-24  15.08  15.11  14.98  15.07  22642200  15.07
2013-12-23  15.37  15.38  15.0  15.03  59222000  15.03
2013-12-20  15.23  15.38  15.2  15.3  61508000  15.3
2013-12-19  15.34  15.38  15.13  15.18  84660000  15.18
2013-12-18  15.87  15.88  15.05  15.53  220363000  15.53
