Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  33.1  33.2  32.41  32.62  12450400  32.62
2014-02-27  33.38  33.51  33.15  33.47  5621200  33.47
2014-02-26  32.86  33.58  32.84  33.41  9190600  33.41
2014-02-25  33.09  33.13  32.67  32.77  14869100  32.77
2014-02-24  33.34  33.62  32.94  33.21  9155900  33.21
2014-02-21  33.84  33.99  33.34  33.36  9380100  33.36
2014-02-20  33.03  33.81  32.83  33.75  12031000  33.75
2014-02-19  33.58  34.1  33.08  33.17  11165700  33.17
2014-02-18  33.81  33.95  33.42  33.74  7050700  33.74
2014-02-14  33.32  33.95  33.18  33.75  8758800  33.75
2014-02-13  32.5  33.29  32.35  33.16  7463000  33.16
2014-02-12  33.32  33.64  32.69  32.78  10381700  32.78
2014-02-11  32.3  33.38  32.29  33.19  11299300  33.19
2014-02-10  32.4  32.48  32.13  32.23  9735500  32.23
2014-02-07  31.77  32.37  31.31  32.35  12529500  32.35
2014-02-06  31.36  31.9  31.29  31.54  10852800  31.54
2014-02-05  31.17  31.31  30.51  31.09  12729300  31.09
2014-02-04  31.3  31.48  30.91  30.94  12028500  30.94
2014-02-03  32.42  32.45  31.04  31.08  18931500  31.08
2014-01-31  32.08  32.56  31.93  32.41  12451400  32.41
2014-01-30  32.52  32.55  31.95  32.41  10607900  32.41
2014-01-29  32.51  33.06  32.26  32.34  14616900  32.34
2014-01-28  32.65  32.74  32.33  32.56  9953900  32.56
2014-01-27  32.87  32.95  31.97  32.39  11211500  32.39
2014-01-24  33.18  33.39  32.5  32.77  16303700  32.77
2014-01-23  34.37  34.37  33.16  33.68  17892100  33.68
2014-01-22  34.94  35.12  34.27  34.52  19037500  34.52
2014-01-21  35.92  36.03  35.22  35.26  23325400  35.26
2014-01-17  37.21  37.26  36.06  36.19  19267800  36.19
2014-01-16  36.79  36.92  36.44  36.91  10995200  36.91
2014-01-15  36.13  36.66  36.08  36.61  11160400  36.61
2014-01-14  35.45  36.17  35.18  36.12  12020000  36.12
2014-01-13  35.72  35.91  35.48  35.63  13955500  35.63
2014-01-10  35.68  35.92  35.37  35.86  9789500  35.86
2014-01-09  35.92  36.02  35.14  35.4  10916100  35.4
2014-01-08  36.29  36.35  35.82  35.89  11582800  35.89
2014-01-07  36.77  36.91  36.24  36.34  8727600  36.34
2014-01-06  36.75  36.9  36.49  36.7  9708000  36.7
2014-01-03  37.18  37.45  36.92  37.0  7291400  37.0
2014-01-02  37.36  37.76  37.11  37.3  9039700  37.3
2013-12-31  37.23  37.65  37.07  37.41  7097500  37.41
2013-12-30  37.23  37.67  37.06  37.34  9711200  37.34
2013-12-27  36.65  37.31  36.62  37.18  9025500  37.18
2013-12-26  36.04  36.72  36.04  36.64  10345300  36.64
2013-12-24  35.53  36.16  35.45  35.99  5220600  35.99
2013-12-23  35.57  35.73  35.28  35.42  7822200  35.42
2013-12-20  34.92  35.44  34.9  35.38  11194100  35.38
2013-12-19  34.59  35.04  34.51  34.89  6625300  34.89
2013-12-18  34.8  35.03  34.28  34.88  9817300  34.88
2013-12-17  34.23  34.72  34.14  34.6  7631900  34.6
