Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  66.47  66.68  65.4  65.5  2060000  65.5
2014-02-27  67.16  67.75  66.54  66.55  2188200  66.55
2014-02-26  65.51  67.4  65.48  67.1  3762200  67.1
2014-02-25  66.19  66.64  65.72  65.86  1027400  65.86
2014-02-24  65.9  66.94  65.75  66.16  1082100  66.16
2014-02-21  65.14  65.84  64.8  65.71  829500  65.71
2014-02-20  65.4  65.7  64.75  65.07  1506000  65.07
2014-02-19  65.67  66.78  64.77  65.67  2095000  65.67
2014-02-18  63.7  64.75  63.7  64.57  1196300  64.57
2014-02-14  62.28  63.53  62.03  63.43  954000  63.43
2014-02-13  62.57  62.8  62.12  62.35  860100  62.35
2014-02-12  63.32  63.66  62.48  62.81  671900  62.81
2014-02-11  62.24  63.54  62.17  63.4  1097800  63.4
2014-02-10  62.52  62.62  61.67  62.25  746800  62.25
2014-02-07  62.86  63.11  62.41  62.66  783400  62.66
2014-02-06  61.76  63.25  61.75  62.47  1561200  62.47
2014-02-05  61.05  62.27  60.8  61.74  1740900  61.74
2014-02-04  60.21  60.75  59.67  60.64  1470300  60.64
2014-02-03  61.82  61.88  60.06  60.13  1980800  60.13
2014-01-31  61.48  62.12  61.16  61.82  1327400  61.82
2014-01-30  62.75  62.78  61.86  61.96  1117400  61.96
2014-01-29  62.97  63.34  62.29  62.42  1183700  62.42
2014-01-28  63.48  63.73  62.99  63.14  1414900  63.14
2014-01-27  61.59  63.89  61.59  63.52  1219200  63.52
2014-01-24  64.1  64.1  62.89  62.95  1349300  62.95
2014-01-23  64.33  64.61  64.01  64.27  1125300  64.27
2014-01-22  64.72  64.8  64.2  64.76  1494200  64.76
2014-01-21  65.93  66.37  64.27  64.52  2578100  64.52
2014-01-17  64.43  68.57  64.01  65.56  7818200  65.56
2014-01-16  64.3  65.21  64.16  64.81  2891300  64.81
2014-01-15  64.39  65.69  64.05  65.27  1868300  65.27
2014-01-14  63.9  64.43  63.26  64.42  4394900  64.42
2014-01-13  67.2  67.28  64.83  65.0  3107300  65.0
2014-01-10  64.55  67.88  63.85  67.48  6921400  67.48
2014-01-09  61.09  65.33  60.89  64.97  10174700  64.97
2014-01-08  65.36  66.51  64.73  66.34  2806300  66.34
2014-01-07  65.68  66.23  64.94  65.4  3359800  65.4
2014-01-06  66.31  66.78  65.74  65.74  2617600  65.74
2014-01-03  66.23  66.8  65.6  66.41  1474000  66.41
2014-01-02  65.04  66.41  64.97  66.06  1154000  66.06
2013-12-31  65.42  66.18  64.86  64.97  1271300  64.97
2013-12-30  65.03  65.65  64.68  65.44  955300  65.44
2013-12-27  65.17  65.52  64.83  64.99  578700  64.99
2013-12-26  65.52  65.52  64.71  64.95  556900  64.95
2013-12-24  65.28  66.04  65.21  65.55  372500  65.55
2013-12-23  64.55  65.47  64.46  65.33  1283700  65.33
2013-12-20  63.9  64.55  63.63  64.49  1767200  64.49
2013-12-19  63.68  63.84  63.19  63.58  807200  63.58
2013-12-18  63.6  64.01  62.84  63.94  1136300  63.94
2013-12-17  63.68  64.0  63.5  63.67  884800  63.67
2013-12-16  64.07  64.36  63.16  63.68  1080900  63.68
2013-12-13  64.13  64.72  63.7  63.96  2001100  63.96
2013-12-12  64.63  64.75  63.92  64.2  1424200  64.2
2013-12-11  65.15  65.35  64.58  64.66  1268100  64.66
2013-12-10  65.46  65.64  64.96  65.1  964100  65.1
2013-12-09  65.82  66.18  65.0  65.43  1174600  65.43
2013-12-06  66.66  66.73  64.94  65.72  1972800  65.72
2013-12-05  69.27  69.67  66.78  67.33  1777100  67.33
2013-12-04  68.72  68.98  68.11  68.86  1051200  68.86
2013-12-03  69.0  69.2  68.54  68.86  1057800  68.86
2013-12-02  69.45  69.73  68.68  69.04  1260100  69.04
2013-11-29  69.86  70.55  69.32  69.49  529100  69.49
2013-11-27  70.27  70.65  69.71  69.86  574300  69.86
2013-11-26  70.64  70.8  69.71  70.25  1712700  70.25
2013-11-25  70.4  71.47  70.19  70.55  816800  70.55
2013-11-22  69.82  70.37  69.68  70.26  495700  70.26
2013-11-21  68.77  70.19  68.05  69.94  1025000  69.94
2013-11-20  70.31  70.57  69.51  69.71  744000  69.71
2013-11-19  69.74  71.15  69.52  70.11  1309700  70.11
2013-11-18  69.8  70.22  69.28  69.78  992000  69.78
2013-11-15  69.58  69.8  68.77  69.74  1079900  69.74
2013-11-14  69.2  69.78  68.77  69.65  898300  69.65
2013-11-13  68.33  69.37  68.11  69.35  913500  69.35
2013-11-12  68.33  68.54  68.01  68.43  516100  68.43
2013-11-11  67.01  68.68  66.88  68.27  763200  68.27
2013-11-08  67.35  67.38  66.67  67.23  1214600  67.23
2013-11-07  68.64  68.82  67.14  67.33  1089500  67.33
2013-11-06  68.79  68.81  67.81  68.39  798500  68.39
2013-11-05  69.49  69.63  68.61  68.82  848000  68.82
2013-11-04  69.72  70.54  69.26  69.48  755900  69.48
2013-11-01  68.73  69.51  68.73  69.27  668800  69.27
2013-10-31  69.04  69.21  68.58  68.61  827500  68.61
2013-10-30  69.1  69.45  68.3  68.96  517200  68.96
2013-10-29  69.26  69.53  68.75  69.05  928700  69.05
2013-10-28  69.51  69.67  68.88  68.97  947500  68.97
2013-10-25  69.06  69.35  68.84  69.3  1208000  69.3
2013-10-24  69.65  69.85  68.9  68.93  1143300  68.93
2013-10-23  69.44  69.84  69.14  69.61  762100  69.61
2013-10-22  69.64  70.62  69.45  69.52  1008100  69.52
2013-10-21  69.32  69.66  68.6  69.52  1221200  69.52
2013-10-18  70.61  70.61  69.12  69.28  1910300  69.28
2013-10-17  68.74  70.69  68.74  70.69  1711400  70.69
2013-10-16  68.81  69.37  68.66  69.13  1178600  69.13
2013-10-15  69.54  69.71  68.64  68.65  1116600  68.65
2013-10-14  68.78  69.95  68.48  69.35  1119100  69.35
2013-10-11  68.99  69.97  68.92  69.43  1078200  69.43
2013-10-10  69.1  69.47  68.53  69.32  1941700  69.32
2013-10-09  67.62  69.4  67.14  68.44  3511800  68.44
2013-10-08  70.34  70.45  68.7  69.17  2620400  69.17
2013-10-07  71.93  72.16  70.34  70.35  2887800  70.35
2013-10-04  72.05  72.63  71.93  72.26  1166200  72.26
2013-10-03  72.61  72.7  71.8  72.05  1385600  72.05
2013-10-02  71.88  72.67  71.55  72.66  1187300  72.66
2013-10-01  71.71  72.38  71.18  72.12  1590100  72.12
2013-09-30  71.68  72.13  71.55  71.73  1303400  71.73
2013-09-27  72.36  72.93  72.04  72.29  683900  72.29
2013-09-26  72.69  73.45  72.56  72.81  464200  72.81
2013-09-25  73.36  73.64  71.52  72.28  1028300  72.28
2013-09-24  73.65  74.2  73.32  73.55  483000  73.55
2013-09-23  72.97  74.16  72.5  73.74  1411000  73.74
2013-09-20  74.55  74.62  72.85  73.05  3239400  73.05
2013-09-19  74.47  74.99  74.02  74.4  1163400  74.4
2013-09-18  72.4  74.31  72.07  74.16  877800  74.16
2013-09-17  72.35  72.63  71.99  72.45  680000  72.45
2013-09-16  72.51  72.86  72.08  72.39  633200  72.39
2013-09-13  71.47  71.95  71.47  71.81  701500  71.81
2013-09-12  72.13  72.22  71.35  71.46  716700  71.46
2013-09-11  72.28  72.54  71.74  72.32  518600  72.32
2013-09-10  71.89  72.06  71.4  71.97  651800  71.97
2013-09-09  70.54  71.52  70.19  71.47  770400  71.47
2013-09-06  70.73  71.08  69.96  70.25  891200  70.25
2013-09-05  69.8  70.98  69.8  70.64  784800  70.64
2013-09-04  69.47  70.98  67.63  69.76  4048500  69.76
2013-09-03  71.15  71.62  68.96  69.01  2001900  69.01
2013-08-30  70.97  71.23  70.44  70.65  604200  70.65
2013-08-29  70.94  71.17  70.43  70.96  797300  70.96
2013-08-28  71.18  71.81  70.6  70.97  977900  70.97
2013-08-27  71.46  71.51  70.9  71.0  1234700  71.0
2013-08-26  71.4  72.45  71.4  71.94  857300  71.94
2013-08-23  72.34  72.36  71.49  71.73  1049800  71.73
2013-08-22  71.54  72.28  71.38  72.02  1341800  72.02
2013-08-21  70.5  71.37  70.5  71.34  1567600  71.34
2013-08-20  70.43  71.34  70.29  70.6  973000  70.6
2013-08-19  70.54  71.35  70.23  70.23  922100  70.23
2013-08-16  70.69  71.19  70.48  70.71  1227800  70.71
2013-08-15  71.61  71.61  70.46  70.76  1307300  70.76
2013-08-14  71.22  73.87  70.9  71.87  1681000  71.87
2013-08-13  71.13  71.55  70.66  71.33  1169000  71.33
2013-08-12  70.89  71.32  70.61  71.22  715600  71.22
2013-08-09  70.71  71.23  70.0  70.93  1040700  70.93
2013-08-08  70.63  72.78  70.43  70.73  2836200  70.73
2013-08-07  69.84  70.33  69.38  69.8  1072600  69.8
2013-08-06  69.69  70.01  69.28  69.93  795100  69.93
2013-08-05  69.76  69.92  69.1  69.81  533800  69.81
2013-08-02  69.36  70.05  68.95  70.03  1081000  70.03
2013-08-01  68.45  70.86  68.33  70.46  1675000  70.46
2013-07-31  68.39  68.9  68.16  68.24  908700  68.24
2013-07-30  68.65  68.97  68.05  68.35  1667500  68.35
2013-07-29  67.76  68.11  67.32  67.98  598400  67.98
2013-07-26  67.27  68.02  67.04  68.0  674600  68.0
2013-07-25  67.3  67.99  67.1  67.54  740000  67.54
2013-07-24  67.74  67.89  67.33  67.6  841000  67.6
2013-07-23  67.34  67.6  66.55  67.53  1778800  67.53
