Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  133.19  134.43  132.34  133.33  1904700  133.33
2014-02-27  132.04  133.84  131.95  133.55  1736100  133.55
2014-02-26  132.63  133.97  131.95  132.37  1588100  132.37
2014-02-25  134.85  134.87  132.32  132.84  2588900  132.84
2014-02-24  135.09  136.98  134.5  134.87  2243200  134.87
2014-02-21  133.18  135.21  133.11  134.9  1969400  134.9
2014-02-20  131.69  133.51  131.06  132.99  1787000  132.99
2014-02-19  132.34  133.51  131.01  131.35  2780900  131.35
2014-02-18  134.32  134.77  132.33  132.79  2360500  132.79
2014-02-14  132.98  134.55  132.87  133.92  1436200  133.92
2014-02-13  131.92  133.34  131.0  133.07  1780700  133.07
2014-02-12  133.16  133.81  131.75  133.0  1895700  133.0
2014-02-11  130.41  133.78  130.13  133.15  3256000  133.15
2014-02-10  131.37  132.06  129.34  129.88  3602500  129.88
2014-02-07  131.92  133.07  130.87  131.76  2390500  131.76
2014-02-06  130.14  131.86  130.06  130.84  1908400  130.84
2014-02-05  129.85  130.92  129.19  129.97  2009200  129.97
2014-02-04  129.48  130.93  128.17  130.42  2387000  130.42
2014-02-03  132.93  135.06  129.03  129.44  3184000  129.44
2014-01-31  131.85  134.96  131.79  133.32  1588500  133.32
2014-01-30  133.09  134.83  133.06  133.77  1935900  133.77
2014-01-29  132.83  134.0  131.55  131.85  2647600  131.85
2014-01-28  131.99  134.64  131.99  134.34  3169700  134.34
2014-01-27  134.69  135.78  131.08  131.95  4738700  131.95
2014-01-24  139.16  139.39  134.57  134.58  3089300  134.58
2014-01-23  141.61  141.99  139.35  140.24  1836300  140.24
2014-01-22  142.75  142.84  141.63  142.3  1337100  142.3
2014-01-21  141.71  142.62  140.8  142.15  2509000  142.15
2014-01-17  140.61  141.87  140.09  140.51  2293000  140.51
2014-01-16  141.92  142.5  140.95  141.81  1928100  141.81
2014-01-15  142.78  143.14  141.94  142.55  2692200  142.55
2014-01-14  140.95  142.83  139.73  142.7  2344500  142.7
2014-01-13  141.35  142.75  140.24  140.49  1565200  140.49
2014-01-10  141.2  142.74  140.41  142.63  1714700  142.63
2014-01-09  140.51  141.77  139.95  141.51  1451600  141.51
2014-01-08  141.04  141.38  139.99  140.37  1632800  140.37
2014-01-07  139.34  140.98  138.99  140.64  1702000  140.64
2014-01-06  142.7  143.0  138.26  138.72  2995000  138.72
2014-01-03  140.33  141.15  139.91  140.05  2779600  140.05
2014-01-02  142.9  144.39  139.57  139.77  3360000  139.77
2013-12-31  143.01  144.13  143.0  143.77  1102600  143.77
2013-12-30  143.48  143.88  142.86  143.05  889300  143.05
2013-12-27  143.28  143.86  142.74  143.43  923500  143.43
2013-12-26  142.65  143.52  142.33  143.3  1246400  143.3
2013-12-24  142.24  142.38  141.14  142.0  750600  142.0
2013-12-23  143.31  143.44  141.62  142.19  1461000  142.19
2013-12-20  139.52  143.73  139.23  142.71  3350200  142.71
2013-12-19  139.61  140.02  137.76  139.69  2688900  139.69
2013-12-18  138.1  140.24  137.36  139.72  4825100  139.72
2013-12-17  139.8  140.17  138.5  139.09  2697000  139.09
2013-12-16  139.59  140.97  138.88  139.85  3549800  139.85
2013-12-13  138.01  138.88  137.01  137.9  2583700  137.9
2013-12-12  136.56  137.53  136.27  136.34  1795700  136.34
2013-12-11  138.88  139.0  136.35  136.51  1451900  136.51
2013-12-10  139.66  140.18  138.22  138.49  1538700  138.49
2013-12-09  139.67  139.85  138.96  139.66  1349300  139.66
2013-12-06  139.84  140.02  138.92  139.24  1216500  139.24
2013-12-05  137.75  139.52  137.52  138.07  1161200  138.07
2013-12-04  137.51  139.85  136.66  138.56  1187900  138.56
2013-12-03  139.31  139.85  137.53  137.89  1927300  137.89
2013-12-02  139.0  140.81  138.58  140.06  1953400  140.06
