Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  30.83  30.98  30.64  30.78  2678100  30.78
2014-02-27  30.96  30.99  30.55  30.79  3077100  30.79
2014-02-26  30.93  31.34  30.68  31.05  3125200  31.05
2014-02-25  31.6  31.72  30.48  30.8  5747300  30.8
2014-02-24  31.82  32.09  31.63  31.7  4009200  31.7
2014-02-21  32.23  32.43  31.68  31.7  3487000  31.7
2014-02-20  31.64  32.33  31.63  32.26  3269500  32.26
2014-02-19  31.57  32.23  31.38  31.73  3218900  31.73
2014-02-18  31.66  31.84  31.46  31.62  2431800  31.62
2014-02-14  31.55  31.82  31.46  31.75  2712500  31.75
2014-02-13  31.03  31.76  30.97  31.6  2457300  31.6
2014-02-12  31.3  31.37  31.01  31.07  1915600  31.07
2014-02-11  30.9  31.57  30.86  31.32  2502600  31.32
2014-02-10  30.7  30.98  30.54  30.96  1924300  30.96
2014-02-07  30.54  30.79  30.43  30.76  1990000  30.76
2014-02-06  30.13  30.53  30.13  30.46  2219400  30.46
2014-02-05  30.48  30.7  30.1  30.22  4609600  30.22
2014-02-04  31.05  31.07  30.51  30.58  3734700  30.58
2014-02-03  31.16  31.46  30.78  30.89  7357400  30.89
2014-01-31  30.53  31.34  30.5  31.12  4971500  31.12
2014-01-30  30.28  30.88  30.28  30.8  3049100  30.8
2014-01-29  30.11  30.34  29.87  30.22  4571800  30.22
2014-01-28  30.34  30.57  30.12  30.19  4401100  30.19
2014-01-27  30.66  30.77  30.52  30.52  3750300  30.52
2014-01-24  30.47  31.37  30.27  30.71  6349800  30.71
2014-01-23  30.47  30.65  30.12  30.61  5997200  30.61
2014-01-22  31.18  31.44  30.5  30.77  14011800  30.77
2014-01-21  32.26  32.66  31.62  31.78  7597300  31.78
2014-01-17  32.3  32.36  31.94  32.23  5492300  32.23
2014-01-16  31.35  32.16  31.28  32.11  5294100  32.11
2014-01-15  31.49  31.71  31.2  31.3  3921200  31.3
2014-01-14  31.68  31.76  31.34  31.49  2445300  31.49
2014-01-13  31.98  32.02  31.53  31.59  2829300  31.59
2014-01-10  31.66  32.17  31.58  32.02  5776300  32.02
2014-01-09  31.5  31.56  31.1  31.43  4388700  31.43
2014-01-08  31.53  31.63  31.28  31.49  3669300  31.49
2014-01-07  31.59  31.67  31.47  31.52  3163400  31.52
2014-01-06  31.63  31.64  31.24  31.47  3834400  31.47
2014-01-03  31.63  31.85  31.4  31.64  4151700  31.64
2014-01-02  32.57  32.59  31.87  32.0  3431400  32.0
2013-12-31  32.43  32.64  32.42  32.6  3355100  32.6
2013-12-30  32.32  32.6  32.25  32.39  3159600  32.39
2013-12-27  32.12  32.61  31.94  32.41  4879400  32.41
2013-12-26  31.88  32.08  31.64  31.7  2252500  31.7
2013-12-24  31.84  32.05  31.72  31.85  1426300  31.85
2013-12-23  32.27  32.33  31.9  31.93  4852700  31.93
2013-12-20  31.39  32.31  31.34  32.23  14000800  32.23
2013-12-19  31.41  31.6  30.92  31.23  6867800  31.23
2013-12-18  31.56  31.78  31.16  31.61  4774000  31.61
2013-12-17  31.46  31.65  31.38  31.57  3604200  31.57
2013-12-16  31.47  31.67  31.23  31.45  3797600  31.45
2013-12-13  31.69  31.69  31.22  31.34  3097500  31.34
2013-12-12  31.78  32.09  31.74  31.82  4192300  31.82
2013-12-11  31.93  32.22  31.66  31.76  3800400  31.76
2013-12-10  32.04  32.06  31.74  31.82  3267100  31.82
2013-12-09  32.01  32.27  31.94  32.1  3633500  32.1
2013-12-06  31.86  32.07  31.64  32.06  4838100  32.06
2013-12-05  32.1  32.13  31.7  31.71  4006300  31.71
2013-12-04  32.04  32.15  31.74  32.14  3900400  32.14
2013-12-03  32.13  32.32  32.06  32.15  4882700  32.15
2013-12-02  32.53  32.56  32.16  32.2  6882200  32.2
2013-11-29  32.12  32.38  32.04  32.25  2698300  32.25
2013-11-27  32.52  32.59  32.01  32.12  4640900  32.12
2013-11-26  32.91  32.91  32.38  32.57  4774700  32.57
2013-11-25  33.06  33.25  32.9  32.9  6476800  32.9
2013-11-22  33.17  33.17  32.83  32.96  6774100  32.96
2013-11-21  33.9  33.9  33.14  33.18  7641200  33.18
2013-11-20  34.67  34.67  33.55  33.56  8101200  33.56
2013-11-19  34.99  35.07  34.42  34.56  5451900  34.56
2013-11-18  35.09  35.2  34.99  35.0  6152200  35.0
2013-11-15  35.46  35.55  34.88  35.06  8859200  35.06
2013-11-14  35.54  36.1  35.47  35.47  5656300  35.47
2013-11-13  36.07  36.09  35.39  35.65  5122600  35.65
2013-11-12  36.22  36.53  36.03  36.26  4635500  36.26
2013-11-11  37.56  37.56  36.1  36.19  9135600  36.19
