Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  11.75  12.13  11.66  11.97  3771400  11.97
2014-02-27  11.57  11.67  11.51  11.64  1071800  11.64
2014-02-26  11.52  11.62  11.43  11.59  1886100  11.59
2014-02-25  11.5  11.52  11.4  11.47  2265600  11.47
2014-02-24  11.47  11.65  11.44  11.52  3726700  11.52
2014-02-21  11.5  11.55  11.44  11.46  2326500  11.46
2014-02-20  11.43  11.56  11.34  11.46  1914100  11.46
2014-02-19  11.74  11.74  11.4  11.43  2026800  11.43
2014-02-18  11.84  11.91  11.75  11.79  1028000  11.79
2014-02-14  11.82  11.93  11.8  11.84  1520100  11.84
2014-02-13  11.66  11.87  11.63  11.86  1844200  11.86
2014-02-12  11.71  11.98  11.7  11.77  2754000  11.77
2014-02-11  11.55  11.71  11.49  11.7  1995700  11.7
2014-02-10  11.49  11.56  11.38  11.56  1435400  11.56
2014-02-07  11.46  11.57  11.36  11.49  1712500  11.49
2014-02-06  11.23  11.42  11.21  11.4  1403300  11.4
2014-02-05  11.33  11.35  11.19  11.22  2822400  11.22
2014-02-04  11.3  11.4  11.18  11.34  2684100  11.34
2014-02-03  11.77  11.83  11.2  11.22  4852000  11.22
2014-01-31  11.81  11.96  11.75  11.76  4312700  11.76
2014-01-30  11.82  12.06  11.73  12.0  4173000  12.0
2014-01-29  11.7  11.83  11.7  11.74  5350200  11.74
2014-01-28  11.78  11.83  11.66  11.83  5607200  11.83
2014-01-27  11.83  11.86  11.58  11.64  2351400  11.64
2014-01-24  11.97  12.01  11.81  11.81  2756600  11.81
2014-01-23  12.26  12.26  11.96  12.06  3245700  12.06
2014-01-22  12.22  12.3  12.12  12.23  4015600  12.23
2014-01-21  12.11  12.28  11.99  12.17  6585600  12.17
2014-01-17  11.87  12.32  11.83  11.93  8851200  11.93
2014-01-16  12.15  12.16  11.87  11.88  7248000  11.88
2014-01-15  12.22  12.33  12.18  12.2  5528700  12.2
2014-01-14  12.13  12.2  11.98  12.18  4346300  12.18
2014-01-13  12.27  12.28  12.05  12.08  3311800  12.08
2014-01-10  12.22  12.48  12.14  12.27  9540800  12.27
2014-01-09  12.11  12.26  12.09  12.24  5629100  12.24
2014-01-08  11.86  12.11  11.8  12.09  3599600  12.09
2014-01-07  11.75  11.9  11.67  11.84  2865000  11.84
2014-01-06  11.69  11.74  11.63  11.66  4107800  11.66
2014-01-03  11.55  11.67  11.53  11.65  1846000  11.65
2014-01-02  11.6  11.7  11.52  11.56  3170900  11.56
2013-12-31  11.66  11.73  11.62  11.65  1216100  11.65
2013-12-30  11.65  11.7  11.61  11.63  1391900  11.63
2013-12-27  11.65  11.7  11.58  11.65  1318000  11.65
2013-12-26  11.7  11.77  11.61  11.63  807600  11.63
2013-12-24  11.67  11.72  11.61  11.68  541000  11.68
2013-12-23  11.43  11.72  11.42  11.68  2005900  11.68
2013-12-20  11.46  11.5  11.34  11.38  4171400  11.38
2013-12-19  11.33  11.46  11.31  11.41  1351500  11.41
2013-12-18  11.26  11.42  11.17  11.39  1745800  11.39
2013-12-17  11.27  11.27  11.16  11.22  2253800  11.22
2013-12-16  11.24  11.3  11.15  11.28  2782400  11.28
2013-12-13  11.19  11.29  11.16  11.21  1954000  11.21
2013-12-12  11.06  11.28  11.06  11.17  2240000  11.17
2013-12-11  11.18  11.19  11.04  11.06  2038600  11.06
2013-12-10  11.22  11.32  11.16  11.19  1191500  11.19
2013-12-09  11.26  11.41  11.25  11.29  1727000  11.29
2013-12-06  11.07  11.33  11.04  11.26  2701800  11.26
2013-12-05  10.9  11.01  10.89  10.95  1961100  10.95
2013-12-04  10.91  11.13  10.89  10.96  3043800  10.96
2013-12-03  10.98  11.01  10.88  10.95  2417400  10.95
2013-12-02  11.12  11.2  11.0  11.01  3654200  11.01
2013-11-29  11.24  11.28  11.14  11.16  1547400  11.16
2013-11-27  11.41  11.44  11.24  11.26  3014300  11.26
2013-11-26  11.53  11.55  11.37  11.37  1927000  11.37
2013-11-25  11.44  11.61  11.41  11.54  2553800  11.54
2013-11-22  11.28  11.48  11.21  11.45  2717500  11.45
2013-11-21  11.08  11.31  11.02  11.25  2169700  11.25
2013-11-20  11.15  11.15  10.99  11.02  2472300  11.02
2013-11-19  11.11  11.2  11.07  11.12  2319000  11.12
2013-11-18  11.18  11.23  11.05  11.14  2532900  11.14
2013-11-15  11.19  11.21  11.12  11.16  2088300  11.16
2013-11-14  11.14  11.21  11.07  11.21  973800  11.21
2013-11-13  10.98  11.14  10.92  11.14  1915100  11.14
2013-11-12  11.27  11.35  10.99  11.03  3366400  11.03
2013-11-11  11.23  11.29  11.06  11.28  1974800  11.28
2013-11-08  10.85  11.25  10.85  11.25  3163000  11.25
2013-11-07  10.95  11.1  10.79  10.86  2969200  10.86
2013-11-06  10.99  11.02  10.9  10.96  2010300  10.96
2013-11-05  10.95  10.98  10.86  10.95  3407200  10.95
2013-11-04  10.86  10.99  10.84  10.96  4242500  10.96
2013-11-01  10.59  10.87  10.55  10.86  6323100  10.86
2013-10-31  10.65  10.66  10.57  10.6  2795100  10.6
2013-10-30  10.79  10.83  10.67  10.68  1527100  10.68
2013-10-29  10.78  10.82  10.66  10.81  1673600  10.81
2013-10-28  10.69  10.84  10.65  10.77  1766900  10.77
2013-10-25  10.87  10.9  10.69  10.72  1910200  10.72
2013-10-24  10.79  10.87  10.66  10.85  2772200  10.85
2013-10-23  10.73  10.82  10.67  10.78  3778700  10.78
2013-10-22  10.82  10.9  10.73  10.8  4428600  10.8
2013-10-21  10.75  10.84  10.61  10.83  9462400  10.83
2013-10-18  10.98  11.18  10.6  10.96  11813400  10.96
2013-10-17  11.3  11.45  11.24  11.39  3226800  11.39
2013-10-16  11.28  11.46  11.24  11.35  1878900  11.35
2013-10-15  11.28  11.33  11.17  11.18  2353400  11.18
2013-10-14  11.24  11.38  11.21  11.32  1181700  11.32
2013-10-11  11.09  11.3  10.9  11.29  2276500  11.29
2013-10-10  11.01  11.16  10.99  11.14  2801900  11.14
2013-10-09  10.92  10.98  10.82  10.85  4045700  10.85
2013-10-08  11.01  11.08  10.93  10.95  2326700  10.95
2013-10-07  11.08  11.14  11.01  11.02  2034500  11.02
2013-10-04  10.97  11.23  10.96  11.19  2786900  11.19
2013-10-03  10.95  11.02  10.86  10.97  3134800  10.97
2013-10-02  11.0  11.02  10.9  10.96  3140200  10.96
2013-10-01  10.96  11.15  10.9  11.1  4420500  11.1
2013-09-30  10.94  10.99  10.84  10.94  5104600  10.94
2013-09-27  11.0  11.12  10.98  11.0  3835300  11.0
2013-09-26  11.26  11.33  11.03  11.1  2717200  11.1
2013-09-25  11.19  11.36  11.1  11.24  2107900  11.24
2013-09-24  11.2  11.3  11.1  11.22  2431700  11.22
2013-09-23  11.39  11.39  11.05  11.22  3759600  11.22
2013-09-20  11.33  11.4  11.17  11.39  3526100  11.39
2013-09-19  11.53  11.57  11.2  11.31  4945900  11.31
2013-09-18  11.45  11.69  11.43  11.52  4955100  11.52
2013-09-17  11.35  11.46  11.32  11.45  1775600  11.45
2013-09-16  11.33  11.38  11.19  11.35  2474200  11.35
2013-09-13  11.22  11.3  11.11  11.23  1547100  11.23
2013-09-12  11.2  11.46  11.15  11.23  4404500  11.23
2013-09-11  11.08  11.21  11.02  11.11  1838500  11.11
2013-09-10  11.1  11.19  11.03  11.1  3556400  11.1
2013-09-09  11.28  11.37  11.12  11.21  2191200  11.21
2013-09-06  11.19  11.38  11.04  11.27  2822900  11.27
2013-09-05  11.12  11.25  11.09  11.18  2161100  11.18
2013-09-04  10.97  11.18  10.92  11.12  2266300  11.12
2013-09-03  11.09  11.29  10.83  10.95  3464000  10.95
2013-08-30  11.22  11.23  10.94  10.96  1297200  10.96
2013-08-29  11.12  11.32  11.09  11.25  1318500  11.25
2013-08-28  11.17  11.25  11.07  11.12  1771800  11.12
2013-08-27  11.38  11.4  11.16  11.16  2014100  11.16
2013-08-26  11.64  11.73  11.49  11.53  1820800  11.53
2013-08-23  11.86  11.89  11.6  11.65  2079900  11.65
2013-08-22  11.69  11.91  11.67  11.81  1139900  11.81
2013-08-21  11.75  11.84  11.56  11.68  1591000  11.68
2013-08-20  11.57  11.82  11.54  11.76  1256200  11.76
2013-08-19  11.76  11.77  11.56  11.59  1606300  11.59
