Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  55.95  56.2  55.31  55.61  1319700  55.61
2014-02-27  54.96  56.04  54.96  56.02  1341800  56.02
2014-02-26  55.08  55.43  54.86  55.16  952700  55.16
2014-02-25  54.84  55.17  54.62  54.95  859000  54.95
2014-02-24  54.33  55.32  54.33  54.9  1004200  54.9
2014-02-21  54.51  54.71  54.34  54.34  807200  54.34
2014-02-20  54.02  54.64  53.91  54.27  835100  54.27
2014-02-19  54.1  54.76  53.89  53.92  778200  53.92
2014-02-18  53.9  54.37  53.69  54.31  925700  54.31
2014-02-14  53.86  54.18  53.58  53.86  908300  53.86
2014-02-13  53.32  54.07  53.32  54.07  979500  54.07
2014-02-12  53.25  53.6  53.16  53.55  1748300  53.55
2014-02-11  53.16  53.4  52.63  53.12  1699700  53.12
2014-02-10  53.58  53.68  52.6  53.03  1619900  53.03
2014-02-07  52.84  53.74  52.71  53.71  3200700  53.71
2014-02-06  51.49  52.48  51.35  52.48  2250000  52.48
2014-02-05  50.95  51.8  50.53  51.38  3040500  51.38
2014-02-04  49.29  51.33  48.17  50.95  2950600  50.95
2014-02-03  50.73  50.85  48.86  48.87  1988400  48.87
2014-01-31  51.04  51.09  50.48  50.7  2405000  50.7
2014-01-30  51.59  52.02  51.43  51.72  1012300  51.72
2014-01-29  50.49  51.62  50.48  51.01  2440600  51.01
2014-01-28  50.37  51.02  50.2  50.96  863600  50.96
2014-01-27  51.0  51.0  50.35  50.38  2005600  50.38
2014-01-24  52.7  52.84  50.7  50.84  2755800  50.84
2014-01-23  53.0  53.5  52.75  53.25  2692000  53.25
2014-01-22  53.2  53.55  53.16  53.5  1780100  53.5
2014-01-21  53.0  53.31  52.66  53.25  2048600  53.25
2014-01-17  52.61  52.82  52.35  52.74  1426900  52.74
2014-01-16  52.36  52.67  52.23  52.54  1403400  52.54
2014-01-15  52.54  52.75  52.28  52.4  2230100  52.4
2014-01-14  52.23  52.87  52.04  52.44  2001100  52.44
2014-01-13  52.82  53.08  51.93  52.04  1213400  52.04
2014-01-10  53.17  53.23  52.7  53.0  697100  53.0
2014-01-09  53.1  53.25  52.91  53.02  621900  53.02
2014-01-08  53.02  53.14  52.84  53.0  1771800  53.0
2014-01-07  52.91  53.11  52.78  52.95  855700  52.95
2014-01-06  53.23  53.43  52.78  52.85  790700  52.85
2014-01-03  53.01  53.61  52.87  53.15  969300  53.15
2014-01-02  53.4  53.55  52.79  53.0  986800  53.0
2013-12-31  53.36  53.73  53.36  53.68  713300  53.68
2013-12-30  52.87  53.38  52.85  53.29  795800  53.29
2013-12-27  52.89  53.07  52.65  52.75  518400  52.75
2013-12-26  52.77  52.77  52.37  52.66  1146200  52.66
2013-12-24  52.43  52.59  52.32  52.47  766400  52.47
2013-12-23  52.8  52.87  52.37  52.49  903600  52.49
2013-12-20  52.48  52.67  52.07  52.66  1555100  52.66
2013-12-19  52.31  52.48  52.03  52.19  869400  52.19
2013-12-18  51.28  52.33  50.76  52.3  993800  52.3
2013-12-17  51.37  51.37  50.8  51.05  922600  51.05
2013-12-16  50.99  51.36  50.96  51.27  632700  51.27
2013-12-13  50.64  51.02  50.55  50.78  834000  50.78
2013-12-12  50.23  50.66  50.1  50.5  878800  50.5
2013-12-11  51.03  51.11  50.15  50.28  1267100  50.28
2013-12-10  50.48  51.05  50.39  51.02  1616000  51.02
2013-12-09  50.79  51.13  50.46  50.64  1021000  50.64
2013-12-06  50.01  50.83  49.97  50.66  832900  50.66
2013-12-05  50.12  50.27  49.52  49.58  1097200  49.58
2013-12-04  50.17  50.54  49.79  50.23  1146500  50.23
2013-12-03  50.27  50.92  50.14  50.46  1967400  50.46
2013-12-02  50.58  50.68  50.32  50.38  1469200  50.38
2013-11-29  50.59  50.75  50.39  50.46  657300  50.46
2013-11-27  50.7  50.78  50.35  50.62  787900  50.62
2013-11-26  50.67  50.79  50.02  50.61  2198200  50.61
2013-11-25  50.96  51.09  50.31  50.58  839400  50.58
2013-11-22  50.69  50.79  50.35  50.76  1464700  50.76
2013-11-21  50.55  50.79  50.36  50.76  1174500  50.76
2013-11-20  50.83  50.84  50.33  50.45  1004500  50.45
2013-11-19  50.38  51.27  50.22  50.41  1220100  50.41
2013-11-18  50.82  50.89  50.27  50.37  996700  50.37
2013-11-15  49.94  50.75  49.83  50.72  1759100  50.72
2013-11-14  49.15  50.27  49.04  50.14  1537600  50.14
2013-11-13  48.15  49.24  48.12  49.23  913700  49.23
2013-11-12  47.83  48.63  47.71  48.5  957500  48.5
2013-11-11  47.94  48.28  47.84  47.98  1062800  47.98
2013-11-08  47.29  48.29  47.19  48.11  1740200  48.11
2013-11-07  48.46  48.53  47.38  47.44  798000  47.44
2013-11-06  48.29  48.43  47.98  48.29  963300  48.29
2013-11-05  48.27  48.4  48.01  48.27  825000  48.27
2013-11-04  48.41  48.51  48.14  48.33  828200  48.33
2013-11-01  48.74  48.81  48.3  48.34  1019200  48.34
2013-10-31  48.5  49.0  48.25  48.54  1170800  48.54
2013-10-30  49.07  49.29  48.52  48.58  1754000  48.58
2013-10-29  47.1  49.42  46.79  49.06  2137000  49.06
2013-10-28  47.24  47.3  46.73  46.74  1764400  46.74
2013-10-25  47.31  47.42  47.1  47.23  915200  47.23
2013-10-24  47.41  47.6  47.19  47.27  817300  47.27
2013-10-23  47.51  47.67  47.18  47.39  964500  47.39
2013-10-22  47.41  47.88  47.39  47.73  791800  47.73
2013-10-21  47.19  47.44  47.02  47.36  646800  47.36
2013-10-18  46.65  47.42  46.39  47.15  1330300  47.15
2013-10-17  46.25  46.46  46.07  46.46  1211500  46.46
2013-10-16  45.81  46.47  45.71  46.41  1017300  46.41
2013-10-15  45.89  46.0  45.42  45.43  926400  45.43
2013-10-14  45.82  46.19  45.72  46.08  669900  46.08
2013-10-11  45.51  46.03  45.5  45.97  647700  45.97
2013-10-10  45.02  45.73  45.02  45.73  1111300  45.73
2013-10-09  45.09  45.11  44.26  44.7  1699400  44.7
2013-10-08  45.67  45.79  45.03  45.04  1510900  45.04
2013-10-07  45.97  46.01  45.7  45.7  837600  45.7
2013-10-04  45.89  46.37  45.82  46.35  1469400  46.35
2013-10-03  46.69  46.72  45.78  45.87  1789200  45.87
2013-10-02  46.48  46.87  46.35  46.85  1198700  46.85
2013-10-01  46.27  46.8  46.19  46.68  1212700  46.68
2013-09-30  46.06  46.28  45.8  46.24  1070100  46.24
2013-09-27  46.16  46.43  46.11  46.34  802600  46.34
2013-09-26  46.51  46.8  46.24  46.43  1447900  46.43
2013-09-25  46.62  46.9  46.21  46.5  944500  46.5
2013-09-24  46.35  46.93  46.27  46.63  914000  46.63
2013-09-23  46.45  46.71  46.15  46.3  528200  46.3
2013-09-20  46.96  47.13  46.61  46.65  1323100  46.65
2013-09-19  46.71  47.09  46.63  46.92  756800  46.92
2013-09-18  46.79  46.95  46.32  46.71  948600  46.71
2013-09-17  46.49  46.75  46.41  46.65  750900  46.65
2013-09-16  46.21  46.55  46.13  46.39  714200  46.39
2013-09-13  45.66  45.84  45.47  45.76  972600  45.76
2013-09-12  45.48  45.68  45.16  45.52  990300  45.52
2013-09-11  45.45  45.67  45.35  45.42  929900  45.42
2013-09-10  44.72  45.5  44.66  45.49  1003000  45.49
2013-09-09  45.0  45.26  44.31  44.53  1606100  44.53
2013-09-06  44.22  44.95  43.78  44.7  1035800  44.7
2013-09-05  44.12  44.37  44.0  44.2  1117100  44.2
2013-09-04  44.08  44.32  43.9  44.11  1195800  44.11
2013-09-03  44.5  44.76  43.89  44.1  1235500  44.1
2013-08-30  44.21  44.42  43.91  44.05  1320900  44.05
2013-08-29  43.79  44.36  43.66  44.23  694200  44.23
2013-08-28  44.15  44.28  43.91  43.91  1085500  43.91
2013-08-27  44.62  44.74  44.09  44.11  1008500  44.11
2013-08-26  45.26  45.46  44.97  45.01  1338500  45.01
2013-08-23  45.52  45.74  45.18  45.29  1224900  45.29
2013-08-22  45.28  45.48  45.14  45.38  649600  45.38
2013-08-21  45.27  45.53  44.88  45.15  1002100  45.15
2013-08-20  45.39  45.63  45.32  45.4  1005600  45.4
2013-08-19  45.58  45.88  45.37  45.41  840700  45.41
2013-08-16  45.58  45.78  45.49  45.69  1612900  45.69
2013-08-15  46.14  46.17  45.51  45.6  1565400  45.6
2013-08-14  46.44  46.77  46.42  46.53  988000  46.53
2013-08-13  46.83  46.93  46.07  46.55  2824800  46.55
2013-08-12  46.35  47.3  46.26  46.98  2137200  46.98
2013-08-09  46.03  46.74  46.03  46.52  1129800  46.52
2013-08-08  46.26  46.55  45.94  46.1  1796200  46.1
2013-08-07  45.43  46.14  45.25  46.0  1789400  46.0
2013-08-06  45.0  45.84  44.96  45.52  1829100  45.52
2013-08-05  44.79  45.21  44.69  45.1  1929200  45.1
2013-08-02  44.37  45.01  44.09  44.92  1782500  44.92
2013-08-01  42.95  44.49  42.86  44.44  2093100  44.44
2013-07-31  42.56  42.96  42.39  42.77  2495200  42.77
2013-07-30  44.1  44.15  42.43  42.67  2601200  42.67
2013-07-29  43.8  44.01  43.73  43.88  909800  43.88
2013-07-26  43.78  43.94  43.45  43.94  800000  43.94
2013-07-25  43.94  44.23  43.69  44.14  910700  44.14
2013-07-24  44.35  44.43  43.85  43.92  873500  43.92
2013-07-23  44.32  44.35  43.89  44.13  1359500  44.13
2013-07-22  43.95  44.08  43.83  43.89  1227100  43.89
2013-07-19  44.46  44.46  43.91  43.96  943200  43.96
2013-07-18  44.35  44.66  44.21  44.3  626000  44.3
2013-07-17  44.38  44.53  44.12  44.32  552300  44.32
2013-07-16  44.6  44.78  44.17  44.29  754600  44.29
2013-07-15  44.58  44.87  44.38  44.64  591500  44.64
2013-07-12  44.92  45.02  44.37  44.65  943500  44.65
2013-07-11  44.91  45.02  44.6  44.94  1097900  44.94
2013-07-10  43.96  44.51  43.96  44.45  1220300  44.45
2013-07-09  44.4  44.52  43.87  44.02  998800  44.02
2013-07-08  43.6  44.3  43.55  44.22  1547000  44.22
2013-07-05  43.02  43.25  42.73  43.23  1156500  43.23
2013-07-03  42.33  42.92  42.22  42.66  1421000  42.66
2013-07-02  43.05  43.15  42.34  42.41  1873400  42.41
2013-07-01  42.74  43.25  42.68  43.01  1378600  43.01
2013-06-28  42.29  42.88  42.29  42.45  4006700  42.45
2013-06-27  42.72  42.76  42.5  42.62  2139400  42.62
2013-06-26  43.02  43.02  42.38  42.56  2113300  42.56
2013-06-25  42.52  42.68  42.05  42.62  1538400  42.62
2013-06-24  41.98  42.48  41.7  42.14  1949400  42.14
2013-06-21  42.48  42.51  41.77  42.25  1900500  42.25
2013-06-20  43.03  43.26  42.16  42.23  1497600  42.23
2013-06-19  43.97  44.11  43.36  43.37  919900  43.37
2013-06-18  43.71  43.93  43.55  43.93  1198700  43.93
2013-06-17  43.58  44.07  43.29  43.62  1731900  43.62
2013-06-14  43.88  44.06  43.06  43.24  1586700  43.24
2013-06-13  43.45  44.36  43.2  44.3  961400  44.3
2013-06-12  44.16  44.25  43.41  43.45  1449000  43.45
2013-06-11  43.63  44.31  43.45  43.95  1604300  43.95
2013-06-10  43.95  44.14  43.71  44.08  1323900  44.08
2013-06-07  43.74  44.09  43.62  43.91  1431900  43.91
2013-06-06  42.7  43.52  42.43  43.51  1638600  43.51
2013-06-05  43.61  43.82  42.73  42.76  1791300  42.76
2013-06-04  44.27  44.35  43.38  43.7  2073000  43.7
2013-06-03  44.26  44.6  43.79  44.28  1775900  44.28
2013-05-31  44.94  45.03  44.25  44.27  3218500  44.27
2013-05-30  44.5  45.23  44.46  45.14  1109700  45.14
2013-05-29  44.82  44.89  44.31  44.44  1565100  44.44
2013-05-28  44.81  45.31  44.74  45.16  1532800  45.16
