Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  33.21  34.28  33.08  34.14  1531900  34.14
2014-02-27  33.28  33.3  32.98  33.19  927000  33.19
2014-02-26  32.89  33.55  32.77  33.31  1299300  33.31
2014-02-25  33.0  33.04  32.67  32.82  1186100  32.82
2014-02-24  32.86  33.13  32.64  33.0  1183500  33.0
2014-02-21  32.25  32.91  32.03  32.79  1210900  32.79
2014-02-20  31.2  32.44  31.2  32.15  1308800  32.15
2014-02-19  31.41  31.62  31.0  31.18  1015700  31.18
2014-02-18  30.69  31.47  30.69  31.42  1598800  31.42
2014-02-14  30.88  31.03  30.53  30.89  1376100  30.89
2014-02-13  30.69  31.16  30.68  30.85  1207300  30.85
2014-02-12  31.01  31.28  30.87  31.01  1012700  31.01
2014-02-11  30.37  31.37  30.27  31.03  1512600  31.03
2014-02-10  30.88  30.98  30.26  30.38  1171200  30.38
2014-02-07  31.09  31.47  29.53  30.61  2974500  30.61
2014-02-06  30.86  32.12  30.53  32.09  1713300  32.09
2014-02-05  30.87  31.09  30.47  30.86  710100  30.86
2014-02-04  30.77  31.16  30.43  31.08  921900  31.08
2014-02-03  31.65  31.89  30.64  30.65  1390700  30.65
2014-01-31  32.15  32.34  31.58  31.62  1557400  31.62
2014-01-30  32.32  32.74  32.21  32.66  626500  32.66
2014-01-29  32.25  32.53  31.67  32.08  1021000  32.08
2014-01-28  32.43  32.64  32.33  32.58  524200  32.58
2014-01-27  32.72  32.95  32.26  32.39  928500  32.39
2014-01-24  33.81  33.81  32.49  32.56  1121700  32.56
2014-01-23  33.89  34.01  33.7  33.89  1422200  33.89
2014-01-22  33.73  34.08  33.48  34.06  769900  34.06
2014-01-21  33.53  33.77  33.21  33.76  943000  33.76
2014-01-17  33.15  33.64  33.01  33.33  1047900  33.33
2014-01-16  33.01  33.25  32.79  33.13  843300  33.13
2014-01-15  32.53  33.86  32.35  33.13  1417800  33.13
2014-01-14  32.54  32.58  32.28  32.41  1483000  32.41
2014-01-13  32.2  32.66  32.05  32.36  1324600  32.36
2014-01-10  32.51  32.56  31.99  32.2  1663200  32.2
2014-01-09  32.9  33.23  32.33  32.39  1818500  32.39
2014-01-08  31.96  33.62  31.86  32.79  4505400  32.79
2014-01-07  28.96  31.72  28.84  31.71  3273900  31.71
2014-01-06  28.94  29.03  28.77  28.91  686200  28.91
2014-01-03  28.99  29.11  28.72  28.93  730500  28.93
2014-01-02  29.83  29.92  28.98  29.02  781400  29.02
2013-12-31  29.69  30.03  29.64  30.0  489600  30.0
2013-12-30  29.62  29.69  29.56  29.65  360500  29.65
2013-12-27  29.58  29.77  29.53  29.66  307700  29.66
2013-12-26  29.4  29.76  29.4  29.57  458800  29.57
2013-12-24  29.42  29.66  29.33  29.38  191800  29.38
2013-12-23  29.28  29.79  29.13  29.47  578700  29.47
2013-12-20  28.71  29.08  28.43  29.05  1711100  29.05
2013-12-19  28.6  28.7  28.45  28.58  585700  28.58
2013-12-18  28.71  28.73  28.2  28.68  987900  28.68
2013-12-17  28.26  28.71  27.94  28.63  914300  28.63
2013-12-16  28.7  28.79  28.2  28.37  1229700  28.37
2013-12-13  28.74  28.85  28.47  28.61  841000  28.61
2013-12-12  28.47  28.78  28.3  28.69  766900  28.69
2013-12-11  28.93  29.16  28.44  28.5  697700  28.5
2013-12-10  28.83  29.07  28.8  28.95  817900  28.95
2013-12-09  29.37  29.5  28.85  28.89  707500  28.89
2013-12-06  29.2  29.37  29.02  29.29  632500  29.29
2013-12-05  29.21  29.34  28.89  28.95  936200  28.95
2013-12-04  29.36  29.59  29.29  29.31  1101400  29.31
2013-12-03  29.9  29.9  29.37  29.47  1457700  29.47
2013-12-02  29.52  29.52  29.23  29.26  703400  29.26
2013-11-29  29.66  29.82  29.52  29.57  317400  29.57
2013-11-27  29.8  29.9  29.57  29.67  452000  29.67
2013-11-26  29.69  29.88  29.54  29.76  625300  29.76
2013-11-25  29.68  29.83  29.52  29.62  491100  29.62
2013-11-22  29.5  29.8  29.32  29.64  469400  29.64
2013-11-21  29.15  29.54  29.15  29.5  858900  29.5
2013-11-20  29.12  29.27  28.97  28.99  518900  28.99
2013-11-19  29.24  29.3  29.06  29.08  1185900  29.08
2013-11-18  29.48  29.61  29.29  29.3  829000  29.3
2013-11-15  29.37  29.43  29.22  29.43  950100  29.43
2013-11-14  29.36  29.42  29.03  29.41  470000  29.41
2013-11-13  28.76  29.33  28.7  29.33  495400  29.33
2013-11-12  28.98  29.26  28.77  28.86  649000  28.86
2013-11-11  28.93  29.27  28.82  29.09  1068600  29.09
2013-11-08  28.08  28.92  28.04  28.88  830500  28.88
2013-11-07  28.29  28.74  28.01  28.04  1146500  28.04
2013-11-06  28.44  28.47  28.06  28.18  749000  28.18
2013-11-05  28.18  28.59  27.97  28.4  823300  28.4
2013-11-04  28.33  28.45  28.13  28.3  695500  28.3
2013-11-01  28.3  28.63  28.06  28.2  965700  28.2
2013-10-31  28.34  28.63  28.23  28.3  998000  28.3
2013-10-30  28.53  28.56  28.23  28.35  737600  28.35
2013-10-29  28.12  28.42  27.99  28.41  998800  28.41
2013-10-28  28.36  28.48  27.91  27.99  1015800  27.99
2013-10-25  28.4  28.56  28.0  28.36  1454800  28.36
2013-10-24  28.6  28.91  27.87  28.48  1099300  28.48
2013-10-23  28.77  28.87  28.35  28.6  953600  28.6
2013-10-22  28.77  29.23  28.77  28.85  1387700  28.85
2013-10-21  29.29  29.44  28.58  28.72  1082500  28.72
2013-10-18  28.94  29.27  28.61  29.25  1124400  29.25
2013-10-17  28.14  28.85  28.02  28.81  2106100  28.81
2013-10-16  28.32  28.42  27.73  28.19  2714800  28.19
2013-10-15  30.25  30.61  28.36  28.41  8333100  28.41
2013-10-14  32.75  32.99  32.16  32.96  729300  32.96
2013-10-11  31.88  32.48  31.66  32.47  572100  32.47
2013-10-10  31.78  32.14  31.47  32.0  784100  32.0
2013-10-09  31.54  31.68  31.2  31.46  781700  31.46
2013-10-08  31.94  32.0  31.47  31.59  866100  31.59
2013-10-07  31.82  32.17  31.53  31.92  585400  31.92
2013-10-04  32.16  32.33  31.87  32.21  777100  32.21
2013-10-03  31.33  32.18  31.32  32.16  2019300  32.16
2013-10-02  31.21  31.52  31.08  31.5  528700  31.5
2013-10-01  31.08  31.51  30.86  31.46  817000  31.46
2013-09-30  30.92  31.41  30.73  31.2  909800  31.2
2013-09-27  31.08  31.29  30.98  31.12  391000  31.12
2013-09-26  31.13  31.7  30.99  31.28  666400  31.28
2013-09-25  31.34  31.5  30.97  30.98  626200  30.98
2013-09-24  31.05  31.57  30.82  31.38  961900  31.38
2013-09-23  31.8  31.8  30.88  30.97  679400  30.97
2013-09-20  31.92  32.09  31.36  31.39  1254700  31.39
2013-09-19  31.8  32.12  31.59  31.95  751000  31.95
2013-09-18  31.59  31.77  31.33  31.71  1364400  31.71
2013-09-17  31.85  31.88  31.44  31.66  1203200  31.66
2013-09-16  32.13  32.16  31.39  31.69  1355700  31.69
2013-09-13  31.76  31.83  31.47  31.65  544500  31.65
2013-09-12  32.1  32.1  31.66  31.68  601500  31.68
2013-09-11  32.11  32.38  31.98  32.11  604900  32.11
2013-09-10  32.0  32.21  31.94  32.19  1202100  32.19
2013-09-09  31.55  31.96  31.45  31.82  743900  31.82
2013-09-06  31.85  31.91  31.22  31.49  654800  31.49
2013-09-05  31.66  32.0  31.56  31.72  501900  31.72
2013-09-04  31.17  31.75  31.07  31.71  759000  31.71
2013-09-03  31.52  31.74  30.9  31.12  847200  31.12
2013-08-30  31.59  31.59  31.06  31.08  917400  31.08
2013-08-29  31.27  31.83  31.12  31.57  518200  31.57
2013-08-28  31.2  31.43  31.05  31.31  506400  31.31
2013-08-27  31.8  31.87  31.07  31.13  575100  31.13
2013-08-26  32.11  32.36  31.88  32.15  808800  32.15
2013-08-23  32.8  32.88  32.05  32.11  662500  32.11
2013-08-22  32.03  32.77  32.02  32.73  556800  32.73
2013-08-21  31.85  32.2  31.77  32.01  883100  32.01
2013-08-20  31.8  32.12  31.52  31.89  886200  31.89
2013-08-19  32.06  32.21  31.74  31.76  860500  31.76
2013-08-16  31.84  32.46  31.8  32.0  1160300  32.0
2013-08-15  32.33  32.71  31.93  31.99  781900  31.99
2013-08-14  32.74  32.91  32.55  32.61  617100  32.61
2013-08-13  32.88  33.03  32.58  32.9  548300  32.9
2013-08-12  32.56  33.07  32.55  32.88  722800  32.88
2013-08-09  32.39  32.93  32.21  32.69  1083900  32.69
2013-08-08  32.71  32.79  32.27  32.36  1075200  32.36
2013-08-07  32.72  32.84  32.4  32.58  760200  32.58
2013-08-06  32.84  33.03  32.56  32.74  1142200  32.74
2013-08-05  33.25  33.44  32.74  32.86  2040700  32.86
2013-08-02  32.57  33.51  32.48  33.45  1605900  33.45
2013-08-01  32.45  32.66  32.22  32.53  1313800  32.53
2013-07-31  31.9  32.53  31.84  32.18  1407200  32.18
