Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  78.1  78.1  77.29  77.69  1953700  77.69
2014-02-27  78.17  78.68  77.57  77.95  1411000  77.95
2014-02-26  77.97  78.8  77.4  78.12  1848600  78.12
2014-02-25  78.75  79.12  77.25  77.55  1994400  77.55
2014-02-24  78.97  79.78  78.44  78.72  1200100  78.72
2014-02-21  80.29  80.32  78.9  78.98  1414000  78.98
2014-02-20  80.28  80.7  79.54  79.8  2450200  79.8
2014-02-19  80.23  82.87  79.86  80.03  3475800  80.03
2014-02-18  80.05  80.2  78.81  79.91  1924900  79.91
2014-02-14  78.69  79.62  78.57  79.46  1632600  79.46
2014-02-13  78.83  79.55  78.19  78.66  1527300  78.66
2014-02-12  77.79  80.2  77.69  79.69  2063100  79.69
2014-02-11  77.41  77.84  77.17  77.44  1628900  77.44
2014-02-10  76.84  77.64  76.47  77.19  1328300  77.19
2014-02-07  77.82  77.82  76.43  77.0  1628900  77.0
2014-02-06  74.74  76.36  74.68  75.83  876300  75.83
2014-02-05  74.57  75.03  73.91  74.66  1160300  74.66
2014-02-04  74.02  75.27  73.13  75.01  1405500  75.01
2014-02-03  75.66  76.04  73.32  73.59  1652300  73.59
2014-01-31  75.05  76.36  74.73  75.76  1205700  75.76
2014-01-30  76.61  76.79  75.9  76.14  1431100  76.14
2014-01-29  76.31  77.43  75.36  75.92  1948700  75.92
2014-01-28  76.74  77.56  76.6  77.25  1356700  77.25
2014-01-27  77.18  78.0  75.36  76.51  1571100  76.51
2014-01-24  80.17  80.28  77.27  77.27  1905100  77.27
2014-01-23  82.66  82.66  80.69  80.87  1936300  80.87
2014-01-22  83.22  83.71  82.8  83.43  1557000  83.43
2014-01-21  82.48  83.33  81.79  82.72  1727900  82.72
2014-01-17  80.58  82.02  80.13  81.83  1581000  81.83
2014-01-16  80.13  80.4  79.13  80.22  1140800  80.22
2014-01-15  79.62  81.12  79.5  80.24  1712400  80.24
2014-01-14  78.8  79.6  78.14  79.27  1989800  79.27
2014-01-13  78.68  78.93  77.53  77.83  2072600  77.83
2014-01-10  79.12  79.42  78.58  78.69  1393900  78.69
2014-01-09  79.3  79.77  78.11  78.59  1432000  78.59
2014-01-08  79.04  79.45  78.7  79.08  970000  79.08
2014-01-07  78.67  79.6  78.47  79.17  1006900  79.17
2014-01-06  79.34  79.61  78.08  78.35  875300  78.35
2014-01-03  78.69  79.58  78.59  78.94  825200  78.94
2014-01-02  79.61  79.99  78.58  78.66  1204100  78.66
2013-12-31  79.7  80.23  79.38  80.07  929400  80.07
2013-12-30  79.75  80.15  79.43  79.67  734000  79.67
2013-12-27  79.85  80.13  79.31  79.55  854700  79.55
2013-12-26  79.29  79.97  79.18  79.77  608100  79.77
2013-12-24  78.81  79.34  78.69  79.06  401900  79.06
2013-12-23  79.48  79.67  78.47  78.81  740800  78.81
2013-12-20  78.9  79.31  78.53  79.16  1895100  79.16
2013-12-19  77.53  78.8  77.22  78.62  1628500  78.62
2013-12-18  75.87  77.85  75.64  77.73  1710000  77.73
2013-12-17  75.76  76.3  75.24  75.6  1222500  75.6
2013-12-16  75.3  76.11  75.22  75.74  1370400  75.74
2013-12-13  74.8  75.4  74.39  74.59  1286100  74.59
2013-12-12  75.43  75.81  74.57  74.64  1536900  74.64
2013-12-11  77.67  77.76  75.12  75.39  1117600  75.39
2013-12-10  76.61  77.78  76.6  77.44  1275600  77.44
2013-12-09  77.2  77.37  76.47  76.65  1131900  76.65
2013-12-06  76.88  77.57  76.41  77.2  815100  77.2
2013-12-05  76.26  77.19  75.71  75.96  1056600  75.96
2013-12-04  76.56  78.01  75.81  76.61  1008400  76.61
2013-12-03  77.13  77.48  76.45  77.05  1055000  77.05
2013-12-02  77.69  78.29  76.41  77.71  949000  77.71
2013-11-29  78.02  78.23  77.39  77.6  448100  77.6
2013-11-27  78.72  78.99  77.91  77.96  794400  77.96
2013-11-26  77.69  79.57  77.68  78.5  2065300  78.5
2013-11-25  78.66  78.66  77.04  77.92  1290400  77.92
2013-11-22  77.61  78.31  77.0  78.26  1238300  78.26
2013-11-21  76.36  77.81  76.35  77.63  1088100  77.63
2013-11-20  76.69  77.56  75.65  75.86  974500  75.86
2013-11-19  77.39  77.42  76.11  76.68  1263600  76.68
2013-11-18  79.26  79.57  77.47  77.67  1389000  77.67
2013-11-15  79.12  79.31  78.45  78.99  850200  78.99
2013-11-14  79.0  79.1  78.07  78.98  876800  78.98
2013-11-13  76.11  78.85  75.83  78.71  1869100  78.71
2013-11-12  77.31  77.6  76.85  77.12  1316000  77.12
2013-11-11  77.07  77.77  76.7  77.48  1237500  77.48
2013-11-08  75.11  77.59  74.97  77.55  1882000  77.55
2013-11-07  76.62  77.18  75.19  75.31  1782100  75.31
2013-11-06  75.94  76.53  75.43  76.3  1657700  76.3
2013-11-05  74.83  76.07  74.49  75.85  2591600  75.85
2013-11-04  74.9  75.48  74.19  75.45  1326600  75.45
2013-11-01  73.54  76.48  72.81  74.55  3263000  74.55
2013-10-31  74.82  74.87  73.45  73.87  2571100  73.87
2013-10-30  76.45  76.64  75.42  75.65  1405400  75.65
2013-10-29  76.68  76.94  76.03  76.52  1192200  76.52
2013-10-28  76.08  76.42  75.57  76.21  1340800  76.21
2013-10-25  76.61  76.63  74.95  75.95  1454200  75.95
2013-10-24  76.14  76.78  75.94  76.52  1182800  76.52
2013-10-23  76.04  76.8  74.96  76.11  1162800  76.11
2013-10-22  76.64  77.86  76.5  76.69  958500  76.69
2013-10-21  76.77  76.93  75.79  76.34  945900  76.34
2013-10-18  75.77  77.2  75.5  76.83  1830400  76.83
2013-10-17  73.39  75.46  73.39  75.19  1492800  75.19
2013-10-16  72.87  73.87  72.16  73.8  1416600  73.8
2013-10-15  73.09  73.36  72.12  72.41  1302100  72.41
2013-10-14  72.0  73.51  71.69  73.39  1102000  73.39
2013-10-11  71.76  73.03  71.57  72.64  1034500  72.64
2013-10-10  70.21  71.59  70.21  71.4  953600  71.4
2013-10-09  69.8  70.29  68.6  69.27  1533200  69.27
2013-10-08  70.72  71.42  69.18  69.36  1195000  69.36
2013-10-07  71.0  71.64  70.44  70.95  1037700  70.95
2013-10-04  71.45  71.97  70.99  71.53  1009700  71.53
2013-10-03  73.15  73.4  70.67  71.55  1427700  71.55
2013-10-02  71.04  72.94  71.03  72.86  1655900  72.86
