Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  80.73  81.71  80.37  81.21  2058700  81.21
2014-02-27  80.59  81.35  80.34  80.6  1536800  80.6
2014-02-26  81.1  81.93  80.38  80.57  2049300  80.57
2014-02-25  81.49  82.03  80.86  81.09  1761900  81.09
2014-02-24  81.0  82.24  80.94  81.5  1484900  81.5
2014-02-21  81.43  81.86  80.91  80.98  1185300  80.98
2014-02-20  80.34  81.6  80.04  81.55  1714400  81.55
2014-02-19  76.67  82.02  76.67  80.6  3280200  80.6
2014-02-18  76.65  76.87  75.57  76.28  1329600  76.28
2014-02-14  76.75  76.97  75.88  76.44  1453300  76.44
2014-02-13  74.68  76.98  74.56  76.49  1146100  76.49
2014-02-12  73.99  75.43  73.99  75.42  1521600  75.42
2014-02-11  72.92  74.31  72.76  73.99  1572700  73.99
2014-02-10  73.41  73.41  72.24  72.85  1032000  72.85
2014-02-07  72.48  73.62  72.27  73.56  1019200  73.56
2014-02-06  70.93  72.36  70.71  72.0  661600  72.0
2014-02-05  70.68  71.42  69.59  70.87  1475100  70.87
2014-02-04  69.8  71.32  69.56  71.05  1209000  71.05
2014-02-03  72.07  72.59  69.35  69.71  2202100  69.71
2014-01-31  71.47  72.92  71.28  72.33  759400  72.33
2014-01-30  72.87  72.89  72.13  72.54  1305900  72.54
2014-01-29  72.53  73.36  71.3  72.38  2142200  72.38
2014-01-28  72.46  74.25  72.46  74.02  962300  74.02
2014-01-27  73.0  73.34  71.84  72.18  1153100  72.18
2014-01-24  75.31  75.44  72.63  72.99  2535600  72.99
2014-01-23  77.38  77.71  75.71  76.16  1440300  76.16
2014-01-22  77.02  77.72  76.47  77.61  838700  77.61
2014-01-21  77.61  77.88  76.21  76.7  821600  76.7
2014-01-17  77.37  77.57  76.96  77.12  1018500  77.12
2014-01-16  77.41  77.74  77.04  77.07  872700  77.07
2014-01-15  77.17  78.1  76.91  77.59  836700  77.59
2014-01-14  76.61  77.2  75.91  77.17  1567400  77.17
2014-01-13  76.91  77.19  75.2  75.4  1044200  75.4
2014-01-10  77.33  77.66  76.47  77.0  1000100  77.0
2014-01-09  77.34  78.14  76.86  76.99  990200  76.99
2014-01-08  78.2  78.2  76.89  77.18  1478700  77.18
2014-01-07  77.35  77.68  76.72  77.24  1480200  77.24
2014-01-06  78.21  78.49  76.98  77.24  971500  77.24
2014-01-03  77.5  78.26  77.32  77.86  896200  77.86
2014-01-02  78.17  78.46  76.99  77.3  1400900  77.3
2013-12-31  78.0  78.89  78.0  78.83  1367200  78.83
2013-12-30  76.98  77.81  76.94  77.7  1071200  77.7
2013-12-27  76.92  77.06  76.44  76.9  643800  76.9
2013-12-26  76.57  77.08  76.1  76.95  706400  76.95
2013-12-24  76.0  76.58  76.0  76.53  411500  76.53
2013-12-23  75.89  76.65  75.64  75.96  1064400  75.96
2013-12-20  75.25  76.27  74.99  75.59  1728700  75.59
2013-12-19  74.64  75.17  74.02  75.08  1260000  75.08
2013-12-18  72.98  74.68  72.59  74.66  1081400  74.66
2013-12-17  73.75  73.82  72.72  73.03  808700  73.03
2013-12-16  72.66  73.75  72.59  73.52  1110800  73.52
2013-12-13  72.08  72.43  71.54  72.23  1067200  72.23
2013-12-12  71.97  72.44  71.84  71.96  1485900  71.96
2013-12-11  71.94  72.78  71.68  72.07  2983600  72.07
2013-12-10  71.59  72.08  71.45  71.95  1212500  71.95
2013-12-09  71.08  71.9  70.93  71.69  1301800  71.69
2013-12-06  70.41  70.82  69.91  70.81  867800  70.81
2013-12-05  69.32  69.83  68.99  69.48  971600  69.48
2013-12-04  69.82  70.34  68.66  69.3  1746000  69.3
2013-12-03  70.44  70.81  69.95  70.49  975100  70.49
2013-12-02  71.4  72.04  70.41  70.54  997300  70.54
2013-11-29  71.21  71.98  71.15  71.25  568500  71.25
2013-11-27  71.58  71.78  70.74  71.14  664100  71.14
2013-11-26  71.68  71.8  70.97  71.6  1063800  71.6
2013-11-25  72.02  72.91  71.14  71.71  1034400  71.71
2013-11-22  70.5  70.93  70.06  70.87  809100  70.87
2013-11-21  69.83  70.77  69.54  70.6  899300  70.6
2013-11-20  69.99  70.75  69.24  69.53  945000  69.53
2013-11-19  70.56  70.72  69.37  69.55  916100  69.55
2013-11-18  71.62  71.81  70.11  70.47  683800  70.47
2013-11-15  71.14  71.37  70.56  71.13  683000  71.13
2013-11-14  71.0  71.43  70.5  71.17  729200  71.17
2013-11-13  69.67  70.94  69.54  70.93  1334800  70.93
2013-11-12  70.27  70.58  69.88  70.06  866700  70.06
2013-11-11  69.54  70.32  69.27  70.28  826500  70.28
2013-11-08  68.56  69.46  68.27  69.45  1282500  69.45
2013-11-07  70.01  70.6  68.12  68.32  884300  68.32
2013-11-06  70.42  70.78  69.49  69.84  693800  69.84
2013-11-05  70.12  70.65  69.3  70.17  1246300  70.17
2013-11-04  69.89  70.36  69.66  70.33  878100  70.33
2013-11-01  69.6  69.76  68.45  69.52  958800  69.52
2013-10-31  69.55  69.82  68.89  69.34  993200  69.34
2013-10-30  70.64  70.79  69.33  69.52  877100  69.52
2013-10-29  69.79  70.74  69.62  70.6  1291600  70.6
2013-10-28  71.21  71.32  69.13  69.65  2268600  69.65
2013-10-25  66.47  71.36  65.7  71.09  4119600  71.09
2013-10-24  63.58  63.98  63.12  63.37  1966300  63.37
2013-10-23  63.78  63.97  63.09  63.6  1217700  63.6
2013-10-22  64.35  64.76  63.86  64.14  865100  64.14
2013-10-21  64.28  64.51  63.56  63.99  984300  63.99
2013-10-18  63.94  64.21  63.47  64.16  766600  64.16
2013-10-17  62.49  63.4  62.3  63.38  925600  63.38
2013-10-16  63.16  63.16  62.04  62.62  1205500  62.62
2013-10-15  63.17  63.17  61.98  62.3  841100  62.3
2013-10-14  62.35  63.32  62.22  63.29  913100  63.29
2013-10-11  61.71  62.76  61.65  62.75  1153000  62.75
2013-10-10  60.93  61.95  60.9  61.93  932100  61.93
2013-10-09  60.29  60.6  59.75  60.25  1145700  60.25
2013-10-08  60.9  61.31  60.01  60.18  981300  60.18
2013-10-07  60.98  61.21  60.73  60.86  834600  60.86
2013-10-04  61.31  61.81  61.07  61.6  756500  61.6
2013-10-03  61.51  61.9  60.68  61.34  980600  61.34
2013-10-02  62.02  62.09  61.21  61.73  1153700  61.73
2013-10-01  62.14  62.9  62.14  62.34  904100  62.34
2013-09-30  61.28  62.33  61.16  62.28  1227400  62.28
2013-09-27  62.06  62.34  61.73  62.05  620500  62.05
2013-09-26  62.04  62.52  62.03  62.44  575100  62.44
2013-09-25  62.62  62.82  61.96  62.0  1051800  62.0
2013-09-24  62.33  62.91  62.1  62.53  1029300  62.53
2013-09-23  62.55  62.78  61.6  62.29  920100  62.29
2013-09-20  63.38  63.44  62.47  62.81  1768200  62.81
2013-09-19  62.68  63.24  62.58  63.02  1203800  63.02
2013-09-18  61.27  62.5  60.74  62.34  959600  62.34
2013-09-17  61.2  61.5  61.07  61.3  688000  61.3
2013-09-16  61.59  61.95  61.03  61.2  1087100  61.2
2013-09-13  61.36  61.36  60.69  60.75  906100  60.75
2013-09-12  60.87  61.46  60.6  61.2  1102800  61.2
2013-09-11  60.95  61.29  60.53  60.72  1060600  60.72
2013-09-10  59.8  61.05  59.64  60.98  1419900  60.98
2013-09-09  59.04  59.58  59.04  59.43  892100  59.43
2013-09-06  58.17  59.62  57.67  58.83  1787900  58.83
2013-09-05  57.62  58.58  57.54  57.99  1457300  57.99
2013-09-04  56.23  57.73  56.17  57.66  1258200  57.66
2013-09-03  56.39  56.74  55.75  56.25  1145200  56.25
2013-08-30  56.36  56.42  55.41  55.56  846800  55.56
2013-08-29  55.96  56.67  55.96  56.29  421900  56.29
2013-08-28  55.7  56.33  55.43  56.17  716100  56.17
2013-08-27  56.33  56.63  55.57  55.8  885900  55.8
2013-08-26  57.16  57.37  56.77  56.95  490000  56.95
2013-08-23  57.31  57.36  56.89  57.1  610000  57.1
2013-08-22  56.14  57.33  56.1  57.22  610200  57.22
2013-08-21  56.23  56.47  55.81  56.01  595400  56.01
2013-08-20  55.79  56.48  55.62  56.42  785300  56.42
2013-08-19  56.11  56.47  55.7  55.8  722500  55.8
2013-08-16  55.96  56.55  55.88  56.37  947000  56.37
2013-08-15  56.29  56.49  55.98  56.08  1531600  56.08
2013-08-14  57.14  57.24  56.72  56.93  1080200  56.93
2013-08-13  56.77  57.32  56.35  57.21  1021900  57.21
2013-08-12  56.31  56.79  56.24  56.77  922400  56.77
2013-08-09  55.99  56.58  55.76  56.52  989700  56.52
2013-08-08  55.95  56.14  55.46  56.06  1108700  56.06
2013-08-07  56.08  56.21  55.56  55.75  1268400  55.75
2013-08-06  56.78  56.78  55.85  56.24  1218000  56.24
2013-08-05  56.89  57.06  56.41  56.67  683900  56.67
2013-08-02  57.72  57.78  56.75  57.03  1355400  57.03
2013-08-01  57.09  58.01  56.8  57.85  1002300  57.85
2013-07-31  56.61  56.97  56.37  56.45  1052400  56.45
2013-07-30  56.37  56.71  56.05  56.51  667900  56.51
2013-07-29  56.3  56.6  55.94  56.13  903200  56.13
2013-07-26  56.7  56.88  56.25  56.59  1247500  56.59
2013-07-25  55.93  57.3  55.73  57.15  2729600  57.15
2013-07-24  56.72  56.92  55.54  55.82  1650700  55.82
2013-07-23  57.23  57.24  56.5  56.72  2263600  56.72
2013-07-22  57.12  57.71  56.93  57.12  1852400  57.12
2013-07-19  56.58  57.14  56.31  57.12  1912500  57.12
2013-07-18  55.77  56.73  55.58  56.51  1573100  56.51
2013-07-17  55.23  55.6  54.9  55.58  1588000  55.58
2013-07-16  55.18  55.23  54.37  54.96  1235200  54.96
2013-07-15  55.32  55.52  54.82  55.07  961400  55.07
2013-07-12  55.71  55.85  54.99  55.28  1454300  55.28
2013-07-11  56.25  56.25  55.08  55.71  1050900  55.71
2013-07-10  55.45  55.62  54.98  55.34  783200  55.34
2013-07-09  55.35  55.84  55.24  55.52  992700  55.52
2013-07-08  55.37  55.57  54.72  54.81  1069200  54.81
2013-07-05  54.63  55.18  54.13  55.13  875100  55.13
2013-07-03  53.92  54.33  53.74  53.98  650700  53.98
2013-07-02  54.35  54.51  53.88  54.11  1009200  54.11
2013-07-01  54.13  54.9  53.93  54.38  671800  54.38
2013-06-28  54.03  54.3  53.58  53.79  1071500  53.79
2013-06-27  53.88  54.39  53.82  54.16  815800  54.16
2013-06-26  53.23  53.81  53.13  53.59  1412900  53.59
2013-06-25  52.95  52.95  52.1  52.45  1611000  52.45
2013-06-24  52.36  52.55  50.57  51.71  1532000  51.71
2013-06-21  53.52  53.63  52.05  52.75  2274600  52.75
2013-06-20  53.64  53.9  52.9  53.04  970500  53.04
2013-06-19  55.0  55.19  54.31  54.31  584700  54.31
2013-06-18  54.67  55.13  54.44  54.96  552600  54.96
2013-06-17  55.1  55.47  54.09  54.55  1174500  54.55
2013-06-14  54.89  55.25  54.35  54.85  755100  54.85
2013-06-13  54.32  55.14  53.92  54.95  714600  54.95
2013-06-12  55.27  55.37  54.19  54.29  513000  54.29
2013-06-11  54.64  55.32  54.11  54.65  912300  54.65
2013-06-10  55.83  56.08  55.42  55.77  548700  55.77
2013-06-07  55.02  55.93  54.95  55.65  959700  55.65
2013-06-06  53.6  54.64  53.6  54.64  640200  54.64
2013-06-05  55.2  55.26  53.73  53.81  1150500  53.81
2013-06-04  55.28  56.19  54.92  55.25  811200  55.25
2013-06-03  55.83  55.96  54.29  55.29  1215300  55.29
2013-05-31  55.72  56.65  55.62  55.67  1220400  55.67
2013-05-30  55.68  56.29  55.33  56.02  561600  56.02
2013-05-29  55.38  55.97  55.35  55.52  745500  55.52
2013-05-28  55.89  56.79  55.56  56.03  744900  56.03
2013-05-24  55.31  55.43  54.56  55.25  621600  55.25
2013-05-23  55.2  55.95  55.05  55.61  596100  55.61
2013-05-22  56.91  57.13  55.43  55.82  1393200  55.82
2013-05-21  56.67  57.38  56.61  56.92  1124400  56.92
2013-05-20  56.14  57.17  56.03  56.66  814200  56.66
2013-05-17  55.13  56.32  55.08  56.26  786000  56.26
2013-05-16  54.96  56.13  54.72  55.15  1161000  55.15
2013-05-15  54.64  55.06  54.06  55.06  864900  55.06
2013-05-14  53.67  54.81  53.67  54.59  991500  54.59
2013-05-13  53.6  53.74  53.22  53.68  559800  53.68
2013-05-10  53.48  53.88  53.0  53.72  827400  53.72
2013-05-09  53.88  54.19  53.25  53.37  975900  53.37
2013-05-08  53.36  53.97  53.24  53.88  676500  53.88
2013-05-07  52.75  53.5  52.52  53.46  891900  53.46
2013-05-06  52.43  52.76  52.32  52.58  820200  52.58
2013-05-03  51.09  53.37  51.09  52.54  1594500  52.54
2013-05-02  50.16  51.15  49.67  51.07  1863900  51.07
2013-05-01  51.96  51.96  50.09  50.11  1851900  50.11
2013-04-30  52.02  52.37  51.36  52.36  2532000  52.36
2013-04-29  52.22  52.51  51.96  52.25  1305300  52.25
2013-04-26  52.16  52.28  51.72  52.23  986400  52.23
2013-04-25  51.98  52.74  51.22  52.17  1964400  52.17
2013-04-24  50.81  51.99  50.81  51.74  1264500  51.74
2013-04-23  50.8  51.07  50.5  50.96  1087500  50.96
2013-04-22  50.65  50.93  50.32  50.69  1077900  50.69
2013-04-19  50.48  51.07  50.34  50.61  1066500  50.61
2013-04-18  51.25  51.5  50.36  50.41  1002300  50.41
2013-04-17  52.21  52.24  50.92  51.21  1207800  51.21
2013-04-16  52.05  52.77  51.99  52.68  846000  52.68
2013-04-15  53.06  53.21  51.36  51.44  1325700  51.44
2013-04-12  54.18  54.34  53.4  53.49  791400  53.49
2013-04-11  54.59  54.75  54.4  54.45  682200  54.45
2013-04-10  54.19  54.71  54.19  54.59  1000800  54.59
2013-04-09  53.64  54.22  53.5  54.1  991500  54.1
2013-04-08  53.02  53.61  52.79  53.47  781500  53.47
2013-04-05  52.98  53.52  52.43  53.02  1372200  53.02
2013-04-04  53.6  54.01  53.39  53.76  1333800  53.76
2013-04-03  54.05  54.05  53.19  53.59  1122300  53.59
2013-04-02  54.54  54.98  53.82  53.99  765300  53.99
2013-04-01  55.37  55.49  54.24  54.53  1037100  54.53
2013-03-28  54.76  55.64  54.65  55.53  1834200  55.53
2013-03-27  54.38  54.82  54.13  54.71  840900  54.71
2013-03-26  54.59  54.82  54.25  54.77  876000  54.77
2013-03-25  55.03  55.03  53.65  54.26  889800  54.26
2013-03-22  54.88  54.95  54.49  54.73  994800  54.73
2013-03-21  55.67  55.67  54.12  54.72  1761600  54.72
2013-03-20  55.2  56.0  55.16  55.84  1019400  55.84
2013-03-19  55.49  55.71  54.6  55.24  753300  55.24
2013-03-18  54.7  55.63  54.61  55.34  899400  55.34
2013-03-15  54.82  55.61  54.76  55.4  2586000  55.4
2013-03-14  54.55  55.23  54.55  55.12  1204500  55.12
2013-03-13  54.24  54.58  53.99  54.41  610800  54.41
2013-03-12  54.6  54.67  53.94  54.24  969600  54.24
2013-03-11  54.32  54.89  54.2  54.66  987900  54.66
2013-03-08  54.63  54.85  54.02  54.41  1160400  54.41
2013-03-07  54.48  54.74  54.05  54.21  1205100  54.21
2013-03-06  54.93  55.16  54.36  54.41  1192500  54.41
2013-03-05  53.45  54.79  53.45  54.56  1302900  54.56
2013-03-04  53.36  53.49  52.69  53.38  1135500  53.38
2013-03-01  52.6  53.45  51.83  53.36  1169100  53.36
2013-02-28  52.78  53.39  52.49  53.01  1470600  53.01
2013-02-27  51.21  52.67  51.01  52.49  1402200  52.49
2013-02-26  51.2  51.45  50.51  51.25  1721400  51.25
2013-02-25  53.61  53.67  50.93  51.0  1974900  51.0
2013-02-22  51.89  53.7  51.69  53.27  2801700  53.27
2013-02-21  52.02  52.02  51.25  51.47  1416900  51.47
2013-02-20  52.61  52.92  51.93  52.1  1494600  52.1
2013-02-19  52.93  52.99  52.44  52.75  937800  52.75
