Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  76.56  78.33  76.45  77.18  1719000  77.18
2014-02-27  75.22  76.86  75.21  76.25  1835700  76.25
2014-02-26  72.87  75.27  72.77  75.21  1412300  75.21
2014-02-25  72.37  73.0  72.06  72.67  748600  72.67
2014-02-24  72.57  73.11  72.23  72.32  824100  72.32
2014-02-21  73.3  73.4  72.62  72.7  458900  72.7
2014-02-20  72.76  73.28  72.32  73.08  504400  73.08
2014-02-19  72.78  73.5  72.39  72.66  873200  72.66
2014-02-18  72.75  73.16  72.57  72.78  843100  72.78
2014-02-14  72.06  73.29  71.9  72.93  766600  72.93
2014-02-13  71.47  72.34  71.07  72.16  520700  72.16
2014-02-12  72.37  72.8  71.74  71.82  777800  71.82
2014-02-11  71.71  72.63  71.58  72.2  980300  72.2
2014-02-10  71.23  71.61  70.64  71.5  810700  71.5
2014-02-07  71.73  72.2  70.4  71.52  1518800  71.52
2014-02-06  69.28  72.54  67.31  71.56  3118500  71.56
2014-02-05  69.15  69.82  67.8  69.49  1577300  69.49
2014-02-04  69.28  70.31  68.73  69.52  1054100  69.52
2014-02-03  70.58  71.03  68.52  68.87  1341600  68.87
2014-01-31  70.94  71.58  70.56  70.63  992300  70.63
2014-01-30  72.13  72.19  71.41  71.86  566200  71.86
2014-01-29  71.21  72.41  71.17  71.66  640200  71.66
2014-01-28  71.73  72.16  71.51  71.67  439400  71.67
2014-01-27  71.47  72.39  70.76  71.69  889100  71.69
2014-01-24  73.44  73.57  71.62  71.62  823700  71.62
2014-01-23  75.27  75.48  73.68  74.14  918700  74.14
2014-01-22  75.84  76.0  75.32  75.93  667900  75.93
2014-01-21  76.0  76.63  75.55  75.79  980900  75.79
2014-01-17  75.81  75.95  75.31  75.52  437100  75.52
2014-01-16  75.59  75.99  75.56  75.73  556700  75.73
2014-01-15  74.83  75.78  74.72  75.73  973400  75.73
2014-01-14  72.88  74.1  72.88  74.08  780300  74.08
2014-01-13  73.84  74.14  72.77  72.85  664300  72.85
2014-01-10  74.55  74.72  73.98  74.22  811500  74.22
2014-01-09  74.68  75.15  74.17  74.36  508500  74.36
2014-01-08  74.28  74.72  73.83  74.42  822500  74.42
2014-01-07  73.98  74.72  73.66  74.3  768500  74.3
2014-01-06  74.66  74.66  73.75  73.79  588300  73.79
2014-01-03  74.33  74.81  74.16  74.27  381500  74.27
2014-01-02  75.27  75.38  74.33  74.53  605900  74.53
2013-12-31  75.42  75.6  74.92  75.46  454700  75.46
2013-12-30  75.45  75.56  74.76  75.25  508300  75.25
2013-12-27  75.07  75.68  75.02  75.46  582400  75.46
2013-12-26  74.65  75.37  73.91  75.27  555700  75.27
2013-12-24  73.67  74.39  73.2  74.33  225800  74.33
2013-12-23  73.13  73.45  72.86  73.32  810400  73.32
2013-12-20  72.83  73.5  72.69  72.91  1976600  72.91
2013-12-19  72.58  73.04  72.36  72.89  1530000  72.89
2013-12-18  72.68  72.93  71.78  72.59  1788600  72.59
2013-12-17  72.52  73.19  72.4  72.92  754400  72.92
2013-12-16  73.33  73.82  72.66  72.69  1246100  72.69
2013-12-13  73.29  73.88  73.09  73.18  734200  73.18
2013-12-12  73.81  73.82  73.16  73.31  657600  73.31
2013-12-11  74.95  75.06  73.75  74.06  887400  74.06
2013-12-10  74.69  75.4  74.5  74.93  951000  74.93
2013-12-09  74.25  74.73  74.25  74.72  540500  74.72
2013-12-06  73.74  74.27  73.31  74.27  702100  74.27
2013-12-05  72.55  73.34  72.38  73.0  804900  73.0
2013-12-04  72.14  73.11  71.8  72.81  1369800  72.81
2013-12-03  72.16  72.69  71.59  72.27  798000  72.27
2013-12-02  72.76  73.32  72.57  72.68  551100  72.68
2013-11-29  72.88  73.28  72.64  72.73  262500  72.73
2013-11-27  72.47  73.18  72.34  72.86  667800  72.86
2013-11-26  72.36  72.85  72.32  72.5  551800  72.5
2013-11-25  72.9  73.01  72.02  72.26  604200  72.26
2013-11-22  72.77  73.21  72.61  72.79  1067700  72.79
2013-11-21  72.79  72.95  72.52  72.65  553300  72.65
2013-11-20  73.42  73.63  72.41  72.52  437400  72.52
2013-11-19  73.7  73.88  73.2  73.38  510200  73.38
2013-11-18  74.96  75.2  73.53  73.72  653500  73.72
2013-11-15  73.78  74.99  73.78  74.97  579400  74.97
2013-11-14  73.62  73.93  73.34  73.71  396000  73.71
2013-11-13  72.24  73.43  72.16  73.41  532400  73.41
2013-11-12  72.5  72.82  72.21  72.44  544700  72.44
2013-11-11  73.23  73.39  72.8  72.87  314300  72.87
2013-11-08  72.02  73.3  71.66  73.29  689600  73.29
2013-11-07  72.94  73.25  71.86  72.03  898000  72.03
2013-11-06  72.85  73.24  72.64  72.91  412100  72.91
2013-11-05  72.53  72.82  72.04  72.71  577200  72.71
2013-11-04  72.66  73.25  72.05  72.72  790500  72.72
2013-11-01  72.66  73.04  71.78  72.69  574000  72.69
2013-10-31  72.93  73.66  72.59  72.63  747900  72.63
2013-10-30  72.68  73.8  72.6  72.9  952000  72.9
2013-10-29  73.26  73.26  71.05  73.12  1749800  73.12
2013-10-28  74.05  74.29  73.37  73.39  645500  73.39
2013-10-25  74.26  74.26  73.26  74.21  601400  74.21
2013-10-24  73.98  74.44  73.62  74.26  340100  74.26
2013-10-23  74.19  74.36  73.44  74.01  364200  74.01
2013-10-22  73.24  74.43  73.24  74.38  632900  74.38
2013-10-21  73.2  73.62  72.8  73.06  433700  73.06
2013-10-18  73.43  73.49  73.0  73.28  593200  73.28
2013-10-17  72.29  73.34  72.13  73.27  497100  73.27
2013-10-16  72.24  72.81  72.04  72.46  627600  72.46
2013-10-15  71.87  72.17  71.41  71.62  354400  71.62
2013-10-14  71.63  72.24  71.52  72.05  426800  72.05
2013-10-11  71.44  72.15  71.17  72.11  550700  72.11
2013-10-10  71.15  71.89  70.95  71.56  626900  71.56
2013-10-09  70.58  70.74  69.88  70.28  468700  70.28
2013-10-08  71.0  71.28  70.35  70.48  683800  70.48
2013-10-07  71.36  71.65  70.95  71.09  412700  71.09
2013-10-04  70.72  72.09  70.59  71.99  600500  71.99
2013-10-03  71.18  71.35  70.58  70.72  855400  70.72
2013-10-02  70.8  71.63  70.48  71.46  964500  71.46
2013-10-01  71.5  71.98  70.94  71.22  791000  71.22
2013-09-30  70.7  71.79  70.67  71.59  649300  71.59
2013-09-27  71.07  71.54  70.93  71.39  560200  71.39
2013-09-26  71.4  71.82  70.97  71.51  505300  71.51
2013-09-25  71.24  71.62  70.84  71.22  512900  71.22
2013-09-24  70.76  71.45  70.76  71.16  543300  71.16
2013-09-23  71.08  71.41  70.55  70.86  598800  70.86
2013-09-20  71.55  72.09  70.99  71.1  761200  71.1
2013-09-19  71.14  71.87  71.11  71.57  391400  71.57
2013-09-18  70.24  71.01  69.87  70.99  635600  70.99
2013-09-17  70.1  70.51  70.0  70.33  507100  70.33
2013-09-16  70.71  70.74  69.84  70.1  516200  70.1
2013-09-13  70.16  70.46  69.84  69.91  624300  69.91
2013-09-12  69.9  70.54  69.7  69.97  540600  69.97
2013-09-11  69.16  70.11  68.97  70.08  505700  70.08
2013-09-10  68.79  69.43  68.57  69.03  442900  69.03
2013-09-09  67.73  68.58  67.54  68.38  335800  68.38
2013-09-06  67.21  67.95  66.69  67.55  745000  67.55
2013-09-05  66.94  67.74  66.94  67.09  706900  67.09
2013-09-04  66.36  67.42  66.25  67.1  633000  67.1
2013-09-03  67.2  67.49  66.15  66.51  721200  66.51
2013-08-30  66.41  66.86  66.12  66.37  872700  66.37
2013-08-29  65.94  66.96  65.94  66.5  507200  66.5
2013-08-28  66.5  66.66  65.78  66.04  875400  66.04
2013-08-27  66.2  67.21  65.76  66.71  1437600  66.71
2013-08-26  66.51  66.77  66.07  66.33  481000  66.33
2013-08-23  66.51  66.68  66.03  66.33  526900  66.33
2013-08-22  65.37  66.54  65.26  66.5  632700  66.5
2013-08-21  65.1  65.64  65.03  65.27  986800  65.27
2013-08-20  64.7  65.52  64.4  65.18  561300  65.18
2013-08-19  64.9  65.15  64.27  64.75  664800  64.75
2013-08-16  64.2  65.51  64.2  65.2  965400  65.2
2013-08-15  64.79  65.15  64.28  64.76  916700  64.76
2013-08-14  65.83  65.97  64.79  65.26  919100  65.26
2013-08-13  65.14  66.25  64.76  65.88  811600  65.88
2013-08-12  65.1  65.28  64.71  64.75  842500  64.75
2013-08-09  64.36  66.1  64.36  65.44  722500  65.44
2013-08-08  65.08  65.98  64.91  65.72  694700  65.72
2013-08-07  65.11  65.79  64.97  64.99  833500  64.99
2013-08-06  66.09  66.25  65.39  65.61  644800  65.61
2013-08-05  66.78  67.22  66.0  66.11  749700  66.11
2013-08-02  66.32  67.09  66.15  67.01  670900  67.01
2013-08-01  66.33  66.74  66.0  66.61  919300  66.61
2013-07-31  65.26  66.48  64.98  65.92  1436700  65.92
2013-07-30  63.27  65.34  61.41  65.26  2309700  65.26
2013-07-29  62.92  63.62  62.59  63.35  792500  63.35
2013-07-26  63.17  63.52  62.93  63.21  580400  63.21
2013-07-25  63.26  63.5  62.64  63.42  673500  63.42
