Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  99.89  99.92  97.15  97.57  3792100  97.57
2014-02-27  99.89  100.45  99.25  99.56  3601900  99.56
2014-02-26  99.5  100.88  99.09  99.72  4241000  99.72
2014-02-25  98.42  99.67  98.13  99.55  3487300  99.55
2014-02-24  96.26  98.54  96.19  98.25  3792900  98.25
2014-02-21  96.43  96.96  95.19  96.88  5103300  96.88
2014-02-20  93.85  97.97  93.5  97.3  6583100  97.3
2014-02-19  91.65  94.68  91.35  93.98  13932500  93.98
2014-02-18  92.8  93.5  90.21  91.04  36928000  91.04
2014-02-14  70.21  71.4  70.0  71.39  2674400  71.39
2014-02-13  69.22  70.62  69.15  70.34  3274100  70.34
2014-02-12  69.61  69.84  69.22  69.43  1730500  69.43
2014-02-11  69.0  69.86  68.54  69.5  1889500  69.5
2014-02-10  68.52  69.2  67.97  69.14  1996500  69.14
2014-02-07  66.28  69.0  66.25  68.89  2541500  68.89
2014-02-06  66.79  67.11  65.94  66.25  1529800  66.25
2014-02-05  65.79  67.39  64.94  66.78  2621900  66.78
2014-02-04  65.27  66.46  65.27  66.16  2024600  66.16
2014-02-03  66.3  66.81  64.33  64.44  3207400  64.44
2014-01-31  65.6  66.47  65.5  66.3  2671200  66.3
2014-01-30  65.54  66.34  65.44  66.3  1848600  66.3
2014-01-29  64.91  66.34  64.54  64.82  1983000  64.82
2014-01-28  65.41  66.36  64.98  66.1  1809200  66.1
2014-01-27  65.43  65.61  64.03  65.14  2450100  65.14
2014-01-24  67.16  67.23  64.91  64.95  2732300  64.95
2014-01-23  66.84  67.52  66.54  67.49  2097800  67.49
2014-01-22  68.38  68.64  66.35  67.02  3119600  67.02
2014-01-21  72.03  72.4  67.26  68.0  4901100  68.0
2014-01-17  70.58  70.86  68.39  68.74  3934800  68.74
2014-01-16  68.88  69.15  68.13  68.28  1517600  68.28
2014-01-15  69.77  69.9  69.02  69.1  1744700  69.1
2014-01-14  68.78  70.07  68.37  69.97  3478100  69.97
2014-01-13  68.53  69.75  67.62  67.73  2282600  67.73
2014-01-10  69.2  69.68  68.73  69.0  1794700  69.0
2014-01-09  69.08  70.14  68.62  69.17  3666900  69.17
2014-01-08  68.83  69.45  66.02  69.3  11884000  69.3
2014-01-07  58.57  58.96  58.38  58.76  2713000  58.76
2014-01-06  59.76  60.2  58.4  58.47  2124100  58.47
2014-01-03  59.73  59.99  59.12  59.62  1075400  59.62
2014-01-02  60.0  60.14  59.37  59.63  1141200  59.63
2013-12-31  60.06  60.28  59.73  60.03  1098100  60.03
2013-12-30  59.66  60.29  59.35  60.19  1378200  60.19
2013-12-27  59.1  59.63  59.1  59.6  1164000  59.6
2013-12-26  58.62  59.22  58.38  59.15  1524100  59.15
2013-12-24  58.01  58.73  57.73  58.6  927400  58.6
2013-12-23  57.5  58.29  57.5  58.17  1386600  58.17
2013-12-20  57.11  57.44  57.02  57.32  1983800  57.32
2013-12-19  57.5  57.5  56.33  56.93  1505300  56.93
2013-12-18  55.58  57.0  55.45  56.98  1309800  56.98
2013-12-17  55.53  55.77  54.96  55.63  1247200  55.63
2013-12-16  55.58  55.8  54.91  55.33  1154300  55.33
2013-12-13  55.25  55.7  54.76  55.46  1179500  55.46
2013-12-12  55.05  55.47  54.93  54.99  976200  54.99
2013-12-11  55.51  55.51  54.73  55.25  1784100  55.25
2013-12-10  56.28  56.63  55.3  55.32  1786500  55.32
2013-12-09  56.47  57.06  56.07  56.44  1374800  56.44
2013-12-06  56.21  56.92  55.75  56.91  1266000  56.91
2013-12-05  55.75  56.33  55.4  55.75  1868900  55.75
2013-12-04  56.4  56.78  55.76  56.27  1766800  56.27
2013-12-03  57.15  58.32  55.79  56.44  7091800  56.44
