Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  57.14  57.74  56.29  57.07  4567000  57.07
2014-02-27  54.09  57.3  54.0  57.19  9842600  57.19
2014-02-26  50.15  53.6  49.52  52.74  16541900  52.74
2014-02-25  58.5  58.75  56.91  58.03  7231600  58.03
2014-02-24  56.59  58.85  56.37  57.75  4110500  57.75
2014-02-21  57.37  57.54  55.7  55.93  2771400  55.93
2014-02-20  56.07  57.3  55.12  56.88  3014100  56.88
2014-02-19  56.63  57.95  55.61  55.97  4690300  55.97
2014-02-18  53.68  57.17  53.54  56.86  5908600  56.86
2014-02-14  53.2  53.66  52.01  53.17  3185200  53.17
2014-02-13  50.54  52.94  50.03  52.85  4079600  52.85
2014-02-12  51.78  52.78  51.3  51.58  2327800  51.58
2014-02-11  51.45  52.33  50.85  51.46  3296800  51.46
2014-02-10  49.97  51.48  49.7  51.1  3321200  51.1
2014-02-07  48.92  49.92  48.3  49.83  2863000  49.83
2014-02-06  48.01  48.95  47.81  48.2  2302700  48.2
2014-02-05  48.27  48.85  47.04  47.73  3398800  47.73
2014-02-04  48.9  49.43  48.35  49.11  2257300  49.11
2014-02-03  50.41  50.85  47.64  48.35  3970200  48.35
2014-01-31  50.46  51.92  50.3  50.58  2654300  50.58
2014-01-30  50.46  52.13  49.79  51.47  2900400  51.47
2014-01-29  49.5  50.92  49.11  49.7  2670500  49.7
2014-01-28  49.38  50.45  49.02  50.36  2505900  50.36
2014-01-27  48.33  50.12  47.75  48.84  3206600  48.84
2014-01-24  49.75  49.99  48.11  48.67  3878100  48.67
2014-01-23  51.55  51.8  49.91  50.44  3242800  50.44
2014-01-22  52.06  52.45  51.56  52.04  2552100  52.04
2014-01-21  51.98  52.38  50.45  51.81  3268800  51.81
2014-01-17  52.02  53.17  51.6  51.88  4047900  51.88
2014-01-16  52.8  53.65  51.86  52.2  5121200  52.2
2014-01-15  51.47  52.56  51.35  51.99  3409900  51.99
2014-01-14  50.12  51.5  50.08  51.05  4564000  51.05
2014-01-13  51.92  51.98  49.41  49.86  4422500  49.86
2014-01-10  52.31  52.69  51.38  51.97  2829700  51.97
2014-01-09  52.03  52.85  51.81  52.11  4159900  52.11
2014-01-08  52.29  52.89  51.41  51.68  4930200  51.68
2014-01-07  52.15  53.89  52.06  52.49  6661900  52.49
2014-01-06  54.25  54.63  51.01  51.26  11791700  51.26
2014-01-03  57.59  58.3  55.85  56.74  4118700  56.74
2014-01-02  54.28  57.58  54.01  57.44  5404200  57.44
2013-12-31  55.85  56.22  54.3  54.64  2809700  54.64
2013-12-30  55.29  56.34  55.27  55.6  1894300  55.6
2013-12-27  55.93  56.55  55.02  55.26  1622600  55.26
2013-12-26  55.57  56.17  55.28  55.68  1755900  55.68
2013-12-24  54.7  55.89  54.66  55.29  1238300  55.29
2013-12-23  56.21  56.8  55.48  55.76  2372400  55.76
2013-12-20  57.13  57.69  55.23  55.87  4958300  55.87
2013-12-19  55.05  57.37  54.7  56.76  3317400  56.76
2013-12-18  55.61  56.17  53.45  55.42  4159700  55.42
2013-12-17  54.59  55.95  54.08  55.51  2924700  55.51
2013-12-16  54.47  55.5  53.72  54.7  2729800  54.7
2013-12-13  54.5  55.2  53.48  53.79  3435400  53.79
2013-12-12  54.07  55.47  53.07  54.39  4248600  54.39
2013-12-11  56.71  56.9  53.9  54.2  4808000  54.2
2013-12-10  56.02  57.78  55.73  56.49  5077700  56.49
2013-12-09  58.03  58.79  55.77  56.07  4466500  56.07
2013-12-06  60.23  60.48  57.75  58.01  3478100  58.01
2013-12-05  60.91  61.18  59.56  59.78  3379300  59.78
2013-12-04  59.14  61.85  59.12  60.8  4390300  60.8
2013-12-03  59.59  60.48  59.0  59.62  2329400  59.62
2013-12-02  59.77  60.49  58.9  59.81  2403300  59.81
2013-11-29  60.95  61.4  59.7  59.82  1698600  59.82
2013-11-27  59.44  60.94  58.86  60.53  3375400  60.53
2013-11-26  59.79  60.38  58.12  59.37  3512500  59.37
2013-11-25  60.65  60.85  58.15  59.94  4480200  59.94
2013-11-22  62.03  62.27  60.02  60.35  2609700  60.35
2013-11-21  61.21  62.4  60.96  61.98  2847500  61.98
2013-11-20  60.64  62.2  60.52  60.88  3587900  60.88
2013-11-19  63.0  63.44  59.69  60.42  4878400  60.42
2013-11-18  64.43  65.2  62.29  62.87  3876000  62.87
2013-11-15  64.47  64.75  62.82  64.19  3229100  64.19
2013-11-14  64.97  65.99  63.16  64.28  6008500  64.28
2013-11-13  61.1  64.39  61.1  64.2  4948600  64.2
2013-11-12  62.85  63.35  60.45  61.72  4944900  61.72
2013-11-11  60.67  63.44  60.0  63.14  5712400  63.14
2013-11-08  58.81  61.09  58.51  60.5  5304400  60.5
2013-11-07  60.62  61.01  57.57  58.13  6673800  58.13
2013-11-06  61.97  62.45  59.54  61.15  5293800  61.15
2013-11-05  61.63  62.38  60.31  62.12  6108100  62.12
2013-11-04  60.6  62.1  59.61  61.83  10114900  61.83
2013-11-01  55.64  59.8  54.77  59.14  28397600  59.14
2013-10-31  50.11  51.82  48.63  50.31  8410200  50.31
2013-10-30  52.31  52.96  51.02  51.4  3548500  51.4
2013-10-29  51.74  52.38  51.22  52.37  3730800  52.37
2013-10-28  53.09  53.1  49.82  51.48  7011500  51.48
2013-10-25  54.37  54.7  52.33  52.8  5065200  52.8
2013-10-24  53.3  54.72  53.25  54.22  4251100  54.22
2013-10-23  53.15  53.75  52.24  53.08  4553000  53.08
2013-10-22  55.39  56.25  51.77  54.5  11605000  54.5
2013-10-21  51.75  56.0  51.68  53.88  16113200  53.88
2013-10-18  46.53  50.2  45.85  49.97  9745300  49.97
2013-10-17  45.9  46.56  45.31  45.97  4806100  45.97
2013-10-16  44.72  45.8  44.28  45.76  5778800  45.76
2013-10-15  44.42  45.89  43.48  43.75  6041800  43.75
2013-10-14  42.75  44.87  42.5  44.36  4980800  44.36
2013-10-11  42.94  43.85  42.29  43.31  4794800  43.31
2013-10-10  42.11  43.24  41.78  42.33  3874900  42.33
2013-10-09  42.52  42.99  40.53  41.6  4626500  41.6
2013-10-08  43.87  44.87  41.53  42.29  5468300  42.29
2013-10-07  43.63  44.98  42.93  43.74  4424800  43.74
2013-10-04  43.08  44.48  42.55  43.97  5281900  43.97
2013-10-03  43.65  44.25  41.77  43.08  6340400  43.08
2013-10-02  41.87  43.12  41.55  42.98  5816400  42.98
2013-10-01  40.31  42.3  40.0  42.14  5155100  42.14
2013-09-30  39.83  40.66  39.38  40.21  3197100  40.21
2013-09-27  40.36  41.92  39.7  40.71  4511900  40.71
2013-09-26  41.05  41.65  40.15  40.45  4386900  40.45
2013-09-25  39.0  41.0  38.35  40.39  6089500  40.39
2013-09-24  38.71  39.75  38.2  39.04  2307700  39.04
2013-09-23  39.08  39.64  38.31  38.78  2914500  38.78
2013-09-20  39.91  41.07  38.93  39.02  4264700  39.02
2013-09-19  39.93  40.57  39.53  39.83  3520900  39.83
2013-09-18  38.84  39.71  38.47  39.5  3473800  39.5
2013-09-17  38.53  38.93  38.03  38.51  2038800  38.51
2013-09-16  38.63  39.49  38.37  38.48  2870800  38.48
2013-09-13  38.42  38.6  37.88  38.22  2149100  38.22
2013-09-12  39.8  40.18  38.3  38.34  3387000  38.34
2013-09-11  39.59  40.4  39.4  39.6  4030000  39.6
2013-09-10  38.83  39.83  38.72  39.73  4828400  39.73
2013-09-09  37.42  38.63  37.27  38.24  3108500  38.24
2013-09-06  38.68  38.76  36.83  37.45  4152000  37.45
2013-09-05  36.58  38.47  36.58  38.36  4805100  38.36
2013-09-04  36.85  36.98  35.59  36.47  4059000  36.47
2013-09-03  37.15  37.4  36.62  36.87  2998700  36.87
2013-08-30  37.71  37.88  36.62  36.72  2730900  36.72
2013-08-29  36.96  38.07  36.85  37.52  2606200  37.52
2013-08-28  36.76  37.57  36.6  36.92  2562500  36.92
2013-08-27  38.07  38.19  36.73  36.84  4033800  36.84
2013-08-26  39.13  39.46  38.4  38.78  2926800  38.78
2013-08-23  40.14  40.14  38.61  38.97  3322600  38.97
2013-08-22  39.1  39.8  38.78  39.02  2457000  39.02
2013-08-21  38.27  39.14  37.99  38.55  3820500  38.55
2013-08-20  37.3  38.67  37.09  38.52  3439900  38.52
