Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  49.98  50.51  49.69  50.24  1976000  50.24
2014-02-27  50.2  50.42  49.32  49.99  1666200  49.99
2014-02-26  50.48  51.42  50.05  50.2  1452200  50.2
2014-02-25  50.46  50.61  49.6  50.1  2780900  50.1
2014-02-24  50.37  51.09  50.16  50.66  1555300  50.66
2014-02-21  50.82  50.88  50.01  50.02  1504500  50.02
2014-02-20  50.51  50.9  50.29  50.82  1254900  50.82
2014-02-19  50.64  51.3  50.4  50.52  1672500  50.52
2014-02-18  51.31  51.55  50.54  50.95  1913400  50.95
2014-02-14  51.36  51.44  50.76  51.24  1658600  51.24
2014-02-13  50.62  51.96  50.4  51.36  2084200  51.36
2014-02-12  50.54  51.07  50.34  50.66  2090500  50.66
2014-02-11  49.71  50.61  49.52  50.27  2730300  50.27
2014-02-10  48.59  49.39  48.13  49.11  4102000  49.11
2014-02-07  48.0  50.91  47.6  48.37  8212000  48.37
2014-02-06  49.6  50.73  49.41  49.95  3679400  49.95
2014-02-05  49.52  49.55  48.62  49.4  2610000  49.4
2014-02-04  49.0  49.93  48.92  49.72  2215800  49.72
2014-02-03  49.46  49.74  48.74  48.94  2276400  48.94
2014-01-31  49.29  50.02  49.04  49.44  1555900  49.44
2014-01-30  49.15  49.96  49.03  49.91  2254800  49.91
2014-01-29  48.72  49.35  48.5  48.9  2230100  48.9
2014-01-28  48.73  49.2  48.33  49.19  2108300  49.19
2014-01-27  49.49  49.62  48.82  48.93  2642400  48.93
2014-01-24  49.7  50.49  48.98  49.4  3117300  49.4
2014-01-23  51.13  51.54  50.19  50.19  2837700  50.19
2014-01-22  51.62  51.7  51.01  51.59  1489600  51.59
2014-01-21  51.43  52.18  51.0  51.3  1526600  51.3
2014-01-17  51.1  51.31  50.82  51.0  1648500  51.0
2014-01-16  51.0  51.42  50.82  51.08  1197200  51.08
2014-01-15  51.88  51.99  51.14  51.2  1656400  51.2
2014-01-14  51.07  51.91  51.03  51.91  1427600  51.91
2014-01-13  52.35  52.35  51.04  51.05  2354500  51.05
2014-01-10  51.53  52.33  51.45  52.31  1345900  52.31
2014-01-09  51.47  52.08  51.16  51.48  1028300  51.48
2014-01-08  51.29  51.66  50.98  51.4  1693200  51.4
2014-01-07  51.67  51.94  51.15  51.3  1316300  51.3
2014-01-06  52.0  52.3  51.52  51.9  1831700  51.9
2014-01-03  51.39  52.22  51.18  51.9  1736900  51.9
2014-01-02  51.94  52.21  50.86  51.25  1964500  51.25
2013-12-31  51.77  52.26  51.56  52.21  1154600  52.21
2013-12-30  52.16  52.34  51.24  51.54  1330200  51.54
2013-12-27  52.36  52.42  51.85  51.9  1470300  51.9
2013-12-26  52.96  52.96  52.0  52.27  982800  52.27
2013-12-24  51.8  52.38  51.65  52.21  577600  52.21
2013-12-23  52.67  52.69  51.6  51.64  1128500  51.64
2013-12-20  52.19  52.61  51.94  52.3  2185600  52.3
2013-12-19  52.67  52.71  51.3  51.92  2252400  51.92
2013-12-18  53.11  53.11  51.69  52.76  2688500  52.76
2013-12-17  53.02  53.48  52.76  53.16  2220900  53.16
2013-12-16  52.33  53.3  52.22  53.1  3096000  53.1
