Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  5.0  5.0  4.88  4.88  8810500  4.88
2014-02-27  4.95  5.01  4.92  4.99  11829400  4.99
2014-02-26  5.03  5.08  4.91  4.94  12302300  4.94
2014-02-25  4.71  5.15  4.7  5.08  37112000  5.08
2014-02-24  4.64  4.71  4.59  4.59  11200600  4.59
2014-02-21  4.7  4.72  4.61  4.63  10328000  4.63
2014-02-20  4.72  4.74  4.67  4.73  6062900  4.73
2014-02-19  4.72  4.75  4.63  4.68  8501400  4.68
2014-02-18  4.71  4.75  4.66  4.69  10400400  4.69
2014-02-14  4.62  4.7  4.6  4.68  8234400  4.68
2014-02-13  4.6  4.61  4.56  4.61  6265900  4.61
2014-02-12  4.6  4.63  4.59  4.6  6731200  4.6
2014-02-11  4.55  4.59  4.53  4.58  8623500  4.58
2014-02-10  4.52  4.6  4.51  4.53  7909200  4.53
2014-02-07  4.6  4.63  4.5  4.54  8916400  4.54
2014-02-06  4.5  4.56  4.46  4.56  6407200  4.56
2014-02-05  4.52  4.53  4.42  4.46  18894000  4.46
2014-02-04  4.5  4.57  4.41  4.53  10513400  4.53
2014-02-03  4.7  4.72  4.4  4.42  17379300  4.42
2014-01-31  4.77  4.8  4.66  4.68  8900800  4.68
2014-01-30  4.87  4.87  4.77  4.79  5911600  4.79
2014-01-29  4.89  4.89  4.81  4.82  13433200  4.82
2014-01-28  4.79  4.94  4.79  4.91  11714800  4.91
2014-01-27  4.82  4.91  4.79  4.88  8338400  4.88
2014-01-24  4.89  4.91  4.8  4.8  9176300  4.8
2014-01-23  4.9  4.94  4.81  4.92  11534500  4.92
2014-01-22  4.89  4.95  4.86  4.93  10919300  4.93
2014-01-21  4.88  4.91  4.81  4.86  9620000  4.86
2014-01-17  4.84  4.87  4.78  4.83  7857200  4.83
2014-01-16  4.81  4.97  4.77  4.88  11252900  4.88
2014-01-15  4.77  4.82  4.74  4.76  4404800  4.76
2014-01-14  4.74  4.77  4.71  4.77  4446400  4.77
2014-01-13  4.73  4.77  4.7  4.7  4112100  4.7
2014-01-10  4.67  4.78  4.67  4.73  6496000  4.73
2014-01-09  4.75  4.76  4.65  4.67  6345500  4.67
2014-01-08  4.7  4.76  4.7  4.75  5615400  4.75
2014-01-07  4.74  4.78  4.71  4.72  5767000  4.72
2014-01-06  4.75  4.76  4.68  4.75  7896400  4.75
