Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  29.4  29.82  29.16  29.75  2235000  29.75
2014-02-27  29.34  29.5  29.17  29.31  1812600  29.31
2014-02-26  29.83  29.95  29.35  29.46  2033700  29.46
2014-02-25  29.43  29.77  29.01  29.77  2709800  29.77
2014-02-24  28.98  29.56  28.98  29.48  2146100  29.48
2014-02-21  28.93  28.98  28.6  28.84  1427800  28.84
2014-02-20  28.55  28.81  28.28  28.76  2113900  28.76
2014-02-19  28.37  28.62  28.22  28.47  1765200  28.47
2014-02-18  28.37  28.59  28.3  28.47  1727900  28.47
2014-02-14  28.06  28.43  27.92  28.24  1134100  28.24
2014-02-13  27.88  28.21  27.88  28.18  1196600  28.18
2014-02-12  27.85  28.28  27.82  28.18  1808500  28.18
2014-02-11  27.72  27.93  27.61  27.84  1728000  27.84
2014-02-10  27.73  27.96  27.58  27.78  2108200  27.78
2014-02-07  27.84  27.99  27.51  27.71  1910700  27.71
2014-02-06  27.01  27.67  26.85  27.6  2468200  27.6
2014-02-05  26.18  27.04  25.99  26.98  4138100  26.98
2014-02-04  27.5  27.83  25.96  26.36  6517000  26.36
2014-02-03  27.46  27.63  26.46  26.51  3514200  26.51
2014-01-31  27.1  27.91  27.05  27.53  1906700  27.53
2014-01-30  27.64  27.83  27.39  27.6  1546300  27.6
2014-01-29  27.43  27.69  27.19  27.28  1662600  27.28
2014-01-28  27.49  28.01  27.42  27.75  1393500  27.75
2014-01-27  27.59  27.77  26.91  27.36  3073700  27.36
2014-01-24  27.94  27.98  27.32  27.47  2706200  27.47
2014-01-23  28.36  28.76  27.92  28.2  1800600  28.2
2014-01-22  28.32  28.54  28.03  28.53  2031500  28.53
2014-01-21  28.62  28.73  28.15  28.27  1743100  28.27
2014-01-17  28.62  28.82  28.32  28.44  2093800  28.44
2014-01-16  28.18  28.56  27.87  28.54  2727000  28.54
2014-01-15  29.27  29.35  28.18  28.27  3960800  28.27
2014-01-14  28.97  29.41  28.82  29.28  1927800  29.28
2014-01-13  29.6  29.65  28.75  28.84  2419400  28.84
2014-01-10  29.74  29.96  29.53  29.76  1912100  29.76
2014-01-09  30.07  30.12  29.24  29.52  3504300  29.52
2014-01-08  29.69  30.43  29.6  30.04  4273700  30.04
2014-01-07  29.48  30.05  29.4  29.79  4193700  29.79
2014-01-06  29.72  29.74  29.26  29.5  2965400  29.5
2014-01-03  29.58  29.78  29.51  29.59  1659200  29.59
2014-01-02  29.55  29.69  29.27  29.58  2165100  29.58
2013-12-31  29.79  29.87  29.37  29.58  1413400  29.58
2013-12-30  29.22  29.76  29.16  29.72  1965400  29.72
2013-12-27  29.33  29.45  29.1  29.22  1695000  29.22
2013-12-26  29.0  29.48  29.0  29.31  1989900  29.31
2013-12-24  28.5  29.06  28.4  28.78  2172700  28.78
2013-12-23  28.07  28.83  28.0  28.61  2883500  28.61
2013-12-20  27.56  28.04  27.36  27.81  4065200  27.81
2013-12-19  27.07  27.56  27.06  27.48  2261800  27.48
2013-12-18  26.6  27.33  26.52  27.25  2655500  27.25
2013-12-17  26.63  26.73  26.3  26.58  1735600  26.58
2013-12-16  26.39  26.8  26.36  26.66  2305100  26.66
2013-12-13  25.93  26.33  25.9  26.19  2360600  26.19
2013-12-12  25.89  26.16  25.29  25.91  2970700  25.91
2013-12-11  25.45  26.16  25.22  25.98  5147900  25.98
2013-12-10  25.15  25.68  25.15  25.52  2163000  25.52
2013-12-09  25.6  25.65  25.02  25.2  2360000  25.2
2013-12-06  25.38  25.64  24.68  25.55  3266900  25.55
2013-12-05  25.34  25.35  24.9  25.09  4691700  25.09
2013-12-04  26.08  26.15  25.09  25.35  5726300  25.35
2013-12-03  26.23  26.3  25.92  25.99  5590600  25.99
2013-12-02  26.87  26.94  26.33  26.4  3499400  26.4
2013-11-29  26.8  27.04  26.65  26.85  872500  26.85
2013-11-27  26.56  26.86  26.44  26.82  1331600  26.82
2013-11-26  26.38  26.67  26.18  26.56  3025600  26.56
2013-11-25  26.64  26.66  26.28  26.31  2122200  26.31
2013-11-22  26.31  26.55  26.11  26.54  2238400  26.54
2013-11-21  26.31  26.4  26.04  26.26  2179400  26.26
2013-11-20  26.2  26.59  26.01  26.15  2600600  26.15
2013-11-19  26.5  26.6  25.92  26.07  2616000  26.07
2013-11-18  27.01  27.16  26.48  26.54  4606500  26.54
2013-11-15  27.3  27.3  26.7  26.99  3293200  26.99
2013-11-14  27.68  27.77  27.13  27.15  2009300  27.15
2013-11-13  26.77  27.62  26.77  27.62  1250800  27.62
2013-11-12  27.12  27.29  26.76  26.9  1508200  26.9
2013-11-11  27.42  27.6  27.25  27.35  1117000  27.35
2013-11-08  26.72  27.5  26.7  27.49  2284900  27.49
2013-11-07  27.79  27.88  26.64  26.7  2167300  26.7
2013-11-06  27.75  28.06  27.5  27.58  1722800  27.58
2013-11-05  27.88  27.96  27.62  27.69  1676300  27.69
2013-11-04  27.86  27.98  27.49  27.83  1617300  27.83
2013-11-01  27.48  27.83  27.39  27.69  1703400  27.69
2013-10-31  27.59  27.79  27.36  27.46  1753900  27.46
2013-10-30  27.61  27.96  27.43  27.59  1983200  27.59
2013-10-29  27.43  27.68  27.3  27.52  1963100  27.52
2013-10-28  27.55  27.63  27.01  27.31  2647200  27.31
2013-10-25  27.63  27.81  27.18  27.56  1504100  27.56
2013-10-24  27.58  27.75  27.43  27.61  1321200  27.61
2013-10-23  27.4  27.57  26.92  27.46  2174000  27.46
2013-10-22  26.89  27.88  26.77  27.54  3813700  27.54
2013-10-21  24.31  26.99  23.61  26.69  6006400  26.69
2013-10-18  26.95  27.51  26.59  27.28  3363000  27.28
2013-10-17  26.52  26.93  26.43  26.74  2206200  26.74
2013-10-16  26.3  26.87  26.21  26.68  2365400  26.68
2013-10-15  26.0  26.32  25.79  26.09  2190100  26.09
2013-10-14  25.39  26.18  25.18  26.04  2705000  26.04
2013-10-11  24.68  25.85  24.66  25.55  2218700  25.55
2013-10-10  24.74  25.13  24.6  25.05  2359700  25.05
2013-10-09  24.71  24.73  23.56  24.2  5203500  24.2
2013-10-08  25.17  25.64  24.81  24.92  2359400  24.92
2013-10-07  25.58  25.64  25.15  25.15  2039500  25.15
2013-10-04  26.06  26.35  25.88  25.94  1709700  25.94
2013-10-03  26.41  26.41  25.78  26.0  1952900  26.0
2013-10-02  26.45  26.48  26.26  26.47  1431700  26.47
2013-10-01  26.6  26.84  26.35  26.63  2073700  26.63
2013-09-30  26.15  26.76  26.07  26.59  1747700  26.59
2013-09-27  26.27  26.68  26.16  26.47  1390700  26.47
2013-09-26  26.47  26.59  26.11  26.46  2178700  26.46
2013-09-25  25.6  26.7  25.44  26.47  4189200  26.47
2013-09-24  25.39  25.7  25.24  25.55  2136800  25.55
2013-09-23  25.25  25.6  25.23  25.38  2066000  25.38
2013-09-20  25.54  25.86  25.28  25.33  2438700  25.33
2013-09-19  25.67  25.74  25.13  25.42  1268800  25.42
2013-09-18  25.51  25.81  25.19  25.63  1696900  25.63
2013-09-17  25.32  25.8  25.26  25.54  1047700  25.54
2013-09-16  25.71  25.77  25.29  25.33  1299200  25.33
2013-09-13  25.27  25.51  25.13  25.3  1756800  25.3
2013-09-12  25.06  25.47  24.9  25.04  3467200  25.04
2013-09-11  25.21  25.35  24.92  25.12  2675600  25.12
2013-09-10  25.08  25.29  24.87  25.21  2251100  25.21
2013-09-09  24.33  24.93  24.2  24.85  2595200  24.85
2013-09-06  24.77  24.77  24.02  24.35  1904800  24.35
2013-09-05  24.63  24.85  24.51  24.65  1734500  24.65
2013-09-04  24.09  25.07  24.01  24.68  3555600  24.68
2013-09-03  24.18  24.52  23.94  24.09  1987900  24.09
2013-08-30  23.99  24.03  23.6  23.71  1624600  23.71
2013-08-29  23.74  24.14  23.69  23.99  1316000  23.99
2013-08-28  23.99  24.07  23.76  23.89  1407300  23.89
2013-08-27  24.38  24.52  23.8  23.99  2234800  23.99
2013-08-26  24.78  24.94  24.59  24.66  1284500  24.66
2013-08-23  24.88  25.0  24.52  24.75  1373400  24.75
2013-08-22  24.46  25.08  24.36  24.84  1277600  24.84
2013-08-21  24.38  24.57  24.18  24.31  1714600  24.31
2013-08-20  23.73  24.9  23.71  24.54  3226900  24.54
2013-08-19  23.99  24.09  23.64  23.68  2990700  23.68
2013-08-16  24.0  24.3  23.81  24.07  2277700  24.07
2013-08-15  24.84  24.85  23.81  23.91  2777500  23.91
2013-08-14  25.44  25.48  24.9  25.19  1401300  25.19
2013-08-13  25.52  25.62  25.22  25.48  1692400  25.48
2013-08-12  25.1  25.6  25.09  25.55  1160000  25.55
2013-08-09  25.41  25.6  25.27  25.36  1645000  25.36
2013-08-08  25.27  25.85  25.14  25.44  2904900  25.44
2013-08-07  25.12  25.28  24.99  25.04  1250500  25.04
2013-08-06  25.44  25.51  24.96  25.2  1801900  25.2
2013-08-05  25.72  25.79  25.3  25.4  1553800  25.4
2013-08-02  25.61  25.89  25.35  25.86  1498000  25.86
2013-08-01  25.58  25.92  25.5  25.74  2202100  25.74
2013-07-31  25.15  25.66  25.15  25.35  1844600  25.35
2013-07-30  25.11  25.24  24.83  25.14  2143100  25.14
2013-07-29  25.27  25.45  24.93  25.0  1116300  25.0
2013-07-26  25.3  25.44  25.07  25.27  1591700  25.27
