Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  109.04  110.25  108.79  109.54  2282300  109.54
2014-02-27  107.98  109.04  107.41  108.98  1894100  108.98
2014-02-26  108.24  108.7  107.39  108.03  2137700  108.03
2014-02-25  108.61  109.26  107.98  108.27  2090400  108.27
2014-02-24  107.27  109.57  107.0  108.76  2642400  108.76
2014-02-21  108.07  108.21  107.06  107.45  2426000  107.45
2014-02-20  105.65  108.0  105.53  107.75  2377000  107.75
2014-02-19  106.33  107.25  105.05  105.26  2762400  105.26
2014-02-18  106.08  107.22  105.58  106.77  2246800  106.77
2014-02-14  103.62  106.45  103.22  106.35  2579600  106.35
2014-02-13  103.04  104.01  102.9  103.73  1629500  103.73
2014-02-12  103.29  103.81  103.04  103.66  2008900  103.66
2014-02-11  102.76  103.75  102.56  103.22  1949100  103.22
2014-02-10  103.2  103.64  102.44  102.51  2759600  102.51
2014-02-07  101.87  104.58  101.51  104.19  3158900  104.19
2014-02-06  100.15  101.59  99.62  101.22  3383200  101.22
2014-02-05  99.26  99.84  97.58  98.88  4055600  98.88
2014-02-04  100.82  101.59  98.75  99.68  7819300  99.68
2014-02-03  101.0  101.77  98.4  98.47  2721800  98.47
2014-01-31  99.21  102.18  98.83  101.31  3304200  101.31
2014-01-30  99.14  100.71  99.11  100.49  2363900  100.49
2014-01-29  99.78  99.99  98.43  99.01  2536200  99.01
2014-01-28  100.02  101.73  100.02  100.5  3568800  100.5
2014-01-27  97.86  100.37  97.86  99.95  3145800  99.95
2014-01-24  100.04  100.21  98.1  98.31  3503500  98.31
2014-01-23  99.96  101.8  99.93  101.55  3070600  101.55
2014-01-22  96.12  100.6  93.85  99.65  5421000  99.65
2014-01-21  95.84  96.87  95.21  95.3  1673100  95.3
2014-01-17  95.4  95.92  95.33  95.47  1748500  95.47
2014-01-16  95.45  95.83  95.18  95.4  777300  95.4
2014-01-15  95.23  96.65  94.93  95.59  2668300  95.59
2014-01-14  94.88  95.4  94.45  95.4  1659900  95.4
2014-01-13  94.34  95.72  94.15  94.46  1846500  94.46
2014-01-10  95.05  95.09  93.98  94.55  1459900  94.55
2014-01-09  94.46  95.41  94.43  94.67  1848500  94.67
2014-01-08  94.61  94.75  93.65  94.17  1842200  94.17
2014-01-07  94.14  95.1  94.11  94.7  1470800  94.7
2014-01-06  94.4  94.72  93.48  93.91  1581900  93.91
2014-01-03  94.21  94.82  93.79  94.19  1045600  94.19
2014-01-02  94.3  94.98  93.99  94.2  1816400  94.2
2013-12-31  94.18  95.2  93.81  94.99  1078900  94.99
2013-12-30  94.42  94.55  94.11  94.55  1015100  94.55
2013-12-27  93.94  94.49  93.9  94.45  944600  94.45
2013-12-26  93.41  94.39  93.41  94.29  786800  94.29
2013-12-24  92.77  93.22  92.59  93.22  358400  93.22
2013-12-23  93.31  93.37  92.47  92.64  1019500  92.64
2013-12-20  92.1  93.37  92.1  92.83  1832100  92.83
2013-12-19  92.41  92.59  91.51  92.12  1365600  92.12
2013-12-18  90.86  93.06  90.47  93.0  1926800  93.0
2013-12-17  90.74  90.97  90.48  90.91  1124200  90.91
2013-12-16  89.95  90.81  89.76  90.39  1200800  90.39
2013-12-13  89.36  90.09  88.86  89.73  1178100  89.73
2013-12-12  88.95  89.58  88.89  89.37  1141100  89.37
2013-12-11  90.21  90.37  88.66  89.18  1924600  89.18
2013-12-10  89.7  90.43  89.46  90.02  893000  90.02
2013-12-09  90.36  90.45  89.88  90.0  690200  90.0
2013-12-06  89.53  90.26  89.26  90.26  1042700  90.26
2013-12-05  88.76  89.73  88.58  88.71  882000  88.71
2013-12-04  89.48  90.24  88.33  88.96  1597700  88.96
2013-12-03  90.56  90.82  89.49  89.81  1198600  89.81
2013-12-02  90.87  91.55  90.49  90.69  1136900  90.69
2013-11-29  91.8  91.97  91.04  91.13  776200  91.13
2013-11-27  91.45  92.21  91.38  91.73  886300  91.73
2013-11-26  91.18  91.75  91.15  91.38  1004700  91.38
2013-11-25  91.77  91.95  90.76  91.14  1122900  91.14
2013-11-22  90.41  91.68  90.19  91.61  1538400  91.61
2013-11-21  89.48  90.63  89.31  90.57  1796900  90.57
2013-11-20  89.38  89.9  88.78  89.1  1688900  89.1
2013-11-19  88.65  89.41  88.53  89.29  1796600  89.29
2013-11-18  88.48  89.41  88.39  88.78  1407500  88.78
2013-11-15  87.31  88.26  86.78  88.19  1588600  88.19
2013-11-14  86.99  87.43  86.7  87.43  2238800  87.43
2013-11-13  86.0  86.64  85.85  86.57  1846200  86.57
2013-11-12  86.25  86.74  86.13  86.22  1014000  86.22
2013-11-11  86.71  86.8  86.53  86.66  989400  86.66
2013-11-08  86.25  86.95  86.08  86.69  1427900  86.69
2013-11-07  87.19  87.47  86.23  86.29  1349900  86.29
2013-11-06  87.08  87.34  86.69  87.16  1192200  87.16
2013-11-05  86.54  87.03  86.25  86.59  1081500  86.59
2013-11-04  86.95  87.06  86.45  86.57  800900  86.57
2013-11-01  86.34  87.22  86.15  86.64  877700  86.64
2013-10-31  86.11  86.42  85.62  86.12  1446800  86.12
2013-10-30  87.58  87.94  85.85  85.99  2055100  85.99
2013-10-29  87.31  87.41  86.59  87.37  1762700  87.37
2013-10-28  87.6  87.65  86.83  87.14  1750100  87.14
2013-10-25  86.41  87.78  86.04  87.74  1907600  87.74
2013-10-24  85.7  86.64  85.29  86.61  2036300  86.61
2013-10-23  88.37  88.46  85.33  85.73  2410100  85.73
2013-10-22  87.94  88.18  87.48  87.65  2098200  87.65
2013-10-21  88.09  88.23  87.42  87.49  1980300  87.49
2013-10-18  87.95  88.03  87.4  87.88  1360300  87.88
2013-10-17  86.96  87.98  86.67  87.86  801400  87.86
2013-10-16  86.65  87.12  86.43  87.04  1025000  87.04
2013-10-15  87.37  87.48  86.0  86.34  787900  86.34
2013-10-14  86.62  87.43  86.29  87.3  709500  87.3
2013-10-11  86.9  87.26  86.63  87.25  963500  87.25
2013-10-10  84.53  86.9  84.45  86.9  1765800  86.9
2013-10-09  84.03  84.41  83.12  83.79  1513200  83.79
2013-10-08  85.24  85.42  83.87  83.92  1491300  83.92
2013-10-07  84.3  85.73  84.19  85.1  1232400  85.1
2013-10-04  84.81  85.22  84.36  84.85  911400  84.85
2013-10-03  86.37  86.37  84.13  84.91  1472700  84.91
2013-10-02  86.95  86.95  85.6  86.43  1303300  86.43
2013-10-01  86.36  87.39  86.35  87.38  1127400  87.38
2013-09-30  85.19  86.83  85.11  86.44  1695600  86.44
2013-09-27  86.81  87.29  86.65  87.2  1126100  87.2
2013-09-26  86.6  87.37  86.49  87.16  823300  87.16
2013-09-25  86.95  87.06  86.49  86.65  1288100  86.65
2013-09-24  86.76  87.24  86.68  86.84  1536000  86.84
2013-09-23  86.97  87.51  86.52  86.82  1293700  86.82
2013-09-20  88.51  88.6  87.01  87.06  1688900  87.06
2013-09-19  88.27  88.83  87.8  88.54  1279800  88.54
2013-09-18  87.89  88.67  87.0  88.28  1319800  88.28
2013-09-17  85.58  88.1  85.58  88.04  1315800  88.04
2013-09-16  86.49  87.24  86.35  86.98  1209000  86.98
2013-09-13  85.78  86.2  85.24  86.05  922300  86.05
2013-09-12  85.95  86.05  85.32  85.56  931400  85.56
2013-09-11  85.23  85.91  85.04  85.82  1072900  85.82
2013-09-10  84.54  85.69  84.47  85.67  1348700  85.67
2013-09-09  83.71  84.43  83.71  84.22  1101100  84.22
2013-09-06  84.05  84.11  82.72  83.52  973800  83.52
2013-09-05  83.79  84.0  83.29  83.94  838500  83.94
2013-09-04  83.09  84.04  82.98  83.94  2013800  83.94
2013-09-03  83.28  83.7  82.93  83.31  1239500  83.31
2013-08-30  82.61  82.67  81.98  82.22  1178700  82.22
2013-08-29  81.66  82.73  81.43  82.54  1011300  82.54
2013-08-28  81.84  82.32  81.21  81.82  1265600  81.82
2013-08-27  82.7  83.3  81.7  81.88  1275400  81.88
2013-08-26  83.62  84.15  83.2  83.2  1534100  83.2
2013-08-23  83.42  83.66  83.15  83.56  954500  83.56
2013-08-22  82.96  83.64  82.83  83.45  1022200  83.45
2013-08-21  82.96  83.22  82.5  82.67  1084600  82.67
2013-08-20  83.1  83.73  83.02  83.07  882900  83.07
2013-08-19  82.4  83.51  82.38  83.11  1299800  83.11
2013-08-16  82.44  83.25  82.37  82.71  1466300  82.71
2013-08-15  83.39  83.73  82.68  82.77  1171700  82.77
2013-08-14  84.96  84.97  84.1  84.23  1384400  84.23
2013-08-13  84.74  85.12  84.22  84.93  1266100  84.93
2013-08-12  85.56  85.64  84.68  84.71  1265400  84.71
2013-08-09  85.95  86.2  85.39  85.84  1337700  85.84
2013-08-08  86.3  86.71  85.78  85.94  998500  85.94
2013-08-07  86.22  86.45  85.71  85.94  2125300  85.94
2013-08-06  86.2  86.76  86.15  86.26  1658600  86.26
