Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  25.54  25.69  25.31  25.47  29436800  25.47
2014-02-27  25.21  25.56  25.15  25.5  22813400  25.5
2014-02-26  25.33  25.36  25.1  25.3  29784400  25.3
2014-02-25  25.38  25.48  25.17  25.27  33090400  25.27
2014-02-24  25.02  25.45  24.96  25.29  38023300  25.29
2014-02-21  25.12  25.19  24.94  24.94  37146000  24.94
2014-02-20  25.31  25.32  25.02  25.12  32274900  25.12
2014-02-19  25.46  25.55  25.15  25.18  33893100  25.18
2014-02-18  25.79  25.82  25.43  25.43  29216000  25.43
2014-02-14  25.25  25.63  25.16  25.52  24928400  25.52
2014-02-13  25.01  25.22  24.89  25.22  32357200  25.22
2014-02-12  25.35  25.41  25.13  25.17  25227900  25.17
2014-02-11  24.99  25.3  24.94  25.21  32587400  25.21
2014-02-10  25.17  25.17  24.71  24.83  33004400  24.83
2014-02-07  24.98  25.06  24.78  24.97  34720900  24.97
2014-02-06  24.58  24.88  24.4  24.73  44724400  24.73
2014-02-05  24.25  24.43  24.11  24.31  40259700  24.31
2014-02-04  24.32  24.57  24.19  24.36  45856000  24.36
2014-02-03  24.91  24.99  24.11  24.14  75451400  24.14
2014-01-31  24.99  25.16  24.86  24.91  40334000  24.91
2014-01-30  25.28  25.37  25.11  25.28  30094200  25.28
2014-01-29  25.12  25.3  24.94  25.07  39629700  25.07
2014-01-28  25.11  25.4  25.08  25.24  50425800  25.24
2014-01-27  25.04  25.07  24.68  24.85  60548000  24.85
2014-01-24  25.34  25.36  24.73  24.73  95605000  24.73
2014-01-23  25.76  25.76  25.31  25.6  58047400  25.6
2014-01-22  26.07  26.08  25.76  25.76  48673300  25.76
2014-01-21  26.5  26.51  25.81  26.06  59938700  26.06
2014-01-17  26.65  26.69  26.05  26.35  97240600  26.35
2014-01-16  26.98  27.03  26.84  26.96  32648300  26.96
2014-01-15  26.91  27.16  26.77  27.1  31863300  27.1
2014-01-14  26.61  26.77  26.51  26.74  24945900  26.74
2014-01-13  26.75  26.87  26.45  26.5  34419200  26.5
2014-01-10  26.96  27.0  26.63  26.73  38828600  26.73
2014-01-09  27.09  27.12  26.69  26.98  31311400  26.98
2014-01-08  27.11  27.12  26.88  26.97  25868900  26.97
2014-01-07  27.24  27.25  26.97  27.05  24728000  27.05
2014-01-06  27.42  27.49  26.91  27.02  29356600  27.02
2014-01-03  27.28  27.36  27.17  27.24  27570800  27.24
2014-01-02  27.62  27.7  27.17  27.26  41453700  27.26
2013-12-31  27.66  27.85  27.59  27.79  30306700  27.79
2013-12-30  27.6  27.74  27.56  27.65  23832300  27.65
2013-12-27  27.6  27.7  27.52  27.59  18990700  27.59
2013-12-26  27.44  27.72  27.36  27.59  24765300  27.59
2013-12-24  27.14  27.42  27.12  27.37  15109700  27.37
2013-12-23  27.19  27.25  27.03  27.16  29903400  27.16
2013-12-20  27.03  27.23  26.78  27.12  78154800  27.12
2013-12-19  26.93  27.16  26.59  27.08  50749400  27.08
2013-12-18  26.58  27.01  26.39  26.95  55268800  26.95
2013-12-17  26.65  26.69  26.49  26.58  36632600  26.58
2013-12-16  26.49  26.64  26.42  26.53  40160000  26.53
2013-12-13  26.14  26.49  26.07  26.39  39833700  26.39
2013-12-12  26.06  26.26  26.04  26.1  30960200  26.1
2013-12-11  26.66  26.68  26.1  26.14  40161400  26.14
2013-12-10  26.64  26.94  26.62  26.69  30864700  26.69
2013-12-09  26.48  26.88  26.44  26.74  30725600  26.74
2013-12-06  26.32  26.53  26.23  26.49  25347300  26.49
2013-12-05  26.19  26.2  25.91  26.01  28455400  26.01
2013-12-04  25.9  26.22  25.77  26.2  44920800  26.2
2013-12-03  26.16  26.16  25.9  26.12  32745800  26.12
2013-12-02  26.21  26.3  26.12  26.22  34650700  26.22
2013-11-29  26.31  26.43  26.19  26.22  21405900  26.22
2013-11-27  26.38  26.45  26.3  26.38  22707700  26.38
2013-11-26  26.27  26.5  26.27  26.33  36551000  26.33
2013-11-25  26.69  26.72  26.29  26.29  32335400  26.29
2013-11-22  26.42  26.64  26.41  26.63  22047800  26.63
2013-11-21  26.57  26.57  26.31  26.46  30361500  26.46
2013-11-20  26.54  26.72  26.43  26.51  30286400  26.51
2013-11-19  26.68  26.88  26.47  26.58  35722000  26.58
2013-11-18  26.83  27.05  26.66  26.77  39084100  26.77
