Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  37.39  37.74  36.91  37.31  2142800  37.31
2014-02-27  37.65  37.89  36.91  37.25  2868700  37.25
2014-02-26  38.33  38.59  37.59  38.07  3448600  38.07
2014-02-25  36.26  39.0  36.17  38.47  6983900  38.47
2014-02-24  35.6  36.37  35.4  36.05  2835200  36.05
2014-02-21  35.57  35.71  35.33  35.56  2697900  35.56
2014-02-20  35.61  35.79  35.36  35.64  2243200  35.64
2014-02-19  36.11  36.11  35.25  35.6  3576700  35.6
2014-02-18  35.82  36.46  35.33  36.14  2683500  36.14
2014-02-14  35.7  35.73  35.02  35.61  3268100  35.61
2014-02-13  36.22  36.28  35.37  35.86  3880800  35.86
2014-02-12  35.86  36.78  35.67  36.51  3489700  36.51
2014-02-11  36.44  36.6  35.71  35.75  5957800  35.75
2014-02-10  35.5  36.69  35.39  36.42  4432400  36.42
2014-02-07  35.41  35.77  35.0  35.5  3383500  35.5
2014-02-06  34.59  35.62  34.56  35.35  2628600  35.35
2014-02-05  33.67  35.0  33.55  34.76  4448700  34.76
2014-02-04  33.97  34.38  33.12  33.95  5697500  33.95
2014-02-03  34.97  35.12  33.1  33.83  6572500  33.83
2014-01-31  35.03  35.43  34.81  35.07  4258800  35.07
2014-01-30  35.5  35.76  34.7  35.31  4227700  35.31
2014-01-29  35.7  36.34  35.01  35.07  4778000  35.07
2014-01-28  37.29  37.58  35.8  36.05  4541300  36.05
2014-01-27  36.6  37.52  36.16  37.32  3868100  37.32
2014-01-24  37.93  37.93  36.38  36.52  5380600  36.52
2014-01-23  39.4  39.51  37.77  38.25  4987300  38.25
2014-01-22  38.12  39.39  38.0  39.25  3825800  39.25
2014-01-21  38.52  39.39  38.13  38.21  6210800  38.21
2014-01-17  37.88  38.4  36.98  37.65  6465800  37.65
2014-01-16  36.74  38.57  36.51  37.75  8615900  37.75
2014-01-15  36.74  37.03  36.25  36.97  8425600  36.97
2014-01-14  38.4  39.1  36.0  36.31  23506700  36.31
2014-01-13  45.47  45.84  45.09  45.32  4286500  45.32
2014-01-10  44.5  45.59  44.5  45.52  2217500  45.52
2014-01-09  45.36  45.41  44.3  44.97  3971800  44.97
2014-01-08  43.92  45.63  43.62  45.35  7475200  45.35
2014-01-07  48.45  49.08  43.6  44.14  15056000  44.14
2014-01-06  49.24  49.3  47.98  48.17  2898900  48.17
2014-01-03  49.71  50.0  49.07  49.24  1317800  49.24
2014-01-02  49.15  49.76  48.11  49.65  2834300  49.65
2013-12-31  49.44  49.79  49.12  49.26  1746100  49.26
2013-12-30  48.99  49.38  48.17  49.27  1972100  49.27
2013-12-27  50.33  50.61  48.91  49.04  2107200  49.04
2013-12-26  51.07  51.55  50.19  50.36  1518800  50.36
2013-12-24  50.36  51.21  50.36  50.97  1150800  50.97
2013-12-23  49.34  50.56  49.04  50.52  1844000  50.52
2013-12-20  49.91  50.15  49.17  49.25  2871000  49.25
2013-12-19  49.68  50.49  49.22  49.87  2319600  49.87
2013-12-18  49.01  50.15  48.54  49.93  3535500  49.93
2013-12-17  48.05  49.14  47.82  48.98  2898700  48.98
2013-12-16  47.38  48.5  47.38  48.11  3512900  48.11
2013-12-13  46.0  47.8  46.0  47.29  4803900  47.29
2013-12-12  45.13  46.47  45.09  45.61  2967500  45.61
2013-12-11  45.77  46.44  45.03  45.21  2968200  45.21
2013-12-10  45.49  45.92  45.18  45.77  3399500  45.77
2013-12-09  45.09  46.11  45.0  45.58  4411400  45.58
2013-12-06  45.69  46.54  44.87  45.08  3945200  45.08
2013-12-05  45.65  46.14  45.07  45.13  4486300  45.13
2013-12-04  46.04  46.69  45.65  45.77  4598400  45.77
2013-12-03  46.76  46.9  44.92  45.95  8215700  45.95
2013-12-02  48.5  48.59  46.78  46.97  4198500  46.97
2013-11-29  47.94  48.48  47.67  47.98  2295200  47.98
2013-11-27  48.03  48.32  47.41  47.5  3574700  47.5
2013-11-26  48.69  49.07  47.72  47.98  4534300  47.98
2013-11-25  50.42  50.43  48.48  48.62  5503500  48.62
2013-11-22  49.66  49.73  48.31  49.58  5238800  49.58
2013-11-21  49.9  49.96  46.39  48.52  14606000  48.52
2013-11-20  52.96  53.02  51.51  52.14  4136400  52.14
2013-11-19  54.97  55.02  52.69  52.89  3104800  52.89
2013-11-18  56.77  56.87  54.43  54.73  2642600  54.73
2013-11-15  57.17  57.22  55.31  56.21  2877400  56.21
2013-11-14  57.35  57.41  56.59  57.1  1704000  57.1
2013-11-13  56.22  57.28  56.22  57.26  1760400  57.26
2013-11-12  55.05  56.79  54.69  56.64  2349700  56.64
2013-11-11  54.87  55.46  53.73  55.06  1503500  55.06
2013-11-08  53.59  55.2  53.48  55.16  1497400  55.16
2013-11-07  55.63  56.0  53.33  53.51  2452900  53.51
2013-11-06  56.38  56.88  55.52  55.73  1736400  55.73
2013-11-05  55.05  56.43  54.24  56.24  2740700  56.24
2013-11-04  55.13  55.41  54.65  54.98  1427400  54.98
