Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  87.05  88.27  86.76  88.09  811400  88.09
2014-02-27  86.94  87.14  86.1  86.79  618700  86.79
2014-02-26  86.74  87.78  86.64  87.15  664100  87.15
2014-02-25  87.18  87.33  86.55  86.71  852000  86.71
2014-02-24  87.45  88.05  87.11  87.12  657800  87.12
2014-02-21  87.14  87.63  86.63  87.25  542000  87.25
2014-02-20  86.27  87.17  85.86  87.05  663400  87.05
2014-02-19  87.36  87.36  86.18  86.46  1141300  86.46
2014-02-18  87.0  90.0  87.0  87.41  1923900  87.41
2014-02-14  84.7  85.99  84.25  85.95  949300  85.95
2014-02-13  83.11  85.04  83.11  84.64  931800  84.64
2014-02-12  83.04  83.91  82.92  83.82  706300  83.82
2014-02-11  82.0  83.23  81.96  82.85  635800  82.85
2014-02-10  81.51  82.14  81.12  81.88  583600  81.88
2014-02-07  81.15  81.73  80.8  81.59  622500  81.59
2014-02-06  78.54  80.89  78.26  80.6  1085600  80.6
2014-02-05  77.96  78.36  76.85  78.07  1058900  78.07
2014-02-04  77.4  78.43  76.5  78.0  1739100  78.0
2014-02-03  81.96  82.2  77.5  77.75  1524200  77.75
2014-01-31  81.08  82.57  81.02  82.25  824000  82.25
2014-01-30  81.99  82.14  81.25  82.08  805800  82.08
2014-01-29  82.63  82.86  81.06  81.32  696400  81.32
2014-01-28  83.4  83.68  82.92  83.21  1356000  83.21
2014-01-27  82.64  83.47  82.14  82.91  840500  82.91
2014-01-24  83.3  83.52  82.33  82.34  848700  82.34
2014-01-23  84.03  84.17  83.5  84.05  674000  84.05
2014-01-22  84.63  84.81  83.78  84.75  877500  84.75
2014-01-21  84.15  84.43  83.55  84.24  856800  84.24
2014-01-17  84.67  84.67  83.58  84.14  1359000  84.14
2014-01-16  83.52  84.61  83.28  84.6  726300  84.6
2014-01-15  82.79  83.87  82.25  83.57  935800  83.57
2014-01-14  82.09  82.87  81.5  82.74  622600  82.74
2014-01-13  83.17  83.45  81.43  81.63  814600  81.63
2014-01-10  82.91  83.49  82.22  83.45  938600  83.45
2014-01-09  82.98  83.42  82.23  82.83  567500  82.83
2014-01-08  83.03  83.06  82.34  82.91  881900  82.91
2014-01-07  82.88  83.38  82.18  83.13  864200  83.13
2014-01-06  82.58  83.15  82.0  82.04  644900  82.04
2014-01-03  82.17  82.8  81.62  82.32  624900  82.32
2014-01-02  83.1  83.13  81.63  81.92  545100  81.92
2013-12-31  83.27  83.64  82.85  83.19  325000  83.19
2013-12-30  83.15  83.36  82.51  83.15  321900  83.15
2013-12-27  83.33  83.5  82.8  83.22  383100  83.22
2013-12-26  82.84  83.14  82.68  83.03  254600  83.03
2013-12-24  82.48  82.91  82.2  82.74  144400  82.74
2013-12-23  82.24  82.64  82.01  82.3  393200  82.3
2013-12-20  81.69  82.08  81.33  81.77  802500  81.77
2013-12-19  81.64  81.93  81.39  81.6  907400  81.6
2013-12-18  80.77  81.74  80.18  81.74  967700  81.74
2013-12-17  80.84  81.16  80.5  80.56  612200  80.56
2013-12-16  81.44  81.69  80.94  80.94  1080600  80.94
2013-12-13  81.38  81.65  80.72  81.12  540700  81.12
2013-12-12  81.43  81.68  81.0  81.09  544200  81.09
2013-12-11  82.69  82.77  81.4  81.62  853800  81.62
2013-12-10  82.29  83.04  82.23  82.78  562900  82.78
2013-12-09  81.74  82.5  81.66  82.42  675500  82.42
2013-12-06  81.15  81.81  80.87  81.72  1118300  81.72
2013-12-05  81.34  81.39  80.25  80.33  1006200  80.33
2013-12-04  81.98  82.63  80.8  81.46  896200  81.46
2013-12-03  82.25  84.34  81.85  82.42  1770800  82.42
2013-12-02  82.38  82.69  81.62  81.79  651000  81.79
2013-11-29  81.59  82.75  81.47  82.3  464200  82.3
2013-11-27  81.12  81.37  80.82  81.31  432800  81.31
2013-11-26  81.24  81.44  80.79  80.82  626700  80.82
2013-11-25  81.61  81.8  80.92  81.06  459300  81.06
2013-11-22  81.27  81.69  81.08  81.42  639300  81.42
2013-11-21  80.87  81.29  80.59  81.12  1704000  81.12
2013-11-20  81.74  81.9  80.51  80.72  876200  80.72
2013-11-19  81.81  81.92  81.05  81.35  1533600  81.35
2013-11-18  82.47  82.47  81.59  81.9  606200  81.9
2013-11-15  82.09  82.33  81.47  82.21  1612300  82.21
2013-11-14  81.4  82.13  81.02  82.09  958800  82.09
2013-11-13  80.46  81.55  80.34  81.23  820100  81.23
2013-11-12  80.54  80.98  80.28  80.87  536800  80.87
2013-11-11  80.03  80.94  79.99  80.91  425400  80.91
2013-11-08  78.91  80.26  78.67  80.17  591700  80.17
2013-11-07  80.72  80.78  78.88  78.96  716800  78.96
2013-11-06  80.07  80.62  79.61  80.43  502300  80.43
2013-11-05  79.4  80.09  78.81  79.69  730000  79.69
2013-11-04  79.1  80.03  78.62  80.01  782800  80.01
2013-11-01  78.51  78.79  77.83  78.48  393500  78.48
2013-10-31  78.42  78.82  77.87  78.32  675400  78.32
2013-10-30  79.07  79.48  77.98  78.59  642000  78.59
2013-10-29  78.83  79.01  78.14  78.97  586300  78.97
2013-10-28  78.7  78.95  78.36  78.57  519700  78.57
2013-10-25  78.61  78.61  75.77  78.58  570200  78.58
2013-10-24  78.19  78.55  77.86  78.33  602400  78.33
