Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  43.93  44.59  43.16  43.75  6493400  43.75
2014-02-27  43.97  44.26  42.57  43.68  7584800  43.68
2014-02-26  43.82  44.33  43.59  43.91  5991900  43.91
2014-02-25  43.04  43.85  42.94  43.81  6969600  43.81
2014-02-24  42.83  43.35  42.81  42.92  7340900  42.92
2014-02-21  42.23  43.0  42.17  42.77  4334200  42.77
2014-02-20  42.25  42.55  42.18  42.34  3040200  42.34
2014-02-19  42.2  42.54  42.05  42.19  4202000  42.19
2014-02-18  42.29  42.51  41.97  42.23  2477100  42.23
2014-02-14  42.19  42.61  41.93  42.34  3645500  42.34
2014-02-13  41.98  42.61  41.88  42.36  3922100  42.36
2014-02-12  42.65  42.86  42.05  42.2  4191200  42.2
2014-02-11  41.87  42.92  41.54  42.55  6146200  42.55
2014-02-10  41.98  42.14  41.32  41.81  5715700  41.81
2014-02-07  42.6  43.24  41.84  42.0  11526700  42.0
2014-02-06  38.4  40.11  38.32  39.71  8035500  39.71
2014-02-05  37.51  38.48  37.19  38.28  5777500  38.28
2014-02-04  38.78  38.96  37.79  37.84  6924500  37.84
2014-02-03  38.02  38.02  37.1  37.25  6719500  37.25
2014-01-31  37.42  38.29  37.38  38.08  5880400  38.08
2014-01-30  37.0  38.21  36.91  38.04  9529100  38.04
2014-01-29  36.67  37.18  36.66  36.79  5329000  36.79
2014-01-28  37.04  37.24  36.57  36.87  5870800  36.87
2014-01-27  37.21  37.46  36.8  37.01  6045100  37.01
2014-01-24  37.7  37.9  37.06  37.21  5318900  37.21
2014-01-23  38.99  38.99  37.72  37.78  5985100  37.78
2014-01-22  38.42  38.79  38.03  38.67  5299500  38.67
2014-01-21  38.45  38.87  38.23  38.26  6650700  38.26
2014-01-17  37.28  37.64  37.16  37.3  3717400  37.3
2014-01-16  37.55  37.62  36.96  37.15  4990900  37.15
2014-01-15  37.96  38.0  37.36  37.52  7222600  37.52
2014-01-14  38.5  38.62  37.65  37.67  9655700  37.67
2014-01-13  39.56  39.61  38.13  38.25  7393400  38.25
2014-01-10  39.8  40.08  39.51  39.84  8552000  39.84
2014-01-09  39.21  39.47  38.62  39.42  6798000  39.42
2014-01-08  39.26  39.33  38.62  39.2  6951600  39.2
2014-01-07  39.13  39.99  39.09  39.34  6683300  39.34
2014-01-06  39.39  39.63  38.8  39.05  4514200  39.05
2014-01-03  38.66  39.55  38.53  39.32  4437000  39.32
2014-01-02  38.89  39.43  38.46  38.52  4785200  38.52
2013-12-31  38.82  38.96  38.44  38.88  2879000  38.88
2013-12-30  38.52  38.99  38.28  38.82  2563400  38.82
2013-12-27  38.75  39.0  38.4  38.42  1952600  38.42
2013-12-26  38.47  38.94  38.44  38.77  2413300  38.77
2013-12-24  38.59  38.79  38.36  38.41  1093700  38.41
2013-12-23  38.54  38.63  38.17  38.37  2904200  38.37
2013-12-20  38.19  38.8  38.1  38.37  6260100  38.37
2013-12-19  38.29  38.51  37.99  38.1  2883000  38.1
2013-12-18  38.17  38.57  37.81  38.38  5232800  38.38
2013-12-17  38.62  38.66  38.04  38.06  3369100  38.06
2013-12-16  38.31  38.6  38.29  38.49  4189200  38.49
2013-12-13  38.38  38.6  38.23  38.3  3597800  38.3
2013-12-12  38.22  38.7  38.07  38.19  5949400  38.19
2013-12-11  38.65  38.81  38.08  38.13  5135300  38.13
2013-12-10  39.07  39.07  38.32  38.52  4980700  38.52
2013-12-09  39.39  39.6  39.06  39.39  3495500  39.39
2013-12-06  39.88  40.0  38.63  39.26  7083900  39.26
2013-12-05  40.68  40.68  39.93  40.04  5114700  40.04
2013-12-04  40.4  40.84  40.05  40.69  8189000  40.69
2013-12-03  41.1  41.41  40.61  40.9  5199900  40.9
2013-12-02  41.06  42.12  41.03  41.37  5677000  41.37
2013-11-29  40.74  41.16  40.69  40.76  1642300  40.76
2013-11-27  40.69  40.93  40.1  40.56  4380000  40.56
2013-11-26  40.92  41.53  40.86  40.97  4478100  40.97
2013-11-25  41.23  41.49  40.82  40.82  4514700  40.82
2013-11-22  41.28  41.47  40.15  41.1  7499000  41.1
2013-11-21  41.04  41.76  40.54  41.65  4028100  41.65
2013-11-20  41.57  41.7  41.01  41.03  2990700  41.03
2013-11-19  41.58  41.9  41.13  41.51  3526100  41.51
2013-11-18  42.0  42.24  41.65  41.73  3203000  41.73
2013-11-15  41.99  42.03  41.38  41.94  3186900  41.94
2013-11-14  41.13  41.94  40.89  41.84  3703300  41.84
2013-11-13  40.59  41.27  40.46  41.15  4125200  41.15
2013-11-12  40.82  40.98  40.45  40.66  3771900  40.66
2013-11-11  41.06  41.3  40.82  40.99  4620800  40.99
2013-11-08  40.05  41.23  39.82  41.22  11925600  41.22
2013-11-07  37.94  38.65  37.53  37.56  7058300  37.56
2013-11-06  37.44  37.9  37.06  37.83  4434200  37.83
2013-11-05  37.16  37.49  36.71  37.35  4826000  37.35
2013-11-04  36.24  37.06  36.2  37.04  4853200  37.04
2013-11-01  36.81  36.92  36.26  36.59  4390300  36.59
2013-10-31  37.31  37.41  36.79  36.8  4327400  36.8
2013-10-30  37.48  37.66  37.11  37.47  4156400  37.47
2013-10-29  36.76  37.48  36.73  37.45  4913400  37.45
2013-10-28  36.4  36.93  36.23  36.53  4586200  36.53
2013-10-25  36.89  36.92  36.02  36.47  5000100  36.47
2013-10-24  36.81  37.0  36.62  36.87  5745700  36.87
2013-10-23  36.61  36.84  36.42  36.74  4223500  36.74
2013-10-22  36.52  36.68  35.94  36.64  9420200  36.64
2013-10-21  36.92  37.02  36.46  36.74  4259000  36.74
2013-10-18  37.0  37.2  36.66  37.03  4236100  37.03
2013-10-17  36.76  36.88  36.61  36.79  4177500  36.79
2013-10-16  36.73  37.01  36.49  36.88  5735700  36.88
2013-10-15  36.65  36.79  36.01  36.6  5885600  36.6
2013-10-14  36.5  36.88  36.49  36.73  5870100  36.73
2013-10-11  36.86  37.06  36.26  36.64  17694600  36.64
2013-10-10  39.68  39.77  38.78  39.28  7193300  39.28
2013-10-09  38.84  39.4  38.7  39.08  4955500  39.08
