Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  53.44  54.06  52.96  53.66  1379900  53.66
2014-02-27  51.97  53.89  51.85  53.55  2885500  53.55
2014-02-26  51.91  52.43  51.9  52.15  1167000  52.15
2014-02-25  51.74  52.55  51.7  51.99  1322300  51.99
2014-02-24  51.94  52.8  51.68  51.7  2022900  51.7
2014-02-21  52.02  52.33  51.54  51.97  2681900  51.97
2014-02-20  50.99  51.96  50.28  51.56  2861200  51.56
2014-02-19  52.34  52.72  49.46  51.68  9413600  51.68
2014-02-18  45.92  47.31  45.33  47.17  2114600  47.17
2014-02-14  46.0  46.2  45.55  46.08  838300  46.08
2014-02-13  45.8  46.93  45.8  46.26  1274700  46.26
2014-02-12  45.48  46.22  45.3  46.02  1057900  46.02
2014-02-11  44.41  45.76  44.29  45.26  1345700  45.26
2014-02-10  45.54  45.67  44.5  44.52  1465600  44.52
2014-02-07  45.36  45.66  44.87  45.53  784300  45.53
2014-02-06  44.15  45.5  44.15  45.13  802100  45.13
2014-02-05  43.03  44.21  43.03  44.04  934900  44.04
2014-02-04  43.82  44.11  43.42  44.1  956000  44.1
2014-02-03  45.05  45.18  43.4  43.63  1578200  43.63
2014-01-31  44.94  45.75  44.89  45.05  898100  45.05
2014-01-30  45.12  46.04  44.84  45.8  701800  45.8
2014-01-29  44.92  45.5  44.75  44.8  845800  44.8
2014-01-28  45.41  45.82  45.09  45.65  644100  45.65
2014-01-27  45.2  45.59  44.84  45.27  837000  45.27
2014-01-24  45.8  46.05  45.12  45.21  963100  45.21
2014-01-23  46.25  46.67  45.87  46.2  803800  46.2
2014-01-22  46.77  47.0  46.09  46.65  542100  46.65
2014-01-21  46.81  47.27  46.34  46.57  733700  46.57
2014-01-17  46.77  47.16  46.54  46.66  977900  46.66
2014-01-16  47.0  47.22  46.8  46.95  617500  46.95
2014-01-15  46.35  47.31  46.35  47.07  1105900  47.07
2014-01-14  45.41  46.39  45.19  46.31  979100  46.31
2014-01-13  46.11  46.17  45.08  45.41  1222200  45.41
2014-01-10  45.05  45.26  44.72  45.05  837300  45.05
2014-01-09  45.65  45.74  44.42  44.87  1079900  44.87
2014-01-08  45.68  45.89  45.08  45.4  1741300  45.4
2014-01-07  46.41  46.64  45.59  45.68  1008200  45.68
2014-01-06  46.68  47.38  46.33  46.41  1413400  46.41
2014-01-03  45.83  46.7  45.11  46.58  2497400  46.58
2014-01-02  45.75  45.84  44.56  44.95  1830300  44.95
2013-12-31  46.61  46.85  46.15  46.19  693200  46.19
2013-12-30  46.67  46.89  46.4  46.66  1299700  46.66
2013-12-27  46.24  47.01  46.16  46.67  1285800  46.67
2013-12-26  46.25  46.53  45.99  46.1  508700  46.1
2013-12-24  46.1  46.54  46.0  46.2  357100  46.2
2013-12-23  46.28  46.36  45.92  46.14  987100  46.14
2013-12-20  45.64  46.23  45.39  46.03  1889800  46.03
2013-12-19  45.77  45.86  45.34  45.7  1066400  45.7
