Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  26.85  27.11  26.62  26.87  6604500  26.87
2014-02-27  26.25  26.78  26.11  26.69  3768600  26.69
2014-02-26  26.55  26.71  26.06  26.26  3965400  26.26
2014-02-25  26.79  26.79  26.3  26.5  2556800  26.5
2014-02-24  26.81  26.88  26.25  26.44  3276400  26.44
2014-02-21  26.71  26.81  26.41  26.54  2478900  26.54
2014-02-20  26.7  27.21  26.56  26.65  3897100  26.65
2014-02-19  26.46  26.88  26.23  26.56  5016600  26.56
2014-02-18  26.57  26.89  26.36  26.63  5216700  26.63
2014-02-14  26.82  27.09  26.56  26.76  7460100  26.76
2014-02-13  25.0  27.27  24.68  26.94  16946100  26.94
2014-02-12  24.25  24.67  24.13  24.17  8679300  24.17
2014-02-11  23.6  24.16  23.51  24.02  4520400  24.02
2014-02-10  23.57  23.74  23.29  23.5  3367000  23.5
2014-02-07  23.38  23.6  23.07  23.53  2741900  23.53
2014-02-06  22.72  23.54  22.65  23.23  7112100  23.23
2014-02-05  22.77  22.9  22.33  22.86  4396200  22.86
2014-02-04  22.63  22.94  22.41  22.91  4190600  22.91
2014-02-03  23.57  23.72  22.42  22.62  8186800  22.62
2014-01-31  23.21  23.84  23.09  23.66  3856400  23.66
2014-01-30  23.24  23.61  23.11  23.51  2902200  23.51
2014-01-29  23.01  23.44  22.79  23.11  3989800  23.11
2014-01-28  23.13  23.65  23.02  23.33  3277100  23.33
2014-01-27  22.91  23.33  22.52  23.12  4330300  23.12
2014-01-24  23.66  23.67  22.92  22.99  5968100  22.99
2014-01-23  24.25  24.33  23.68  23.84  3129500  23.84
2014-01-22  24.28  24.44  23.98  24.37  3062300  24.37
2014-01-21  24.79  24.84  24.09  24.13  3682200  24.13
2014-01-17  24.94  25.15  24.43  24.48  3730600  24.48
2014-01-16  25.23  25.25  24.8  24.87  3111700  24.87
2014-01-15  25.37  25.7  25.04  25.16  3473700  25.16
2014-01-14  25.39  25.57  25.15  25.37  4035400  25.37
2014-01-13  26.11  26.24  25.17  25.28  4607900  25.28
2014-01-10  25.59  26.19  25.21  25.93  6481500  25.93
2014-01-09  24.93  25.82  24.75  25.17  9002700  25.17
2014-01-08  24.11  24.71  23.93  24.66  7129900  24.66
2014-01-07  23.85  24.45  23.75  24.0  4744600  24.0
2014-01-06  23.41  23.9  23.26  23.71  5410400  23.71
2014-01-03  23.65  23.68  23.1  23.32  1995500  23.32
2014-01-02  23.62  23.69  23.26  23.48  2784600  23.48
2013-12-31  23.67  23.95  23.6  23.8  2249300  23.8
2013-12-30  23.5  23.62  23.06  23.6  1848300  23.6
2013-12-27  23.38  23.57  23.0  23.49  1605900  23.49
2013-12-26  23.58  23.82  23.4  23.42  1739100  23.42
2013-12-24  23.33  23.58  23.17  23.57  1094200  23.57
2013-12-23  23.03  23.33  22.95  23.29  2102300  23.29
2013-12-20  22.82  22.92  22.41  22.88  3618300  22.88
2013-12-19  22.49  22.77  22.33  22.73  2924100  22.73
2013-12-18  22.77  22.77  21.95  22.54  3133500  22.54
2013-12-17  22.77  22.87  22.59  22.67  2473700  22.67
2013-12-16  22.66  22.9  22.58  22.71  1867500  22.71
2013-12-13  22.39  22.64  22.28  22.57  1853100  22.57
2013-12-12  22.35  22.43  22.1  22.28  2480700  22.28
2013-12-11  22.33  22.52  22.07  22.38  2950100  22.38
2013-12-10  22.36  22.64  22.25  22.41  2634700  22.41
2013-12-09  22.56  22.83  22.32  22.4  3051800  22.4
2013-12-06  22.25  22.52  22.02  22.51  3185900  22.51
2013-12-05  21.28  21.97  21.24  21.94  8304400  21.94
2013-12-04  21.19  21.69  21.09  21.24  2278000  21.24
2013-12-03  22.02  22.04  21.22  21.38  3279900  21.38
2013-12-02  22.34  22.6  22.0  22.04  2761100  22.04
2013-11-29  22.38  22.45  22.09  22.21  1388900  22.21
2013-11-27  21.93  22.41  21.85  22.3  2251100  22.3
2013-11-26  22.01  22.15  21.76  22.05  2991500  22.05
2013-11-25  21.72  22.27  21.6  22.07  2967100  22.07
2013-11-22  21.65  21.75  21.33  21.7  2315100  21.7
2013-11-21  21.41  21.79  21.34  21.65  2891300  21.65
2013-11-20  21.21  21.51  21.13  21.33  2954200  21.33
2013-11-19  21.45  21.54  21.12  21.18  2104800  21.18
2013-11-18  21.49  21.85  21.36  21.43  2684400  21.43
2013-11-15  21.53  21.64  21.15  21.6  2700000  21.6
2013-11-14  21.53  21.59  21.15  21.28  2522500  21.28
2013-11-13  20.94  21.58  20.85  21.53  3267600  21.53
2013-11-12  20.91  21.09  20.79  21.01  2923900  21.01
2013-11-11  21.01  21.14  20.85  21.01  2081000  21.01
2013-11-08  20.8  21.3  20.76  21.01  3542900  21.01
2013-11-07  20.75  20.95  20.42  20.87  5396600  20.87
2013-11-06  21.1  21.15  20.51  20.54  4027900  20.54
2013-11-05  20.81  21.18  20.48  21.02  3339200  21.02
2013-11-04  20.73  21.0  20.72  20.8  2616400  20.8
2013-11-01  21.08  21.3  20.62  20.82  4438800  20.82
2013-10-31  21.4  21.41  20.92  20.93  4126700  20.93
2013-10-30  20.82  21.43  20.65  21.37  6563600  21.37
2013-10-29  20.99  21.5  19.75  20.67  16804400  20.67
2013-10-28  22.0  22.29  21.66  21.95  5876200  21.95
2013-10-25  22.09  22.19  21.78  22.11  2988900  22.11
2013-10-24  21.92  22.19  21.76  22.05  4012800  22.05
2013-10-23  21.76  21.88  21.38  21.77  4446200  21.77
2013-10-22  21.08  22.0  21.02  21.94  6554500  21.94
2013-10-21  21.78  22.09  20.84  21.02  12457100  21.02
2013-10-18  22.39  22.65  22.26  22.53  4098900  22.53
2013-10-17  22.32  22.33  22.01  22.25  3612800  22.25
2013-10-16  22.37  22.53  22.24  22.34  3209300  22.34
2013-10-15  22.61  22.73  22.1  22.24  3324600  22.24
2013-10-14  22.32  22.74  22.23  22.52  3729000  22.52
2013-10-11  22.3  22.57  22.28  22.54  3177900  22.54
2013-10-10  22.33  22.9  22.24  22.35  5090000  22.35
2013-10-09  21.79  22.07  21.35  21.93  4612800  21.93
2013-10-08  22.34  22.62  21.46  21.75  5244900  21.75
2013-10-07  22.62  22.73  22.34  22.35  3483500  22.35
2013-10-04  22.7  23.01  22.52  22.91  4014600  22.91
2013-10-03  23.04  23.24  22.58  22.68  4806400  22.68
2013-10-02  22.69  23.29  22.64  23.16  4074300  23.16
2013-10-01  22.39  23.15  22.31  23.14  4899000  23.14
2013-09-30  22.17  22.51  21.87  22.35  3286100  22.35
2013-09-27  22.33  22.65  22.21  22.36  2372600  22.36
2013-09-26  23.0  23.11  22.41  22.5  3992000  22.5
2013-09-25  22.73  23.14  22.62  22.88  5898800  22.88
2013-09-24  22.13  22.89  21.94  22.72  6783700  22.72
2013-09-23  22.1  22.27  21.71  22.01  6130300  22.01
2013-09-20  22.97  23.03  22.01  22.11  7406500  22.11
2013-09-19  22.38  22.4  21.83  22.13  4253200  22.13
2013-09-18  21.83  22.27  21.52  22.07  3822800  22.07
2013-09-17  21.65  22.06  21.47  21.88  3536200  21.88
2013-09-16  21.97  22.19  21.63  21.72  4194000  21.72
2013-09-13  21.75  21.81  21.31  21.72  3521400  21.72
2013-09-12  21.92  22.05  21.55  21.67  4537300  21.67
2013-09-11  21.91  22.26  21.82  22.0  4328200  22.0
2013-09-10  21.37  22.18  21.14  21.87  6888500  21.87
2013-09-09  20.74  21.31  20.66  21.14  3926100  21.14
2013-09-06  20.77  20.91  20.34  20.7  2551500  20.7
2013-09-05  20.83  20.92  20.61  20.68  3321300  20.68
2013-09-04  20.23  20.76  20.08  20.67  3687500  20.67
2013-09-03  20.26  20.75  20.05  20.19  4247200  20.19
2013-08-30  20.28  20.28  19.81  20.03  3972100  20.03
2013-08-29  19.81  20.37  19.55  20.22  7511000  20.22
2013-08-28  18.91  19.75  18.75  19.75  6337300  19.75
2013-08-27  18.36  19.17  18.2  18.92  6745300  18.92
2013-08-26  18.66  18.92  18.54  18.56  2772300  18.56
2013-08-23  18.81  18.91  18.6  18.75  2946000  18.75
2013-08-22  18.55  18.86  18.53  18.75  1916200  18.75
2013-08-21  18.65  18.92  18.43  18.5  2775300  18.5
2013-08-20  18.35  18.78  18.22  18.74  4026200  18.74
2013-08-19  18.66  18.67  18.2  18.33  3207700  18.33
2013-08-16  18.97  19.0  18.52  18.63  2675000  18.63
2013-08-15  18.99  18.99  18.55  18.75  3127700  18.75
2013-08-14  19.12  19.66  19.08  19.16  2782100  19.16
2013-08-13  19.27  19.39  18.87  19.12  4722900  19.12
2013-08-12  18.76  19.33  18.73  19.29  3101600  19.29
2013-08-09  18.7  19.06  18.66  18.96  2222100  18.96
2013-08-08  18.81  19.08  18.69  18.75  3740300  18.75
2013-08-07  18.83  18.83  18.24  18.71  4972000  18.71
2013-08-06  18.66  19.04  18.56  18.95  4199100  18.95
2013-08-05  18.95  19.09  18.66  18.71  2875600  18.71
2013-08-02  18.53  19.03  18.46  18.93  3770400  18.93
2013-08-01  18.5  18.82  18.43  18.61  4944100  18.61
2013-07-31  18.46  18.88  18.33  18.42  11399800  18.42
2013-07-30  18.06  19.52  17.97  18.48  14378800  18.48
2013-07-29  16.67  16.99  16.6  16.96  3083200  16.96
2013-07-26  16.49  16.8  16.43  16.7  2462600  16.7
2013-07-25  16.75  16.8  16.41  16.67  4865400  16.67
2013-07-24  17.16  17.22  16.82  16.88  3835500  16.88
2013-07-23  17.35  17.36  16.79  17.08  5174200  17.08
2013-07-22  17.13  17.44  17.11  17.38  3114200  17.38
2013-07-19  17.29  17.29  17.01  17.15  2132600  17.15
2013-07-18  16.98  17.56  16.88  17.22  5396400  17.22
2013-07-17  16.55  16.98  16.49  16.97  4827000  16.97
2013-07-16  16.73  16.8  16.34  16.44  3431000  16.44
2013-07-15  16.6  16.71  16.51  16.62  2550900  16.62
2013-07-12  16.6  16.69  16.28  16.52  2956600  16.52
2013-07-11  16.54  16.66  16.32  16.6  3732000  16.6
2013-07-10  16.24  16.49  16.17  16.34  3680900  16.34
2013-07-09  16.29  16.51  16.14  16.33  3590100  16.33
2013-07-08  15.81  16.26  15.81  16.14  5085800  16.14
2013-07-05  15.41  15.83  15.39  15.79  2734900  15.79
2013-07-03  15.18  15.37  15.09  15.31  1465400  15.31
2013-07-02  15.33  15.59  15.22  15.37  2682100  15.37
2013-07-01  15.18  15.53  15.18  15.42  3159000  15.42
2013-06-28  14.85  15.4  14.74  15.23  6640000  15.23
2013-06-27  14.92  15.13  14.83  14.91  4596600  14.91
2013-06-26  14.77  14.88  14.64  14.84  2411800  14.84
2013-06-25  14.32  14.7  14.26  14.64  3590300  14.64
2013-06-24  14.66  14.78  13.84  14.19  6173400  14.19
2013-06-21  14.83  14.93  14.44  14.87  4643400  14.87
2013-06-20  15.14  15.16  14.6  14.77  4716600  14.77
2013-06-19  14.95  15.42  14.91  15.22  5686000  15.22
2013-06-18  15.06  15.24  14.87  14.9  3550800  14.9
2013-06-17  15.36  15.43  14.96  15.03  3602000  15.03
2013-06-14  15.4  15.52  15.21  15.24  3587700  15.24
2013-06-13  14.78  15.46  14.63  15.42  5110500  15.42
2013-06-12  15.27  15.28  14.72  14.86  8783700  14.86
2013-06-11  14.36  14.69  14.21  14.53  3495500  14.53
2013-06-10  14.89  14.91  14.51  14.68  2797100  14.68
2013-06-07  14.78  14.83  14.57  14.75  2675900  14.75
2013-06-06  14.52  14.84  14.39  14.58  4693800  14.58
2013-06-05  14.88  14.93  14.45  14.54  5379100  14.54
2013-06-04  15.28  15.44  14.81  15.03  4635000  15.03
2013-06-03  15.1  15.49  14.73  15.24  5872000  15.24
2013-05-31  15.56  15.75  15.01  15.07  18990600  15.07
2013-05-30  15.25  15.99  15.15  15.75  10026100  15.75
2013-05-29  14.64  15.32  14.64  15.22  6444000  15.22
2013-05-28  14.73  15.01  14.67  14.85  6793300  14.85
2013-05-24  14.41  14.55  14.21  14.48  3072900  14.48
2013-05-23  14.09  14.6  13.96  14.51  3920400  14.51
2013-05-22  14.78  14.87  14.21  14.43  6177700  14.43
2013-05-21  14.64  14.8  14.45  14.73  5056700  14.73
2013-05-20  14.61  14.78  14.4  14.65  5211800  14.65
2013-05-17  13.89  14.89  13.84  14.67  13174900  14.67
2013-05-16  13.41  13.85  13.39  13.72  9761300  13.72
2013-05-15  12.93  13.42  12.9  13.39  6421600  13.39
2013-05-14  12.6  12.95  12.59  12.94  4612300  12.94
2013-05-13  12.67  12.81  12.45  12.61  3342900  12.61
2013-05-10  12.88  12.94  12.69  12.79  3027800  12.79
2013-05-09  12.99  13.01  12.61  12.83  4710200  12.83
2013-05-08  13.04  13.2  12.96  12.99  5476600  12.99
2013-05-07  12.84  13.04  12.82  13.01  4191700  13.01
2013-05-06  12.41  12.86  12.39  12.79  3652500  12.79
2013-05-03  12.35  12.69  12.17  12.31  6290600  12.31
2013-05-02  12.24  12.33  12.08  12.17  3734500  12.17
2013-05-01  12.39  12.45  12.09  12.14  4238100  12.14
2013-04-30  12.38  12.52  12.29  12.44  3294800  12.44
2013-04-29  12.4  12.54  12.19  12.51  6787500  12.51
2013-04-26  13.29  13.34  12.35  12.45  10907300  12.45
2013-04-25  12.53  12.96  12.52  12.88  6879200  12.88
2013-04-24  12.14  12.47  12.14  12.45  3423000  12.45
2013-04-23  12.04  12.18  11.9  12.15  3306000  12.15
2013-04-22  11.94  12.14  11.87  11.98  3182000  11.98
2013-04-19  11.96  12.11  11.9  12.08  3252900  12.08
