Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  253.49  255.68  252.93  255.02  667200  255.02
2014-02-27  245.58  252.95  237.26  252.91  267900  252.91
2014-02-26  250.68  252.1  249.39  251.47  635900  251.47
2014-02-25  251.57  252.85  249.84  250.14  624600  250.14
2014-02-24  250.24  252.36  249.58  251.61  712000  251.61
2014-02-21  248.62  250.64  247.87  249.24  546100  249.24
2014-02-20  247.16  250.44  246.83  248.04  593900  248.04
2014-02-19  247.3  249.35  246.03  248.0  625600  248.0
2014-02-18  246.16  248.04  245.04  247.76  607900  247.76
2014-02-14  242.64  245.96  241.0  245.67  712700  245.67
2014-02-13  237.21  239.72  235.33  239.64  645000  239.64
2014-02-12  238.51  239.61  237.45  238.05  508300  238.05
2014-02-11  231.9  239.01  230.11  237.86  715600  237.86
2014-02-10  233.23  236.72  232.52  234.29  643800  234.29
2014-02-07  234.62  236.03  231.63  234.0  842500  234.0
2014-02-06  231.48  234.17  230.33  233.95  449500  233.95
2014-02-05  229.3  232.87  229.04  229.94  612800  229.94
2014-02-04  229.7  230.92  227.85  230.36  634800  230.36
2014-02-03  233.56  233.56  227.27  228.37  702300  228.37
2014-01-31  233.07  235.16  231.33  233.54  538500  233.54
2014-01-30  237.21  238.83  235.96  236.21  402700  236.21
2014-01-29  235.8  239.52  234.94  237.2  495400  237.2
2014-01-28  238.49  238.51  236.37  236.9  641800  236.9
2014-01-27  240.71  242.38  235.95  237.97  824700  237.97
2014-01-24  247.6  251.12  239.42  240.88  1658400  240.88
2014-01-23  259.32  261.71  254.99  255.63  622000  255.63
2014-01-22  263.93  264.76  259.98  260.97  486500  260.97
2014-01-21  262.63  263.93  261.64  263.0  405900  263.0
2014-01-17  265.51  265.89  261.82  263.04  384800  263.04
2014-01-16  262.67  265.23  261.08  264.87  396000  264.87
2014-01-15  262.42  265.11  260.84  262.72  461300  262.72
2014-01-14  261.2  263.38  256.97  263.2  387200  263.2
2014-01-13  261.71  263.13  259.85  260.61  915900  260.61
2014-01-10  254.46  266.41  254.35  262.65  928900  262.65
2014-01-09  253.41  255.22  251.54  253.47  421100  253.47
2014-01-08  251.9  252.95  249.81  252.42  368400  252.42
2014-01-07  251.26  252.75  250.16  251.9  381300  251.9
2014-01-06  252.67  252.7  248.78  249.96  323100  249.96
2014-01-03  252.05  253.21  250.88  251.82  204800  251.82
2014-01-02  253.67  254.45  251.8  252.04  285100  252.04
2013-12-31  254.93  255.35  253.22  254.39  240500  254.39
2013-12-30  254.7  255.26  253.69  254.35  168800  254.35
2013-12-27  254.63  255.98  253.54  254.42  169700  254.42
2013-12-26  254.58  255.12  252.86  254.39  193900  254.39
2013-12-24  252.05  253.74  251.49  253.31  139900  253.31
2013-12-23  251.98  252.05  249.53  251.39  347700  251.39
2013-12-20  249.99  252.05  246.78  247.34  1036100  247.34
2013-12-19  254.11  255.68  251.64  252.37  397400  252.37
2013-12-18  249.92  254.07  247.68  253.79  496500  253.79
2013-12-17  254.28  255.8  248.88  249.05  349500  249.05
2013-12-16  251.14  254.25  250.18  252.9  368600  252.9
2013-12-13  250.87  252.32  250.01  250.54  311300  250.54
2013-12-12  252.97  253.77  245.86  251.01  904900  251.01
2013-12-11  255.47  257.59  252.38  253.03  310300  253.03
2013-12-10  256.13  258.23  255.54  255.68  275700  255.68
2013-12-09  257.86  258.68  255.33  256.14  308500  256.14
2013-12-06  257.7  258.95  255.08  256.74  321800  256.74
2013-12-05  254.13  256.26  252.98  254.14  233500  254.14
2013-12-04  253.86  255.25  249.99  254.02  516800  254.02
2013-12-03  256.81  257.9  253.08  253.86  407500  253.86
2013-12-02  256.87  258.92  255.36  257.28  335400  257.28
2013-11-29  258.03  258.91  255.47  256.88  92300  256.88
2013-11-27  256.96  258.94  255.97  257.43  199900  257.43
2013-11-26  256.08  258.22  254.87  257.09  403100  257.09
2013-11-25  255.86  256.77  254.37  255.83  242500  255.83
2013-11-22  254.83  255.85  254.19  255.36  444600  255.36
2013-11-21  251.98  255.87  251.64  254.19  566300  254.19
2013-11-20  256.34  258.45  251.53  252.22  354300  252.22
2013-11-19  257.1  259.25  254.86  255.12  314100  255.12
2013-11-18  258.74  260.51  256.77  257.02  397700  257.02
2013-11-15  262.8  263.31  258.48  259.7  621700  259.7
2013-11-14  263.93  266.24  261.87  264.53  419200  264.53
2013-11-13  266.05  268.06  261.69  263.93  598700  263.93
2013-11-12  267.7  268.24  265.85  267.16  219600  267.16
2013-11-11  266.72  269.1  266.68  268.93  142900  268.93
2013-11-08  263.35  267.03  262.99  267.03  462200  267.03
2013-11-07  271.9  271.9  262.41  262.62  359500  262.62
2013-11-06  268.45  271.12  267.25  271.03  258200  271.03
2013-11-05  267.18  269.1  265.66  266.95  350000  266.95
2013-11-04  268.75  270.14  267.78  269.85  295100  269.85
2013-11-01  267.44  269.83  265.46  268.04  242500  268.04
2013-10-31  267.92  269.23  266.62  266.96  276300  266.96
2013-10-30  271.55  272.32  266.79  268.04  341700  268.04
2013-10-29  266.57  271.07  263.91  271.0  330100  271.0
2013-10-28  265.31  267.79  262.96  267.19  396400  267.19
2013-10-25  261.71  265.46  260.17  265.4  302600  265.4
2013-10-24  262.33  263.07  261.07  261.07  212400  261.07
2013-10-23  263.17  263.48  260.64  262.2  177800  262.2
2013-10-22  263.4  264.33  260.99  263.41  299800  263.41
2013-10-21  261.15  262.28  258.96  261.47  352500  261.47
2013-10-18  261.02  262.41  258.87  262.33  406400  262.33
2013-10-17  254.37  260.48  252.9  259.94  443400  259.94
2013-10-16  258.4  264.38  251.35  255.84  1142700  255.84
2013-10-15  256.36  256.59  253.28  253.51  486300  253.51
2013-10-14  254.42  258.18  253.17  256.68  312200  256.68
2013-10-11  254.91  256.67  254.29  255.97  367500  255.97
2013-10-10  252.65  254.56  251.76  253.99  646600  253.99
2013-10-09  254.23  256.13  249.33  250.47  719500  250.47
2013-10-08  258.68  260.29  255.93  256.11  344300  256.11
2013-10-07  260.35  261.2  258.02  259.18  426000  259.18
2013-10-04  262.87  263.87  261.47  262.9  259900  262.9
2013-10-03  261.74  263.42  259.45  261.77  479200  261.77
2013-10-02  261.19  263.02  259.08  262.67  255500  262.67
2013-10-01  259.81  262.67  259.05  262.67  413600  262.67
2013-09-30  259.76  261.74  259.09  259.75  405700  259.75
2013-09-27  267.04  267.54  261.58  261.95  401700  261.95
2013-09-26  266.17  269.93  265.97  267.04  261900  267.04
2013-09-25  267.09  268.25  265.09  265.16  157700  265.16
2013-09-24  265.88  268.57  264.92  266.26  355800  266.26
2013-09-23  268.67  268.83  265.44  266.05  399300  266.05
2013-09-20  270.89  273.16  268.13  268.13  618800  268.13
2013-09-19  271.89  274.32  270.89  271.47  339700  271.47
2013-09-18  267.51  271.96  266.91  271.96  295500  271.96
2013-09-17  268.7  269.68  266.39  267.36  318000  267.36
2013-09-16  270.39  270.43  267.06  268.02  302900  268.02
2013-09-13  266.94  266.94  263.1  265.29  350600  265.29
2013-09-12  265.7  269.3  263.57  266.08  549900  266.08
2013-09-11  267.44  267.98  265.26  267.67  280300  267.67
2013-09-10  262.89  267.4  262.69  267.35  349700  267.35
2013-09-09  257.0  262.41  256.16  261.99  265600  261.99
2013-09-06  257.86  259.41  255.08  256.35  265200  256.35
2013-09-05  254.02  258.45  253.97  257.61  312800  257.61
2013-09-04  250.12  254.57  249.21  253.91  414300  253.91
2013-09-03  247.52  250.14  247.01  249.39  391300  249.39
2013-08-30  246.11  246.67  244.16  245.5  214000  245.5
2013-08-29  246.05  247.97  245.08  245.35  207000  245.35
2013-08-28  245.27  248.16  243.18  246.97  272800  246.97
2013-08-27  248.84  249.8  245.53  245.84  326800  245.84
2013-08-26  251.97  254.23  249.48  250.37  290000  250.37
2013-08-23  249.4  252.28  248.24  252.13  236800  252.13
2013-08-22  247.95  249.65  246.45  249.48  258000  249.48
2013-08-21  249.15  250.59  246.44  247.64  206700  247.64
2013-08-20  250.15  251.58  247.88  249.43  126700  249.43
2013-08-19  251.11  252.9  249.72  249.75  131300  249.75
2013-08-16  248.92  251.82  248.19  251.52  189000  251.52
2013-08-15  250.09  251.36  245.37  250.06  203600  250.06
2013-08-14  254.91  255.56  251.9  251.98  118800  251.98
2013-08-13  256.3  256.99  253.76  255.23  182000  255.23
2013-08-12  255.52  257.68  253.09  256.1  226500  256.1
2013-08-09  258.35  260.84  257.22  257.89  146100  257.89
2013-08-08  259.56  263.02  258.76  259.05  156400  259.05
2013-08-07  259.56  260.24  257.51  258.29  129700  258.29
2013-08-06  262.18  263.13  259.67  260.65  146100  260.65
2013-08-05  263.19  263.96  261.59  263.16  180500  263.16
2013-08-02  265.58  266.32  263.9  265.0  246900  265.0
2013-08-01  262.38  267.49  262.38  266.56  349800  266.56
2013-07-31  258.35  261.61  257.59  259.25  205600  259.25
2013-07-30  255.79  258.8  253.81  257.29  263800  257.29
2013-07-29  252.44  255.33  250.74  254.48  182700  254.48
2013-07-26  252.65  254.86  251.3  253.83  199200  253.83
2013-07-25  251.27  253.04  250.05  252.65  288500  252.65
2013-07-24  255.58  256.49  251.6  252.34  183300  252.34
2013-07-23  259.61  259.61  254.64  254.89  347700  254.89
2013-07-22  258.23  260.37  257.43  258.72  337900  258.72
2013-07-19  260.74  261.3  259.0  259.63  347700  259.63
2013-07-18  259.76  262.35  257.17  260.3  353000  260.3
2013-07-17  256.71  261.43  254.03  259.76  478000  259.76
2013-07-16  262.08  263.23  258.62  259.79  258100  259.79
2013-07-15  263.65  264.35  260.71  261.89  267800  261.89
