Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  9.42  9.59  9.42  9.53  10610400  9.53
2014-02-27  9.36  9.48  9.31  9.42  10420500  9.42
2014-02-26  9.34  9.4  9.24  9.35  9565200  9.35
2014-02-25  9.26  9.32  9.2  9.29  8376800  9.29
2014-02-24  9.1  9.33  9.09  9.27  11593200  9.27
2014-02-21  8.97  9.15  8.97  9.11  10825300  9.11
2014-02-20  8.85  8.99  8.77  8.95  12283500  8.95
2014-02-19  9.0  9.05  8.82  8.85  11170500  8.85
2014-02-18  9.12  9.15  9.05  9.06  9712800  9.06
2014-02-14  9.09  9.2  9.07  9.12  4511500  9.12
2014-02-13  9.08  9.12  9.0  9.09  6460600  9.09
2014-02-12  9.14  9.27  9.09  9.12  7096700  9.12
2014-02-11  9.04  9.15  9.01  9.13  5712100  9.13
2014-02-10  9.01  9.08  8.94  9.03  7357100  9.03
2014-02-07  9.09  9.16  8.96  9.03  10808400  9.03
2014-02-06  8.85  9.05  8.83  9.03  11014100  9.03
2014-02-05  8.78  8.92  8.75  8.84  13264600  8.84
2014-02-04  8.74  8.96  8.73  8.86  16996400  8.86
2014-02-03  9.02  9.07  8.66  8.72  31464000  8.72
2014-01-31  9.14  9.2  9.07  9.07  11000500  9.07
2014-01-30  9.27  9.31  9.13  9.26  14176400  9.26
2014-01-29  9.29  9.43  9.18  9.2  16892500  9.2
2014-01-28  9.37  9.44  9.32  9.35  9215600  9.35
2014-01-27  9.43  9.51  9.28  9.34  10298100  9.34
2014-01-24  9.67  9.69  9.42  9.42  9801100  9.42
2014-01-23  9.85  9.85  9.67  9.75  9554600  9.75
2014-01-22  9.86  9.91  9.78  9.89  7914700  9.89
2014-01-21  9.69  9.87  9.66  9.87  10448400  9.87
2014-01-17  9.68  9.72  9.52  9.63  11801900  9.63
2014-01-16  9.64  9.7  9.43  9.63  23518000  9.63
2014-01-15  9.8  9.91  9.73  9.9  13932200  9.9
2014-01-14  9.68  9.78  9.63  9.77  8115700  9.77
2014-01-13  9.8  9.83  9.64  9.67  6751200  9.67
2014-01-10  9.74  9.81  9.68  9.79  9661800  9.79
2014-01-09  9.8  9.87  9.73  9.77  10238300  9.77
2014-01-08  9.75  9.79  9.68  9.75  9013700  9.75
2014-01-07  9.62  9.8  9.62  9.72  11770300  9.72
2014-01-06  9.65  9.8  9.58  9.58  9729600  9.58
2014-01-03  9.59  9.68  9.58  9.6  6096500  9.6
2014-01-02  9.6  9.66  9.53  9.54  7039100  9.54
2013-12-31  9.58  9.68  9.58  9.65  4262600  9.65
2013-12-30  9.61  9.64  9.56  9.58  3452100  9.58
2013-12-27  9.65  9.66  9.6  9.61  3418400  9.61
2013-12-26  9.7  9.73  9.64  9.65  5579100  9.65
2013-12-24  9.59  9.7  9.59  9.66  2230600  9.66
2013-12-23  9.62  9.65  9.55  9.63  5185500  9.63
2013-12-20  9.63  9.63  9.51  9.56  10779200  9.56
2013-12-19  9.5  9.58  9.45  9.55  6164100  9.55
2013-12-18  9.44  9.54  9.26  9.52  10362700  9.52
2013-12-17  9.48  9.48  9.32  9.39  7425200  9.39
2013-12-16  9.38  9.51  9.35  9.46  7881800  9.46
2013-12-13  9.38  9.39  9.24  9.31  6803500  9.31
2013-12-12  9.23  9.41  9.22  9.38  12030000  9.38
2013-12-11  9.43  9.44  9.24  9.25  10157300  9.25
2013-12-10  9.25  9.43  9.2  9.39  18720800  9.39
2013-12-09  9.21  9.28  9.19  9.25  11708200  9.25
2013-12-06  9.07  9.19  9.05  9.19  10959200  9.19
2013-12-05  9.07  9.12  8.95  8.96  8316600  8.96
2013-12-04  8.91  9.09  8.88  9.07  13513600  9.07
2013-12-03  9.05  9.08  8.87  8.96  12810400  8.96
2013-12-02  9.12  9.22  9.05  9.06  7711600  9.06
2013-11-29  9.15  9.19  9.07  9.12  3430800  9.12
2013-11-27  9.09  9.2  9.06  9.19  9696600  9.19
2013-11-26  9.1  9.13  9.06  9.08  4626800  9.08
2013-11-25  9.12  9.19  9.07  9.11  6123400  9.11
2013-11-22  8.93  9.09  8.88  9.09  8867200  9.09
2013-11-21  8.81  8.96  8.79  8.93  6255900  8.93
2013-11-20  8.86  8.88  8.71  8.77  13229200  8.77
2013-11-19  8.82  8.89  8.78  8.82  12108900  8.82
2013-11-18  8.95  8.98  8.84  8.85  6887200  8.85
2013-11-15  8.99  8.99  8.88  8.91  8646400  8.91
2013-11-14  8.92  8.95  8.84  8.95  6086200  8.95
2013-11-13  8.73  8.89  8.64  8.88  10201200  8.88
2013-11-12  8.86  8.89  8.68  8.76  9048700  8.76
2013-11-11  8.97  8.97  8.8  8.85  9148400  8.85
2013-11-08  8.6  8.97  8.59  8.97  14150300  8.97
2013-11-07  8.83  8.88  8.66  8.66  7896700  8.66
2013-11-06  8.73  8.85  8.69  8.8  10515600  8.8
2013-11-05  8.7  8.78  8.65  8.7  8083800  8.7
2013-11-04  8.79  8.83  8.72  8.73  8081600  8.73
2013-11-01  8.83  8.83  8.74  8.8  10457400  8.8
2013-10-31  8.88  8.9  8.75  8.75  9794400  8.75
2013-10-30  8.95  8.97  8.85  8.87  8703800  8.87
2013-10-29  9.01  9.01  8.9  8.94  5009100  8.94
2013-10-28  8.88  8.99  8.86  8.94  8009600  8.94
2013-10-25  8.91  9.0  8.87  8.88  12258300  8.88
2013-10-24  8.82  8.92  8.78  8.9  8361700  8.9
2013-10-23  8.82  8.88  8.77  8.78  6872800  8.78
2013-10-22  8.83  8.9  8.78  8.85  7581700  8.85
2013-10-21  8.87  8.92  8.79  8.83  9196700  8.83
2013-10-18  8.89  9.0  8.72  8.85  25049200  8.85
2013-10-17  8.62  8.85  8.45  8.83  19338900  8.83
2013-10-16  8.43  8.61  8.37  8.55  14650400  8.55
2013-10-15  8.49  8.52  8.36  8.37  7314500  8.37
2013-10-14  8.39  8.51  8.36  8.5  5938300  8.5
2013-10-11  8.34  8.45  8.23  8.44  8204800  8.44
2013-10-10  8.19  8.36  8.18  8.34  12802600  8.34
2013-10-09  8.04  8.11  8.0  8.08  16739400  8.08
2013-10-08  8.24  8.27  8.04  8.05  9876500  8.05
2013-10-07  8.31  8.38  8.22  8.22  7976400  8.22
2013-10-04  8.27  8.43  8.27  8.41  5597000  8.41
2013-10-03  8.26  8.31  8.22  8.27  10374500  8.27
2013-10-02  8.26  8.34  8.22  8.31  8633400  8.31
2013-10-01  8.26  8.35  8.23  8.31  7877800  8.31
2013-09-30  8.09  8.25  8.06  8.22  7881900  8.22
2013-09-27  8.19  8.28  8.16  8.19  6262400  8.19
2013-09-26  8.31  8.36  8.2  8.23  6150100  8.23
2013-09-25  8.22  8.34  8.16  8.32  8644600  8.32
2013-09-24  8.18  8.29  8.15  8.22  8346400  8.22
2013-09-23  8.34  8.34  8.17  8.19  8450100  8.19
2013-09-20  8.28  8.38  8.26  8.34  13323200  8.34
2013-09-19  8.53  8.56  8.28  8.29  16297500  8.29
2013-09-18  8.62  8.68  8.51  8.51  13384700  8.51
2013-09-17  8.52  8.62  8.47  8.61  9325200  8.61
2013-09-16  8.56  8.57  8.48  8.5  7351900  8.5
2013-09-13  8.42  8.5  8.41  8.48  8462800  8.48
2013-09-12  8.53  8.58  8.39  8.42  7663600  8.42
2013-09-11  8.59  8.64  8.44  8.51  12195000  8.51
2013-09-10  8.55  8.62  8.47  8.61  15560600  8.61
2013-09-09  8.4  8.48  8.31  8.47  13302200  8.47
2013-09-06  8.45  8.45  8.24  8.43  21305200  8.43
2013-09-05  8.28  8.41  8.28  8.38  10048500  8.38
2013-09-04  8.16  8.3  8.1  8.3  9762500  8.3
2013-09-03  8.24  8.36  8.1  8.15  8365500  8.15
2013-08-30  8.21  8.21  8.11  8.15  6340600  8.15
2013-08-29  8.11  8.22  8.09  8.17  8081500  8.17
2013-08-28  8.12  8.21  8.06  8.12  10951800  8.12
2013-08-27  8.27  8.31  8.05  8.09  12061900  8.09
2013-08-26  8.49  8.52  8.36  8.36  6031700  8.36
2013-08-23  8.58  8.58  8.45  8.5  4856100  8.5
2013-08-22  8.39  8.6  8.39  8.52  6809400  8.52
2013-08-21  8.47  8.5  8.36  8.39  7231800  8.39
2013-08-20  8.33  8.5  8.32  8.47  6996000  8.47
2013-08-19  8.4  8.47  8.32  8.36  8558000  8.36
2013-08-16  8.39  8.5  8.36  8.46  8324500  8.46
2013-08-15  8.44  8.51  8.32  8.38  7845200  8.38
2013-08-14  8.46  8.56  8.46  8.51  7866800  8.51
2013-08-13  8.48  8.51  8.37  8.49  5943000  8.49
2013-08-12  8.41  8.53  8.4  8.49  6623000  8.49
2013-08-09  8.5  8.54  8.43  8.46  8651600  8.46
2013-08-08  8.52  8.56  8.4  8.5  8360000  8.5
2013-08-07  8.51  8.54  8.37  8.43  6942800  8.43
2013-08-06  8.62  8.63  8.49  8.54  7548100  8.54
2013-08-05  8.61  8.67  8.55  8.63  7664400  8.63
2013-08-02  8.56  8.65  8.52  8.61  7132000  8.61
2013-08-01  8.5  8.68  8.48  8.61  10463600  8.61
2013-07-31  8.36  8.53  8.34  8.46  15758100  8.46
2013-07-30  8.37  8.45  8.33  8.35  10220500  8.35
2013-07-29  8.45  8.5  8.31  8.38  13214100  8.38
2013-07-26  8.39  8.5  8.38  8.5  6571300  8.5
2013-07-25  8.46  8.52  8.41  8.46  11688000  8.46
2013-07-24  8.39  8.52  8.32  8.49  14558200  8.49
2013-07-23  8.47  8.47  8.36  8.37  9614900  8.37
2013-07-22  8.35  8.44  8.3  8.44  7787700  8.44
2013-07-19  8.31  8.33  8.23  8.29  9639400  8.29
2013-07-18  8.08  8.4  8.03  8.31  17055500  8.31
2013-07-17  8.22  8.26  8.15  8.15  8497500  8.15
2013-07-16  8.29  8.32  8.08  8.17  11603100  8.17
2013-07-15  8.29  8.34  8.23  8.28  7801000  8.28
2013-07-12  8.1  8.24  8.07  8.24  8727000  8.24
2013-07-11  8.29  8.31  8.02  8.09  11777100  8.09
2013-07-10  8.38  8.4  8.07  8.18  18709000  8.18
2013-07-09  8.43  8.46  8.25  8.37  9543800  8.37
2013-07-08  8.51  8.57  8.36  8.39  11212500  8.39
2013-07-05  8.22  8.41  8.19  8.41  11280400  8.41
2013-07-03  8.07  8.15  8.06  8.11  5710300  8.11
2013-07-02  7.97  8.16  7.96  8.13  19237800  8.13
2013-07-01  7.86  8.03  7.81  7.94  11313700  7.94
2013-06-28  7.76  7.82  7.71  7.78  8345700  7.78
2013-06-27  7.82  7.83  7.75  7.79  12628000  7.79
2013-06-26  7.84  7.87  7.72  7.77  12042500  7.77
2013-06-25  7.6  7.73  7.54  7.69  11143300  7.69
2013-06-24  7.55  7.62  7.48  7.53  12196300  7.53
2013-06-21  7.52  7.63  7.43  7.57  15523400  7.57
2013-06-20  7.32  7.57  7.3  7.43  17656900  7.43
2013-06-19  7.54  7.54  7.39  7.39  10601200  7.39
2013-06-18  7.47  7.56  7.45  7.54  6196600  7.54
2013-06-17  7.48  7.6  7.42  7.48  9004700  7.48
2013-06-14  7.64  7.66  7.45  7.45  9668000  7.45
2013-06-13  7.45  7.66  7.43  7.64  11088100  7.64
2013-06-12  7.6  7.64  7.46  7.46  12027900  7.46
