Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  9.4  9.56  9.38  9.5  2821000  9.5
2014-02-27  9.35  9.39  9.25  9.38  1760700  9.38
2014-02-26  9.32  9.44  9.27  9.37  2218100  9.37
2014-02-25  9.35  9.35  9.24  9.29  2003300  9.29
2014-02-24  9.21  9.39  9.18  9.34  2602800  9.34
2014-02-21  9.11  9.22  9.08  9.22  3665300  9.22
2014-02-20  9.11  9.17  9.03  9.13  3403000  9.13
2014-02-19  9.18  9.22  9.08  9.1  2396300  9.1
2014-02-18  9.29  9.33  9.21  9.22  1443800  9.22
2014-02-14  9.23  9.27  9.19  9.27  1166200  9.27
2014-02-13  9.17  9.21  9.03  9.21  3335000  9.21
2014-02-12  9.25  9.32  9.15  9.2  5889800  9.2
2014-02-11  9.14  9.27  9.12  9.26  1778500  9.26
2014-02-10  9.17  9.23  9.1  9.16  1968000  9.16
2014-02-07  9.13  9.23  9.1  9.14  2856200  9.14
2014-02-06  8.99  9.11  8.95  9.1  1901000  9.1
2014-02-05  8.96  9.05  8.93  9.01  3070900  9.01
2014-02-04  8.8  8.99  8.78  8.98  4014500  8.98
2014-02-03  8.98  9.03  8.77  8.77  7475300  8.77
2014-01-31  9.0  9.08  8.98  9.0  2538300  9.0
2014-01-30  9.08  9.17  8.99  9.11  3314800  9.11
2014-01-29  8.91  9.11  8.9  9.04  3224500  9.04
2014-01-28  8.95  9.01  8.91  9.0  2498800  9.0
2014-01-27  8.99  9.09  8.95  8.96  2848200  8.96
2014-01-24  8.99  9.06  8.97  9.01  4317700  9.01
2014-01-23  9.05  9.09  8.99  9.08  4993200  9.08
2014-01-22  9.05  9.11  9.01  9.1  3628000  9.1
2014-01-21  9.06  9.06  8.83  9.03  7494200  9.03
2014-01-17  9.13  9.23  8.86  9.04  9747800  9.04
2014-01-16  9.26  9.27  9.18  9.24  1556200  9.24
2014-01-15  9.26  9.34  9.24  9.27  3585200  9.27
2014-01-14  9.25  9.29  9.18  9.26  2762900  9.26
2014-01-13  9.34  9.36  9.18  9.21  1293700  9.21
2014-01-10  9.43  9.43  9.33  9.36  2364700  9.36
2014-01-09  9.34  9.43  9.34  9.43  3385300  9.43
2014-01-08  9.33  9.38  9.31  9.35  3095900  9.35
2014-01-07  9.26  9.35  9.23  9.32  6799800  9.32
2014-01-06  9.31  9.38  9.24  9.25  3802400  9.25
2014-01-03  9.31  9.34  9.28  9.32  3129000  9.32
2014-01-02  9.4  9.4  9.27  9.27  4596000  9.27
2013-12-31  9.39  9.43  9.34  9.39  1862800  9.39
2013-12-30  9.32  9.36  9.29  9.35  1735800  9.35
2013-12-27  9.34  9.35  9.27  9.34  1687900  9.34
2013-12-26  9.29  9.35  9.08  9.32  1823900  9.32
2013-12-24  9.21  9.31  9.21  9.3  1141200  9.3
2013-12-23  9.18  9.27  9.16  9.22  6712400  9.22
2013-12-20  9.22  9.22  9.08  9.16  11510800  9.16
2013-12-19  9.15  9.15  9.06  9.1  6637700  9.1
2013-12-18  9.11  9.17  8.91  9.17  11319300  9.17
2013-12-17  9.21  9.21  8.95  9.12  21638800  9.12
2013-12-16  9.11  9.25  9.1  9.19  5652500  9.19
2013-12-13  9.13  9.21  9.09  9.12  2806000  9.12
2013-12-12  9.1  9.17  9.07  9.12  4385600  9.12
2013-12-11  9.17  9.2  9.11  9.12  2739400  9.12
2013-12-10  9.23  9.25  9.15  9.18  2889000  9.18
2013-12-09  9.21  9.28  9.18  9.25  3464700  9.25
2013-12-06  9.12  9.23  9.07  9.19  5182200  9.19
