Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  58.18  59.08  58.07  58.74  2273800  58.74
2014-02-27  57.99  58.4  57.77  58.13  1038100  58.13
2014-02-26  57.83  58.03  57.4  57.91  1310000  57.91
2014-02-25  58.07  58.13  57.43  57.66  1579300  57.66
2014-02-24  56.79  58.52  56.79  58.03  1972600  58.03
2014-02-21  56.48  56.98  56.01  56.78  2522200  56.78
2014-02-20  57.41  57.95  56.31  56.58  1846600  56.58
2014-02-19  56.95  57.96  56.8  57.33  1905600  57.33
2014-02-18  56.81  57.06  56.31  56.96  1477000  56.96
2014-02-14  57.04  57.25  56.58  56.86  1495200  56.86
2014-02-13  56.68  57.42  56.55  56.99  1458800  56.99
2014-02-12  57.1  57.28  56.62  56.83  1258100  56.83
2014-02-11  57.14  57.6  56.8  57.14  1703900  57.14
2014-02-10  56.76  57.24  56.41  57.09  1761100  57.09
2014-02-07  56.42  56.96  56.21  56.89  1628200  56.89
2014-02-06  56.0  56.54  55.87  56.28  2066600  56.28
2014-02-05  56.72  56.93  55.72  56.12  2106100  56.12
2014-02-04  56.64  56.98  56.36  56.82  2312400  56.82
2014-02-03  57.02  57.09  56.51  56.69  2274500  56.69
2014-01-31  56.01  57.3  55.64  57.11  2915000  57.11
2014-01-30  56.12  56.72  56.0  56.25  1775300  56.25
2014-01-29  55.72  55.97  55.42  55.9  2141300  55.9
2014-01-28  55.63  56.31  55.54  56.0  1828500  56.0
2014-01-27  55.15  55.84  55.13  55.46  2531800  55.46
2014-01-24  55.23  55.43  54.89  55.14  2931600  55.14
2014-01-23  55.81  55.83  55.17  55.25  2188600  55.25
2014-01-22  55.64  56.0  55.5  55.75  1541600  55.75
2014-01-21  55.18  55.68  55.09  55.65  2055000  55.65
2014-01-17  55.41  55.45  54.77  54.81  2001300  54.81
2014-01-16  55.02  55.39  54.88  55.28  2183400  55.28
2014-01-15  54.48  55.09  54.47  54.77  2596200  54.77
2014-01-14  55.14  55.17  54.19  54.37  3374200  54.37
2014-01-13  54.59  55.38  54.41  55.17  4426300  55.17
2014-01-10  53.55  54.73  53.54  54.7  2889400  54.7
2014-01-09  53.32  53.47  52.76  53.27  1558300  53.27
2014-01-08  53.44  53.56  52.95  53.15  1648100  53.15
2014-01-07  53.66  53.87  53.1  53.5  2185700  53.5
2014-01-06  52.54  54.03  52.4  53.53  3218400  53.53
2014-01-03  52.54  52.64  52.16  52.31  2160600  52.31
2014-01-02  52.41  52.94  52.34  52.79  2575100  52.79
2013-12-31  52.61  52.98  52.37  52.82  2408300  52.82
2013-12-30  52.45  52.8  52.26  52.69  1468400  52.69
2013-12-27  52.48  52.5  52.12  52.46  1540700  52.46
2013-12-26  52.35  52.72  52.08  52.31  1467800  52.31
2013-12-24  52.26  52.59  52.02  52.35  787500  52.35
2013-12-23  52.73  52.81  52.16  52.22  2116800  52.22
2013-12-20  52.07  52.58  51.94  52.37  3759600  52.37
2013-12-19  53.51  53.51  51.7  51.85  3333300  51.85
2013-12-18  53.1  53.99  52.32  53.9  3257700  53.9
2013-12-17  53.05  53.23  52.94  53.08  2060400  53.08
2013-12-16  53.25  53.45  52.83  52.93  2034500  52.93
2013-12-13  52.86  53.64  52.85  53.16  1790300  53.16
2013-12-12  53.46  53.57  52.56  52.89  2400900  52.89
2013-12-11  54.77  54.86  53.44  53.46  2186400  53.46
2013-12-10  54.67  55.07  54.62  54.74  1663100  54.74
2013-12-09  54.38  54.72  54.09  54.61  1919700  54.61
2013-12-06  54.7  54.8  54.2  54.39  1433000  54.39
2013-12-05  54.34  54.71  53.89  54.41  2137100  54.41
2013-12-04  54.24  54.77  53.75  54.34  2301600  54.34
2013-12-03  54.96  55.07  54.53  54.57  1558300  54.57
2013-12-02  55.37  55.45  54.5  54.97  1923600  54.97
2013-11-29  55.25  56.37  55.12  55.21  1251100  55.21
2013-11-27  55.52  56.08  55.31  55.98  1508200  55.98
