Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  38.33  38.95  38.24  38.77  4064900  38.77
2014-02-27  38.04  38.37  38.02  38.35  2309300  38.35
2014-02-26  37.56  38.03  37.41  38.01  2459800  38.01
2014-02-25  37.85  37.9  37.35  37.44  2900700  37.44
2014-02-24  37.19  38.08  37.11  37.82  2863700  37.82
2014-02-21  37.47  37.52  37.01  37.11  4455500  37.11
2014-02-20  38.18  38.54  37.63  37.84  2277700  37.84
2014-02-19  37.8  38.74  37.76  38.13  3688400  38.13
2014-02-18  37.75  37.88  37.23  37.87  2925700  37.87
2014-02-14  37.8  37.95  37.58  37.69  2404300  37.69
2014-02-13  37.5  37.99  37.47  37.88  2452500  37.88
2014-02-12  37.83  38.05  37.38  37.6  3565300  37.6
2014-02-11  38.05  38.5  37.29  37.8  5551200  37.8
2014-02-10  38.47  38.92  38.18  38.82  2519000  38.82
2014-02-07  38.32  38.49  38.02  38.42  2745800  38.42
2014-02-06  38.04  38.56  38.01  38.14  3197600  38.14
2014-02-05  38.37  38.57  37.83  38.05  2586900  38.05
2014-02-04  38.3  38.5  37.98  38.47  3094400  38.47
2014-02-03  38.69  38.75  38.23  38.28  4537900  38.28
2014-01-31  37.99  38.79  37.96  38.6  3152800  38.6
2014-01-30  38.46  38.67  38.3  38.34  2529800  38.34
2014-01-29  38.33  38.57  38.11  38.28  2347500  38.28
2014-01-28  38.0  38.6  38.0  38.57  2670500  38.57
2014-01-27  38.06  38.31  37.87  37.87  2883500  37.87
2014-01-24  37.97  38.14  37.71  38.05  3082300  38.05
2014-01-23  37.81  38.02  37.71  37.99  3409900  37.99
2014-01-22  37.95  38.15  37.72  37.9  2083800  37.9
2014-01-21  37.76  38.02  37.5  37.85  3296700  37.85
2014-01-17  37.91  37.97  37.35  37.5  3957600  37.5
2014-01-16  37.44  37.86  37.44  37.86  2953300  37.86
2014-01-15  37.46  37.86  37.45  37.5  3399700  37.5
2014-01-14  37.69  37.75  37.41  37.45  3015600  37.45
2014-01-13  38.2  38.41  37.48  37.57  4069000  37.57
2014-01-10  37.26  38.5  37.24  38.32  4337900  38.32
2014-01-09  37.22  37.28  36.6  36.88  3674600  36.88
2014-01-08  36.96  37.01  36.43  36.83  3789500  36.83
2014-01-07  36.29  36.95  36.04  36.91  4243600  36.91
2014-01-06  35.67  36.82  35.65  36.29  4266300  36.29
2014-01-03  35.65  35.88  35.44  35.67  2014300  35.67
2014-01-02  35.82  35.92  35.49  35.7  2100000  35.7
2013-12-31  36.06  36.12  35.71  35.81  2540900  35.81
2013-12-30  36.0  36.15  35.88  36.08  1628300  36.08
2013-12-27  35.93  36.07  35.75  35.98  2242500  35.98
2013-12-26  35.95  36.15  35.83  35.96  1940400  35.96
2013-12-24  35.69  35.98  35.63  35.85  966600  35.85
2013-12-23  35.74  35.95  35.62  35.71  2579100  35.71
2013-12-20  35.32  35.66  35.13  35.57  3694000  35.57
2013-12-19  36.21  36.21  35.09  35.29  2927400  35.29
2013-12-18  35.95  36.36  35.25  36.32  5084800  36.32
2013-12-17  35.51  35.83  35.34  35.81  3180500  35.81
2013-12-16  35.26  36.37  35.2  35.55  3140800  35.55
2013-12-13  35.23  35.75  35.15  35.26  1870700  35.26
2013-12-12  35.34  35.4  35.0  35.16  3393500  35.16
2013-12-11  36.42  36.42  35.3  35.33  3123800  35.33
2013-12-10  36.33  36.71  36.26  36.34  2795500  36.34
2013-12-09  36.04  36.39  35.52  36.35  2193600  36.35
2013-12-06  36.23  36.31  35.82  36.05  2331200  36.05
2013-12-05  35.73  36.17  35.58  35.97  2555400  35.97
2013-12-04  35.2  36.17  35.16  35.97  3310200  35.97
2013-12-03  35.67  35.88  35.29  35.55  2731600  35.55
2013-12-02  36.43  36.43  35.7  35.83  2430600  35.83
2013-11-29  36.87  36.95  36.22  36.25  1482900  36.25
2013-11-27  36.55  36.92  36.38  36.84  1905000  36.84
2013-11-26  37.17  37.17  36.54  36.54  3995300  36.54
2013-11-25  37.82  37.86  37.12  37.17  2972600  37.17
2013-11-22  38.47  38.48  37.52  37.73  3626400  37.73
2013-11-21  38.28  38.61  38.05  38.37  2113600  38.37
2013-11-20  39.1  39.19  38.06  38.28  3797300  38.28
2013-11-19  38.77  38.85  38.24  38.39  3252800  38.39
2013-11-18  39.24  39.49  39.11  39.15  2834400  39.15
2013-11-15  38.96  39.46  38.9  39.25  2504000  39.25
2013-11-14  39.03  39.53  39.0  39.02  2250300  39.02
2013-11-13  38.59  38.93  38.55  38.89  2115800  38.89
2013-11-12  38.92  39.0  38.59  38.74  2233600  38.74
2013-11-11  39.1  39.5  38.88  38.92  1756300  38.92
2013-11-08  39.64  39.69  38.12  39.07  3283000  39.07
2013-11-07  40.5  40.6  39.85  39.88  2438200  39.88
2013-11-06  40.18  40.74  40.18  40.38  1843600  40.38
2013-11-05  41.03  41.22  40.09  40.21  2791200  40.21
2013-11-04  41.24  41.41  40.73  41.29  1855900  41.29
2013-11-01  40.91  41.41  40.77  41.12  2241400  41.12
2013-10-31  41.57  41.57  40.63  40.91  2794100  40.91
2013-10-30  41.11  41.39  40.73  41.2  3383700  41.2
2013-10-29  41.87  42.14  40.8  41.04  2695400  41.04
2013-10-28  42.06  42.15  41.27  41.72  1948900  41.72
2013-10-25  41.4  42.0  41.24  41.92  2206400  41.92
2013-10-24  41.54  41.57  41.23  41.27  1989300  41.27
2013-10-23  41.32  41.52  41.07  41.46  2705000  41.46
2013-10-22  41.39  41.67  41.06  41.4  2155300  41.4
2013-10-21  41.33  41.42  40.7  40.96  2074000  40.96
2013-10-18  41.92  42.03  41.21  41.45  5016600  41.45
2013-10-17  40.93  41.83  40.85  41.71  2649400  41.71
2013-10-16  40.32  41.13  40.27  40.96  2634300  40.96
2013-10-15  40.05  40.48  39.85  40.1  2196000  40.1
2013-10-14  40.19  40.53  39.91  40.36  2653200  40.36
2013-10-11  39.76  40.46  39.61  40.45  2217300  40.45
2013-10-10  39.43  39.84  39.29  39.79  2631700  39.79
2013-10-09  39.1  39.58  39.1  39.15  2999500  39.15
2013-10-08  38.79  39.55  38.79  39.1  4348500  39.1
2013-10-07  37.84  39.05  37.74  38.81  3735000  38.81
2013-10-04  38.64  38.88  37.56  38.02  7791400  38.02
2013-10-03  40.49  40.53  38.32  38.77  8955300  38.77
2013-10-02  40.83  40.87  40.1  40.67  2400400  40.67
2013-10-01  39.83  41.0  39.75  40.81  2545700  40.81
2013-09-30  40.19  40.73  39.69  39.87  2697200  39.87
2013-09-27  40.41  40.7  40.09  40.46  2272600  40.46
2013-09-26  40.57  40.69  40.32  40.69  1610200  40.69
2013-09-25  40.3  40.7  40.19  40.57  2982600  40.57
2013-09-24  40.59  40.68  40.26  40.31  2610100  40.31
2013-09-23  40.82  41.2  40.47  40.54  2244600  40.54
2013-09-20  42.14  42.21  40.97  40.98  3795600  40.98
2013-09-19  42.89  43.34  42.22  42.23  3308100  42.23
2013-09-18  40.72  42.83  40.11  42.79  3471000  42.79
2013-09-17  41.11  41.44  40.48  40.66  1662100  40.66
2013-09-16  41.35  42.26  40.93  41.11  2262500  41.11
2013-09-13  40.14  40.53  40.11  40.34  1446300  40.34
2013-09-12  40.42  40.79  40.1  40.14  2208000  40.14
2013-09-11  39.92  40.44  39.87  40.36  1806100  40.36
2013-09-10  40.75  40.77  39.75  39.92  2342600  39.92
2013-09-09  39.92  40.56  39.62  40.56  2396400  40.56
2013-09-06  39.38  40.45  39.1  39.81  3667200  39.81
2013-09-05  39.36  39.48  38.64  38.66  1690500  38.66
2013-09-04  39.33  39.58  39.13  39.43  2437300  39.43
2013-09-03  40.0  40.03  38.91  39.42  3157900  39.42
2013-08-30  39.79  39.97  39.52  39.66  2420300  39.66
2013-08-29  40.03  40.03  39.48  39.71  1843100  39.71
