Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  81.89  83.1  81.39  82.03  7239600  82.03
2014-02-27  81.66  82.2  80.61  81.97  6040900  81.97
2014-02-26  80.99  82.71  80.79  81.7  9737800  81.7
2014-02-25  79.68  81.0  79.33  80.98  13421700  80.98
2014-02-24  77.84  78.25  77.46  77.87  11739500  77.87
2014-02-21  77.36  78.04  77.36  77.74  7764500  77.74
2014-02-20  76.59  77.56  76.54  77.48  5852200  77.48
2014-02-19  77.25  77.52  76.4  76.45  7767800  76.45
2014-02-18  77.92  78.08  77.07  77.57  4954700  77.57
2014-02-14  77.75  78.13  77.32  77.93  4752300  77.93
2014-02-13  77.34  77.87  76.94  77.59  6586900  77.59
2014-02-12  76.91  77.33  76.67  77.28  7345900  77.28
2014-02-11  76.44  76.99  76.17  76.7  6292900  76.7
2014-02-10  76.56  76.59  75.88  76.41  6343600  76.41
2014-02-07  76.17  76.6  75.85  76.45  6194200  76.45
2014-02-06  75.19  76.2  75.17  76.16  6107100  76.16
2014-02-05  74.73  75.55  73.96  75.26  10080300  75.26
2014-02-04  75.51  75.85  74.17  74.97  9573400  74.97
2014-02-03  76.64  76.73  74.93  75.09  9527000  75.09
2014-01-31  76.2  77.47  75.85  76.85  10592200  76.85
2014-01-30  77.23  77.76  76.65  76.93  6820900  76.93
2014-01-29  78.28  78.75  76.63  76.68  9195300  76.68
2014-01-28  78.42  78.93  77.82  78.54  10586500  78.54
2014-01-27  78.86  79.17  78.52  78.94  6591200  78.94
2014-01-24  79.61  80.0  79.16  79.16  7118300  79.16
2014-01-23  79.62  80.3  79.19  80.24  6387000  80.24
2014-01-22  80.66  80.81  79.92  80.2  5821600  80.2
2014-01-21  81.3  81.5  79.81  80.46  6932800  80.46
2014-01-17  81.32  81.35  80.65  81.0  6178000  81.0
2014-01-16  80.9  81.38  80.78  81.26  4871200  81.26
2014-01-15  80.85  81.43  80.74  81.07  5196800  81.07
2014-01-14  81.28  81.49  80.61  81.01  5217300  81.01
2014-01-13  81.61  82.13  80.96  80.97  6952400  80.97
2014-01-10  81.72  82.04  81.42  82.01  4981000  82.01
2014-01-09  81.9  81.94  80.97  81.57  4966000  81.57
2014-01-08  81.54  81.94  81.03  81.93  4662300  81.93
2014-01-07  81.31  81.92  81.08  81.5  4630900  81.5
2014-01-06  81.65  81.98  81.1  81.1  11188800  81.1
2014-01-03  81.91  82.48  81.83  81.89  3897900  81.89
2014-01-02  82.11  82.57  81.8  82.02  4253400  82.02
2013-12-31  81.99  82.47  81.72  82.34  4493600  82.34
2013-12-30  81.67  81.98  81.46  81.94  3526400  81.94
2013-12-27  81.65  82.24  81.22  81.64  3961900  81.64
2013-12-26  80.84  81.74  80.81  81.55  3848800  81.55
2013-12-24  80.56  80.96  80.56  80.64  1819800  80.64
2013-12-23  80.07  80.92  80.04  80.56  3941300  80.56
2013-12-20  80.18  80.83  80.04  80.04  11232900  80.04
2013-12-19  80.08  80.47  79.64  79.95  6620800  79.95
2013-12-18  78.8  80.06  78.31  80.05  8170300  80.05
2013-12-17  79.31  79.37  78.61  78.62  6226000  78.62
2013-12-16  79.21  79.76  78.93  79.1  7099700  79.1
2013-12-13  79.09  79.57  78.52  79.01  6027100  79.01
2013-12-12  78.99  79.2  78.28  78.53  8535200  78.53
2013-12-11  78.38  79.81  78.38  79.0  7834500  79.0
2013-12-10  79.32  79.93  78.4  78.61  7448400  78.61
