Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  79.7  80.44  78.81  80.03  2632000  80.03
2014-02-27  79.3  79.66  79.02  79.5  2803300  79.5
2014-02-26  80.09  80.4  79.13  79.32  4147400  79.32
2014-02-25  81.65  81.65  79.94  80.3  4361200  80.3
2014-02-24  81.64  82.48  81.44  81.45  3576000  81.45
2014-02-21  81.74  81.88  80.77  81.17  2753700  81.17
2014-02-20  80.77  81.95  80.5  81.61  3536900  81.61
2014-02-19  80.15  81.32  80.13  80.71  2883900  80.71
2014-02-18  79.83  80.75  79.72  80.46  3585100  80.46
2014-02-14  78.82  80.0  78.63  79.5  3260400  79.5
2014-02-13  77.59  79.37  77.36  78.67  2337600  78.67
2014-02-12  78.72  78.75  77.95  78.03  2310700  78.03
2014-02-11  77.0  78.67  77.0  78.25  2484000  78.25
2014-02-10  77.26  77.37  76.61  76.99  2377600  76.99
2014-02-07  76.65  77.21  76.15  77.18  2871600  77.18
2014-02-06  75.03  76.45  74.85  76.31  2082200  76.31
2014-02-05  74.34  75.07  73.79  74.66  3079100  74.66
2014-02-04  74.12  75.12  73.57  74.76  4269900  74.76
2014-02-03  75.45  75.47  73.36  73.92  4349700  73.92
2014-01-31  75.4  76.28  74.88  75.49  2722700  75.49
2014-01-30  76.64  77.24  76.02  76.53  3004600  76.53
2014-01-29  75.77  78.85  75.58  77.06  3896900  77.06
2014-01-28  75.89  77.19  75.75  76.8  2504400  76.8
2014-01-27  76.14  76.58  75.14  75.58  1909000  75.58
2014-01-24  76.54  77.04  75.52  76.25  2680600  76.25
2014-01-23  77.77  78.06  76.96  77.4  1832300  77.4
2014-01-22  78.15  78.69  77.72  78.12  1893900  78.12
2014-01-21  77.8  78.08  77.24  77.92  2222600  77.92
2014-01-17  77.72  78.27  77.03  77.13  2650100  77.13
2014-01-16  77.74  78.03  77.17  77.72  3237900  77.72
2014-01-15  78.67  79.18  77.65  77.67  5375100  77.67
2014-01-14  78.92  79.72  78.92  79.53  1817100  79.53
2014-01-13  80.75  81.11  78.72  78.87  2913200  78.87
2014-01-10  81.11  81.46  80.5  80.9  2363400  80.9
2014-01-09  81.87  82.16  80.86  81.34  2864200  81.34
2014-01-08  81.61  81.79  80.58  81.69  3145200  81.69
2014-01-07  79.98  81.23  79.92  80.86  2034400  80.86
2014-01-06  79.53  80.09  78.99  79.92  2680800  79.92
2014-01-03  80.86  81.72  79.97  80.28  1922700  80.28
2014-01-02  82.95  83.0  80.69  81.12  2752600  81.12
2013-12-31  82.9  83.29  82.45  83.0  1489300  83.0
2013-12-30  83.07  83.54  82.59  82.61  1471400  82.61
2013-12-27  82.77  83.39  82.27  83.07  1333500  83.07
2013-12-26  81.28  82.85  81.16  82.6  1548600  82.6
2013-12-24  80.25  81.26  80.02  81.14  1036100  81.14
2013-12-23  80.72  81.4  80.14  80.22  2309000  80.22
2013-12-20  80.68  81.42  80.16  80.17  3826500  80.17
2013-12-19  80.42  81.08  80.14  80.54  2118200  80.54
2013-12-18  79.6  80.9  78.67  80.83  2749700  80.83
2013-12-17  81.15  81.18  78.95  79.51  3307600  79.51
2013-12-16  78.0  79.73  77.52  79.35  2790000  79.35
2013-12-13  78.5  79.3  78.41  78.95  2665500  78.95
2013-12-12  78.69  79.18  77.63  78.31  2650000  78.31
2013-12-11  79.42  79.62  78.56  78.69  2470200  78.69
2013-12-10  80.35  81.05  79.33  79.69  2505500  79.69
2013-12-09  80.65  80.95  79.76  80.25  2083000  80.25
2013-12-06  82.16  82.52  80.2  80.6  2295600  80.6
2013-12-05  81.57  82.12  81.14  81.21  2106600  81.21
2013-12-04  80.72  82.39  80.72  81.95  2304500  81.95
2013-12-03  80.37  81.28  79.99  80.89  3157300  80.89
2013-12-02  80.75  81.34  80.07  80.65  1959000  80.65
2013-11-29  81.36  82.25  80.84  80.87  1352500  80.87
2013-11-27  83.27  83.27  80.83  81.22  2484000  81.22
2013-11-26  82.55  84.06  81.93  83.34  2394700  83.34
2013-11-25  81.96  83.02  81.44  82.37  2001200  82.37
2013-11-22  82.39  83.08  81.34  83.06  2224700  83.06
2013-11-21  81.19  82.23  80.89  82.07  1915800  82.07
2013-11-20  81.64  82.49  80.73  81.05  1631500  81.05
2013-11-19  81.49  82.01  80.67  81.63  1814800  81.63
2013-11-18  82.89  83.06  81.33  81.65  2078100  81.65
2013-11-15  81.64  82.6  81.26  82.6  3378400  82.6
2013-11-14  80.5  81.54  80.23  81.44  2215500  81.44
2013-11-13  79.11  80.62  79.1  80.52  1978200  80.52
2013-11-12  80.7  81.09  79.47  79.69  2233700  79.69
2013-11-11  80.12  80.98  79.93  80.61  2127300  80.61
2013-11-08  78.66  80.07  78.63  80.04  2156700  80.04
2013-11-07  80.77  81.13  78.43  78.53  3303300  78.53
2013-11-06  80.76  82.29  80.29  80.74  3069800  80.74
2013-11-05  81.09  81.35  80.11  80.23  2906000  80.23
2013-11-04  80.86  81.69  80.76  81.47  2202500  81.47
2013-11-01  80.96  81.23  79.78  80.67  3550400  80.67
2013-10-31  80.57  81.68  79.72  80.94  3306700  80.94
2013-10-30  81.89  82.4  79.7  80.06  6151900  80.06
2013-10-29  83.03  83.53  82.74  83.23  1497700  83.23
2013-10-28  83.07  83.37  82.43  82.9  2066200  82.9
2013-10-25  83.16  83.52  82.17  82.94  1548600  82.94
2013-10-24  82.02  83.07  81.48  82.83  1883500  82.83
2013-10-23  82.74  82.76  80.8  81.66  4193100  81.66
2013-10-22  84.26  84.87  83.06  83.29  4171900  83.29
2013-10-21  83.81  84.58  83.42  83.73  3127000  83.73
2013-10-18  82.6  83.8  82.54  83.79  3568200  83.79
2013-10-17  81.11  82.33  81.11  82.13  2791000  82.13
2013-10-16  81.06  82.18  81.06  82.05  3995900  82.05
2013-10-15  80.02  81.38  80.02  80.55  3646300  80.55
2013-10-14  80.27  81.27  80.09  81.05  3135500  81.05
2013-10-11  79.99  81.14  79.67  80.84  3736000  80.84
2013-10-10  80.78  80.97  79.27  80.53  3704100  80.53
2013-10-09  77.88  78.89  77.7  78.28  2850800  78.28
2013-10-08  79.11  80.09  78.29  78.52  2598200  78.52
2013-10-07  79.29  80.18  79.02  79.29  2416200  79.29
2013-10-04  79.51  80.35  79.5  79.88  3173000  79.88
2013-10-03  79.69  80.87  79.29  79.64  3755600  79.64
2013-10-02  78.02  80.11  78.02  79.71  2428500  79.71
2013-10-01  76.73  78.66  76.59  78.44  2179000  78.44
2013-09-30  77.26  77.55  76.37  77.09  1899500  77.09
2013-09-27  77.78  78.42  77.63  78.08  1184400  78.08
2013-09-26  78.81  79.1  77.85  78.54  1328500  78.54
2013-09-25  78.46  79.07  78.31  78.47  1740400  78.47
2013-09-24  78.34  79.1  77.95  78.26  2877100  78.26
2013-09-23  78.14  78.6  77.26  78.28  2324700  78.28
2013-09-20  79.39  80.15  77.92  78.38  4256400  78.38
2013-09-19  79.2  80.1  79.2  79.39  2643000  79.39
2013-09-18  77.26  79.25  76.96  78.97  2601400  78.97
2013-09-17  77.62  77.97  77.27  77.54  2968700  77.54
2013-09-16  78.12  78.32  77.2  77.67  2264400  77.67
2013-09-13  76.89  77.79  76.89  77.47  2085900  77.47
2013-09-12  77.45  78.0  76.87  77.0  3026700  77.0
2013-09-11  77.37  77.76  76.49  77.6  2602200  77.6
2013-09-10  77.8  77.82  76.52  77.29  2793100  77.29
2013-09-09  77.12  77.84  77.05  77.83  2159100  77.83
2013-09-06  76.31  77.7  75.78  76.81  2537900  76.81
2013-09-05  75.79  76.54  75.7  76.04  2543300  76.04
2013-09-04  75.3  76.23  75.08  75.66  2919200  75.66
2013-09-03  75.44  75.97  74.87  75.51  1865300  75.51
2013-08-30  75.35  75.66  74.33  74.37  3032400  74.37
2013-08-29  75.61  75.67  74.69  75.34  1923000  75.34
2013-08-28  75.39  76.56  75.22  75.99  2550500  75.99
2013-08-27  74.14  75.89  74.14  74.97  2661700  74.97
2013-08-26  75.27  75.89  74.71  74.93  2415900  74.93
2013-08-23  74.22  75.29  73.89  75.18  1623000  75.18
2013-08-22  72.97  74.45  72.97  74.04  1754500  74.04
2013-08-21  73.11  73.57  72.15  72.56  2285800  72.56
2013-08-20  73.23  74.0  72.39  73.25  2490200  73.25
