Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  34.77  35.36  34.57  35.19  3572100  35.19
2014-02-27  34.46  34.78  34.33  34.68  2302700  34.68
2014-02-26  34.42  34.56  34.02  34.49  3303100  34.49
2014-02-25  34.59  34.61  34.12  34.38  4271900  34.38
2014-02-24  34.36  34.94  34.33  34.64  2715200  34.64
2014-02-21  34.4  34.59  34.27  34.31  2078600  34.31
2014-02-20  34.29  34.45  33.89  34.34  2791700  34.34
2014-02-19  34.72  34.99  34.28  34.36  3608600  34.36
2014-02-18  34.71  34.89  34.49  34.83  2127100  34.83
2014-02-14  34.42  34.75  34.28  34.67  2151700  34.67
2014-02-13  34.31  34.6  34.1  34.55  3736800  34.55
2014-02-12  34.58  34.98  34.53  34.7  2905800  34.7
2014-02-11  34.15  34.77  34.15  34.64  3992600  34.64
2014-02-10  34.31  34.32  33.96  34.23  3677600  34.23
2014-02-07  34.05  34.46  33.87  34.41  3380700  34.41
2014-02-06  33.58  34.03  33.51  33.96  3971100  33.96
2014-02-05  33.0  33.6  32.77  33.54  6833200  33.54
2014-02-04  32.57  33.13  32.51  32.82  8368100  32.82
2014-02-03  33.47  33.48  32.03  32.18  7770400  32.18
2014-01-31  33.1  33.75  32.91  33.25  4566000  33.25
2014-01-30  33.33  33.86  33.3  33.75  4473600  33.75
2014-01-29  33.1  33.53  32.73  32.87  5272200  32.87
2014-01-28  33.06  33.66  32.99  33.51  4687700  33.51
2014-01-27  32.85  33.17  31.96  32.74  9681600  32.74
2014-01-24  33.58  33.65  32.76  32.77  6251600  32.77
2014-01-23  34.5  34.56  33.59  33.83  5495100  33.83
2014-01-22  35.08  35.17  34.75  34.88  2684900  34.88
2014-01-21  35.4  35.47  34.78  35.03  3401600  35.03
2014-01-17  35.58  35.65  35.12  35.26  2685400  35.26
2014-01-16  35.97  35.97  35.4  35.55  2264500  35.55
2014-01-15  35.45  36.04  35.36  36.02  4008500  36.02
2014-01-14  34.88  35.44  34.71  35.36  4147000  35.36
2014-01-13  35.86  35.86  34.77  34.77  5090800  34.77
2014-01-10  36.12  36.14  35.54  35.94  4780600  35.94
2014-01-09  35.75  35.83  35.42  35.78  3238000  35.78
2014-01-08  35.49  35.65  35.31  35.51  3191400  35.51
2014-01-07  35.63  35.81  35.35  35.46  2911600  35.46
2014-01-06  35.67  35.81  35.46  35.58  4294400  35.58
2014-01-03  35.5  35.9  35.36  35.53  3445200  35.53
2014-01-02  36.1  36.13  35.38  35.4  3545600  35.4
2013-12-31  36.35  36.61  36.05  36.23  3090000  36.23
2013-12-30  36.36  36.38  36.12  36.25  2689200  36.25
2013-12-27  36.68  36.7  36.25  36.33  2021600  36.33
2013-12-26  36.72  36.74  36.46  36.57  2085900  36.57
2013-12-24  36.61  36.72  36.36  36.62  923800  36.62
2013-12-23  36.28  36.76  36.17  36.61  3895300  36.61
2013-12-20  35.67  36.3  35.52  36.07  6910000  36.07
2013-12-19  35.47  35.79  35.35  35.52  3696900  35.52
2013-12-18  35.08  35.57  34.4  35.53  5879400  35.53
2013-12-17  35.32  35.37  34.73  35.0  5166800  35.0
2013-12-16  35.16  35.44  35.02  35.06  3370600  35.06
2013-12-13  35.27  35.36  34.98  35.02  4054100  35.02
2013-12-12  35.2  35.46  35.01  35.1  3401000  35.1
2013-12-11  36.01  36.12  35.21  35.27  3197200  35.27
2013-12-10  36.01  36.32  35.81  36.07  3947400  36.07
2013-12-09  35.94  36.49  35.9  36.15  4703500  36.15
2013-12-06  35.86  36.02  35.55  35.94  3141900  35.94
2013-12-05  35.42  35.66  35.24  35.38  2925400  35.38
2013-12-04  35.41  35.78  35.05  35.59  3487000  35.59
2013-12-03  35.59  35.72  34.98  35.42  3761000  35.42
2013-12-02  35.79  36.2  35.65  35.75  3183100  35.75
2013-11-29  36.11  36.11  35.59  35.63  1875700  35.63
2013-11-27  35.68  36.05  35.4  36.05  5134000  36.05
2013-11-26  35.74  35.95  35.55  35.57  3575300  35.57
2013-11-25  35.58  36.05  35.55  35.71  5202400  35.71
