Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  65.26  66.72  65.02  66.06  1613400  66.06
2014-02-27  64.33  65.41  64.33  65.4  1047300  65.4
2014-02-26  64.19  64.5  63.82  64.35  1547500  64.35
2014-02-25  64.42  64.51  63.4  63.99  1496900  63.99
2014-02-24  64.35  65.07  64.28  64.78  1139000  64.78
2014-02-21  64.15  64.78  64.07  64.32  1137100  64.32
2014-02-20  63.19  64.37  62.74  64.31  1544500  64.31
2014-02-19  63.65  64.14  63.05  63.1  954200  63.1
2014-02-18  64.61  64.7  63.35  63.76  1415900  63.76
2014-02-14  64.64  65.0  64.21  64.98  1011800  64.98
2014-02-13  64.54  64.7  64.06  64.49  1115300  64.49
2014-02-12  64.39  65.34  64.34  64.89  1910600  64.89
2014-02-11  64.44  64.66  63.86  64.42  1037900  64.42
2014-02-10  64.72  65.04  63.88  64.32  993400  64.32
2014-02-07  64.44  64.86  63.94  64.7  1238700  64.7
2014-02-06  62.44  64.53  62.44  64.25  2247700  64.25
2014-02-05  61.61  62.23  61.01  61.89  1473200  61.89
2014-02-04  61.18  62.21  60.91  62.07  2030000  62.07
2014-02-03  61.55  61.76  60.29  60.97  2374000  60.97
2014-01-31  62.08  62.39  61.31  61.43  2548400  61.43
2014-01-30  66.03  66.41  61.94  62.92  2822000  62.92
2014-01-29  63.83  64.78  63.47  63.77  2142200  63.77
2014-01-28  64.15  64.95  63.93  64.63  1022100  64.63
2014-01-27  64.0  64.75  63.0  63.95  1637100  63.95
2014-01-24  65.01  65.38  63.61  63.75  1488700  63.75
2014-01-23  66.32  66.32  65.42  65.61  1657800  65.61
2014-01-22  67.15  67.36  66.2  66.59  1809900  66.59
2014-01-21  67.57  68.13  67.03  67.22  1034700  67.22
2014-01-17  67.89  68.15  67.23  67.29  989500  67.29
2014-01-16  68.31  68.45  67.7  67.81  849500  67.81
2014-01-15  67.9  68.44  67.64  68.36  1015300  68.36
2014-01-14  67.21  67.76  67.03  67.71  1969900  67.71
2014-01-13  68.77  68.77  66.72  66.9  1548900  66.9
2014-01-10  69.08  69.33  68.81  69.32  611800  69.32
2014-01-09  69.56  69.75  68.52  68.9  842900  68.9
2014-01-08  68.72  69.56  68.67  69.55  758700  69.55
2014-01-07  68.49  68.94  68.41  68.73  482100  68.73
2014-01-06  68.99  69.46  68.16  68.34  650600  68.34
2014-01-03  68.34  68.95  68.2  68.62  656400  68.62
