Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  94.3  95.21  93.83  94.44  3211700  94.44
2014-02-27  93.62  94.5  93.44  94.37  2063900  94.37
2014-02-26  93.55  94.54  93.5  93.86  2620700  93.86
2014-02-25  93.63  94.29  93.23  93.87  3246200  93.87
2014-02-24  93.91  94.75  93.3  93.31  2959300  93.31
2014-02-21  93.39  93.99  93.26  93.48  3218600  93.48
2014-02-20  92.78  93.58  92.27  93.11  2297700  93.11
2014-02-19  93.53  94.61  92.38  92.5  4265500  92.5
2014-02-18  93.96  94.27  93.42  93.9  2340600  93.9
2014-02-14  94.04  94.37  93.44  94.16  2557600  94.16
2014-02-13  93.03  94.15  92.82  94.08  2339400  94.08
2014-02-12  94.11  94.42  93.46  93.84  2477800  93.84
2014-02-11  92.66  94.1  92.5  93.71  2978500  93.71
2014-02-10  92.65  93.35  92.05  92.4  3281400  92.4
2014-02-07  91.25  92.84  91.03  92.71  4195700  92.71
2014-02-06  89.48  90.75  89.34  90.7  2185100  90.7
2014-02-05  88.77  89.52  88.09  89.16  4273200  89.16
2014-02-04  88.53  89.56  87.85  89.33  3935200  89.33
2014-02-03  90.79  91.51  88.23  88.32  4236400  88.32
2014-01-31  90.16  91.71  89.82  90.79  3706400  90.79
2014-01-30  90.25  91.43  90.02  91.26  3150400  91.26
2014-01-29  89.16  90.11  88.83  89.31  3964600  89.31
2014-01-28  89.83  90.76  89.71  90.02  2928000  90.02
2014-01-27  88.81  90.54  88.81  89.86  6587200  89.86
2014-01-24  89.12  90.48  88.01  88.05  5022500  88.05
2014-01-23  89.93  90.28  88.8  89.37  4178600  89.37
2014-01-22  90.47  90.81  89.78  90.65  2736000  90.65
2014-01-21  90.18  90.6  89.42  90.16  2502800  90.16
2014-01-17  89.79  90.02  89.23  89.52  2600600  89.52
2014-01-16  89.43  89.83  89.31  89.62  1638700  89.62
2014-01-15  89.4  89.73  89.17  89.48  2471100  89.48
2014-01-14  88.84  89.06  87.7  88.96  2901400  88.96
2014-01-13  89.44  90.01  88.31  88.44  2477600  88.44
2014-01-10  90.24  90.38  89.33  89.73  2998800  89.73
2014-01-09  90.46  91.01  89.82  90.04  1812600  90.04
2014-01-08  89.64  90.37  89.49  90.01  2645300  90.01
2014-01-07  90.13  90.7  90.03  90.36  1573700  90.36
2014-01-06  90.52  90.83  89.97  90.0  1955800  90.0
2014-01-03  90.06  90.53  89.9  90.09  1472500  90.09
2014-01-02  90.53  90.71  89.62  89.89  1744200  89.89
2013-12-31  90.43  91.12  90.29  90.93  1456500  90.93
2013-12-30  90.88  91.0  90.35  90.56  1450300  90.56
2013-12-27  90.89  90.99  90.63  90.7  1065900  90.7
2013-12-26  90.14  90.78  90.11  90.66  2173300  90.66
2013-12-24  89.53  90.18  89.28  90.02  854300  90.02
2013-12-23  89.57  89.78  88.93  89.29  2298500  89.29
2013-12-20  88.39  89.57  88.18  89.12  3839700  89.12
2013-12-19  87.64  88.29  87.54  88.21  2558000  88.21
2013-12-18  86.37  88.06  85.49  88.03  3583500  88.03
2013-12-17  87.15  87.55  86.02  86.06  3656500  86.06
2013-12-16  86.52  87.31  86.04  86.95  3131400  86.95
2013-12-13  86.14  86.96  85.35  86.19  4191700  86.19
2013-12-12  85.81  86.29  85.51  85.88  2926700  85.88
2013-12-11  87.36  87.38  85.86  86.04  2887800  86.04
2013-12-10  87.24  87.86  87.0  87.42  1770400  87.42
2013-12-09  87.96  88.1  87.31  87.45  1805000  87.45
2013-12-06  87.66  88.06  87.3  87.9  1653900  87.9
2013-12-05  86.28  86.88  86.08  86.44  1793400  86.44
2013-12-04  86.42  86.87  85.77  86.41  2423600  86.41
2013-12-03  87.53  87.53  86.26  86.65  2317500  86.65
2013-12-02  88.06  88.57  87.58  87.72  2052500  87.72
2013-11-29  88.41  88.74  87.97  88.09  1156200  88.09
2013-11-27  88.56  88.98  88.26  88.44  1171000  88.44
2013-11-26  88.23  88.68  88.0  88.11  1834000  88.11
2013-11-25  88.57  88.84  88.05  88.16  1664900  88.16
2013-11-22  87.44  88.44  87.26  88.37  1914600  88.37
2013-11-21  86.99  87.63  86.94  87.52  1618200  87.52
2013-11-20  87.73  87.73  86.68  86.8  1796600  86.8
2013-11-19  87.6  88.04  87.28  87.44  1777700  87.44
2013-11-18  88.01  88.64  87.67  87.81  2416600  87.81
2013-11-15  87.41  87.9  87.34  87.75  2572300  87.75
2013-11-14  86.89  87.95  86.54  87.8  2799200  87.8
2013-11-13  85.51  86.65  85.28  86.65  2659200  86.65
2013-11-12  86.37  86.54  85.61  85.74  2438100  85.74
2013-11-11  86.51  86.81  86.22  86.56  2042700  86.56
2013-11-08  84.68  86.6  84.53  86.58  2741500  86.58
2013-11-07  85.88  86.13  84.49  84.62  2392100  84.62
2013-11-06  85.97  86.34  85.54  85.87  1793900  85.87
2013-11-05  85.2  85.84  84.58  85.49  1975300  85.49
2013-11-04  86.14  86.14  85.05  85.46  3240400  85.46
2013-11-01  85.91  86.9  85.68  86.05  3092500  86.05
2013-10-31  86.0  86.79  85.65  85.88  2290000  85.88
2013-10-30  86.66  87.08  85.72  85.87  1827800  85.87
2013-10-29  86.25  86.66  86.08  86.6  1940800  86.6
2013-10-28  86.28  86.69  86.05  86.47  1941500  86.47
2013-10-25  86.34  86.68  85.8  86.64  2747700  86.64
2013-10-24  85.99  86.57  85.87  86.42  2255900  86.42
2013-10-23  85.29  85.84  84.7  85.84  2698800  85.84
2013-10-22  84.13  85.63  84.06  85.31  3334300  85.31
2013-10-21  83.75  84.01  83.24  83.82  3512500  83.82
2013-10-18  84.87  85.1  82.88  83.75  7040200  83.75
2013-10-17  84.55  85.93  84.36  85.89  2679400  85.89
