Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  81.69  82.81  81.3  82.46  1703800  82.46
2014-02-27  81.2  81.9  80.66  81.89  1244000  81.89
2014-02-26  81.65  81.8  80.72  80.9  1994600  80.9
2014-02-25  81.62  82.14  81.47  81.79  2470400  81.79
2014-02-24  80.24  81.79  80.1  81.39  2454900  81.39
2014-02-21  79.03  80.31  78.75  80.1  2433300  80.1
2014-02-20  78.18  78.85  77.76  78.64  1455100  78.64
2014-02-19  77.67  78.9  77.4  77.92  1483300  77.92
2014-02-18  78.9  79.07  77.21  77.82  1534700  77.82
2014-02-14  75.91  78.69  75.75  78.62  2650600  78.62
2014-02-13  74.77  76.28  73.09  75.36  5125700  75.36
2014-02-12  76.82  77.37  76.52  77.09  1461500  77.09
2014-02-11  75.94  77.14  75.6  76.76  1177500  76.76
2014-02-10  76.39  76.47  75.52  75.63  1283000  75.63
2014-02-07  75.41  76.55  75.06  76.47  1561000  76.47
2014-02-06  73.68  75.25  73.68  75.01  1189200  75.01
2014-02-05  72.91  73.62  72.22  73.4  1630000  73.4
2014-02-04  72.61  73.6  72.18  73.45  1372400  73.45
2014-02-03  74.75  74.81  72.0  72.16  1940800  72.16
2014-01-31  74.24  75.6  74.12  74.71  1482500  74.71
2014-01-30  76.04  76.41  75.3  75.5  1413100  75.5
2014-01-29  76.14  76.98  75.1  75.44  1390900  75.44
2014-01-28  76.44  77.46  76.25  77.2  1301600  77.2
2014-01-27  76.88  77.04  75.04  76.26  1764200  76.26
2014-01-24  78.56  78.6  76.4  76.61  2197500  76.61
2014-01-23  80.16  80.16  78.47  79.47  1935900  79.47
2014-01-22  79.85  81.39  79.48  80.63  2800600  80.63
2014-01-21  79.72  79.95  78.19  78.91  1435100  78.91
2014-01-17  78.92  79.31  78.46  78.87  926700  78.87
2014-01-16  78.51  78.88  78.33  78.71  610400  78.71
2014-01-15  78.18  78.75  78.01  78.57  940200  78.57
2014-01-14  77.65  78.56  77.11  78.17  1390200  78.17
2014-01-13  76.98  78.86  76.98  77.24  1339200  77.24
2014-01-10  78.38  78.79  78.04  78.75  1509600  78.75
2014-01-09  78.69  78.84  77.55  78.58  1251700  78.58
2014-01-08  77.9  78.61  77.66  78.6  1153600  78.6
2014-01-07  78.54  78.96  77.69  77.78  1157400  77.78
2014-01-06  78.77  78.82  77.76  77.92  1029100  77.92
2014-01-03  78.99  79.29  78.52  78.58  725000  78.58
2014-01-02  79.46  79.58  78.63  79.0  869700  79.0
2013-12-31  79.47  79.77  79.2  79.45  786800  79.45
2013-12-30  78.72  79.36  78.72  79.19  911000  79.19
2013-12-27  79.67  79.69  78.95  79.03  665000  79.03
2013-12-26  79.29  79.66  79.13  79.31  544900  79.31
2013-12-24  78.83  79.46  78.72  79.16  515000  79.16
2013-12-23  79.13  79.37  78.62  78.7  1230000  78.7
2013-12-20  78.13  79.24  78.13  78.9  2277700  78.9
2013-12-19  77.69  78.47  77.42  77.76  1940400  77.76
2013-12-18  76.03  78.21  75.62  78.11  3398800  78.11
2013-12-17  75.78  76.24  75.11  75.77  1757100  75.77
2013-12-16  76.05  76.47  75.52  75.91  2482600  75.91
2013-12-13  73.61  74.81  73.56  74.2  2630000  74.2
2013-12-12  73.32  74.0  72.76  73.26  3035100  73.26
