Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  29.84  30.36  29.65  29.88  13148800  29.88
2014-02-27  29.72  29.89  29.63  29.75  11122000  29.75
2014-02-26  29.91  30.2  29.81  29.9  9007000  29.9
2014-02-25  29.82  30.0  29.57  29.88  9205400  29.88
2014-02-24  29.66  30.17  29.45  29.92  14418000  29.92
2014-02-21  30.62  30.71  29.5  29.79  29806400  29.79
2014-02-20  29.32  30.28  29.1  30.19  26730100  30.19
2014-02-19  29.43  29.77  29.26  29.45  14889200  29.45
2014-02-18  30.0  30.05  29.57  29.58  11250800  29.58
2014-02-14  29.86  30.12  29.72  30.02  9514000  30.02
2014-02-13  29.31  29.92  29.18  29.83  9492600  29.83
2014-02-12  29.36  29.79  29.36  29.42  9725500  29.42
2014-02-11  28.88  29.49  28.8  29.36  8613600  29.36
2014-02-10  29.01  29.23  28.64  28.81  7813700  28.81
2014-02-07  28.7  29.16  28.69  29.07  7537300  29.07
2014-02-06  28.23  28.66  28.2  28.49  6693700  28.49
2014-02-05  28.17  28.44  27.9  28.01  10278000  28.01
2014-02-04  28.14  28.41  27.89  28.33  9581300  28.33
2014-02-03  29.06  29.29  27.96  28.04  14655400  28.04
2014-01-31  28.94  29.19  28.74  29.0  12934300  29.0
2014-01-30  29.15  29.42  29.08  29.25  9095700  29.25
2014-01-29  28.92  29.15  28.75  29.02  13915700  29.02
2014-01-28  28.57  29.08  28.49  29.0  12407000  29.0
2014-01-27  28.53  29.09  28.38  28.6  15924800  28.6
2014-01-24  29.04  29.2  28.39  28.49  17016600  28.49
2014-01-23  29.42  29.73  29.06  29.37  9905300  29.37
2014-01-22  29.63  30.13  29.46  29.84  10237500  29.84
2014-01-21  29.8  29.96  29.45  29.9  12086500  29.9
2014-01-17  29.75  30.05  29.67  29.8  16056400  29.8
2014-01-16  29.5  29.82  29.12  29.56  22064600  29.56
2014-01-15  28.9  29.07  28.54  28.84  16377900  28.84
2014-01-14  28.12  28.85  28.09  28.85  14852600  28.85
2014-01-13  27.71  28.79  27.7  28.12  19713400  28.12
2014-01-10  27.73  27.77  27.27  27.7  14325800  27.7
2014-01-09  27.57  27.88  27.35  27.61  18030200  27.61
2014-01-08  28.18  28.2  27.36  27.45  15212800  27.45
2014-01-07  28.43  28.55  27.87  28.18  14321400  28.18
2014-01-06  28.3  28.5  27.9  28.29  10241000  28.29
2014-01-03  27.71  28.5  27.7  28.34  12675300  28.34
2014-01-02  27.88  28.22  27.45  27.66  13028200  27.66
2013-12-31  27.92  28.3  27.83  27.98  9961400  27.98
2013-12-30  28.24  28.26  27.95  28.07  7302600  28.07
2013-12-27  28.43  28.44  28.16  28.19  6848300  28.19
2013-12-26  28.2  28.7  28.19  28.31  7792300  28.31
2013-12-24  28.0  28.2  27.87  28.16  4983400  28.16
2013-12-23  27.99  28.1  27.75  28.05  9427700  28.05
2013-12-20  28.08  28.19  27.79  27.79  20481500  27.79
2013-12-19  27.55  28.23  27.51  28.04  15903900  28.04
2013-12-18  27.37  27.52  26.65  27.51  15155400  27.51
2013-12-17  27.54  27.86  27.33  27.45  19131300  27.45
